Municipio,prioridad
Ciudad de México,92.09944
Tijuana,18.10645
Ecatepec de Morelos,16.43623
León,15.79803
Heroica Puebla de Zaragoza,15.42232
Ciudad Juárez,15.01551
Guadalajara,13.85621
Zapopan,12.57547
Monterrey,11.42952
Nezahualcóyotl,10.72676
Chihuahua,9.25762
Mérida,9.21771
Cancún,8.88797
Saltillo,8.64431
Aguascalientes,8.63893
Hermosillo,8.55563
Mexicali,8.54186
San Luis Potosí,8.45941
Culiacán Rosales,8.08416
Santiago de Querétaro,7.94789
Naucalpan de Juárez (municipio de Naucalpan),7.7622
Morelia,7.43275
Chimalhuacán,7.03215
Reynosa,6.91557
Torreón,6.90193
Tlalnepantla de Baz,6.58907
Acapulco de Juárez,6.58609
Tlaquepaque,6.50123
Guadalupe,6.35862
Victoria de Durango,6.16068
Tuxtla Gutiérrez,5.7883
Apodaca,5.36436
Ciudad López Mateos,5.23065
Cuautitlán Izcalli,5.15353
Heroica Matamoros,5.10739
General Escobedo,4.54967
Irapuato,4.5209
Xalapa-Enríquez,4.43063
Tonalá,4.4244
Mazatlán,4.41975
Nuevo Laredo,4.16055
San Nicolás de los Garza,4.12199
Veracruz (municipio de Veracruz),4.05952
Ojo de Agua,3.8629
Xico,3.84327
Celaya,3.78143
Tepic,3.71387
Ixtapaluca,3.68585
Cuernavaca,3.41029
Villahermosa,3.4006
Ciudad Victoria,3.321
Ensenada,3.30652
Ciudad Obregón,3.29404
Villa Nicolás Romero,3.23545
Soledad de Graciano Sánchez,3.10192
Juárez,3.08285
Playa del Carmen,3.04942
Santa Catarina,3.04052
Gómez Palacio,3.01742
Uruapan del Progreso,2.99523
Los Mochis,2.98009
Pachuca de Soto,2.97848
Tampico,2.97373
Tehuacán,2.93825
San Francisco Coacalco,2.93245
Heroica Nogales,2.61137
Oaxaca de Juárez,2.58913
La Paz,2.50141
San Francisco de Campeche,2.49623
Monclova,2.37169
García,2.34698
Chilpancingo de los Bravo,2.25728
Puerto Vallarta,2.24166
Toluca de Lerdo,2.23876
Tapachula,2.1755
Buenavista,2.16776
Coatzacoalcos,2.1254
Ciudad Madero,2.05933
Cabo San Lucas,2.02694
Chicoloapan,1.93532
Ciudad del Carmen,1.91238
San Cristóbal de las Casas,1.83509
Poza Rica de Hidalgo,1.80057
San Juan del Río,1.77719
San Luis Río Colorado,1.76685
Chalco de Díaz Covarrubias,1.74704
Jiutepec,1.74629
Piedras Negras,1.73959
Guadalupe,1.70029
Chetumal,1.69028
Miramar,1.6182
Salamanca,1.60682
Ciudad Acuña,1.60225
Manzanillo,1.59853
San Pablo de las Salinas,1.57998
Cuautla,1.57336
Zamora de Hidalgo,1.54546
Villa de Álvarez,1.47496
Colima,1.46965
Fresnillo,1.43281
Kanasín,1.39753
Hacienda Santa Fe,1.39174
Córdoba,1.39075
Zacatecas,1.38444
Ciudad Valles,1.36351
San José del Cabo,1.36285
Ciudad Cuauhtémoc,1.35586
Naucalpan de Juárez (municipio de Huixquilucan),1.34948
Iguala,1.32854
San Pedro Garza García,1.32128
Veracruz (municipio de Boca del Río),1.32011
Delicias,1.28548
Navojoa,1.20926
Tepexpan,1.20778
Orizaba,1.205
Cuautitlán,1.17995
Guaymas,1.17253
El Pueblito,1.15264
Ramos Arizpe,1.1401
Hidalgo del Parral,1.13843
Comitán de Domínguez,1.13479
Ciudad Guzmán,1.11975
Lagos de Moreno,1.11569
Río Bravo,1.11314
Tulancingo de Bravo,1.06163
Temixco,1.04461
San Juan Bautista Tuxtepec,1.03609
Apatzingán de la Constitución,1.02362
Cholula de Rivadavia,1.0226
Minatitlán,1.01336
Rosarito,1.0066
