Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Salvatore G's,salvatoregs.com,"Restaurante relajado que ofrece pastas y otros platos italianos, además de vino y cocteles.",+52 624 105 1044,"S/N, Vicente Guerrero, Emiliano Zapata, Centro, 23450 Cabo San Lucas, B.C.S., México",Restaurante italiano, Abre a las 4p.m.,Cabo San Lucas
Captain Tony's,captain-tonys.com,None Found,+52 624 143 6797,"Blvd. Paseo de La Marina 58 Int. 6 Loc. 1-E, Marina, 23450 Cabo San Lucas, B.C.S., México",Marisquería,,Cabo San Lucas
Outpost,outpost.mx,None Found,+52 624 132 2842,"Blvd. Paseo de la Marina S/N, Centro, 23450 Cabo San Lucas, B.C.S., México",Restaurante, Abre a las 8a.m.,Cabo San Lucas
El Peregrino,facebook.com,None Found,+52 624 688 4872,"Ignacio Zaragoza, 20 de Noviembre &, Ildefonso Green, 23470 Cabo San Lucas, B.C.S., México",Restaurante, Abre a la 1p.m.,Cabo San Lucas
Restaurant Bar Campestre,restaurantcampestreloscabos.com,"Este comedor con entorno hogareño, decorado de forma sencilla, ofrece antojitos mexicanos y mariscos.",+52 624 143 8830,"Salvatierra s/n entre Lopez Mateos y Camino al Faro, Mariano Matamoros, 23460 Cabo San Lucas, B.C.S., México",Restaurante mexicano, Abre a las 7:30a.m.,Cabo San Lucas
Sunset Monalisa,sunsetmonalisa.com,Terraza extensa con vista al mar y menús sabrosos de platillos mediterráneos elegantes.,+52 624 105 8970,"km 6, México 1 1, Misiones del, 23455 Cabo San Lucas, B.C.S., México",Restaurante de alta cocina, Abre a las 4p.m.,Cabo San Lucas
PANACHE RESTAURANT,,None Found,+52 624 157 5041,"20 DE NOVIEMBRE, Benito Juárez Manzana 177 L06, 23469 Cabo San Lucas, B.C.S., México",Restaurante de cocina europea, Abre a las 8:15a.m.,Cabo San Lucas
Don Manuel’s at Waldorf Astoria Los Cabos Pedregal,waldorfastorialoscabospedregal.com,None Found,+52 624 163 4300,"Cam. del Mar 1, Col. El Pedregal, 23455 Cabo San Lucas, B.C.S., México",Restaurante, Abre a las 7a.m.,Cabo San Lucas
Los Barriles,,None Found,+52 624 143 1619,"Calle Miguel Hidalgo S/N, Centro, 23450 Cabo San Lucas, B.C.S., México",Bar restaurante, Abre a las 8a.m.,Cabo San Lucas
Mi Casa,micasarestaurantcabo.com,Restaurante clásico estilo hacienda con presentaciones de mariachis y platos mexicanos tradicionales.,+52 624 143 1933,"C. Cabo San Lucas s/n, Centro, 23460 Cabo San Lucas, B.C.S., México",Restaurante mexicano, Abre a las 5p.m.,Cabo San Lucas
The Office,theofficeonthebeach.com,"Restaurante animado frente al mar con comida y coctelería internacionales y locales, y música en vivo.",+52 624 143 4919,"Playa El Medano S/N, El Medano Ejidal, El Medano, 23450 Cabo San Lucas, B.C.S., México",Bar restaurante, Abre a las 7a.m.,Cabo San Lucas
Mariscos Las Tres Islas,restaurantsnapshot.com,"Cerveza, cocteles y platos abundantes de mariscos en un restaurante espacioso y sencillo.",+52 624 143 3247,"Revolución de 1910 23469, Downtown, Juárez, 23469 Cabo San Lucas, B.C.S., México",Marisquería, Abre a las 8a.m.,Cabo San Lucas
Metate Cabo,metatecabo.mx,None Found,+52 624 157 8760,"Av. Crispin Ceseña S/N El Tezal, 23454 Cabo San Lucas, B.C.S., México",Restaurante mexicano,,Cabo San Lucas
Il Forno,ilfornocabosanlucas.com,None Found,+52 624 213 9678,"Avenida Paseo el Pescador, Medano, 23453 Cabo San Lucas, B.C.S., México",Restaurante italiano, Abre a las 4:30p.m.,Cabo San Lucas
Hacienda Cocina y Cantina,haciendacocina.mx,"Pescado, tacos gourmet y cocteles al atardecer en terraza elegante y tranquila con vista a la playa.",+52 624 163 3144,"Calle, P.º de La Marina 4732, Colonia El Medano, 23453 Cabo San Lucas, B.C.S., México",Restaurante mexicano, Abre a las 8a.m.,Cabo San Lucas
