Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
El Trapio,,"Alta cocina mediterránea y mexicana en un lugar rodeado de grandes ventanales, plantas y pisos de madera.",+52 461 614 3812,"Miguel Cabrera 108, Las Fuentes, 38060 Celaya, Gto., México",Restaurante, Cierra a la 1a.m.,Celaya
San Telmo Celaya,facebook.com,None Found,+52 461 615 5337,"Av las Fuentes 204, Las Fuentes, 38040 Celaya, Gto., México",Pub restaurante,,Celaya
Mi Espacio Guanajuato,,None Found,+52 461 215 0106,"Francisco I. Madero 118, Col. Centro, 38000 Celaya, Gto., México",Restaurante mexicano, Cierra a la 1a.m.,Celaya
Beef Capital,beefcapital.com,Restaurant destacado por sus cortes americanos a la parrila y amplia cava en un ambiente neorústico y casual.,+52 461 615 6001,"Blvrd Adolfo López Mateos 1104 Poniente, Rosa Linda, 38060 Celaya, Gto., México",Restaurante especializado en filetes, 11p.m. ,Celaya
Alai,m.facebook.com,None Found,+52 461 615 1090,"Blvrd Adolfo López Mateos 1510, Rosa Linda, 38060 Celaya, Gto., México",Bar restaurante, Cierra a las 12a.m.,Celaya
Burgués Urban Grill,m.facebook.com,None Found,+52 461 614 5259,"Miguel Hidalgo 1300, Renacimiento, 38060 Celaya, Gto., México",Hamburguesería, Cierra a las 2a.m.,Celaya
Café Bar 500 Noches Celaya,m.facebook.com,None Found,+52 461 173 0818,"Durero 100, Renacimiento, 38060 Celaya, Gto., México",Restaurante, Cierra a la 1a.m.,Celaya
Mezzé,m.facebook.com,None Found,,"Lib. Nororiente 246-1, Campestre de Celaya, 38080 Celaya, Gto., México",Restaurante, Cierra a las 2a.m.,Celaya
Barra Galera,es-la.facebook.com,Espacio informal con terraza y pantallas para ver deportes que se especializa en cortes de carne a la leña.,+52 461 612 0498,"Nuevo León 306, Alameda, 38050 Celaya, Gto., México",Restaurante argentino, 11p.m. ,Celaya
Mx Grill Celaya,facebook.com,None Found,+52 461 614 4156,"Tenochtitlan 630-local 4, Alameda, 38050 Celaya, Gto., México",Hamburguesería, Cierra a las 12a.m.,Celaya
La Notte - Ristorante,lanotte.mx,None Found,+52 461 688 4468,"Centro Comercial Town Plaza, Local 1, Eje, Lib. Nororiente, 38080 Celaya, Gto., México",Restaurante italiano, 11p.m. ,Celaya
Fogon do Brasil,,None Found,+52 461 175 0637,"Eje Libramiento Nororiente, Ribera del Campestre 217, 38020 Celaya, Gto., México",Restaurante brasileño, Abre a las 12:30p.m. del dom,Celaya
Restaurante Bar Grotto,,None Found,+52 461 612 2223,"De Morelos 306, Morelos, Villa de los Reyes, 38057 Celaya, Gto., México",Restaurante familiar, Abre a la 1p.m. del dom,Celaya
Restaurante El Merendero,,None Found,+52 461 612 1734,"Calle Alvaro Obregon 335, Col. Centro, 38050 Celaya, Gto., México",Restaurante mexicano, Abre a las 9a.m. del dom,Celaya
Wild Rooster Celaya,wildrooster.com.mx,None Found,+52 461 346 6340,"Eje Nor-Poniente Manuel J. Clouthier 355-Local 9, La Capilla, 38013 Celaya, Gto., México",Bar restaurante, Cierra a la 1a.m.,Celaya
Mariscos Cocos Locos,,None Found,,"Blvrd Adolfo López Mateos 1494, Renacimiento, 38060 Celaya, Gto., México",Marisquería, Cierra a la 1a.m.,Celaya
Robinson's Crash,robinsonscrash.com,"Comedor familiar que parece una casa campestre y ofrece antojitos mexicanos, mariscos y cortes de carne.",+52 461 613 5858,"Blvrd Adolfo López Mateos 1535, Villa de los Reyes, 38050 Celaya, Gto., México",Restaurante, Abre a la 1p.m. del dom,Celaya
GOSTO DO BRASIL CHURRASCARIA,,None Found,+52 461 158 1643,"EJE NORPONIENTE 115, Ciudadela, 38017 Celaya, Gto., México",Restaurante brasileño, Abre a las 12:30p.m. del dom,Celaya
California Prime - Rib Sucursal Los Angeles (Campestre),californiaprimerib.com.mx,None Found,+52 461 613 2004,"Av. Constituyentes 1000 A, 3 Guerras, 38080 Celaya, Gto., México",Restaurante especializado en filetes, Abre a la 1p.m. del dom,Celaya
La Casa de Juanjo,,None Found,+52 461 612 9077,"Luis Cortázar 123, Col. Centro, 38000 Celaya, Gto., México",Bar restaurante, Abre a las 8:30a.m. del dom,Celaya
Restaurante Bar El Palenque,facebook.com,None Found,+52 461 609 1264,"Caoba 57, Los Laureles, 38020 Celaya, Gto., México",Bar restaurante, Abre a las 8:30a.m. del dom,Celaya
Patio Madero,,None Found,+52 461 175 9300,"Francisco I. Madero #105, Col. Centro, 38000 Celaya, Gto., México",Restaurante, Abre a las 9a.m. del dom,Celaya
Toks Celaya,toks.com.mx,None Found,+52 461 615 4462,"Blvrd Adolfo López Mateos 1023, Centro, 38000 Celaya, Gto., México",Restaurante mexicano, 11p.m. ,Celaya
Sha Oriental Cuisine,,None Found,+52 461 613 3535,"Calle Constituyentes 101 A, 3 Guerras, 38080 Celaya, Gto., México",Restaurante asiático, Abre a la 1p.m. del dom,Celaya
Restaurant Bar El Quinto Toro,,None Found,,"De Morelos 161 A-161 A, Col. Centro, 38000 Celaya, Gto., México",Restaurante mexicano,,Celaya
La Mansión del Marisco,,None Found,+52 461 615 5262,"Blvrd Adolfo López Mateos 1000, centro, 38000 Celaya, Gto., México",Bar restaurante, Cierra a las 2a.m.,Celaya
Restaurante Sam Rof,,None Found,+52 461 612 5849,"Calle Alvaro Obregon 107, Col. Centro, 38000 Celaya, Gto., México",Restaurante, Cierra a las 6a.m. del dom,Celaya
Dublin Public House,,None Found,+52 461 615 7110,"Miguel Hidalgo, Las Fuentes, 38060 Celaya, Gto., México",Bar restaurante, Cierra a la 1a.m.,Celaya
