Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
RESTAURANTE LA OAXAQUEÑA,,None Found,+52 55 5501 3799,"KM 29, Carr. Federal México-Texcoco 38, San Jose, 56377 Chicoloapan de Juárez, Méx., México",Restaurante de desayunos, Abre a las 8a.m.,Chicoloapan
Restaurante Tipico Oaxaqueño,,None Found,,"km 25.5, Carr. Federal México-Texcoco S/N, San Vicente Chicoloapan de Juárez Centro, Portezuelos, 56338 Ejido de Chicoloapan, Méx., México",, Abre a las 9a.m.,Chicoloapan
MERLOT RESTAURANTE Chicoloapan,,None Found,+52 55 2165 6257,"Av. Moctezuma 55, San Vicente 2, 56370 Chicoloapan de Juárez, Méx., México",Restaurante, Abre a las 8a.m.,Chicoloapan
El Gran Chaparral,facebook.com,None Found,+52 55 4278 0193,"56386 Chicoloapan de Juárez, Méx., México",Restaurante, Abre a las 8a.m.,Chicoloapan
Marisquería Los Jarochos 2,,None Found,+52 55 5921 8024,"Manzana 012, Ampliación Presidentes, Presidentes, 56370 Chicoloapan de Juárez, Méx., México",Marisquería, Abre a las 8:30a.m.,Chicoloapan
Restaurante La Parroquia,,None Found,,"Avenida Reforma b2 Cabecera Municipal, San Vicente, 56370 Chicoloapan de Juárez, Méx., México",Restaurante, Abre a las 8a.m. del lun,Chicoloapan
Chelita Mía,,None Found,+52 55 4845 5213,"Av. Juárez 52, Cabecera Municipal, 56370 Chicoloapan de Juárez, Méx., México",Bar restaurante, Abre a las 3p.m.,Chicoloapan
FUEGO Y TIERRA COMIDA MEXICANA,,None Found,,"Av. Juárez 98, Cabecera Municipal, 56370 Chicoloapan de Juárez, Méx., México",Restaurante mexicano, Abre a la 1:30p.m. del mar,Chicoloapan
La Parrilla Del Oso,,None Found,,"Manzana 008, 56386 Chicoloapan de Juárez, Méx., México",Restaurante especializado en chuletas, Abre a las 8a.m.,Chicoloapan
La Estacion Juarez,,None Found,+52 55 8546 1885,"Av. Reforma No 3, Cabecera Municipal, 56370 Chicoloapan de Juárez, Méx., México",Restaurante, 3a.m. ,Chicoloapan
Un Cachito de Cuba,,None Found,+52 56 4554 2664,"Av. Zaragoza 38, Cabecera Municipal, 56373 Chicoloapan de Juárez, Méx., México",Restaurante, Abre a las 2p.m.,Chicoloapan
Asador Casa Guz,,None Found,+52 56 1744 7828,"Frente a la torre da alta tensión En la esq de, Av. de las Torres no. 2 esquina con Av. Libertad, Av. las Torres, El Arenal 1, 56373 Chicoloapan de Juárez, Méx., México",Restaurante, Abre a las 2p.m.,Chicoloapan
Parrilla Viva Mexico,,None Found,,"Av. Juárez Manzana 009, San Vicente, 56370 Chicoloapan de Juárez, Méx., México",Restaurante mexicano,,Chicoloapan
Autenticas Carnitas Michoacanas Don Manuel,,None Found,,"Av Emiliano Zapata Manzana 053, San Miguel, 56377 Chicoloapan de Juárez, Méx., México",Restaurante mexicano, Abre a las 9:30a.m.,Chicoloapan
Los Pozoles,,None Found,+52 55 3237 9725,"Cda. Leona Vicario 34, Cabecera Municipal, 56370 Chicoloapan de Juárez, Méx., México",, Abre a las 2p.m.,Chicoloapan
Mr. Shing-Gon,m.facebook.com,None Found,+52 55 8856 2033,"Cda. Leona Vicario 21, Cabecera Municipal, 56370 Chicoloapan de Juárez, Méx., México",Restaurante, Abre a las 2p.m.,Chicoloapan
Hanami 花見,,None Found,+52 56 2119 4737,"Av. Real de Chicoloapan 0, El Arenal 2, 56373 Chicoloapan de Juárez, Méx., México",Restaurante familiar, Abre a las 3:30p.m.,Chicoloapan
La Pequeña isla,,None Found,,"Hidalgo 28 A Cabecera Municipal, San Vicente, 56370 Chicoloapan de Juárez, Méx., México",Marisquería, Abre a las 10:30a.m.,Chicoloapan
Restaurante Gourmet El Manjar,,None Found,+52 55 6506 9373,"Avenida Libertad #90 Chicoloapan de Juárez, 56370 Ciudad de México, Méx., México",Restaurante, Abre a la 1p.m.,Chicoloapan
El Camarón Guasaveño Chicoloapan.,,None Found,+52 55 4802 4455,"Carr. Federal México-Texcoco 2654, San Jose, 56377 Chicoloapan de Juárez, Méx., México",Marisquería, Abre a las 10a.m.,Chicoloapan
AVILA PRIME S.A.S.,,None Found,+52 55 6697 8072,"24 San Vicente Chicoloapan, 56370 México, Méx., México",Restaurante mexicano, Abre a las 8a.m.,Chicoloapan
"Birria ""Los Hernandez""",,None Found,,"San Cristóbal 24A, Real De San Vicente, 56383 San Vicente Chicoloapan, Méx., México",Taquería, Abre a las 7a.m.,Chicoloapan
La Isla Bonita,facebook.com,None Found,+52 55 1202 4576,"56370, Calle Guadalupe Victoria 12, El Arenal 1, Chicoloapan de Juárez, Méx., México",Marisquería, Abre a las 11a.m.,Chicoloapan
Marisquería Nemo,,None Found,,"Calle Venustiano Carranza 59, Cabecera Municipal, 56370 Chicoloapan de Juárez, Méx., México",Marisquería, Abre a las 8a.m.,Chicoloapan
CARNITAS LA CABAÑA,,None Found,,"C. 2 de Marzo 32, San Antonio, 56373 Chicoloapan de Juárez, Méx., México",Restaurante mexicano, Abre a las 9:30a.m.,Chicoloapan
Barbacoa Don Chava,,None Found,,"San Antonio, 56373 Chicoloapan de Juárez, Méx., México",Restaurante especializado en barbacoa, Abre a las 9a.m.,Chicoloapan
Pollos y Costillas La Herradura,,None Found,+52 755 130 1946,"Venustiano Carranza, Presidentes, 56370 San Vicente Chicoloapan, Méx., México",Restaurante especializado en pollo, Abre a las 10a.m.,Chicoloapan
Taquería La Alteña,,None Found,,"Cda. Leona Vicario 31, Cabecera Municipal, 56370 Chicoloapan de Juárez, Méx., México",Taquería, Abre a las 6:30p.m.,Chicoloapan
Pollos estilo argentino,,None Found,,"Ave Río Manzano 0, Presidentes, 56375 Chicoloapan de Juárez, Méx., México",Restaurante especializado en pollo, Abre a las 10a.m.,Chicoloapan
Tacos Y Tortas San José,facebook.com,None Found,,"Carr. Federal México-Texcoco Manzana 037, San Jose, 56377 Chicoloapan de Juárez, Méx., México",Taquería, Cierra a las 5:30a.m. ,Chicoloapan
Cocina El Buen Gusto,,None Found,,"Av. Hidalgo 53, San Vicente, 56370 Chicoloapan de Juárez, Méx., México",Restaurante de comida rápida,,Chicoloapan
DUETO NOVIEMBRE TRECE,,None Found,+52 55 8458 6187,"2da cda de Arcilla, El Arenal 2, 56373 Chicoloapan de Juárez, Méx., México",Restaurante de desayunos, Abre a las 10a.m.,Chicoloapan
Restaurant Juquilita,,None Found,,"Av. Juárez 104, Cabecera Municipal, 56370 Chicoloapan de Juárez, Méx., México",Restaurante, Abre a las 11a.m. del lun,Chicoloapan
Marisquería El Puerto,,None Found,+52 55 6476 8135,"San Vicente Chicoloapan Texcoco, 56370 México, Méx., México",Restaurante, Abre a las 8a.m.,Chicoloapan
Taquería Juquilita,facebook.com,None Found,,"Av. Moctezuma 43, Cabecera Municipal, 56370 Ejido de Chicoloapan, Méx., México",Taquería, Abre a las 2p.m.,Chicoloapan
Marisquería El Jefe,,None Found,+52 55 1392 7193,"56377, San Vicente, 56377 Chicoloapan de Juárez, Méx., México",Marisquería, Abre a las 8a.m.,Chicoloapan
Super Tortas,,None Found,+52 55 5924 9962,"Av. Real de San Vicente 51C, San Vicente, 56383 Chicoloapan de Juárez, Méx., México",Restaurante de comida rápida, Abre a las 11a.m.,Chicoloapan
GUZGUA Terraza,,None Found,+52 55 6624 4664,"Real de Las Haciendas Manzana 064, El Arenal 1, 56370 Chicoloapan de Juárez, Méx., México",Restaurante, Abre a las 3p.m. del mié,Chicoloapan
"Restaurante & Eventos ""LOS CIRUELOS""",,None Found,,"Av. Zaragoza 25, Colonia Centro, 56370 Chicoloapan de Juárez, Méx., México",Restaurante, Abre a las 10a.m.,Chicoloapan
Pozolería Inn,,None Found,,"Tulia, Auris 1, 56377 Chicoloapan de Juárez, Méx., México",, Abre a las 9a.m.,Chicoloapan
Pozolería y taquería López,,None Found,+52 55 6565 2137,"56373, Ave Río Manzano, 56370 Chicoloapan de Juárez, Méx., México",Restaurante, Abre a las 6p.m.,Chicoloapan
Barbacoa Los Martinez,,None Found,+52 55 7882 7344,"56377, Venustiano Carranza, 56377 Chicoloapan de Juárez, Méx., México",Asador de cordero, Abre a las 9a.m.,Chicoloapan
El Loco Rey Elote,,None Found,+52 55 8285 7408,"Av San Ramón MZ 16 LT 24 CS 2, 56380 Chicoloapan de Juárez, Méx., México",Restaurante de comida rápida, Abre a las 6p.m.,Chicoloapan
