Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante La Casona,,Restaurante de lujo con comedor ornamentado en el que se sirven carnes y platos mexicanos tradicionales.,+52 614 410 0063,"Av. Melchor Ocampo 430, Zona Centro, 31000 Chihuahua, Chih., México",Restaurante mexicano, Cierra a las 12a.m.,Chihuahua
"Mochomos, Riqueza Sonorense",mochomos.mx,Estilizado restaurante con luminosa terraza en donde se ofrece creativo menú de mariscos y comida sonorense.,+52 614 425 5276,"Calle Vía Lombardía No. 3001, Citadela, México",Restaurante, Cierra a las 2a.m.,Chihuahua
El Rodeo Restaurante,elrodeorestaurant.com.mx,None Found,+52 614 416 0201,"C. Libertad 1705, Zona Centro, 31000 Chihuahua, Chih., México",Restaurante especializado en filetes, Cierra a las 8p.m.,Chihuahua
Reforma,,None Found,+52 614 425 5864,"Perif. de la Juventud 5700, Distrito 1, 31110 Chihuahua, Chih., México",Restaurante, Cierra a las 12a.m.,Chihuahua
Il Fornaio,,Platos italianos clásicos incluye ensalada caprese y pizza al horno servidos en un local íntimo y acogedor.,+52 614 416 9776,"Av. Mirador 3723, Mirador, Campestre-Lomas, 31270 Chihuahua, Chih., México",Restaurante italiano, Cierra a las 10:15p.m.,Chihuahua
Los Cinco Panes,loscincopanes.com,Tranquilo bistro con sereno jardín para disfrutar cocina mediterránea casual con opciones vegetarianas y vino.,+52 614 410 8182,"Simon Bolívar 2524-Local 10, Los Sicomoros, Fraccionamiento, 31203 Chihuahua, Chih., México",Restaurante mediterráneo, Cierra a las 11p.m.,Chihuahua
Los Mezquites Restaurant Bar,losmezquites.com.mx,Acogedor lugar con decoración campestre especializado en cortes al carbón acompañados de ensalada y vino.,+52 614 411 2305,"Av. Cuauhtémoc 2809, Cuauhtémoc, 31020 Chihuahua, Chih., México",Restaurante, Cierra a las 11p.m.,Chihuahua
La Calesa Steakhouse,lacalesasteakhouse.com,None Found,+52 614 443 0438,"Citadela, Torre Prisma 3000-piso 1, Distrito 1, 31110 Chihuahua, Chih., México",Restaurante especializado en filetes, Cierra a las 12a.m.,Chihuahua
Las Faenas,,None Found,+52 614 430 1459,"Av de la Empresa 3110-Int-1, Haciendas Sta Fe, 31215 Chihuahua, Chih., México",Restaurante mexicano, Cierra a las 12a.m.,Chihuahua
Fonda Chilangos,,None Found,+52 614 411 9399,"C. Maria Luisa 504, Jardines del Santuario, 31206 Chihuahua, Chih., México",Restaurante mexicano, Cierra a las 8p.m.,Chihuahua
