Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante Ciudad Sagrada,ciudadsagrada.mx,"Comida innovadora y lujosa estilo mexicano, servida en mesas al interior y en un jardín refinado.",+52 222 247 9425,"Av 2 Ote 615, San Miguel, Barrio de San Miguel Tianguisnahuitl, 72760 San Andrés Cholula, Pue., México",Restaurante de alta cocina, 8a.m.,Cholula de Rivadavia
Divará Restaurant Bar,,Restaurante tranquilo y agradable con terraza en el patio donde se ofrecen pizzas y platos típicos italianos.,+52 222 960 6603,"Av. 8 Ote. 414, Barrio de San Miguel Tianguisnahuitl, 72760 Cholula de Rivadavia, Pue., México",Restaurante italiano,,Cholula de Rivadavia
Santoua Cholula,santoua.com,None Found,+52 221 371 1813,"Avenida 6 Poniente & Av. 5 de Mayo, Centro, 72810 San Andrés Cholula, Pue., México",Restaurante, Abre a las 9a.m.,Cholula de Rivadavia
Cus Cus Cus,,Restaurante tranquilo con patio y con gran arboleda. Ofrecen pizzas y platillos italianos,+52 222 337 5743,"Calle 6 Nte. 601, Barrio de Jesús Tlatempa, 72760 Cholula de Rivadavia, Pue., México",Restaurante,,Cholula de Rivadavia
La Casa de Frida,,"Cantina animada, decorada al estilo de la casa de la pintora Frida Kahlo, con comida y bandas en vivo tradicionales mexicanas.",+52 222 110 0880,"Av. Miguel Hidalgo 109, Centro, 72760 San Andrés Cholula, Pue., México",Restaurante mexicano, Abre a las 9a.m.,Cholula de Rivadavia
Restaurante Corazón De San Pedro,,None Found,+52 221 525 9952,"Av. 8 Ote. 407, Barrio de San Miguel Tianguisnahuitl, 72760 Cholula de Rivadavia, Pue., México",Restaurante francés, Abre a la 1p.m.,Cholula de Rivadavia
Amalia Cholula,,None Found,+52 221 657 0852,"Av. Morelos 201, Centro, 72760 Cholula de Rivadavia, Pue., México",Restaurante de desayunos, Abre a las 8:30a.m.,Cholula de Rivadavia
Mesón Garibaldi Poblano (Cholula),mesongaribaldicholula.com,None Found,+52 221 233 3650,"Calle 2 Nte. 401, Centro, 72760 Cholula de Rivadavia, Pue., México",Restaurante mexicano, 8a.m.,Cholula de Rivadavia
Restaurant Bar Enamorada,cafeenamorada.shop,None Found,+52 222 188 7131,"Av. Miguel Hidalgo 102, Centro, 72760 San Andrés Cholula, Pue., México",Restaurante mexicano, 8a.m.,Cholula de Rivadavia
OCHO30 Cholula,ocho30.com,None Found,+52 222 431 2808,"C. 3 Pte. 101-A, San Miguel, Centro, 72810 San Andrés Cholula, Pue., México",, Abre a las 9a.m.,Cholula de Rivadavia
La Terrace by Cantón,laterrace.cantonmx.com,None Found,+52 222 990 6543,"C. 4 Sur 110-A, Centro, 72760 Cholula de Rivadavia, Pue., México",Restaurante mexicano, 8a.m.,Cholula de Rivadavia
FINCA ENSAMBLE,bit.ly,"Restaurante informal con mesas en el jardín, donde se sirven pizzas y tacos, además de cerveza artesanal y mezcal.",+52 222 971 9298,"Av 7 Ote 418, San Pablo Tecamac, 72760 San Andrés Cholula, Pue., México",Bar restaurante,,Cholula de Rivadavia
Güeros Restaurante,,None Found,+52 222 247 2188,"Av. Miguel Hidalgo 101, Centro, 72760 San Andrés Cholula, Pue., México",Restaurante mexicano, 8a.m.,Cholula de Rivadavia
Sufrida Cholula,facebook.com,None Found,+52 222 669 7571,"5 de Mayo 607 esq, Av. 8 Pte., 72760 Pue., México",Bar restaurante, Abre a la 1p.m.,Cholula de Rivadavia
Recaudo,recaudo.com.mx,"Restaurante vegano sencillo con diferentes opciones de desayuno frescas, café, aperitivos y platos principales.",+52 221 349 8105,"C. 12 Pte. 105, San Juan Aquiahuac, 72810 San Andrés Cholula, Pue., México",Restaurante vegetariano, 8a.m.,Cholula de Rivadavia
Corazón de Jaguar,corazondejaguar.mx,None Found,+52 221 420 6629,"C. 14 Pte. 111-Int 1, San Juan Aquiahuac, 72810 San Andrés Cholula, Pue., México",Restaurante, 8a.m.,Cholula de Rivadavia
Restaurante Santa Elena Comedor Mexicano (Cholula),,None Found,+52 222 690 0958,"Calle 6 Nte., San Miguel, Barrio de San Miguel Tianguisnahuitl, 72760 San Miguel Tianguisnahuitl, Pue., México",Restaurante mexicano,,Cholula de Rivadavia
Mesón LAS MACETITAS,mesonlasmacetitas.com,None Found,+52 12227065921,"Av. 5 Pte. 330, Barrio de Sta Maria Xixitla, 72760 Cholula de Rivadavia, Pue., México",Restaurante mexicano, Abre a las 8:30a.m.,Cholula de Rivadavia
"Restaurant ""La Lunita""",,"Colorida fonda con bar en donde se sirven antojitos y especialidades mexicanas como mole, cecina y mariscos.",+52 222 247 0011,"Av. Morelos 419, San Miguel, Barrio de San Miguel Tianguisnahuitl, 72760 Cholula de Rivadavia, Pue., México",Restaurante mexicano, 8a.m.,Cholula de Rivadavia
Churrería Las Duyas Zócalo San Pedro Cholula,churrerialasduyas.com,None Found,+52 222 247 1689,"Portal Guerrero 15, Centro, 72760 Cholula de Rivadavia, Pue., México",Churrería, Abre a las 8:30a.m.,Cholula de Rivadavia
