Names,Website,Phone Number,Address,Type,Opens At,Municipio
Mi Tierra Restaurante,,+52 877 772 8040,"C. Morelos 495, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante, Abre a la 1p.m. del lun,Ciudad Acuña
Tierra Bendita,,+52 877 772 4243,"Calle Blvd. Adolfo López Mateos 405, Benito Juárez, 26215 Cd Acuña, Coah., México",Restaurante mexicano, Abre a las 9a.m.,Ciudad Acuña
Los Tacos Grill,lostacosgrill.com,+52 877 772 4041,"Calle V. Guerrero 1490, Sin Nombre de Colonia, San Andrés, 26260 Cd Acuña, Coah., México",Restaurante mexicano, Abre a las 8a.m.,Ciudad Acuña
Manuel's Restaurant,manuels-restaurant.com,+52 877 772 5915,"C. Morelos 130, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante, Abre a las 10a.m.,Ciudad Acuña
Siete Uno,facebook.com,+52 877 888 1149,"Calle V. Guerrero 1913, San Andrés, 26260 Cd Acuña, Coah., México",Restaurante, Abre a las 11a.m.,Ciudad Acuña
Lux Restaurante Bar Steak,,,"Corregidora 600, I, 26233 Cd Acuña, Coah., México",Restaurante, Abre a las 9a.m.,Ciudad Acuña
MARÍTIMO,,+52 877 116 4733,"Calle Galeana Ote 560A, Zona Centro, 26200 Cd Acuña, Coah., México",Marisquería, Abre a las 11a.m.,Ciudad Acuña
BARRA SANTA,es-la.facebook.com,+52 877 888 1812,"Miguel Hidalgo 290, Zona Centro, 26200 Cd Acuña, Coah., México",Bar, Abre a las 12p.m.,Ciudad Acuña
El cápitan,,+52 877 788 3066,"Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante, Cierra a las 9a.m. ,Ciudad Acuña
La Carnita Asada,,+52 877 107 1753,"Calle Blvd. Adolfo López Mateos 1615, Benito Juárez, 26215 Cd Acuña, Coah., México",Parrilla, Abre a las 12p.m.,Ciudad Acuña
El MARIACHI RESTAURANT,,+52 55 3008 9761,"Calle Ignacio Allende 1057, Zona Centro, 78840 Cd Acuña, Coah., México",Restaurante, Abre a las 8a.m.,Ciudad Acuña
Marte Social Club,,+52 877 112 2280,"Miguel Hidalgo 295, Zona Centro, 26200 Cd Acuña, Coah., México",Discoteca, Abre a las 2p.m.,Ciudad Acuña
Restaurant Bar Fama,restaurantbarfama.com,+52 877 888 1749,"Miguel Hidalgo 145, Zona Centro, 26200 Cd Acuña, Coah., México",Bar restaurante, Abre a las 12p.m.,Ciudad Acuña
Bull Bar Birria Quesadillas,,+52 877 772 4732,"Dulcería Morena, Calle Lerdo 890 sur esquina con Villaldamaa frente a, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante, Cierra a las 12p.m. ,Ciudad Acuña
RESTAURANTE DE MARISCOS LA HAZAÑA DEL MAR 1,facebook.com,+52 877 772 6330,"Calle V. Guerrero 170, Zona Centro, 26200 Cd Acuña, Coah., México",Marisquería, Abre a las 10:30a.m.,Ciudad Acuña
Mariscos el Bucanero y las Cazuelas Restaurante,,,"Calle Matamoros 430, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante,,Ciudad Acuña
Mariscos Lira,,+52 877 129 6230,"Benito Juárez, 26215 Cd Acuña, Coah., México",Marisquería, Abre a las 10a.m.,Ciudad Acuña
Chilakas Burger,,+52 877 789 1569,"Calle Blvd. Adolfo López Mateos 664, Benito Juárez, 26215 Cd Acuña, Coah., México",Hamburguesería, Abre a las 12p.m. del mié,Ciudad Acuña
El Asadero Bar & Grill,,+52 877 772 8835,"Calle V. Guerrero 1110, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante, Abre a las 12p.m.,Ciudad Acuña
Sushi Sushi,sushisushi.mx,+52 877 888 1888,"Calle Blvd. Adolfo López Mateos 1966, Benito Juárez, 26240 Cd Acuña, Coah., México",Restaurante japonés, Abre a las 12p.m.,Ciudad Acuña
Asadero De Mariscos Las Playas,facebook.com,+52 878 155 3848,"Avenida, Heroes de Nacozari 2105, 10 de Mayo, 26215 Cd Acuña, Coah., México",Marisquería, Abre a las 10a.m.,Ciudad Acuña
Hola,,,"C. 5 de Mayo 250, Benito Juárez, 26215 Cd Acuña, Coah., México",Restaurante especializado en pollo, Abre a las 9a.m.,Ciudad Acuña
Santo Remedio Cafe Restaurante,,+52 877 107 7723,"Calle Blvd. Adolfo López Mateos 1140 b, Benito Juárez, 26215 Cd Acuña, Coah., México",Restaurante, Abre a las 8a.m. del lun,Ciudad Acuña
Delicias Cielo Mar & Tierra,facebook.com,+52 877 773 2223,"Vito Alessio Robles 995, Linda Vista, 26236 Cd Acuña, Coah., México",Marisquería, Abre a las 10a.m.,Ciudad Acuña
MAYA Cocina + Mixologia,,+52 877 772 4257,"C. Capitan Leal 970, Benito Juárez, 26215 Cd Acuña, Coah., México",Restaurante, Abre a las 9a.m.,Ciudad Acuña
La Hazaña del Mar,,,"Heroes de Nacozari 620, Benito Juárez, 26215 Cd Acuña, Coah., México",Marisquería,,Ciudad Acuña
Antojitos Chavez,facebook.com,+52 877 101 7101,"Cuajimalpa, Calle Ignacio Aldama, El Sol, 26230 Cd Acuña, Coah., México",Restaurante, Abre a las 7a.m.,Ciudad Acuña
Cien Diez Hamburgesas,,+52 877 165 6759,"Obrera, 26236 Cd Acuña, Coah., México",Hamburguesería, Abre a las 12p.m.,Ciudad Acuña
El SACRA,,+52 877 772 9135,"Claveles Girasol 26248 Calle Claveles 175, 26248 Cd Acuña, Coah., México",Restaurante, Abre a las 8:30a.m.,Ciudad Acuña
PB Restaurant bar,,+52 877 888 0513,"Calle Matamoros 910, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante, Abre a las 9a.m.,Ciudad Acuña
Gioco's Eat And Play,,+52 877 772 4745,"C. Justo Sierra Sur 1120-1156, Zona Centro, 26200 Cd Acuña, Coah., México",Pizzería, Abre a las 12p.m.,Ciudad Acuña
110 Cien Diez Hamburguesas al Carbón,facebook.com,+52 877 888 0888,"C. Francisco I. Madero 465, Zona Centro, 26200 Cd Acuña, Coah., México",Hamburguesería, Abre a las 9a.m.,Ciudad Acuña
La Casa de los Chilaquiles,,+52 877 107 2510,"Carr Presa de la Amistad 490, Atilano Barrera, 26230 Cd Acuña, Coah., México",Restaurante, Abre a las 7:30a.m.,Ciudad Acuña
""" Las Fajitas"", Asadero",facebook.com,+52 877 772 3629,"Calle Lerdo 1055, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante mexicano, Abre a las 3p.m.,Ciudad Acuña
Elotes Fredy,,+52 877 793 6248,"Diego Rivera 310, Ácoros, 26237 Cd Acuña, Coah., México",Restaurante, Cierra a las 12p.m. ,Ciudad Acuña
Taquería El Pastor,,+52 877 772 6274,"Guerrero 340, Centro, 26200 Cd Acuña, Coah., México",Taquería, Cierra a las 12a.m.,Ciudad Acuña
La Parrilla Buffet & Bar,,+52 877 772 8000,"Calle Blvd. Adolfo López Mateos, Benito Juárez, 26215 Cd Acuña, Coah., México",Parrilla, Abre a las 8a.m.,Ciudad Acuña
EL TAPATIO,,,"C. Francisco I. Madero, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante mexicano, Abre a las 8a.m.,Ciudad Acuña
Las Wings,facebook.com,+52 877 888 0139,"C. Heroico Colegio Militar #380, 11 de Octubre, 26200 Cd Acuña, Coah., México",Restaurante americano, Abre a las 12p.m.,Ciudad Acuña
Laguna Restaurant,,+52 877 772 7001,"C. Francisco I. Madero 605, centro, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante,,Ciudad Acuña
Las Tias Chavez,,+52 877 115 4583,"C. Cobre 120, Las Américas, 26236 Cd Acuña, Coah., México",Restaurante mexicano, Abre a las 7a.m.,Ciudad Acuña
La hazaña del mar,,+52 7726330,"Las Américas, 26236 Cd Acuña, Coah., México",Marisquería, Abre a las 9a.m.,Ciudad Acuña
CAHUIL ACUÑA,,,"C. Reforma 194, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante, Abre a las 12p.m.,Ciudad Acuña
Don Triny,,+52 877 772 0900,"Calle Gral. Bravo 415, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante especializado en pollo, Abre a las 10a.m.,Ciudad Acuña
Las Cazuelas Restaurante,,+52 877 773 1898,"Lib. Emilio Mendoza Cisneros 18555, Las Américas, 26248 Cd Acuña, Coah., México",Restaurante, Abre a las 8:30a.m.,Ciudad Acuña
El Molino,,+52 877 773 9152,"Atilano Barrera, 26230 Río Bravo, Coah., México",Restaurante, Abre a las 8a.m.,Ciudad Acuña
MURO'S Restaurant,,+52 877 136 6043,"Miguel Hidalgo, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante, Abre a las 8a.m. del mar,Ciudad Acuña
Aderezos,,,"Benito Juárez, 26215 Cd Acuña, Coah., México",Restaurante,,Ciudad Acuña
LAS PLAYAS,,+52 877 772 6560,"Calle V. Guerrero, San Andrés, 26278 Cd Acuña, Coah., México",Restaurante mexicano, Abre a las 10a.m.,Ciudad Acuña
Hosteria Santa Martha,,+52 877 772 3800,"C. Lerdo 200 sur, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante mexicano,,Ciudad Acuña
Loncheria Vales,,+52 877 772 6324,"Calle Ignacio Allende 510, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante, Abre a las 9a.m.,Ciudad Acuña
Cafe Plaza,hvillareal.com,+52 877 772 7300,"Francisco Javier Mina, Zona Centro, 26200 Cd Acuña, Coah., México",Restaurante,,Ciudad Acuña
Crosby's Chicken,facebook.com,+52 877 190 4656,"Iturbide 1695, Francisco I. Madero, 26250 Cd Acuña, Coah., México",Restaurante, Abre a la 1p.m.,Ciudad Acuña
La Gringa da Treviño Castro,,+52 877 103 6618,"Av Sur Pte 805A, Sin Nombre de Col 13, 26236 Cd Acuña, Coah., México",Taquería,,Ciudad Acuña
Comidas Caseras Amistad,,,"26215, Calle Blvd. Adolfo López Mateos 700, Benito Juárez, Cd Acuña, Coah., México",Restaurante, Abre a las 8a.m. del lun,Ciudad Acuña
Danielotes,,+52 877 202 4898,"Lázaro Cárdenas, 26289 Cd Acuña, Coah., México",Restaurante occidental,,Ciudad Acuña
La Cocina,,+52 877 772 4650,"Calle Ignacio Allende 1305, El Porvenir, 26279 Cd Acuña, Coah., México",Restaurante, Abre a las 8a.m. del lun,Ciudad Acuña
