Names,Website,Phone Number,Address,Type,Opens At,Municipio
Delizzia,,+52 341 412 6666,"Av Reforma #96, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Cierra a las 10p.m.,Ciudad Guzmán
La Casona Restaurante,,+52 341 101 1861,"Av Reforma 46, Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a la 1p.m.,Ciudad Guzmán
A babor,facebook.com,+52 341 133 1212,"C. Federico del Toro 825, Mansiones del Real, 49010 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 12p.m.,Ciudad Guzmán
Ilustre Cocina & Cantina,facebook.com,+52 341 414 6801,"Calz Madero y Carranza 486, Ejidal, 49000 Cdad. Guzmán, Jal., México",Bar restaurante, Abre a la 1:30p.m.,Ciudad Guzmán
Deguzmán,grupodeguzman.com,+52 341 106 2107,"Calz Madero y Carranza 412, 16 de Septiembre, 49050 Cdad. Guzmán, Jal., México",Restaurante, Abre a la 1:30p.m.,Ciudad Guzmán
Tostadas Pepe,facebook.com,+52 341 412 5460,"Prisciliano Sánchez 8, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 9:30a.m.,Ciudad Guzmán
PM Concepto,linktr.ee,+52 341 412 0863,"Pascual Galindo Ceballos # 105, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Bar restaurante, Abre a las 8:30a.m.,Ciudad Guzmán
LAPSO - Matriz Ciudad Guzmán,lapso.mx,+52 341 412 1765,"Calle Gral. Lázaro Cárdenas del Rio 39, Centro, 49000 Cdad. Guzmán, Jal., México",Cafetería, Abre a las 8:30a.m.,Ciudad Guzmán
La Escondida,,+52 341 107 5649,"Calle Ignacio Allende 185, Villas de Calderón, 49000 Cdad. Guzmán, Jal., México",Restaurante, Cierra a las 12p.m. ,Ciudad Guzmán
Chicatana,chicatana.mx,+52 33 1091 8020,"Av. Cristóbal Colón 104, Zona Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 2p.m.,Ciudad Guzmán
Restaurante Quincho Parrilla Argentina,,+52 341 412 8765,"Av. Cristóbal Colón 213, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante argentino, Abre a las 8a.m.,Ciudad Guzmán
The Brunch Matriz Colón,,+52 341 180 9009,"Av. Cristóbal Colón 275, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 8a.m.,Ciudad Guzmán
La Mayor Ciudad Guzmán,instagram.com,+52 341 118 7897,"Av Constitucion 301, San Pedro, 49088 Cdad. Guzmán, Jal., México",Restaurante, Abre a las 12:30p.m.,Ciudad Guzmán
Cenaduría Amelia,,+52 341 412 0867,"C. Federico del Toro 598a, Cd Guzmán Centro, 49000 Cdad. Guzmán, Jal., México",Restaurante mexicano, Abre a las 7:30p.m.,Ciudad Guzmán
Pastiche,m.facebook.com,+52 341 413 8958,"Calz Madero y Carranza 473, Ejidal, 49070 Cdad. Guzmán, Jal., México",Restaurante, Abre a la 1:30p.m.,Ciudad Guzmán
