Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
El Lindero Madero Centro,,None Found,+52 833 575 4464,"CENTRO DE EVENTOS SE?ORIAL, Av. Álvaro Obregón SN-S, Primero de Mayo, 89450 Cd Madero, Tamps., México",Restaurante, Abre a las 7a.m.,Ciudad Madero
El Sauce Restaurante,fb.com,None Found,+52 833 186 7787,"Av. Tamaulipas 702, Héroe de Nacozari, 89520 Cd Madero, Tamps., México",Restaurante, Abre a las 6:30a.m.,Ciudad Madero
El Lindero 2,facebook.com,"Restaurante relajado en donde se sirven platillos abundantes de carnes y mariscos, con bar y un área de juegos para niños.",+52 833 215 5902,"Nayarit 400, Unidad Nacional, 89410 Cd Madero, Tamps., México",Restaurante mexicano, Abre a las 7a.m.,Ciudad Madero
Pipolos Suc.Madero,pipolos.com,"Comida mexicana y opciones internacionales a la carta, en paquetes o en bufé en un comedor básico y familiar.",+52 833 454 0000,"Av. Álvaro Obregón, Unidad Nacional, 89410 Cd Madero, Tamps., México",Restaurante mexicano, Abre a las 8a.m.,Ciudad Madero
El Negro De Ozuluama Calle 10 Madero,,None Found,+52 833 386 2652,"C. 10 308 Sur, Jardín 20 de Noviembre, 89440 Cd Madero, Tamps., México",Restaurante, Abre a las 8a.m.,Ciudad Madero
Los Faroles Madero,,None Found,+52 833 511 8082,"C. Sor Juana Inés de La Cruz 812, Lázaro Cárdenas, 89430 Cd Madero, Tamps., México",Restaurante, Abre a las 4:30p.m.,Ciudad Madero
Restaurante Catalino's,facebook.com,None Found,+52 833 215 5225,"Ramos Arizpe 1110, Vicente Guerrero, 89580 Cd Madero, Tamps., México",Marisquería, Abre a las 12p.m.,Ciudad Madero
"Restaurante de Mariscos ""El Flaco Madero""",,"Restaurante cómodo, luminoso y tranquilo con platos de mariscos de estilo familiar, además de cervezas y cocteles.",+52 833 459 9272,"C. Sor Juana Inés de La Cruz 105, Ricardo Flores Magón, 89460 Cd Madero, Tamps., México",Marisquería, Abre a las 12p.m.,Ciudad Madero
El Samborcito de Margot,,None Found,+52 833 359 6721,"Av Jalisco 146, Las Americas, 89420 Cd Madero, Tamps., México",Restaurante mexicano, Abre a las 8a.m.,Ciudad Madero
Antojitos mexicanos Sabor a mí,,None Found,+52 833 256 8266,"C. Revolución 401, Primero de Mayo, 89450 Cd Madero, Tamps., México",Restaurante mexicano, Abre a las 6p.m.,Ciudad Madero
Restaurante Vallejo Suc. Madero,,None Found,+52 833 259 9937,"Priv. 1º de Mayo 1807, Jardín 20 de Noviembre, 89440 Cd Madero, Tamps., México",Marisquería, Abre a las 11:30a.m.,Ciudad Madero
La Guarida del Puma,,None Found,+52 833 218 6014,"Pedro José Méndez 1102, Primero de Mayo, 89450 Cd Madero, Tamps., México",Restaurante mexicano, Abre a las 6p.m.,Ciudad Madero
El Maderense,elmaderense.com,None Found,+52 833 618 5639,"Durango 311, Zona Centro, 89400 Cd Madero, Tamps., México",Marisquería, Abre a las 12p.m.,Ciudad Madero
"""Las Sabrosas"" Restaurante",,None Found,+52 833 302 4627,"con, Boulevard Adolfo López Mateos, Prol. Primero de Mayo esq, Jardín 20 de Noviembre, 89440 Cd Madero, Tamps., México",Restaurante, Abre a las 8a.m.,Ciudad Madero
Restaurant-Bar Demar,,None Found,+52 833 216 1470,"C. Colombia 1404, Lázaro Cárdenas, 89430 Cd Madero, Tamps., México",Bar restaurante,,Ciudad Madero
Restaurante La Hacienda,,None Found,+52 833 399 9188,"Colima 216 sur esq, Nayarit, Unidad Nacional, 89410 Cd Madero, Tamps., México",Restaurante, Abre a las 12p.m.,Ciudad Madero
Stars & Cream Madero,starscream.mx,None Found,+52 833 215 5045,"Av. Álvaro Obregón 115 Sur, Zona Centro, 89400 Cd Madero, Tamps., México",Restaurante, Abre a las 7a.m.,Ciudad Madero
Los Antojitos de Frida,,None Found,+52 833 252 0280,"Tlaxcala 117, Unidad Nacional, 89417 Cd Madero, Tamps., México",Restaurante,,Ciudad Madero
Restaurante Marítimo,,None Found,+52 833 575 4406,"Republica de cuba 504 entre haiti y, Guayaquil, Ricardo Flores Magón, 89460 Cd Madero, Tamps., México",Restaurante, Abre a las 12:30p.m.,Ciudad Madero
La Casita,,None Found,,"89580, Honduras 310, Vicente Guerrero, 89580 Cd Madero, Tamps., México",Restaurante, Abre a las 8:30a.m. del lun,Ciudad Madero
Restaurante Juana Cata,,None Found,+52 888 739 0113,"Hotel Maeva Miramar, Blvd. Costero S/N, Playa Miramar, 89540 Cd Madero, Tamps., México",Restaurante mexicano,,Ciudad Madero
El Chachalaco,,None Found,+52 833 256 6942,"Av. Tamaulipas 3006, Miramar, 89540 Cd Madero, Tamps., México",Marisquería, Abre a las 11a.m.,Ciudad Madero
Antojitos Mexicanos Sabor A Mi Ampliación,facebook.com,None Found,+52 833 154 8922,"89510, 20 de Noviembre 100, Ampliacion Unidad Nacional, 89510 Cd Madero, Tamps., México",Restaurante, Abre a las 5:30p.m.,Ciudad Madero
La Reina de las Huastecas,,None Found,+52 833 175 1014,"13 de Enero 206, Zona Centro, 89400 Cd Madero, Tamps., México",Restaurante, Abre a las 8a.m.,Ciudad Madero
MAIZ - SABOR A CASA,,None Found,+52 833 532 6036,"5 de Mayo 200, Felipe Carrillo Puerto, 89450 Cd Madero, Tamps., México",Restaurante, Abre a las 9a.m. del lun,Ciudad Madero
Parrilla El Bisteck,,None Found,+52 833 568 1310,"4a. Avenida 605, Jardín 20 de Noviembre, 89440 Cd Madero, Tamps., México",Parrilla, Abre a las 5p.m.,Ciudad Madero
PARRILLA NUEVE 9,,None Found,+52 833 403 2881,"89440, C. 9 501, Jardín 20 de Noviembre, Cd Madero, Tamps., México",Parrilla, Abre a las 6a.m.,Ciudad Madero
La Casa del Buffet,,None Found,+52 833 133 1727,"Álvaro Obregón 305, Ampliacion Unidad Nacional, 89520 Cd Madero, Tamps., México",Restaurante, Abre a las 12p.m.,Ciudad Madero
Tortas Chencho,,None Found,+52 831 149 3212,"Av. Álvaro Obregón, Felipe Carrillo Puerto, 89430 Cd Madero, Tamps., México",Restaurante de desayunos, Abre a las 6:30a.m.,Ciudad Madero
Barra de Café Mi Lupe,,None Found,,"Av. Álvaro Obregón 118, Zona Centro, 89400 Cd Madero, Tamps., México",Restaurante,,Ciudad Madero
ENCHILADA HUASTECA Madero,,None Found,+52 833 105 6978,"Linares 103, Linares103, 89450 Cd Madero, Tamps., México",Restaurante, Abre a las 7a.m.,Ciudad Madero
La Restinga De Oro,,None Found,+52 833 511 1464,"C. Niños Héroes 108-d, Zona Centro, 89400 Cd Madero, Tamps., México",Marisquería, Abre a las 12p.m.,Ciudad Madero
Michelotes Madero,,None Found,+52 833 386 1194,"13 de Enero s/n, Zona Centro, 89400 Cd Madero, Tamps., México",Restaurante de comida rápida, Abre a las 3p.m.,Ciudad Madero
Lechuza's,,None Found,+52 833 688 2673,"Guillermo Prieto 200, Unidad Nacional, 89510 Cd Madero, Tamps., México",Restaurante, Abre a las 7a.m.,Ciudad Madero
