Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
El Bronco,m.facebook.com,Carnes asadas y recetas mexicanas en un comedor casual que tiene decoraciones campestres y ladrillo expuesto.,+52 644 413 3790,"C. Veracruz 236 Sur, Centro, 85000 Cdad. Obregón, Son., México",Restaurante especializado en filetes, Cierra a las 12a.m.,Ciudad Obregón
Mochomos,,None Found,+52 644 169 8049,"C. Veracruz 1002, Norte, Zona Nte, 85000 Cdad. Obregón, Son., México",Restaurante, Cierra a las 2a.m.,Ciudad Obregón
Los Arbolitos de Cajeme,mariscoslosarbolitos.com,None Found,+52 644 415 2936,"Calle Vicente Guerrero 321, Centro, 85000 Cdad. Obregón, Son., México",Marisquería, 11p.m. ,Ciudad Obregón
Mesón La Viña,,None Found,+52 644 199 0816,"Av. Miguel Alemán 541, Norte, Urb. No. 4, 85040 Cdad. Obregón, Son., México",Restaurante, Cierra a la 1a.m.,Ciudad Obregón
La Focacha,focacha.com,Rincón de barrio que ofrece pizzas al horno de leña y platillos italianos en un local íntimo y confortable.,+52 644 413 8900,"Av. Nainari 210-Local 3, Centro, 85000 Cdad. Obregón, Son., México",Restaurante, Cierra a las 11:30p.m.,Ciudad Obregón
Mr. Steak,facebook.com,"Cortes de carne y guarniciones internacionales en un espacio con candiles, vitrales y mesas de mantel rojo.",+52 644 413 3570,"Av. Miguel Alemán 568, Norte, Urb. No. 4, 85000 Cdad. Obregón, Son., México",Restaurante especializado en filetes, Cierra a las 12a.m.,Ciudad Obregón
Las Brasas Kaktus & Steak,,None Found,+52 644 226 5561,"Av. José María Morelos y Pavón 352, Norte, Cajeme, 85000 Cdad. Obregón, Son., México",Restaurante familiar, Cierra a las 12a.m.,Ciudad Obregón
La Palapa del Bucanero,,None Found,+52 644 412 3030,"Blvd. Rodolfo Elías Calles 1105, Cajeme, 85150 Cdad. Obregón, Son., México",Marisquería,,Ciudad Obregón
Restaurante La Cecina de Plano Oriente,facebook.com,None Found,+52 644 414 4145,"C. Constitución 231, Benito Juárez, 85060 Cdad. Obregón, Son., México",Restaurante especializado en filetes, 11p.m. ,Ciudad Obregón
Patio Food Garden,,None Found,+52 644 169 0158,"Calle Yaqui, Calle Nte., Urb. No. 4, 85000 Cdad. Obregón, Son., México",Pizzería, Cierra a las 12:10a.m.,Ciudad Obregón
Mariscos Obregón,,None Found,+52 644 179 0638,"Calle Lat. Kino 525, Itson, 85130 Cdad. Obregón, Son., México",Marisquería, Abre a las 9a.m. del dom,Ciudad Obregón
Dos Cielos,,None Found,+52 644 413 0486,"C. Veracruz 477, Norte, Urb. No. 4, 85000 Cdad. Obregón, Son., México",Restaurante, Abre a las 7a.m. del dom,Ciudad Obregón
Mal Del Puerco,facebook.com,None Found,+52 644 136 2040,"C. Durango 139, Centro, Urb. No. 3, 85000 Cdad. Obregón, Son., México",Restaurante, Cierra a las 12a.m.,Ciudad Obregón
Café Bibi Restaurante,,None Found,+52 644 414 9037,"C. Sonora 149, Centro, Fundo Legal, 85000 Cdad. Obregón, Son., México",Restaurante, Abre a las 7a.m. del dom,Ciudad Obregón
Las Delicias restaurant,antojitoslasdelicias.com.mx,None Found,+52 644 414 0607,"Calle Allende 200 Esquina con, C. Durango, Centro, 85000 Cdad. Obregón, Son., México",Restaurante mexicano, Abre a las 12p.m. del dom,Ciudad Obregón
Cecina Sonorense,,None Found,+52 644 415 3953,"Av. Miguel Alemán 152, Centro, Fundo Legal, 85000 Cdad. Obregón, Son., México",Restaurante, Cierra a la 1a.m.,Ciudad Obregón
La Hacienda del Padre,,None Found,+52 644 413 3635,"Calle Chihuahua 177-123, Centro, Fundo Legal, 85000 Cdad. Obregón, Son., México",Restaurante mexicano, Abre a las 7a.m. del dom,Ciudad Obregón
Sofía's Casa Brunch,facebook.com,None Found,+52 644 104 1692,"C. Veracruz 359, Norte, Urb. No. 4, 85000 Cdad. Obregón, Son., México",Restaurante de brunch, Abre a las 8a.m. del dom,Ciudad Obregón
