Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Rincón Huasteco,,None Found,+52 481 382 0368,"Blvd, Lázaro Cárdenas 309, Loma Bonita, 79020 Cdad. Valles, S.L.P., México",Restaurante mexicano, Abre a las 11a.m.,Ciudad Valles
Restaurante La Leyenda,facebook.com,None Found,+52 481 381 9231,"Morelos 323, Zona Centro, 79000 Cdad. Valles, S.L.P., México",Restaurante, Abre a las 8a.m.,Ciudad Valles
Restaurante Mar y tierra,,None Found,+52 481 113 9930,"Blvd. Mexico - Laredo 47, Rotarios, 79080 Cdad. Valles, S.L.P., México",Restaurante, Cierra a las 10p.m.,Ciudad Valles
Restaurante Monalé,,None Found,+52 481 382 0016,"Blvd. Mexico - Laredo 47, Rotarios, 79080 Cdad. Valles, S.L.P., México",Restaurante,,Ciudad Valles
Mariscos Nava,,None Found,+52 481 133 8749,"Av. México 44, Doracely, 79020 Cdad. Valles, S.L.P., México",Marisquería, Abre a las 11a.m.,Ciudad Valles
La Fundacion de Valles,facebook.com,None Found,+52 481 383 2457,"C. B. Juárez 312, Zona Centro, 79000 Cdad. Valles, S.L.P., México",Restaurante, Abre a las 7a.m.,Ciudad Valles
Papachos Cd Valles,,None Found,+52 481 381 3344,"Blvd. Mexico - Laredo 999, Moctezuma, 79058 Cdad. Valles, S.L.P., México",Restaurante,,Ciudad Valles
El Café De María,el-cafe-de-maria.ueniweb.com,None Found,+52 481 382 1289,"Boulevard y, Niños Heroes 622, Rotarios, Cdad. Valles, S.L.P., México",Restaurante mexicano, Abre a las 8:40a.m.,Ciudad Valles
Restaurant Los Caporales,,None Found,+52 481 382 1319,"General Lázaro Cárdenas nº 213, Cuauhtémoc, 79033 Cdad. Valles, S.L.P., México",Restaurante mexicano, Abre a las 8a.m.,Ciudad Valles
Laca Laca Restaurante,facebook.com,None Found,+52 481 381 1122,"Blvd. Mexico - Laredo 1212, Lomas Poniente, 79099 Cdad. Valles, S.L.P., México",Restaurante mexicano, Abre a las 7a.m.,Ciudad Valles
La Troje,restaurantelatroje.com,None Found,+52 481 381 6844,"Blvd. Mexico - Laredo 26, Centro, 79000 Cdad. Valles, S.L.P., México",Restaurante, Abre a las 7a.m.,Ciudad Valles
Restaurante Bar El Wacal,,None Found,+52 481 382 3537,"79000 527A, C. B. Juárez, Zona Centro, 79000 Cdad. Valles, S.L.P., México",Bar restaurante, Abre a la 1p.m.,Ciudad Valles
La Nueva Cabaña Del Quijote,,None Found,+52 481 381 4877,"Blvd. Mexico - Laredo 44, Zona Centro, 79000 Cdad. Valles, S.L.P., México",Restaurante, Abre a las 12p.m.,Ciudad Valles
La Borrasca,facebook.com,None Found,+52 481 381 0329,"Manuel José Othón 6-A, Obrera, 79050 Cdad. Valles, S.L.P., México",Restaurante,,Ciudad Valles
