Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante Don Jorge,donjorge.com.mx,None Found,+52 834 316 0366,"Av Tamaulipas 1100, Las Huertas, 87025 Cdad. Victoria, Tamps., México",Restaurante mexicano, Cierra a la 1a.m.,Ciudad Victoria
El Rinconcito,facebook.com,None Found,+52 834 271 6444,"Manuel González 1338, San Francisco, 87050 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 8a.m. del lun,Ciudad Victoria
Restaurante Don Elías,,None Found,+52 834 315 5156,"Calle Benito Juárez 650, Centro, 87000 Cdad. Victoria, Tamps., México",Restaurante mexicano, Abre a las 7a.m. del lun,Ciudad Victoria
Mesón Del Valle,,None Found,+52 834 186 3444,"14 y 15 Berriozábal # 306 L-5 y 6, Cdad. Victoria, Tamps., México",Restaurante, Abre a las 8a.m. del dom,Ciudad Victoria
Restaurante El Eden,facebook.com,None Found,+52 834 149 5272,"Av José Sulaiman Chagnon 2150 Colonia, Lic Benito Juárez, 87093 Cdad. Victoria, Tamps., México",Restaurante,,Ciudad Victoria
Restaurante Bar Las Gambas,,None Found,+52 834 316 2134,"Chihuahua 1002, San José, 87040 Cdad. Victoria, Tamps., México",Restaurante, Cierra a las 2a.m.,Ciudad Victoria
Restaurante El Capricho,facebook.com,None Found,+52 834 267 1288,"Francisco I. Madero #586, Manuel Doblado Esq-1, Zona Centro, 87000 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 8a.m. del dom,Ciudad Victoria
RUNWAYSS,instagram.com,None Found,+52 834 112 7999,"Cárdenas 1334, Los Arcos, 87040 Cdad. Victoria, Tamps., México",Restaurante, 12a.m. ,Ciudad Victoria
Restaurant Jalisco,restaurantjalisco.mx,None Found,+52 834 305 2005,"Veracruz 1534 Con calle 14 esquina San Francisco, 87050 Cdad. Victoria, Tamps., México",Restaurante mexicano, Abre a las 12p.m. del dom,Ciudad Victoria
Las Viandas,lasviandas.com,Menú mexicano que incluye guisados y comida corrida en un sitio informal y relajado con ventanas grandes.,+52 834 316 7767,"Blvd. Fidel Velazquez 1310 Nte, Residencial las Palmas, 87050 Cdad. Victoria, Tamps., México",Restaurante mexicano, Abre a las 6a.m. del lun,Ciudad Victoria
La Clotilde Cocina de Mexico,,None Found,+52 834 315 5555,"Sonora 2002-D, San José, 87040 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 8:30a.m. del dom,Ciudad Victoria
Restaurante Don Elías,,None Found,+52 834 110 0627,"Zacatecas 938, Las Huertas, 87020 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 7a.m. del lun,Ciudad Victoria
Plaza Gallo,plazagallo.com,None Found,+52 834 316 4990,"Hermanos Vázquez Gómez 1054, Residencial Selectas, 87000 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 8a.m. del lun,Ciudad Victoria
El Granero Victoria,elgranerorestaurante.com,None Found,+52 834 316 9850,"Calle, Gaspar de la Garza #807, 87000 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 12p.m. del dom,Ciudad Victoria
La Corte,,None Found,+52 834 314 4848,"Gaspar de la Garza 2120, San José, 87040 Cdad. Victoria, Tamps., México",Restaurante, 12a.m. ,Ciudad Victoria
Botanero 7 Leyes,linktr.ee,None Found,+52 834 112 2987,"Av Tamaulipas, Los Arcos, 87040 Cdad. Victoria, Tamps., México",Restaurante mexicano, Cierra a la 1a.m.,Ciudad Victoria
El Pescadito Restaurante Grill & Bar,,None Found,,"Lib. Guadalupe Victoria S\N, Área Pajaritos, 87089 Cdad. Victoria, Tamps., México",Marisquería,,Ciudad Victoria
Gorditas La Especial,,None Found,+52 834 313 7550,"Blvd. Fidel Velazquez entre Guerrero y Bravo, Tamaulipas, 87090 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 7a.m. del dom,Ciudad Victoria
El Rincón del Chef,,None Found,+52 834 530 4195,"C. 16 Norberto Treviño Zapata 1312, San Francisco, 87050 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 8a.m. del dom,Ciudad Victoria
Super Cream,,None Found,+52 834 688 4800,"BOULEVARD TAMAULIPAS 2275 L-27 FRACC, Los Arcos, 87040 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 7a.m. del dom,Ciudad Victoria
Mi Casa Restaurante Hogareño.,,None Found,+52 834 314 6289,"15, Manuel González 2536, Norberto Treviño Zapata, 87020 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 7a.m. del lun,Ciudad Victoria
"Restaurante ""La Huerta""",facebook.com,None Found,+52 834 150 3820,"A media cuadra de UVM y Casa del arte, Vicente Guerrero 911 - A, Zona Centro, 87000 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 9a.m. del dom,Ciudad Victoria
Prana La Piazzetta Italiana,prana.swi.mx,None Found,+52 834 316 5278,"Chihuahua 963 A Fracc, San José, 87040 Cdad. Victoria, Tamps., México",Restaurante italiano, Abre a la 1p.m. del dom,Ciudad Victoria
Muela's Steak House & Wine,,None Found,+52 834 184 0791,"Boulevard Tamaulipas Local C5232, Las Huertas, 87025 Cdad. Victoria, Tamps., México",Restaurante especializado en filetes, Abre a la 1p.m. del dom,Ciudad Victoria
Top Wings,,None Found,+52 834 316 1111,"Carretera Victoria - Monterey, Residencial Cabañas de Victoria, 87025 Cdad. Victoria, Tamps., México",Restaurante de alas de pollo, Cierra a la 1a.m.,Ciudad Victoria
108 café,facebook.com,None Found,+52 834 315 5768,"Calle Francisco I. Madero 237, Zona Centro, 87000 Cdad. Victoria, Tamps., México",Restaurante vegetariano, Abre a las 9a.m. del dom,Ciudad Victoria
La Cocherita Bien Brasa,bienbrasa.com,None Found,+52 834 138 5088,"87020, Emiliano P. Nafarrete 3013, Valle de Aguayo, 87020 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 8a.m. del dom,Ciudad Victoria
Los Magueyes,,None Found,+52 834 310 0308,"Lauro Aguirre 174, Zona Centro, 87000 Cdad. Victoria, Tamps., México",Restaurante mexicano, Abre a las 8a.m. del lun,Ciudad Victoria
La Casa de las Tías,,None Found,+52 834 148 8999,"Ignacio Allende 110-111, Zona Centro, 87000 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 8a.m. del lun,Ciudad Victoria
Mariscos Vitamar,,None Found,+52 834 312 6229,"Calle 11, Mariano Matamoros 631, Centro, 87000 Cdad. Victoria, Tamps., México",Marisquería, Abre a las 10a.m. del dom,Ciudad Victoria
Inicio asadas los antojitos carnes y mariscos,,None Found,+52 834 312 7977,"1, Blvd. José López Portillo col, marinero, 87100 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 10a.m. del dom,Ciudad Victoria
MR BROWN CD VICTORIA,mrbrown.pidedirecto.mx,None Found,+52 834 110 9381,"Av Tamaulipas 3228-H, Fraccionamiento del Valle, 87025 Cdad. Victoria, Tamps., México",Restaurante americano, Abre a las 12p.m. del dom,Ciudad Victoria
Sierra Santa Restaurante,linktree.com,None Found,+52 834 211 5919,"Blvrd Las Palmas 1003, Residencial Cabañas de Victoria, 87025 Cdad. Victoria, Tamps., México",Restaurante, Cierra a la 1a.m.,Ciudad Victoria
SOLISEÑO,,None Found,+52 834 185 5575,"ESQUINA, BERRIOZABAL, Calle Ascensión Gómez 1360 A, Residencial Selectas, 87050 Cdad. Victoria, Tamps., México",Marisquería, Abre a las 11a.m. del dom,Ciudad Victoria
"La Panga de Nico, Victoria",lapangadenico.com,None Found,+52 834 316 9599,"Blvd. Tamaulipas 3228 LOC. A y B, Valle aztlan, 87029 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 12p.m. del dom,Ciudad Victoria
El Cairo Restaurante,facebook.com,None Found,+52 834 316 4542,"Aldama 704, Centro, 87000 Cdad. Victoria, Tamps., México",Restaurante libanés, Abre a la 1p.m. del dom,Ciudad Victoria
Sora,,None Found,+52 834 316 9720,"Zacatecas, Valle de Aguayo, 87020 Cdad. Victoria, Tamps., México",Restaurante de sushi, Abre a las 12p.m. del dom,Ciudad Victoria
Las Marikekas,,None Found,+52 834 314 4156,"Calle Gral. L. Valle Nte. 812, Centro, 87050 Cdad. Victoria, Tamps., México",Restaurante mexicano, Abre a las 7:30a.m. del dom,Ciudad Victoria
La Norteñita,,None Found,+52 834 110 2600,"Boulevard Tamaulipas, Aztlán No.3228-Local 9, 87025 Cdad. Victoria, Tamps., México",Restaurante mexicano, Abre a las 8a.m. del dom,Ciudad Victoria
El Establo Cerveza Y Grill,,None Found,+52 834 160 7992,"Calle Coahuila 966 L 22 y 23 esquina con Cristobal Colón Plaza San José, Fracc, San José, 87040 Cdad. Victoria, Tamps., México",Parrilla, Abre a las 8a.m. del dom,Ciudad Victoria
La burrera,,None Found,+52 834 139 7462,"Felipe Berriozabal Entre Mier y Terán, 20 de Noviembre y, 87048 Cdad. Victoria, Tamps., México",Restaurante, Abre a las 2:30p.m. del dom,Ciudad Victoria
