Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Balcón del Zócalo,balcondelzocalo.com,"Restaurante refinado que ofrece cocteles creativos, platos regionales y una terraza con vista a la ciudad.",+52 55 5130 5134,"Av. 5 de Mayo 61, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",Restaurante mexicano, Cierra a las 11p.m.,Ciudad de México
Restaurante El Cardenal,restauranteelcardenal.com,"Casona elegante donde se sirve un vasto menú tradicional mexicano con queso, pan y tortillas hechos en casa.",+52 55 5521 3080,"C. de la Palma 23, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",Restaurante mexicano, 6:30p.m. ,Ciudad de México
Ling Ling by Hakkasan,linktr.ee,"Local sofisticado en un rascacielos con terraza, donde se sirve comida asiática, sushi y cocteles.",+52 55 3279 9204,"Av. P.º de la Reforma 509-Piso 56, Cuauhtémoc, 06500 Ciudad de México, CDMX, México",Restaurante, Cierra a las 12a.m.,Ciudad de México
Ling Ling by Hakkasan,linktr.ee,"Local sofisticado en un rascacielos con terraza, donde se sirve comida asiática, sushi y cocteles.",+52 55 3279 9204,"Av. P.º de la Reforma 509-Piso 56, Cuauhtémoc, 06500 Ciudad de México, CDMX, México",Restaurante, Cierra a las 12a.m.,Ciudad de México
Limosneros,limosneros.com.mx,"Restaurante con interior rústico de piedra, donde se sirve comida mexicana con toques creativos, además de mezcal artesanal.",+52 55 5521 5576,"Pje. Allende 3, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, México",Restaurante mexicano, Cierra a las 10p.m.,Ciudad de México
Limosneros,limosneros.com.mx,"Restaurante con interior rústico de piedra, donde se sirve comida mexicana con toques creativos, además de mezcal artesanal.",+52 55 5521 5576,"Pje. Allende 3, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, México",Restaurante mexicano, Cierra a las 10p.m.,Ciudad de México
Azul Histórico,azul.rest,Un espacio clásico con terraza grande en un edificio histórico que sirve alta gastronomía de México.,+52 55 5510 1316,"Isabel La Católica 30, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",Restaurante mexicano, Cierra a las 11:30p.m.,Ciudad de México
Restaurante Les Moustaches,lesmoustaches.com.mx,"Restaurante de lujo de 1974, ubicado en una mansión, donde se sirven vinos y comida francesa ecléctica.",+52 55 5533 3390,"Río Sena 88 Entre Paseo dela Reforma, C. Río Lerma y, Cuauhtémoc, 06500 Ciudad de México, CDMX, México",Restaurante francés,,Ciudad de México
El Mayor,elmayor.com.mx,Lugar luminoso con gastronomía mexicana elegante y una terraza con vista a la Catedral Metropolitana.,+52 55 5704 7580,"República de Argentina 15, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, México",Restaurante mexicano, 6:30p.m. ,Ciudad de México
El Bajío Centro Histórico,restauranteelbajio.com.mx,None Found,+52 55 5521 4376,"Simón Bolívar 14, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06080 Ciudad de México, CDMX, México",Restaurante mexicano,,Ciudad de México
El Bajío Centro Histórico,restauranteelbajio.com.mx,None Found,+52 55 5521 4376,"Simón Bolívar 14, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06080 Ciudad de México, CDMX, México",Restaurante mexicano,,Ciudad de México
Diana Restaurant,marriott.com,Gran fuente monumental con estatua de la diosa Diana disparando una flecha.,+52 55 5228 1888,"Av. P.º de la Reforma 439, Cuauhtémoc, 06500 Ciudad de México, CDMX, México",Restaurante mexicano, Cierra a las 11p.m.,Ciudad de México
Carmela y Sal,carmelaysal.mx,Restobar cosmopolita especializado en cócteles creativos y cocina tradicional refinada.,+52 55 2077 7107,"Torre Virreyes, Pedregal 24, Lomas - Virreyes, Molino del Rey, Miguel Hidalgo, 11040 Ciudad de México, CDMX, México",Restaurante mexicano, Cierra a las 11:30p.m.,Ciudad de México
Carmela y Sal,carmelaysal.mx,Restobar cosmopolita especializado en cócteles creativos y cocina tradicional refinada.,+52 55 2077 7107,"Torre Virreyes, Pedregal 24, Lomas - Virreyes, Molino del Rey, Miguel Hidalgo, 11040 Ciudad de México, CDMX, México",Restaurante mexicano, Cierra a las 11:30p.m.,Ciudad de México
Pujol,pujol.com.mx,Cocina mexicana de autor con productos locale en un lugar pequeño y minimalista con ambiente tranquilo.,+52 55 5545 4111,"Tennyson 133, Polanco, Polanco IV Secc, Miguel Hidalgo, 11570 Ciudad de México, CDMX, México",Restaurante mexicano, Cierra a las 9:30p.m.,Ciudad de México
Zéfiro,,None Found,+52 55 5709 7983,"San Jerónimo 24, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",Restaurante mexicano, 6p.m. ,Ciudad de México
