Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurant El Trocadero,,"Un restaurante elegante que ofrece carnes asadas, recetas mexicanas e internacionales y una amplia cava.",+52 921 212 3670,"Av. Paseo Miguel Aleman 509, Centro, 96400 Coatzacoalcos, Ver., México",Restaurante mexicano, Abre a la 1p.m.,Coatzacoalcos
Mr. Pampas Coatzacoalcos,mrpampas.com,None Found,+52 921 191 1072,"Pintores Mexicanos 17, Col. Paraíso, 96520 Coatzacoalcos, Ver., México",Restaurante brasileño, Abre a las 12p.m.,Coatzacoalcos
La Flor del Istmo,laflordelistmo.com,None Found,,"Blvrd Manuel Ávila Camacho 100, Centro, 96400 Coatzacoalcos, Ver., México",Restaurante mexicano, Abre a las 8a.m.,Coatzacoalcos
Mediterráneo,mediterraneoctz.com,None Found,+52 921 214 8785,"John Spark 1101, Maria de la Piedad, 96410 Coatzacoalcos, Ver., México",Restaurante familiar,,Coatzacoalcos
La Quinta,facebook.com,None Found,+52 921 315 1477,"Av Miguel A. Quevedo 2609, Puerto Mexico, 96510 Coatzacoalcos, Ver., México",Restaurante,,Coatzacoalcos
La Taberna del Bohemio,,None Found,+52 921 217 6250,"Av.Francisco I Madero 2400, Puerto Mexico, 96510 Coatzacoalcos, Ver., México",Restaurante,,Coatzacoalcos
La Picadita Jarocha Sucursal Malecón,lapicaditajarocha.com,Espacioso restaurante casual especialista en antojitos veracruzanos como memelas y comidas corridas.,+52 921 213 7072,"Malecón 2407, Petroquimica, 96510 Coatzacoalcos, Ver., México",Restaurante mexicano, Abre a las 8a.m.,Coatzacoalcos
Madison Grill Coatzacoalcos,madisongrill.mx,None Found,+52 921 688 4349,"Av. Universidad Veracruzana #122, Plaza Teatro, Local PA103, Predio el Encanto, 96538 Coatzacoalcos, Ver., México",Parrilla, Abre a la 1p.m.,Coatzacoalcos
Restaurante Rancho Viejo,,None Found,+52 921 243 0240,"Blvd. John Sparks 1018, Col. Ma. De la Puedad, 96410 Coatzacoalcos, Ver., México",Bar restaurante, Abre a la 1p.m.,Coatzacoalcos
Restaurante Piquitos y Brazao,,"Restaurante familiar decorado con peceras en donde se ofrece un cuidado menú de pescados, mariscos y carnes.",+52 921 212 5215,"Av. Ignacio Allende 1202, Centro, 96400 Coatzacoalcos, Ver., México",Restaurante, Abre a las 12p.m.,Coatzacoalcos
Hermanos Hidalgo Carrion,,"Sencillo comedor con ambiente informal en donde se ofrecen cocteles de mariscos, paella valenciana y carnes.",+52 921 214 3992,"Av.Francisco I Madero 1428, Maria de la Piedad, 96410 Coatzacoalcos, Ver., México",Marisquería, Abre a las 10a.m.,Coatzacoalcos
Restaurante La Perlita,,None Found,+52 921 212 8095,"Blvrd Manuel Ávila Camacho 112, Centro, 96400 Coatzacoalcos, Ver., México",Marisquería, Abre a las 8a.m.,Coatzacoalcos
La Picadita Jarocha Sucursal Centro,lapicaditajarocha.com,"Restaurante de ambiente fresco que ofrece comida corrida, antojitos mexicanos y especialidades de Veracruz.",+52 921 212 1386,"Av Miguel Hidalgo 600, Centro, 96400 Coatzacoalcos, Ver., México",Restaurante mexicano, Abre a las 8a.m.,Coatzacoalcos
