Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Las Brasas,facebook.com,Sitio refinado pero relajado con terraza y música de mariachis que sirve parrilladas y cocina mexicana.,+52 312 323 4386,"Carretera, Autopista Guadalajara - Colima 1150, Puerta Paraíso, 28018 Colima, Col., México",Restaurante especializado en filetes, Abre a la 1p.m.,Colima
El Charco de la Higuera,facebook.com,"Restaurante sencillo con una terraza, que ofrece comida regional tradicional en un entorno cálido.",+52 312 313 0192,"C. Prol 5 de Mayo S/N, Centro, 28000 Colima, Col., México",Restaurante mexicano, Abre a las 8a.m.,Colima
Colima Capital,facebook.com,None Found,+52 312 315 2318,"Av. Constitución 2081, Puerta del Sol, 28017 Colima, Col., México",Restaurante mexicano, Abre a las 2p.m.,Colima
Chepe Parrilla de Barrio,chepeparrilla.com,None Found,+52 312 308 1395,"Av La Paz 122, Sta Bárbara, 28017 Colima, Col., México",Restaurante argentino, Abre a las 2p.m.,Colima
Colima de mis Amores Restaurante,facebook.com,None Found,+52 312 688 2266,"Calle Ignacio Sandoval 1890, Las Pergolas, Real Vista Hermosa, 28018 Colima, Col., México",Restaurante, Abre a las 8a.m.,Colima
La Tostada y la Guayaba,tostadaguayabar.com.mx,None Found,+52 312 323 6000,"Arcadio Zúñiga 615, Lomas Vista Hermosa, 28010 Colima, Col., México",Restaurante, Abre a la 1:30p.m.,Colima
Chile Amor,chileamor.com,None Found,+52 312 339 5682,"C. Prol 5 de Mayo 49, Centro, 28000 Colima, Col., México",Restaurante mexicano, Abre a las 8a.m. del lun,Colima
Los Naranjos Campestre,facebook.com,Un espacio íntimo y abierto decorado en blanco con terraza grande que ofrece comida mexicana en buffet.,+52 312 312 8390,"Av. Constitución 750, Lomas de Circunvalación, 28010 Colima, Col., México",Restaurante mexicano, Abre a las 8a.m.,Colima
Carnes Asadas Muñoz,,None Found,+52 312 313 4044,"Av. Constitución 761, Lomas Vista Hermosa, 28016 Colima, Col., México",Restaurante mexicano, Abre a las 12p.m.,Colima
Portobivo,portobivo.com,"Terraza rodeada de árboles con ambiente informal que ofrece pastas, ensaladas y carne a la parrilla.",+52 312 330 5947,"Avenida Venustiano Carranza 1661, Esmeralda, 28017 Colima, Col., México",Restaurante mediterráneo, Abre a las 2p.m.,Colima
LA FINCA DEL BARRIO,,None Found,+52 312 159 2023,"Blvrd Camino Real 549, José María Morelos, 28017 Colima, Col., México",Restaurante,,Colima
Café La Buena Vida - Café de especialidad y panadería artesanal,labuenavidacolima.com,None Found,+52 312 323 4018,"C. 27 de Septiembre 1402, Jardines Vista Hermosa III, 28017 Colima, Col., México",Cafetería, Abre a las 8a.m.,Colima
El Trebol,,None Found,+52 312 312 2900,"16 de Septiembre 52, Centro, 28000 Colima, Col., México",Restaurante mexicano, Abre a las 8a.m.,Colima
La Casa de Piedra,facebook.com,None Found,+52 312 180 0255,"Av. Puerta Paraiso Norte 1, Puerta Paraíso, 28010 Colima, México",Restaurante, Abre a las 8a.m.,Colima
Terraza Trapiche,m.facebook.com,None Found,+52 312 244 8380,"Portal, Medellín 11, Centro, 28000 Colima, Col., México",Restaurante, Abre a las 6p.m.,Colima
Mahalo,,"Recetas mexicanas del mar y de la tierra en una palapa con cocina abierta, techo alto y servicio al bar.",+52 312 690 7426,"Calle Ignacio Sandoval 1935, Paseo de La Cantera, Lomas Vista Hermosa, 28017 Colima, Col., México",Marisquería, Abre a las 11a.m.,Colima
Coordenada 9,,None Found,+52 312 315 3333,"P.º Miguel de la Madrid Hurtado 164, Residencial Esmeralda Nte., 28017 Colima, Col., México",Marisquería, Abre a las 12p.m.,Colima
Barrio de Quilmes,,None Found,+52 312 323 5445,"Manuel Payno 502, Jardines Vista Hermosa III, 28017 Colima, Col., México",Restaurante argentino, Abre a las 2p.m.,Colima
AH QUE NANISHE,menu.nanishe.com,None Found,+52 312 314 2197,"C. Prol 5 de Mayo #267, Centro, 28000 Colima, Col., México",Restaurante, Abre a las 10a.m.,Colima
Panorama Rooftop - Colima,panoramarestaurante.mx,None Found,+52 312 155 2011,"Portal, Medellín 12, Centro, 28000 Colima, Col., México",Restaurante, Abre a las 6p.m.,Colima
Cumparsita,facebook.com,None Found,+52 312 330 0010,"Av. Constitución 2080, Puerta del Sol, 28017 Colima, Col., México",Restaurante, Abre a la 1:30p.m.,Colima
El mal del puerco,,None Found,+52 312 323 6244,"Av. Constitución 2075, Puerta del Sol, 28017 Colima, Col., México",Restaurante americano, Abre a las 2p.m.,Colima
"Santa María, Cocina Colimota",santamariacocina.com,None Found,+52 312 323 5907,"Av. Constitución 2008-Local 1, Lomas Verdes, 28017 Colima, Col., México",Restaurante mexicano, Abre a la 1p.m.,Colima
La Lola Fonda de Mar,,None Found,+52 312 315 2271,"Av. Constitución 2142, Los Olivos, 28017 Colima, Col., México",Marisquería, Abre a las 12:30p.m.,Colima
La Jiménez,facebook.com,None Found,+52 312 314 9893,"C. Jiménez 81, La Merced, 28070 Colima, Col., México",Restaurante mexicano, Cierra a las 11a.m.,Colima
Origen Latino Restaurante,,None Found,+52 312 180 2273,"C. José G. Alcaraz 1625, Real Vista Hermosa, 28017 Colima, Col., México",Bar restaurante, Abre a las 8a.m.,Colima
