Names,Website,Phone Number,Address,Type,Opens At,Municipio
Mar y Tierra,restaurantmarytierra.com.mx,+52 963 632 3653,"Chiapas 226, Chichima Concepción, Salubridad, 30093 Comitán de Domínguez, Chis., México",Restaurante mexicano, Cierra a las 10p.m.,Comitán de Domínguez
Camino Secreto Comida Regional,,+52 963 632 5863,"Av. Primera Pte. Nte. 48, Guadalupe, 30020 Comitán de Domínguez, Chis., México",Restaurante mexicano, Abre a las 9a.m.,Comitán de Domínguez
Sabores de Comitán,facebook.com,+52 963 101 3981,"esquina con, Octava Calle Sur Pte., San Sebastián, 30029 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 5:30p.m.,Comitán de Domínguez
Garden House Comitan,m.facebook.com,+52 963 124 0243,"3a Calle Sur Oriente #1110 Barrio La, Pilita Seca, 30030 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 8:30a.m.,Comitán de Domínguez
"La Casa De Los Cortes ""Piensa en Mi""",,+52 961 603 4214,"Central Ote., Linda Vista María Guadalupe, 30017 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 9a.m.,Comitán de Domínguez
1813 Cocina Mexicana,,+52 963 168 6824,"30029, Microondas, 30029 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 9a.m.,Comitán de Domínguez
Restaurant Comitan Lindo Y Que Rico,,+52 963 632 8404,"Boulevard de la Federación s/n, Belisario Domínguez Primera Secc, 30040 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 9a.m.,Comitán de Domínguez
"Restaurante Regional ""Doña Chelo""",,+52 963 632 0894,"4a. Pte. Sur, Guadalupe, 30020 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 8a.m.,Comitán de Domínguez
Restaurante Cancún,,+52 963 109 5751,"Av. Primera Pte. Nte. 16-1av, Centro, 30020 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 8a.m.,Comitán de Domínguez
Camino Secreto Mariscos,,+52 963 632 0578,"30060, Primera C. Sur Pte. 113, Candelaria, Comitán de Domínguez, Chis., México",Marisquería, Abre a las 9a.m.,Comitán de Domínguez
terraza 1528,,+52 963 370 7340,"Primera Avenida Pte. Sur numero 4, Centro, 30000 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 3p.m.,Comitán de Domínguez
PLAZA GASTRONÓMICA LA ALQUIMIA HR,,+52 963 326 0183,"·Tercera Avenida Poniente Norte 55, Cruz Grande, 30019 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 3p.m.,Comitán de Domínguez
RESTAURANTE K-CEVICHE,facebook.com,+52 222 348 0863,"8 CALLE SUR ORIENTE #13, 30029 Comitán de Domínguez, Chis., México",Restaurante, Abre a la 1p.m.,Comitán de Domínguez
Tatalampo,,,"1ra C. Nte. Ote. 37, La Pila, 30018 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 5p.m. del lun,Comitán de Domínguez
Casa Nevárez,,+52 963 688 1195,"Carretera panamericana km 1270, Chichima Concepción, 30093 Comitán de Domínguez, Chis., México",Restaurante mexicano, 7a.m.,Comitán de Domínguez
Restaurant Lucy III,,+52 992 129 2656,"Jazmines, Las Flores, 30065 Comitán de Domínguez, Chis., México",Marisquería, Abre a las 10a.m.,Comitán de Domínguez
Restaurante Familiar La Cama de Piedra,,+52 963 632 1460,"Primera Calle Nte. Pte. 74, Guadalupe, 30020 Comitán de Domínguez, Chis., México",Restaurante mexicano, Abre a las 8a.m.,Comitán de Domínguez
Restaurante Buscando A Memo,,+52 963 690 5238,"30077, Av. Libertad 78, Mariano N. Ruiz, Comitán de Domínguez, Chis., México",Marisquería, Abre a las 10a.m.,Comitán de Domínguez
La Esquina de Belisario,facebook.com,+52 963 101 4103,"C. Central Pte. 1, Centro, 30000 Comitán de Domínguez, Chis., México",Restaurante, 7a.m.,Comitán de Domínguez
Restaurante La Granja,,+52 963 632 2812,"30060, Calle Segunda Nte. Pte. 105, Candelaria, Comitán de Domínguez, Chis., México",Restaurante, Abre a las 10a.m.,Comitán de Domínguez
La Casita,facebook.com,+52 963 101 4752,"Cuarta Calle Sur Pte., El Veinticinco, 30023 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 12p.m.,Comitán de Domínguez
Mercado San José,,+52 963 110 6745,"Calle Sur Pte 4-3ra, San José, 30023 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 2p.m.,Comitán de Domínguez
LA POSTAL COMITAN,,+52 963 109 1511,"Al Cerro Nehuestic, El Mirador, 30019 Comitán de Domínguez, Chis., México",Cafetería, Abre a las 6p.m.,Comitán de Domínguez
"Botanero ""El Angel"" (La Tablazon)",,+52 963 153 9034,"Séptima Avenida Ote. Sur, Pilita Seca, 30030 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 12p.m.,Comitán de Domínguez
Restaurante EL Trébol,,+52 963 105 3892,"Cd Cuauhtémoc - Comitán de Domínguez 6966, Los Sabinos, 30093 Comitán de Domínguez, Chis., México",Restaurante, 7a.m.,Comitán de Domínguez
"Restaurant Bistro ""PORTOBELLO""",,,"Cuarta Avenida Pte. Sur 121, Belisario Domínguez Primera Secc, 30040 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 8a.m.,Comitán de Domínguez
Restaurant la casa al final de la calle,,,"Primera Calle Sur Ote. 119, Pilita Seca, 30030 Comitán de Domínguez, Chis., México",Restaurante familiar,,Comitán de Domínguez
