Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Los Jarochos Cuautitlán,,None Found,+52 55 5872 2562,"Calz. de Guadalupe Lote 2, Las Animas, 54712 Cuautitlán Izcalli, Méx., México",Marisquería, Abre a las 8:30a.m.,Cuautitlán
Los Alamos,restaurantelosalamos.mx,Cortes a la parrilla y sabores del norte de México en un amplio y cómodo restaurant con ambiente familiar.,+52 55 5872 5070,"Calz. de Guadalupe 334, Industrial Cuamatla, 54730 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, Abre a las 9a.m.,Cuautitlán
Via Buenos Aires,,"Local sencillo de ambiente familiar especializado en empanadas criollas, provoleta y asado Argentino.",+52 55 5876 7786,"Calz. de Guadalupe 7, Plaza, Industrial Cuamatla, 54730 Cuautitlán Izcalli, Méx., México",Restaurante argentino, Abre a las 12:45p.m.,Cuautitlán
Las Brasas,lasbrasas.com.mx,None Found,+52 55 3456 1480,"F. Martínez Fantini 2-Local 9, Centro, 54800 Cuautitlán, Méx., México",Restaurante, Abre a las 9:30a.m.,Cuautitlán
Restaurante Bar La caverna,,None Found,+52 55 5266 2620,"Av 16 de Septiembre 307, Necapa, 54800 Cuautitlán, Méx., México",Bar restaurante, Abre a la 1p.m. del lun,Cuautitlán
Restaurante El Capricho,,None Found,+52 55 3184 4677,"Centro Urbano Pte. Manzana 002, Centro Urbano, 54700 Cuautitlán Izcalli, Méx., México",Restaurante, Abre a las 8:30a.m. del lun,Cuautitlán
Long Hang,,None Found,+52 55 5881 5805,"And. Londres 1, Centro Urbano, 54720 Cuautitlán Izcalli, Méx., México",Restaurante chino, Abre a las 11a.m.,Cuautitlán
La Finca,restaurantelafinca.mx,None Found,+52 56 4157 0112,"Autopista México - Querétaro Km 41-Km 41, El Rosal, 54730 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, Abre a las 7a.m.,Cuautitlán
Restaurante Centro Historico,rchmex.com,None Found,+52 55 5871 6784,"Ixtapan del Oro No. 2, Cumbria, 54740 Cuautitlán Izcalli, Méx., México",Restaurante, Abre a las 8:30a.m.,Cuautitlán
La Burguesia,facebook.com,None Found,+52 55 9714 8777,"Av. Ing. Luis de la Peña 83B, Parques, 54720 Cuautitlán Izcalli, Méx., México",Hamburguesería, Abre a las 8a.m.,Cuautitlán
Potzollcalli Cuautitlan Izcalli,potzollcalli.com,None Found,+52 800 222 1010,"Av. 1 de Mayo S / N mza. C24-B Col, Dr. J. Jiménez Cantú, Centro Urbano, 54700 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, Abre a las 8a.m.,Cuautitlán
El Potrillo,,None Found,,"Del Sol Manzana 036, Arcos de la Hacienda, 54730 Cuautitlán Izcalli, Méx., México",Restaurante, Abre a las 9a.m.,Cuautitlán
LAS BRASAS CARNES AL CARBON Y BIRRIA.,,None Found,+52 55 5332 0687,"Melchor Ocampo MZ50LT20, Lazaro Cardenas, 54870 Cuautitlán, Méx., México",Restaurante especializado en chuletas, Abre a las 9:30a.m.,Cuautitlán
El Rincón Michoacano Cuautitlán Izcalli,,None Found,+52 55 0000 0000,"Av Chalma, Vía Plutón esquina, Arcos de la Hacienda, 54730 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, Abre a las 9a.m.,Cuautitlán
A fuego lento,,None Found,+52 55 5087 0729,"Plaza octagon 11, Centro Urbano, 54750 Cuautitlán Izcalli, Méx., México",Restaurante de desayunos, Abre a las 8a.m.,Cuautitlán
Pozolería El Cerrito,,None Found,+52 55 5872 5458,"Calz. de Guadalupe 350-Local 2, Industrial Cuamatla, 54730 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, Abre a las 11a.m.,Cuautitlán
Mi Hermano Parrilla Norteña,,None Found,+52 55 6646 6517,"Acolman 1, Cumbria, 54740 Cuautitlán Izcalli, Méx., México",Parrilla, Abre a la 1p.m.,Cuautitlán
Taquería Selene Cuautitlan Izcalli,,None Found,+52 55 5881 0346,"Río Lerma 107, Colinas del Lago, 54744 Cuautitlán Izcalli, Méx., México",Taquería, Abre a la 1p.m.,Cuautitlán
Madero Restaurante - San Marcos,maderorestaurantcafe.com,None Found,+52 55 1189 2248,"Autopista México Querétaro esq, Av Chalma s/n-Sur, Jardines de la Hacienda, 54720 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, Abre a las 7a.m.,Cuautitlán
Italia al Forno,italia-alforno.com.mx,None Found,+52 55 5861 3372,"Paseos del Bosque 54, Bosques del Lago, 54760 Cuautitlán Izcalli, Méx., México",Restaurante italiano, Abre a la 1p.m.,Cuautitlán
EL HUERTO — Restaurante & Espacio Natural,linktr.ee,None Found,+52 55 8878 1359,"Av. Benito Juárez 18 Col, San Sebastian Xhala, 54714 Cuautitlán Izcalli, Méx., México",Restaurante,,Cuautitlán
ROMEO & JULIETA GRILL HOUSE,,None Found,+52 56 1859 2534,"Calz. de Guadalupe 501, El Cerrito, 54879 Cuautitlán, Méx., México",Restaurante, Abre a las 5p.m.,Cuautitlán
Los Tocayos,,None Found,+52 55 5870 0112,"Calz. de Guadalupe 277, El Cerrito, 54879 Cuautitlán, Méx., México",Marisquería, Abre a las 10a.m.,Cuautitlán
El Fogón,,None Found,+52 55 6280 3765,"Laguna Luna 50B, Cumbria, 54740 Cuautitlán Izcalli, Méx., México",Restaurante, Abre a las 9a.m.,Cuautitlán
Doña Chabe,,None Found,+52 55 2620 1299,"Av. 20 de Noviembre 222, Centro, 54800 Cuautitlán, Méx., México",Restaurante, Abre a las 9a.m.,Cuautitlán
Toks Cuautitlán,toks.com.mx,None Found,+52 55 5873 6396,"Avenida1 deMayo Lt-7 Mz-C 44C Colonia, Centro Urbano, 54700 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, Abre a las 7a.m.,Cuautitlán
El Compadre Toño,facebook.com,None Found,+52 55 2139 3998,"Artemisa S/N, Ensueños, 54740 Cuautitlán Izcalli, Méx., México",Restaurante especializado en barbacoa, Abre a las 8a.m.,Cuautitlán
Mariscos La Bamba Real II,,None Found,+52 55 5870 6362,"Calz. de Guadalupe 502, El Cerrito, 54800 Cuautitlán, Méx., México",Marisquería, Abre a las 8:30a.m.,Cuautitlán
Pollos Río 10 Cuautitlán,pollosrio10.com,None Found,+52 55 5872 5800,"Av. De La Luz Km 41.5, La Luz, 54716 Cuautitlán Izcalli, Méx., México",Restaurante especializado en pollo, Abre a las 11a.m.,Cuautitlán
El sotano,,None Found,+52 55 1113 1466,"Temoaya 36, Centro Urbano, 54700 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, Abre a las 8a.m.,Cuautitlán
