Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Los Alamos,restaurantelosalamos.mx,Cortes a la parrilla y sabores del norte de México en un amplio y cómodo restaurant con ambiente familiar.,+52 55 5872 5070,"Calz. de Guadalupe 334, Industrial Cuamatla, 54730 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, 10p.m. ,Cuautitlán Izcalli
Restaurante El Capricho,,None Found,+52 55 3184 4677,"Centro Urbano Pte. Manzana 002, Centro Urbano, 54700 Cuautitlán Izcalli, Méx., México",Restaurante, Abre a las 8:30a.m. del lun,Cuautitlán Izcalli
Los Jarochos Cuautitlán,,None Found,+52 55 5872 2562,"Calz. de Guadalupe Lote 2, Las Animas, 54712 Cuautitlán Izcalli, Méx., México",Marisquería, Abre a las 8:30a.m. del dom,Cuautitlán Izcalli
El Rincón Michoacano Cuautitlán Izcalli,,None Found,+52 55 0000 0000,"Av Chalma, Vía Plutón esquina, Arcos de la Hacienda, 54730 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, Abre a las 9a.m. del dom,Cuautitlán Izcalli
Chili's Izcalli,chilis.com.mx,Cadena apta para familias que ofrece alimentos estadounidenses y tex-mex en un ambiente sureño.,+52 55 6066 5927,"Planetas Manzana 003 Lote 1-y 2, Rincon Colonial, 54730 Cuautitlán Izcalli, Méx., México",Restaurante americano, Cierra a las 12a.m.,Cuautitlán Izcalli
A fuego lento,,None Found,+52 55 5087 0729,"Plaza octagon 11, Centro Urbano, 54750 Cuautitlán Izcalli, Méx., México",Restaurante de desayunos, Abre a las 8a.m. del dom,Cuautitlán Izcalli
El Rincón de Izcalli,facebook.com,None Found,+52 55 5873 4068,"Pl. Boreal 16, Atlanta, 54740 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, Cierra a las 11p.m.,Cuautitlán Izcalli
La Finca,restaurantelafinca.mx,None Found,+52 56 4157 0112,"Autopista México - Querétaro Km 41-Km 41, El Rosal, 54730 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, Abre a las 7a.m. del dom,Cuautitlán Izcalli
Restaurante Centro Historico,rchmex.com,None Found,+52 55 5871 6784,"Ixtapan del Oro No. 2, Cumbria, 54740 Cuautitlán Izcalli, Méx., México",Restaurante, Abre a las 8:30a.m. del dom,Cuautitlán Izcalli
Potzollcalli Cuautitlan Izcalli,potzollcalli.com,None Found,+52 800 222 1010,"Av. 1 de Mayo S / N mza. C24-B Col, Dr. J. Jiménez Cantú, Centro Urbano, 54700 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, 10p.m. ,Cuautitlán Izcalli
Madero Restaurante - San Marcos,maderorestaurantcafe.com,None Found,+52 55 1189 2248,"Autopista México Querétaro esq, Av Chalma s/n-Sur, Jardines de la Hacienda, 54720 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, Cierra a las 10:30p.m.,Cuautitlán Izcalli
Mi Hermano Parrilla Norteña,,None Found,+52 55 6646 6517,"Acolman 1, Cumbria, 54740 Cuautitlán Izcalli, Méx., México",Parrilla, Cierra a las 10:30p.m.,Cuautitlán Izcalli
Sumo All You Can Eat Izcalli,sumo.com.mx,None Found,+52 55 2466 1421,"Tlataya 191, Centro Urbano Cuautitlán Izcalli, 54700 MEXICO, Méx., México",Restaurante, Cierra a las 12a.m.,Cuautitlán Izcalli
Metate negro,metatenegro.com,None Found,+52 55 7707 2305,"And. París 4, Centro Urbano, 54700 Cuautitlán Izcalli, Méx., México",Restaurante, Cierra a las 11p.m.,Cuautitlán Izcalli
Via Buenos Aires,,"Local sencillo de ambiente familiar especializado en empanadas criollas, provoleta y asado Argentino.",+52 55 5876 7786,"Calz. de Guadalupe 7, Plaza, Industrial Cuamatla, 54730 Cuautitlán Izcalli, Méx., México",Restaurante argentino, Abre a las 12:45p.m. del dom,Cuautitlán Izcalli
La Casa De Toño - Izcalli,lacasadetono.com.mx,None Found,+52 55 5386 1125,"Av. Primero de Mayo 3, Centro Urbano, 54750 Cuautitlán Izcalli, Méx., México",Restaurante mexicano, Cierra a las 11p.m.,Cuautitlán Izcalli
Taquería Selene Cuautitlan Izcalli,,None Found,+52 55 5881 0346,"Río Lerma 107, Colinas del Lago, 54744 Cuautitlán Izcalli, Méx., México",Taquería, Cierra a las 12a.m.,Cuautitlán Izcalli
El Potrillo,,None Found,,"Del Sol Manzana 036, Arcos de la Hacienda, 54730 Cuautitlán Izcalli, Méx., México",Restaurante, Abre a las 9a.m. del dom,Cuautitlán Izcalli
El Asado Izcalli,,None Found,+52 55 6867 9266,"Colonia, Av. Paseos del bosque esquina con Nogales s/n, Bosques de Morelos, 54760 Cuautitlán Izcalli, Méx., México",Parrilla, Cierra a las 11p.m.,Cuautitlán Izcalli
Long Hang,,None Found,+52 55 5881 5805,"And. Londres 1, Centro Urbano, 54720 Cuautitlán Izcalli, Méx., México",Restaurante chino, Abre a las 11a.m. del dom,Cuautitlán Izcalli
