Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Misión Cotija,misioncotija.com.mx,Restaurante folclórico con amplia terraza y jardín para degustar platos de la cocina mexicana tradicional.,+52 735 353 1676,"Av Reforma 600, Guadalupe Victoria, 62746 Cuautla, Mor., México",Restaurante mexicano, Abre a las 8a.m.,Cuautla
Restaurante BambuLimón,,"Restaurante sencillo con platos familiares de salteados, arroz y postres.",,"Felipe Neri 32, Emiliano Zapata, 62744 Cuautla, Mor., México",Buffet libre, Abre a las 8a.m.,Cuautla
MARISCOS EL PACIFICO,,None Found,,"Carr Federal México-Cuautla Km.96, Tetelcingo, 62757 Cuautla, Mor., México",Marisquería, Abre a las 10a.m.,Cuautla
Hacienda La Pastora,,None Found,+52 735 284 2579,"Esperanza, Emiliano Zapata, 62744 Cuautla, Mor., México",Restaurante,,Cuautla
El Arrocero,instagram.com,None Found,+52 735 398 6992,"Av Reforma 229, Emiliano Zapata, 62744 Cuautla, Mor., México",Restaurante mexicano, Abre a las 8a.m.,Cuautla
Restaurante El Tizón,,None Found,+52 735 321 0431,"62744, Álvaro Obregón 116, Emiliano Zapata, 62740 Cuautla, Mor., México",Bar restaurante, Abre a las 2p.m.,Cuautla
La Parrillita del Chef,,None Found,+52 735 125 0042,"Av Insurgentes & Ignacio Zaragoza 901, Cuautlixco, 62747 Cuautla, Mor., México",Restaurante uruguayo, Abre a la 1p.m.,Cuautla
BBQ Las Costillitas,,None Found,+52 735 114 0167,"Carr Federal México-Cuautla, Las Cruces, 62757 Cuautla, Mor., México",Restaurante, Abre a la 1p.m.,Cuautla
Pan y Vino,,None Found,+52 735 353 0263,"Las Americas 115, Guadalupe Victoria, 62746 Cuautla, Mor., México",Restaurante italiano, Abre a las 2p.m.,Cuautla
La Flor de Morelos,,None Found,+52 735 353 2880,"Carretera Libre México – Cuautla Lote 16 Fracc, Brisas de Cuautla, 62757 Cuautla, Mor., México",Restaurante mexicano, Abre a las 8a.m.,Cuautla
La Caprichosa,,None Found,+52 735 353 9717,"Av Insurgentes 125, Emiliano Zapata, 62744 Cuautla, Mor., México",Restaurante, Abre a las 9a.m.,Cuautla
La Roca Vivero + Cafe,,None Found,+52 735 284 0085,"Cuautlixco, 62746 Cuautla, Mor., México",Cafetería, Abre a las 9a.m.,Cuautla
Milà Mercado & Bistro,instagram.com,None Found,+52 735 153 2935,"Francisco I. Madero 393, Emiliano Zapata, 62744 Cuautla, Mor., México",Restaurante, Abre a las 9a.m.,Cuautla
Restaurante Los Portales,,None Found,+52 735 141 4900,"Portal Guerrero #6, Centro, 62740 Cuautla, Mor., México",Restaurante mexicano, Abre a las 8:30a.m.,Cuautla
El Sanborcito,,None Found,+52 3537889,"y, Revolución 502, Gabriel Tepepa, Cuautla, Mor., México",Restaurante, Abre a las 8:30a.m.,Cuautla
Mercado 740,,None Found,+52 735 277 9974,"Baluarte 24, Centro, 62740 Cuautla, Mor., México",Restaurante, Abre a las 12p.m.,Cuautla
Bon Appèttit Cuautla,,None Found,+52 735 353 0106,"5 de Mayo 50, Emiliano Zapata, 62744 Cuautla, Mor., México",Restaurante, Abre a las 8a.m. del lun,Cuautla
El punto,,None Found,+52 735 254 2767,"Fin del Rul 5, Centro, 62740 Cuautla, Mor., México",Restaurante, Abre a las 8:30a.m.,Cuautla
Restaurante El Morral,,None Found,+52 735 353 3235,"Av Insurgentes 377, Guadalupe Victoria, 62746 Cuautla, Mor., México",Restaurante, Abre a las 8a.m.,Cuautla
Los Alcatraces Restaurante,facebook.com,None Found,+52 735 325 8316,"Av. Revolución #246 esquina con Av, Calle Cuatro Nte., Plan de Ayala, 62743 Cuautla, Mor., México",Restaurante, Abre a las 8a.m.,Cuautla
Valentina Café,facebook.com,None Found,+52 735 359 2505,"Plazuela Miguel Hidalgo #51A Col, Miguel Hidalgo, 62747 Cuautla, Mor., México",Cafetería, Abre a las 9a.m.,Cuautla
Toks Cuautla,toks.com.mx,None Found,+52 735 398 1448,"Antigua Carretera Mexico-Cuautla # 4 Local R1, Revolucion, 62747 Cuautla, Mor., México",Restaurante mexicano, Abre a las 7a.m.,Cuautla
Jardín Casablanca,,None Found,+52 735 353 6215,"Av Reforma 189, Emiliano Zapata, 62744 Cuautla, Mor., México",Restaurante familiar, Abre a las 8:30a.m.,Cuautla
Petri Restaurante,,None Found,+52 735 245 5117,"10 de Abril 105, Cuautlixco, 62747 Cuautla, Mor., México",Restaurante ruso, Abre a las 2p.m.,Cuautla
Palmira Mariscos,,None Found,+52 735 688 2956,"Miguel Hidalgo, 62748 Cuautla, Mor., México",Marisquería, Abre a las 10a.m.,Cuautla
"Mariscos ""La viga""",,None Found,+52 735 303 2427,"Cuernavaca-Cuautla 98, Revolucion, 62748 Cuautla, Mor., México",Marisquería, Abre a las 9a.m.,Cuautla
Mariscos Tia Licha Cuautla,,None Found,+52 735 152 2287,"Av Reforma 140, Emiliano Zapata, 62744 Cuautla, Mor., México",Marisquería, Abre a las 9a.m.,Cuautla
Gula Celestial,facebook.com,None Found,+52 735 153 8793,"C. Agua Azul 8, Manantiales, 62746 Cuautla, Mor., México",Pizzería, Abre a las 9a.m.,Cuautla
El Rincón del Abuelo,,None Found,+52 735 352 0486,"C. Del Temor 38, Centro, 62740 Cuautla, Mor., México",Restaurante mexicano, Abre a las 9a.m.,Cuautla
El Bolillo,,None Found,+52 735 237 5125,"De Lourdes 653, Manantiales, 62746 Cuautla, Mor., México",Restaurante familiar, Abre a las 9a.m. del lun,Cuautla
SUCULENTA RESTAURANTE,,None Found,+52 55 8035 0127,"Av Insurgentes 926, Cuautlixco, 62747 Cuautla, Mor., México",Restaurante mexicano, Abre a las 8a.m.,Cuautla
Restaurante Cielito,,None Found,+52 735 162 2860,"Cjon. del Sifón 227, Emiliano Zapata, 62744 Cuautla, Mor., México",Restaurante mexicano, Abre a las 8:30a.m.,Cuautla
La Brasa Grill,,None Found,+52 735 114 0978,"Av Insurgentes 1250, Emiliano Zapata, 62744 Cuautla, Mor., México",Restaurante especializado en barbacoa, Abre a las 3p.m.,Cuautla
Restaurante ¨Abolengo Churrascaria¨,,None Found,+52 735 107 3925,"Av Reforma 1107, Cuautlixco, 62747 Cuautla, Mor., México",Buffet libre, Abre a la 1p.m.,Cuautla
Palma Real Cuautla,facebook.com,None Found,+52 735 126 6384,"Independencia 570, Guadalupe Victoria, 62746 Cuautla, Mor., México",Restaurante, Abre a las 9a.m.,Cuautla
Santa Teresa Restaurant,,None Found,+52 735 152 6918,"Conspiradores 9, Centro, 62740 Cuautla, Mor., México",Restaurante familiar, Abre a las 8:30a.m.,Cuautla
Restaurante Palma Real,,None Found,+52 735 168 6081,"Calle 1 poniente y 5 Norte Col, Plan de Ayala, 62743 Cuautla, Mor., México",Restaurante,,Cuautla
Paradise Wings Cuautla,facebook.com,None Found,+52 735 188 6259,"Tetecala 15, Morelos, 62744 Cuautla, Mor., México",Restaurante, Abre a las 8:15a.m.,Cuautla
Barrita Marisquera Suc. Cuautla (Atrios),barritamarisquera.com,None Found,+52 735 338 0056,"C. Cam. a Calderón, Central de Abastos, 62756 Tierra Larga, Mor., México",Marisquería, Abre a las 9a.m.,Cuautla
La Tertulia,,None Found,+52 735 174 2730,"Emiliano Zapata, Francisco I. Madero, 62740 Cuautla, Mor., México",Restaurante, Abre a las 8:15a.m. del lun,Cuautla
El Antojo Cuautla,,None Found,+52 735 284 4218,"C. Angustias de Calleja 1, Emiliano Zapata, 62744 Cuautla, Mor., México",Restaurante, Abre a las 4p.m.,Cuautla
La Cevichelada,facebook.com,None Found,+52 735 105 6027,"C. Sufragio Efectivo, Emiliano Zapata, 62744 Cuautla, Mor., México",Restaurante mexicano,,Cuautla
Vips Cuautla Reforma,vips.com.mx,None Found,+52 53983326,"Av Reforma 850, Cuautlixco, 62200 Cuautla, Mor., México",Restaurante mexicano, Abre a las 7a.m.,Cuautla
Dos Mil Uno,,None Found,+52 735 212 3606,"Av Circunvalación 66, Emiliano Zapata, 62477 Cuautla, Mor., México",Restaurante, Abre a las 2p.m.,Cuautla
El Arrecife,,None Found,+52 735 122 2927,"Carr Federal México-Cuautla 7, Lazaro Cardenas, 62757 Cuautla, Mor., México",Marisquería, Abre a las 9a.m.,Cuautla
El rincón de Cuautla,,None Found,,"Av Reforma 1162, Miguel Hidalgo, 62748 Cuautla, Mor., México",Restaurante familiar, Abre a las 7a.m.,Cuautla
Desayunos La Gloria,facebook.com,None Found,+52 735 142 8261,"Plaza atrios y sam's club, 62757 Tierra larga, 16 Septiembre 8, 62757 Cuautla, Mor., México",Restaurante de brunch, Abre a las 9a.m.,Cuautla
Mariscos El Sobrino,,None Found,+52 735 107 5882,"Av Reforma 182-B, Emiliano Zapata, 62744 Cuautla, Mor., México",Marisquería, Abre a las 10a.m.,Cuautla
El horno y la plancha,facebook.com,None Found,+52 735 277 0220,"Pzla. 18 de Marzo 58, Cuautlixco, 62747 Cuautla, Mor., México",Restaurante, Abre a las 9a.m.,Cuautla
Asuka Coffe & Sushi Bar,,Lugar acogedor y minimalista con terraza y jardín que sirve un diverso menú japonés con toques mexicanos.,+52 735 114 1414,"Josefa Ortiz de Domínguez 4, Miguel Hidalgo, 62748 Cuautla, Mor., México",Restaurante japonés, Abre a las 8a.m.,Cuautla
SINKO ORIENTAL FOOD,,None Found,+52 735 468 8590,"C. Del Gral. Ignacio Zaragoza 390, Miguel Hidalgo, 62748 Cuautla, Mor., México",Restaurante japonés, Abre a las 2p.m.,Cuautla
Plaza Los Ciruelos,,None Found,,"Batalla 19 de Febrero de 1812 102, Centro, 62740 Cuautla, Mor., México",Restaurante familiar, Abre a las 2p.m.,Cuautla
Marisquería Cevicherias Esther Señor del Pueblo,,None Found,+52 73541584,"C. Capitán José María' Larios 29, Centro, 62740 Cuautla, Mor., México",Marisquería, Abre a las 9a.m.,Cuautla
Las Tortugas,,None Found,,"Fuerte C. Galeana 98, Centro, 62740 Cuautla, Mor., México",Restaurante, Abre a las 8a.m.,Cuautla
SPHERA,facebook.com,None Found,+52 735 216 1887,"C. 6 Sur 37, Plan de Ayala, 62743 Cuautla, Mor., México",Marisquería, Abre a las 12p.m. del lun,Cuautla
Leños Pizza,,None Found,+52 735 152 7416,"Nicolás Catalán 19A, Centro, 62740 Cuautla, Mor., México",Pizzería, Abre a la 1p.m.,Cuautla
Restaurante Bar Bugambilia,,None Found,+52 735 352 9209,"José Perdiz 21, Centro, 62740 Cuautla, Mor., México",Bar restaurante, Abre a la 1p.m.,Cuautla
Restaurante pizzería El Oasis,,None Found,+52 735 352 0311,"Galeana 32, Centro, 62740 Cuautla, Mor., México",Restaurante, Abre a las 8a.m.,Cuautla
Vicarello Restaurant,facebook.com,None Found,+52 735 103 2739,"C. Sufragio Efectivo 141B, Emiliano Zapata, 62744 Cuautla, Mor., México",Restaurante italiano, Abre a las 3p.m.,Cuautla
Cevicherías Esther Centro - La Casa del Buen Marisco,,None Found,+52 735 352 1876,"Vicente Guerrero 81, Centro, 62740 Cuautla, Mor., México",Marisquería, Abre a las 9a.m.,Cuautla
Violeta Cocina de Autor & Café,,None Found,+52 73529908,"Primavera 27, Lazaro Cardenas, 62757 Cuautla, Mor., México",Restaurante, Abre a las 6p.m. del lun,Cuautla
Elisheva Restaurante & Bar,,None Found,+52 735 239 8709,"Tezahuapan 18-2, Tetelcingo, 62757 Cuautla, Mor., México",Bar restaurante, Abre a las 9a.m.,Cuautla
Portobello Pizza Pasta & Grill,facebook.com,None Found,+52 735 153 9540,"C. Sureño Carranza 29, Emiliano Zapata, 62747 Cuautla, Mor., México",Restaurante italiano, Abre a las 2p.m.,Cuautla
La Mulata Son Y Sabor,,None Found,,"Las Americas 17, Guadalupe Victoria, 62744 Cuautla, Mor., México",Restaurante,,Cuautla
La Mulata Son Y Sabor,,None Found,,"Las Americas 17, Guadalupe Victoria, 62744 Cuautla, Mor., México",Restaurante,,Cuautla
La Caprichosa,,None Found,,"De Lourdes 702, Manantiales, 62746 Cuautla, Mor., México",Restaurante familiar, Abre a las 9a.m.,Cuautla
Cibó ristorante & caffé,,None Found,+52 777 370 1371,"Estacas 38, Manantiales, 62746 Cuautla, Mor., México",Restaurante italiano, Abre a las 3p.m.,Cuautla
Las Brasas,,None Found,,"Centro, 62742 Cuautla, Mor., México",Restaurante, Abre a las 3p.m.,Cuautla
Jardín de El Calvario,facebook.com,None Found,,"Av. José María Morelos 1, Emiliano Zapata, 62744 Cuautla, Mor., México",Restaurante, Abre a las 4p.m.,Cuautla
Ganesha restaurante vegetariano,,None Found,+52 735 278 6825,"Av Circunvalación 164A, Morelos, 62744 Cuautla, Mor., México",Restaurante vegetariano, Abre a las 8:30a.m.,Cuautla
Carnes al Carbón El Pepin Grill,,None Found,+52 735 416 6441,"Carr México Oaxaca 92, Gabriel Tepepa, 62742 Cuautla, Mor., México",Restaurante especializado en chuletas, Abre a las 3p.m.,Cuautla
Yorokobi Cuautla.,,None Found,+52 735 350 5549,"Av Insurgentes 140, Colonia, Emiliano Zapata, 62744 Cuautla, Mor., México",Restaurante, Abre a las 9a.m.,Cuautla
Las Delicias,,None Found,,"Barragana 58-int 17, Centro, 62740 Cuautla, Mor., México",Restaurante mexicano, Abre a las 7a.m.,Cuautla
Restaurant bar Palermo,facebook.com,None Found,+52 735 353 9690,"Álvaro Obregón 119, Centro, 62740 Cuautla, Mor., México",Pizzería, Abre a las 3p.m.,Cuautla
Wings City Plaza Atrios Cuautla,,None Found,+52 735 122 8017,"Camino Real Tetelcingo 23 l 164 Tierra Larga, 62751 Cuautla, Mor., México",Restaurante de alas de pollo, Abre a la 1p.m.,Cuautla
Wings City Plaza Atrios Cuautla,,None Found,+52 735 122 8017,"Camino Real Tetelcingo 23 l 164 Tierra Larga, 62751 Cuautla, Mor., México",Restaurante de alas de pollo, Abre a la 1p.m.,Cuautla
Restaurante Pollo Feliz,,"Cadena informal que ofrece pollo estilo mexicano, además de otros platos tradicionales y aguas frescas.",+52 735 234 8899,"Carr México Oaxaca 603, Plan de Ayala, 62743 Cuautla, Mor., México",Restaurante especializado en pollo, Abre a las 9:30a.m.,Cuautla
La Hija De La Guayaba,,None Found,+52 735 226 4206,"Av Insurgentes 769, Cuautlixco, 62749 Cuautla, Mor., México",Restaurante, Abre a las 9a.m.,Cuautla
Calzada 160,,None Found,+52 55 7836 0312,"Calz. Sta. Inés 160b, Emiliano Zapata, 62744 Cuautla, Mor., México",Pub restaurante, Abre a las 9a.m.,Cuautla
Café Colibrí Cuautla,,None Found,+52 735 352 1000,"Conspiradores 4, Centro, 62740 Cuautla, Mor., México",Cafetería, Abre a las 8a.m.,Cuautla
Tortugas y Más,,None Found,+52 735 236 8912,"2 de Mayo 8, Centro, 62740 Cuautla, Mor., México",Restaurante de comida rápida, Abre a las 11a.m.,Cuautla
"Tacos al carbón ""LA TRADICIONAL""",tacoslatradicional.com,None Found,+52 735 212 4746,"Av Insurgentes 922, Cuautlixco, 62747 Cuautla, Mor., México",Taquería, Abre a las 4p.m.,Cuautla
Kök Rot Cuautla,facebook.com,None Found,,"Antiguo Camino a Sta. Inés, Cuautlixco, 62747 Cuautla, Mor., México",Restaurante, Abre a las 7:30a.m. del lun,Cuautla
Restaurante Casa Morelos,,None Found,,"Matamoros 2, Centro, 62740 Cuautla, Mor., México",Restaurante familiar,,Cuautla
Restaurante Casa Morelos,,None Found,,"Matamoros 2, Centro, 62740 Cuautla, Mor., México",Restaurante familiar,,Cuautla
Sushi Itto Cuautla,sushi-itto.com.mx,None Found,+52 735 351 2742,"Baluarte.24 Interior 16, Local 16, Centro, 62740 Cuautla, Mor., México",Restaurante japonés, Abre a las 12p.m.,Cuautla
TORTAS INSURGENTES,,None Found,+52 735 112 0722,"Av Insurgentes 245, Emiliano Zapata, 62744 Cuautla, Mor., México",Restaurante mexicano, Abre a las 9a.m. del lun,Cuautla
Chicharito Tortas y restaurante,,None Found,+52 735 353 0605,"62744, No Reelección #32, 62744 Cuautla, Mor., México",, Abre a las 9a.m. del lun,Cuautla
Fonda Mexicana Las CAZUELAS,,None Found,,"62740, Fuerte C. Galeana 98, Centro, Cuautla, Mor., México",Restaurante, Abre a las 9a.m.,Cuautla
Restaurante A La Mexicana,,None Found,+52 735 250 1100,"Belisario Domínguez 4, Otilio Montaño, 62746 Cuautla, Mor., México",Restaurante mexicano, Abre a las 8:30a.m. del lun,Cuautla
Buffet Comida China,,None Found,,"Batería 28A, Centro, 62740 Cuautla, Mor., México",Buffet libre, Abre a las 8a.m.,Cuautla
Taquitos Barry's,,None Found,+52 735 341 7079,"Av Insurgentes 764, Cuautlixco, 62746 Cuautla, Mor., México",Taquería, Abre a las 4p.m.,Cuautla
MARY-TERE,,None Found,,"Batería 8, Centro, 62740 Cuautla, Mor., México",Restaurante,,Cuautla
