Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Casa Bon,instagram.com,None Found,+52 667 403 6183,"Calle Gral. Angel Flores 371, Primer Cuadro, 80000 Culiacán Rosales, Sin., México",Restaurante, Cierra a las 11p.m.,Culiacán Rosales
Panamá Restaurante y Pastelería Pedro Infante,panama.com.mx,"Restaurante con pastelería donde se ofrecen comidas tradicionales, hamburguesas y sándwiches de estilo estadounidense.",+52 667 717 4343,"Blvd. Pedro Infante 2363, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., México",Restaurante mexicano, Cierra a las 10p.m.,Culiacán Rosales
Restaurante El Mirador Nuevo Culiacan,,None Found,+52 667 275 2144,"Av. Nicolás Bravo 1069, Nuevo Culiacan, Nuevo Culiacán, 80170 Culiacán Rosales, Sin., México",Restaurante mexicano, Cierra a las 11p.m.,Culiacán Rosales
Cayenna Cocina del Mundo,,None Found,+52 667 715 7673,"José Diego Valadés Ríos, Poniente 89, Desarrollo Urbano Tres Ríos, 80000 Culiacán Rosales, Sin., México",Restaurante,,Culiacán Rosales
El Palomar del Río,elpalomardelrio.com,Local con ambiente familiar que ofrece corte de res llamado cabrería y antojitos preparados al momento.,+52 667 713 0606,"Blvrd Enrique Sánchez Alonso 2016, Residencial Alameda, Desarrollo Urbano Tres Ríos, 80030 Culiacán Rosales, Sin., México",Restaurante, Cierra a las 12a.m.,Culiacán Rosales
Mochomos,mochomos.mx,None Found,+52 667 146 6622,"Blvrd Enrique Sánchez Alonso 2372 Nte, Residencial Alameda, Desarrollo Urbano Tres Ríos, 80030 Culiacán Rosales, Sin., México",Restaurante,,Culiacán Rosales
Cabanna Restaurant,cabanna.com.mx,"Tostadas, aguachile y pizzas de mariscos presentadas en un restaurante coqueto con amplia terraza y lounge.",+52 667 712 0919,"Blvd. Francisco Labastida Ochoa 1695, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., México",Marisquería, Abre a las 8a.m. del dom,Culiacán Rosales
Marejada Restaurant,marejada.com.mx,None Found,+52 667 230 2648,"Torre Académica UAS, José Diego Valadez, Diego Valadés Ríos 1531-Ote, Chapultepec del Río, 80040 Culiacán Rosales, Sin., México",Restaurante mexicano,,Culiacán Rosales
Casa Cuina,,None Found,+52 667 275 2871,"C. Josefa Ortiz de Domínguez 2415, Buena Vista, 80014 Culiacán Rosales, Sin., México",Restaurante mexicano, Abre a las 7:30a.m. del dom,Culiacán Rosales
Bistro Marina,,None Found,+52 667 326 1626,"Blvrd Alfonso Zaragoza Maytorena, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin., México",Restaurante, Cierra a la 1a.m.,Culiacán Rosales
