Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
El Patio de la Abuela,,None Found,+52 271 712 0606,"C. 1 208, Centro, 94500 Córdoba, Ver., México",Restaurante mexicano, Abre a las 8a.m.,Córdoba
Crepas y Carnes los 30s,crepasycarneslos30s.com,"Restaurante casual con muros de piedra, terraza y bar para probar pastas, crepas y menú mediterráneo con vino.",+52 271 712 3356,"Av 9 2004, San Jose, 94560 Córdoba, Ver., México",Crepería, Abre a las 8a.m.,Córdoba
Fogon Do Brasil Córdoba Veracruz,fogondobrasil.com,None Found,+52 271 712 4635,"Av. 7 1810, San Jose, 94560 Córdoba, Ver., México",Restaurante brasileño, Abre a las 12p.m.,Córdoba
Tasca 1821,tasca1821.com,None Found,+52 271 712 1790,"Av 1 105, Centro, 94500 Córdoba, Ver., México",Restaurante, Abre a las 8a.m.,Córdoba
La Jaiba Loca,lajaibaloca.com,None Found,+52 271 714 8931,"Av 2 1501, Centro, 94500 Córdoba, Ver., México",Marisquería, Abre a las 10a.m.,Córdoba
El Portal de La Jaiba,facebook.com,None Found,+52 271 714 4000,"Av 1 301, Centro, 94530 Córdoba, Ver., México",Marisquería, Abre a las 8a.m.,Córdoba
Madison Grill,madisongrill.mx,None Found,+52 271 688 4603,"Av 9-bis, San Jose, 94560 Córdoba, Ver., México",Restaurante, Abre a la 1p.m.,Córdoba
Restaurant Díaz,,None Found,+52 271 714 3790,"C. 15 No. 516, Centro, 94500 Córdoba, Ver., México",Marisquería, Abre a las 10a.m.,Córdoba
La Brigada,facebook.com,None Found,+52 271 716 0644,"C. 22 917, San Jose, 94550 Córdoba, Ver., México",Restaurante argentino, Abre a la 1p.m.,Córdoba
Los Cafetos,loscafetos.com,None Found,+52 271 716 1516,"Los Alamos 5, El Trebol, 94542 El Pueblito (Crucero Nacional), Ver., México",Restaurante,,Córdoba
La engordadera,facebook.com,None Found,+52 271 224 1106,"Av 9-bis 2607, San Jose, 94500 Córdoba, Ver., México",Restaurante, Abre a las 8a.m.,Córdoba
Restaurante Las Delicias 4,,None Found,+52 271 714 9494,"Avenida 2 calles 3 y 5 307, Centro, 94500 Córdoba, Ver., México",Restaurante mexicano,,Córdoba
Mesón de la Jaiba,lajaibaloca.com,"Comedor con paredes de piedra, cuadros de arte y servicio al bar que sirve alta cocina del mar y de la tierra.",+52 271 714 8187,"Av. 3 613, Centro, 94500 Córdoba, Ver., México",Marisquería, Abre a las 11a.m.,Córdoba
Bistro de la Esquina,facebook.com,None Found,+52 271 714 7777,"Calle 16, Av 11, San Jose, 94560 Córdoba, Ver., México",Restaurante, Abre a las 9a.m.,Córdoba
