Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Bandido's Restaurant,,None Found,+52 639 474 4060,"Av. Río Chuviscar 204, Nte 2, 33000 Delicias, Chih., México",Restaurante especializado en filetes, Abre a las 10a.m.,Delicias
"La Candelaria, Cantina Tradicional.",facebook.com,None Found,+52 639 171 5364,"Oriente 1, 33000 Delicias, Chih., México",Restaurante, Abre a la 1p.m.,Delicias
Simón Limón,facebook.com,None Found,+52 639 132 6375,"C. Central S/N, Sur 1, 33000 Delicias, Chih., México",Restaurante, Abre a las 8a.m. del lun,Delicias
La Cabañita,facebook.com,None Found,+52 639 472 7390,"33000, Calle 4a. Nte. 108, Norte, Delicias, Chih., México",Marisquería, Abre a las 10a.m.,Delicias
ANTOJITOS EL CHAMIZAL,,None Found,+52 639 132 9766,"33000, C. 6a Pte. 300, Poniente, Delicias, Chih., México",Taquería, Abre a las 12p.m.,Delicias
AGAVE Mexican Bistro,gruporuan.mx,None Found,+52 639 110 3921,"Av. 4 Sur 803, Sur 1, 33000 Delicias, Chih., México",Restaurante, Abre a la 1p.m.,Delicias
La Reyna De La Cruda,,None Found,+52 639 153 0079,"Av. las Vírgenes, Las Vírgenes, 33016 Delicias, Chih., México",Marisquería, Abre a las 11a.m.,Delicias
Samuel's Restaurant,,None Found,+52 639 470 9190,"Av. Sexta Ote. 605, Oriente 1, 33000 Delicias, Chih., México",Marisquería, Abre a las 11a.m.,Delicias
El Granero Restaurante,,None Found,+52 639 474 8888,"Av Rio San Pedro Sur 1227, Sur 1, 33076 Delicias, Chih., México",Restaurante especializado en filetes, Abre a las 8a.m.,Delicias
Dinos Restaurant,,None Found,+52 639 474 8505,"Av. Río Conchos Ote. 601, Oriente 1, 33000 Delicias, Chih., México",Restaurante mexicano, Abre a las 8a.m.,Delicias
El Momento Restaurante,,None Found,+52 639 467 6134,"Av. Sexta Nte. 329-local 5, Norte, 33000 Delicias, Chih., México",Restaurante, Abre a las 11:30a.m.,Delicias
Los Tacos Rico´s,lostacosricos.com,None Found,+52 639 132 0200,"Calle Cuarta Sur #7 Esquina, Av. 1A Sur, Centro, 33000 Delicias, Chih., México",Taquería, Abre a las 12p.m.,Delicias
los olivos,,None Found,+52 639 171 1749,"Av Rio San Pedro Nte 504-A, centro, 33000 Delicias, Chih., México",Restaurante de desayunos, Abre a las 8a.m.,Delicias
Samuelito Seafood and Beers,,None Found,+52 639 688 1444,"Calle 11 Nte 403, Industrial Nte, 33000 Delicias, Chih., México",Marisquería, Abre a las 11a.m.,Delicias
Mr Waffle Delicias,,None Found,+52 639 148 2704,"Av. Río Chuviscar 605-Nte, Nte 2, 33000 Delicias, Chih., México",Restaurante, Abre a las 8a.m.,Delicias
MACLOVIO’S RESTAURANT-BAR,,None Found,+52 639 474 0018,"Oriente 1, 33000 Delicias, Chih., México",Bar restaurante, Abre a las 9a.m.,Delicias
De Los Santos,,None Found,+52 639 231 6184,"Calle 3a Pte. 1501, Poniente, 33000 Delicias, Chih., México",Restaurante,,Delicias
Costa Linda Mariscos,,None Found,+52 639 688 2227,"Av. Cuarta Nte. 400, Nte 2, 33000 Delicias, Chih., México",Marisquería, Abre a las 11a.m.,Delicias
Taqueria Las Delicias,,None Found,+52 639 165 4807,"Av. Sexta Pte. 2038, Poniente, 33000 Delicias, Chih., México",Taquería, Abre a las 2p.m.,Delicias
Black Dog Burguers & Dogos,,None Found,+52 639 230 4964,"Av. 11 Ote. 944, Santa Gertrudis, 33017 Delicias, Chih., México",Restaurante de comida rápida, Cierra a las 11:45a.m. ,Delicias
Elefante Restaurante Bar,facebook.com,None Found,+52 639 155 4946,"Av. Agricultura Ote. 502, Oriente 1, 33000 Delicias, Chih., México",Restaurante, Abre a las 4p.m.,Delicias
Applebee's Delicias,restaurants.applebees.com,Cadena de bar y parrilla de servicio completo con sustanciosos platos estadounidenses en un ambiente informal.,+52 639 467 5585,"Av. 3RA. OTE, P.º Gómez Morin 801, 33000 Delicias, Chih., México",Restaurante americano, Abre a las 11a.m.,Delicias
Don Chilaquil,facebook.com,None Found,+52 639 131 8991,"Calle, Calle Tercera Nte. 519, Norte, 33000 Delicias, Chih., México",Restaurante, Abre a las 8a.m.,Delicias
15/20 The Lucky Ones,,None Found,+52 639 472 0007,"Av. Cuarta Nte. 112, Norte, 33000 Delicias, Chih., México",Restaurante, Abre a las 12p.m.,Delicias
El Rincón del chef Le Kike,,None Found,+52 639 688 1212,"P.º Gómez Morin 602, Sur 1, 33000 Delicias, Chih., México",Restaurante, Abre a las 8a.m.,Delicias
La Malquerida Cantina Mexicana,,None Found,+52 639 141 8127,"Calle 1a. Ote. 306, Oriente 1, 33000 Delicias, Chih., México",Bar, Abre a la 1p.m.,Delicias
La Rosita Restaurant,,None Found,+52 639 474 4327,"Av. Segunda Nte. No. 2, Centro, 33000 Delicias, Chih., México",Restaurante mexicano, Abre a las 8a.m.,Delicias
Museo del Taco,museodeltaco.com,None Found,+52 639 474 5530,"Ferrocarril 400, Oriente, 33000 Delicias, Chih., México",Restaurante, Abre a las 7:30a.m.,Delicias
RINCON GITANO Restaurante,,None Found,+52 639 149 7154,"C. Central 406, Norte, 33000 Delicias, Chih., México",Restaurante,,Delicias
Dinos Restaurant Jr,,None Found,+52 639 467 4041,"Av. Río Conchos Pte. 408B, Poniente, 33000 Delicias, Chih., México",Restaurante, Abre a las 8a.m. del lun,Delicias
