Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
La Mansión,lamansion.com.mx,None Found,+52 55 5788 1719,"Vía Morelos No. 419, Santa Clara Coatitla, 55540 Ecatepec de Morelos, Méx., México",Restaurante especializado en filetes, Cierra a las 9p.m.,Ecatepec de Morelos
El Mejor Bife,,None Found,+52 55 6363 6713,"Valle Perdido # 87, Valle de Aragon 3ra Secc, 55280 Ecatepec de Morelos, Méx., México",Restaurante especializado en filetes, Cierra a las 8p.m.,Ecatepec de Morelos
Las Cazuelas Poblanas,lascazuelaspoblanas.com.mx,None Found,+52 55 5121 7203,"Valle Perdido 85, Valle de Aragon 3ra Secc, 55280 Ecatepec de Morelos, Méx., México",Restaurante mexicano,,Ecatepec de Morelos
Toks Patio Ecatepec,toks.com.mx,None Found,+52 55 1550 4628,"Av. Revolución 01, San Cristóbal Centro, 55000 Ecatepec de Morelos, Méx., México",Restaurante mexicano, Cierra a las 11p.m.,Ecatepec de Morelos
La Casa de Pedro y Sara,lacasadepedroysara.com,None Found,+52 55 4595 5759,"Calle Benito Juárez Nte 9, San Cristóbal Centro, 55000 Ecatepec de Morelos, Méx., México",Restaurante, Cierra a las 8p.m.,Ecatepec de Morelos
Italianni's Ecatepec,italiannis.com.mx,None Found,+52 24864440,"Av. Central Mz. 4-Lote 2, Fraccionamiento Las Americas, Las Américas, 55070 Ecatepec de Morelos, Méx., México",Restaurante italiano, Cierra a las 12a.m.,Ecatepec de Morelos
Jardín Napolitano,eljardinnapolitano.com,None Found,+52 55 1287 7784,"Calle Benito Juárez Nte 115, San Cristóbal Centro, 55000 Ecatepec de Morelos, Méx., México",Restaurante italiano, Cierra a las 10p.m.,Ecatepec de Morelos
Restaurante “Maleconero”,,"Una marisquería selecta con techo alto, servicio al bar, música en vivo y decoraciones marinas en madera.",,"Av. Revolución 31, San Cristóbal Centro, 55000 Ecatepec de Morelos, Méx., México",Marisquería, Cierra a las 8p.m.,Ecatepec de Morelos
Restaurante Boca del río,,Edificio amplio que simula un barco en donde se sirve comida del mar con servicio al bar y música en vivo.,+52 55 7996 2320,"Lechería - Texcoco 316, Heroes Ecatepec 1 2 3 4 T, 55069 Ecatepec de Morelos, Méx., México",Restaurante, 7p.m. ,Ecatepec de Morelos
Taquería Y Parrillada La Guadalupana,,None Found,+52 55 4530 2868,"Av Morelos 23, San Cristóbal Centro, 55000 Ecatepec de Morelos, Méx., México",Taquería, Cierra a las 2a.m.,Ecatepec de Morelos
