Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante La Original,facebook.com,None Found,+52 493 126 2099,"Av Plateros 822, Solidaridad, 99010 Fresnillo, Zac., México",Restaurante, Abre a las 8a.m.,Fresnillo
La Parrilla Steak Beer,,None Found,+52 493 932 8856,"Huicot 118, Magisterial, 99000 Fresnillo, Zac., México",Restaurante especializado en filetes, Abre a las 11a.m.,Fresnillo
Restaurante El Crystalito,facebook.com,None Found,,"Augusto Isunsa Escoto 16, Centro, 99000 Fresnillo, Zac., México",Restaurante, Cierra a las 5:30a.m.,Fresnillo
A Las Brasas,,None Found,+52 14931181003,"99000 Centro, Olivo 405, Centro, 99000 Fresnillo, Zac., México",Restaurante, Abre a las 2p.m.,Fresnillo
Gelos Restaurante,,None Found,+52 493 163 0602,"C. Nuevo León 22, Centro, 99000 Fresnillo, Zac., México",Restaurante, Abre a las 9a.m.,Fresnillo
L,,None Found,,"Huicot 2, Del Fresno, Fraccionamiento del Fresno, 99020 Fresnillo, Zac., México",Cobro de deudas,,Fresnillo
Lapa & Lapa,,None Found,+52 493 688 0161,"Av M. Hidalgo 329, Centro, 99000 Fresnillo, Zac., México",Restaurante familiar, Abre a las 8a.m.,Fresnillo
Restaurante El Viejo Mercado,facebook.com,None Found,+52 493 932 8584,"García de La Cadena 18, Centro, 99000 Fresnillo, Zac., México",Restaurante, Abre a las 8a.m.,Fresnillo
Gardens Restaurant,,None Found,+52 493 932 9599,"Álvaro Obregón Nte. 6, Centro, 99000 Fresnillo, Zac., México",Restaurante mexicano, Abre a las 8:30a.m.,Fresnillo
Manduca,,None Found,+52 493 190 4743,"Paseo del Mineral #101A, Col, Emiliano Zapata, 99010 Fresnillo, Zac., México",Restaurante, Abre a las 9a.m.,Fresnillo
Restaurante Mi Refugio,,None Found,+52 493 101 4584,"Francisco Sarabia 61, Centro, 99000 Fresnillo, Zac., México",Restaurante, Abre a las 12p.m. del lun,Fresnillo
Azotea Terraza Bar,facebook.com,None Found,+52 493 939 6425,"Av. Sonora 221, Centro, 99000 Fresnillo, Zac., México",Bar restaurante, Abre a las 4p.m.,Fresnillo
