Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurant La Mexicana,facebook.com,None Found,,"Prof. Victoriano Treviño 200, Cabecera Municipal, 66000 García, N.L., México",Restaurante mexicano, Abre a las 9a.m.,García
Los primos,,None Found,+52 81 8283 1583,"Lerdo de Tejada, Centro de García, García, N.L., México",Restaurante mexicano, Abre a las 8:30a.m.,García
La Terraza,facebook.com,None Found,,"Heberto Castillo Martínez, 848, Paseo de las Minas, 66003 García, N.L., México",Restaurante, Abre a las 8:30a.m.,García
"La Doña ""Comida Mexicana""",facebook.com,None Found,+52 81 1500 8933,"Nardo 610, Paseo del Nogal, 66004 García, N.L., México",Restaurante, Abre a las 10a.m.,García
El Costeño,,None Found,+52 81 8283 0107,"Escobedo 100, El Fraile I, 66005 García, N.L., México",Marisquería, Abre a las 11:30a.m.,García
La Milpa,,None Found,+52 81 1352 1468,"Villa Roma Col, Privadas de las Villas, 66000 García, N.L., México",Restaurante,,García
"Restaurante La Quinta, García, N. L.",,None Found,+52 81 8283 0405,"Lerdo de Tejada 101, San Martín, 66005 García, N.L., México",Restaurante mexicano, Abre a las 8a.m. del lun,García
Casco Antiguo,,None Found,+52 81 8283 3424,"Arnulfo García 106, Cabecera Municipal, 64720 García, N.L., México",Restaurante, Abre a las 9a.m.,García
Tierra a la vista,,None Found,,"Roble, Las Arboledas, 66004 García, N.L., México",Marisquería,,García
TACOS LOS RODRIGUEZ,,None Found,,"20 de Noviembre 168, El Fraile II, 66005 García, N.L., México",Taquería, 2a.m. ,García
Mariscos Diego,,None Found,,"Fraccionamiento Avenida Lázaro Cárdenas 501, Emiliano Zapata, 66005 García, N.L., México",Restaurante familiar, Cierra a las 8p.m.,García
T-Grill,,None Found,+52 81 1630 3479,"Privadas de las Villas, 66003 García, N.L., México",Parrilla, Abre a las 10a.m.,García
La Villita Grill,,None Found,+52 81 2232 7942,"Hacienda del Sol, 66003 García, N.L., México",Parrilla, Abre a las 7:30p.m.,García
LA CEVICHERIA DE GOYITO,,None Found,+52 81 4545 7610,"Alcatraz 611, Paseo del Nogal, 66000 García, N.L., México",Marisquería, Abre a las 12p.m.,García
Restaurante De Mariscos El Pirata,,None Found,+52 81 2697 2726,"Av. Hacienda del Sol 364, 66000 García, N.L., México",Marisquería, Abre a las 12p.m.,García
La Tradición Nuevo León,,None Found,+52 81 2597 4137,"Titanio 103-Local D, Paseo de las Minas, 66001 García, N.L., México",Restaurante, Abre a las 8a.m. del lun,García
Fonda el Gustito,,None Found,+52 81 3577 0648,"Las Villas 119 Col, Privadas de las Villas, 66003 García, N.L., México",Restaurante, Abre a las 8a.m.,García
EL REY,,None Found,+52 81 2115 9773,"Las Villas, Privadas de las Villas, 66003 García, N.L., México",Restaurante, Abre a las 11a.m.,García
Wings & Wheels Garcia NL,,None Found,+52 81 1237 0646,"Heberto Castillo Martínez 1360, Mirador de García, 66003 García, N.L., México",Restaurante de alas de pollo, Abre a las 12p.m.,García
La Huasteca,,None Found,+52 81 2668 0330,"Garza Ayala 105, Cabecera Municipal, 66000 García, N.L., México",Restaurante, Abre a las 10a.m.,García
