Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Cielito Lindo Restaurant,,None Found,+52 81 8384 6975,"Av. Benito Juárez 100, Escobedo Residencial, 66057 Cdad. Gral. Escobedo, N.L., México",Restaurante mexicano, Cierra a las 12a.m.,General Escobedo
Rock&Billy,,None Found,+52 81 4040 7071,"Av. Manuel L. Barragán 220-Local 58, Joyas de Anahuac, 66054 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 11p.m.,General Escobedo
Galpão Do Brasil Escobedo,g.page,"Restaurante de luces bajas donde sirven carnes a la parrilla cortadas en la mesa, con ensaladas y acompañamientos.",+52 81 8148 4663,"Avenida Los Pinos 801 Local 25 Plaza 801, Joyas de Anahuac, 66055 Cdad. Gral. Escobedo, N.L., México",Restaurante brasileño, Cierra a las 11p.m.,General Escobedo
Las Aliadas Suc. Escobedo,,None Found,+52 81 2723 1144,"Av. Benito Juárez 301 Local 62 A, La Encomienda, 66059 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 12:30a.m.,General Escobedo
Montana Restaurante Escobedo,montanarestaurante.com,None Found,+52 81 3558 7628,"Abeto 704, Privadas de Anáhuac, Sector Francés, 66059 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 2a.m.,General Escobedo
El Camaroncito - Sucursal Escobedo,facebook.com,None Found,+52 81 1164 5461,"Av. Lic. Raúl Caballero Escamilla 511, Los Girasoles 1er Sector, 66056 Cdad. Gral. Escobedo, N.L., México",Restaurante, Abre a las 11a.m. del dom,General Escobedo
Sierra Madre Brewing Co.,smbc.com.mx,None Found,+52 81 8058 1005,"Av. Sendero Divisorio 130, Valle del Cañada, 66050 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 12a.m.,General Escobedo
Punta Pérula Restaurant,,None Found,+52 81 3282 1382,"Sin Nombre de Col 12, 66050 Cdad. Gral. Escobedo, N.L., México",Restaurante, 10p.m. ,General Escobedo
El Texanito,eltexanito.com.mx,None Found,+52 81 8030 5080,"Av. Raúl Salinas Lozano # 605, California Residencial, 66055 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 12a.m.,General Escobedo
Toks Sendero Norte,toks.com.mx,None Found,+52 81 8058 3020,"Avenida Sendero Norte 130 Pte.Sub Ancla Exterior, Valle del Cañada, 66059 Cdad. Gral. Escobedo, N.L., México",Restaurante mexicano,,General Escobedo
Antojitos el Portón,facebook.com,None Found,+52 81 2184 6160,"Los Ciruelos 136, Escobedo Residencial, 66057 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 12a.m.,General Escobedo
Capricho del Cielo,,None Found,+52 81 2235 0458,"Av. Benito Juárez 100, Escobedo Residencial, 66057 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 12a.m.,General Escobedo
Taqueria Los Arcos,,None Found,+52 81 1896 5434,"Av. de las Fuentes 632, Fuentes de Escobedo 1er Sector, 66057 Cdad. Gral. Escobedo, N.L., México",Taquería, Cierra a las 2a.m.,General Escobedo
Mariscos Huatulco Escobedo,facebook.com,None Found,+52 81 8058 2070,"Av. Lic. Raúl Caballero Escamilla 313, Monte Real, 66056 Cdad. Gral. Escobedo, N.L., México",Marisquería, Abre a las 11a.m. del dom,General Escobedo
Los Primos Restaurante (Plaza Aviana),losprimosrestaurante.mx,None Found,+52 81 1358 9513,"Av. Benito Juárez, Av. Aviana Fracc-1410-L4, Residencial, 66057 Cdad. Gral. Escobedo, N.L., México",Marisquería, 10p.m. ,General Escobedo
Los Candiles Antojitos,,None Found,+52 81 1059 9959,"Av Raúl Salinas Lozano, Felipe Carrillo Puerto 102, 66050 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 12a.m.,General Escobedo
La fonda chiquita,,None Found,+52 81 8384 0133,"Donato Elizondo 302, Las Encinas, 66050 Cdad. Gral. Escobedo, N.L., México",Restaurante, Abre a las 8a.m. del lun,General Escobedo
La Casa Del Gordo,facebook.com,None Found,,"C. 4 Ciénegas 123, Las Encinas, 66050 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 12a.m.,General Escobedo
Casa Huasteca - Escobedo,facebook.com,None Found,+52 81 2643 9733,"Av. Las Torres 710, Valle de Girasoles, 66056 Cdad. Gral. Escobedo, N.L., México",Restaurante mexicano, Abre a las 9a.m. del dom,General Escobedo
Wings Army,,None Found,+52 81 2165 4777,"subancla1, Av. Benito Juárez 201, Privadas de Anáhuac, 66059 Cdad. Gral. Escobedo, N.L., México",Restaurante americano, Cierra a las 11p.m.,General Escobedo
La Casa del Elote,facebook.com,None Found,+52 81 2680 8484,"Av. Los Pinos 626, Fuentes de Escobedo 1er Sector, 66057 Cdad. Gral. Escobedo, N.L., México",Restaurante, 10:30p.m. ,General Escobedo
Rincón Mazatleco,,None Found,+52 81 8058 4449,"Avenida Benito Juárez 908 FG, Lázaro Cárdenas, 66058 Cdad. Gral. Escobedo, N.L., México",Marisquería, Abre a las 12p.m. del dom,General Escobedo
Zona 24,m.facebook.com,None Found,+52 81 2587 6050,"Benito Juarez, Miravista 1026-Local 111, 66056 Cdad. Gral. Escobedo, N.L., México",Hamburguesería, Cierra a las 11:30p.m.,General Escobedo
Antojitos Mexicanos Los Pinos,,None Found,+52 81 2475 6472,"Av. Los Pinos 106, Topo Grande, 66056 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 11p.m.,General Escobedo
Tacos Los Rieles,,None Found,+52 81 1687 5358,"Pino Suárez 102, Los Elizondo, 66058 Cdad. Gral. Escobedo, N.L., México",Taquería, Cierra a las 12a.m.,General Escobedo
Casa de las Salsas,,None Found,+52 81 4285 1072,"Av. Benito Juárez 301, Col. La Encomienda, Privadas de Anáhuac, 66059 Cdad. Gral. Escobedo, N.L., México",Restaurante mexicano, Cierra a la 1a.m.,General Escobedo
Mariscos La Azulita,,None Found,+52 81 2743 9942,"Flamenco #157 Av. Villas De San Francisco De Asis, 66062 Cdad. Gral. Escobedo, N.L., México",Marisquería, 9:50p.m. ,General Escobedo
Mariscos La Anacua,,None Found,+52 81 2235 0580,"Av. Las Torres 710, Valle de Girasoles, 66056 Cdad. Gral. Escobedo, N.L., México",Marisquería, 10:30p.m. ,General Escobedo
Mar y Tierra,,None Found,+52 81 8058 2373,"Av. Benito Juárez #106, 16 de septiembre, 66050 Cdad. Gral. Escobedo, N.L., México",Marisquería, Abre a las 12p.m. del dom,General Escobedo
Choche burger Sucursal Escobedo,linktr.ee,None Found,+52 81 2386 5363,"Av. Los Pinos 300, Los rincones, 64000 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 11p.m.,General Escobedo
LA REGIA,,None Found,+52 81 4013 1794,"Av. Los Pinos 616, Nexxus Residencial, Diamante, 66055 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 2a.m.,General Escobedo
Wingstop Citadina Escobedo,wingstop.com.mx,Cadena informal de servicio en caja que ofrece una variedad de alitas de pollo y acompañamientos.,+52 81 2704 3569,"Av. Raúl Salinas Lozano 555, Fraccionamiento Cortijo los Ayala, 66072 Cdad. Gral. Escobedo, N.L., México",Restaurante de alas de pollo, Cierra a las 11p.m.,General Escobedo
Johnster Parque Lineal,johnster.mx,None Found,,"Av. Las Torres 325-L-38, Las Fuentes, 66056 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 12a.m.,General Escobedo
La Casa de Las Milanesas,,None Found,+52 81 8008 4203,"Av. Las Torres 310-B-Piso 2, Villas de Escobedo, 66056 Cdad. Gral. Escobedo, N.L., México",Restaurante mexicano, Abre a las 8:30a.m. del lun,General Escobedo
LA LOTERIA restaurante y antojitos mexicanos,,None Found,+52 81 8202 2464,"Av. Las Torres 147, Riveras de Girasoles, 66056 Cdad. Gral. Escobedo, N.L., México",Restaurante mexicano, 10:30p.m. ,General Escobedo
Papa goyo's,,None Found,+52 81 2340 4346,"Av. Las Torres 211, Roble Nuevo, 66055 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 11:15p.m.,General Escobedo
La Cocina Del Amiguito,,None Found,+52 81 1130 2485,"Villas de México 294 col, Roble Nuevo, 66056 Cdad. Gral. Escobedo, N.L., México",Restaurante, Abre a las 11a.m. del lun,General Escobedo
Tacos y Kekas Don José.,,None Found,+52 81 3418 0665,"Av. Los Pinos 101, Ntra. Sra. de Fátima, 66057 Cdad. Gral. Escobedo, N.L., México",Taquería, Cierra a las 12:30a.m.,General Escobedo
Oriental Wok Citadina Escobedo,orientalwok.mx,None Found,+52 81 1363 0495,"Av. Raúl Salinas Lozano 591, Sin Nombre de Col 10, Hacienda del Topo, 66072 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 12a.m.,General Escobedo
Oriental Wok Citadina Escobedo,orientalwok.mx,None Found,+52 81 1363 0495,"Av. Raúl Salinas Lozano 591, Sin Nombre de Col 10, Hacienda del Topo, 66072 Cdad. Gral. Escobedo, N.L., México",Restaurante, Cierra a las 12a.m.,General Escobedo
Buffet Los Chinos,,None Found,,"Av. Benito Juárez 1406, colonia 15, 66050 Cdad. Gral. Escobedo, N.L., México",Restaurante chino, 10p.m. ,General Escobedo
Los Brothers,,None Found,+52 81 8707 4985,"C. Rio Nazas 606, Jardines del Cañada, 66050 Cdad. Gral. Escobedo, N.L., México",Restaurante, Abre a las 8a.m. del dom,General Escobedo
Sichi Sushi & Coffee Rest. Mi Plaza Escobedo,7sichi.com,None Found,+52 81 2472 5379,"34, Av. Las Torres 710, Sin Nombre de Col 16, 66056 Cdad. Gral. Escobedo, N.L., México",Restaurante japonés, Abre a la 1:30p.m. del dom,General Escobedo
