Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
La Tequila Cocina de México Av México,latequila.com,Restaurante con renovado menú mexicano presentado en distintos salones y terrazas con estilo neorrústico.,+52 33 3640 3440,"Av. México 2830, Terranova, 44689 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Guadalajara
La Chata de Guadalajara,lachata.com.mx,Comida mexicana y especialidades de Guadalajara en un lugar informal decorado con fotos clásicas de la ciudad.,+52 33 3613 0588,"Av. Ramón Corona 126, Zona Centro, 44100 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Guadalajara
Bruna Restaurante,bruna.com.mx,"Restaurante a la moda con un menú refinado de mariscos regionales, platos de carne y postres.",+52 33 2003 0904,"C. Miguel Lerdo de Tejada 2418, Lafayette, 44150 Guadalajara, Jal., México",Restaurante mexicano, Cierra a la 1a.m.,Guadalajara
Porfirio's Guadalajara | Restaurante de comida mexicana,porfirios.com.mx,None Found,+52 33 1001 7729,"Punto, São Paulo 2334 A, Providencia, 44630 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Guadalajara
Pig's Pearls,pigspearls.com,"Restaurante estilo industrial chic que sirve hamburguesas, pequeños platos eclécticos y cerveza artesanal.",+52 33 3825 5933,"C. Gral. Coronado 79, Col Americana, Zona Centro, 44100 Guadalajara, Jal., México",Hamburguesería, Cierra a las 12a.m.,Guadalajara
Suehiro,suehiro.com.mx,"Restaurante japonés lujoso con jardín, conocido por el sushi y la cocina en parrilla al estilo hibachi.",+52 33 3826 0094,"Av. de la Paz 1701, Col Americana, Americana, 44160 Guadalajara, Jal., México",Restaurante japonés,,Guadalajara
Asador La Vaca Argentina Pérgolas,lavaca-argentina.com,"Carnes, pescados y mariscos a la parrilla y pizzas a la leña elaboradas en un asador con estilo cosmopolita.",+52 33 3630 1160,"Calle Tomás V. Gómez 25, Ladron De Guevara, 44650 Guadalajara, Jal., México",Restaurante argentino, Cierra a las 11p.m.,Guadalajara
Anita Li,anitali.mx,"Restaurante alegre con platos de temporada inspirados en Asia y México, cocteles y vinos.",+52 33 3647 4757,"Av Inglaterra 3100, Vallarta Poniente, 44110 Guadalajara, Jal., México",Restaurante, Cierra a las 8p.m.,Guadalajara
Casa Bariachi,casa-bariachi.com,"Restaurante alegre con comida clásica mexicana, show tradicional de mariachis y varios tipos de tequilas.",+52 33 3616 9900,"Av. Ignacio L Vallarta 2221, Arcos Vallarta, 44130 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 3a.m.,Guadalajara
Restaurante Alcalde,alcalde.com.mx,"Restaurante con ventanas de pared completa, cocteles y versiones originales de la comida tradicional mexicana.",+52 33 3615 7400,"Av. México 2903, Vallarta Nte., 44690 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 11p.m.,Guadalajara
Sagrantino,sagrantino.com.mx,"Espacio romántico con gastronomía sofisticada, platos de temporada de jabalí y venado, y carta de vinos.",+52 33 3813 1399,"Diag. Golfo de Cortés 4152, Monraz, 44670 Guadalajara, Jal., México",Restaurante de alta cocina, Cierra a la 1a.m.,Guadalajara
El Italiano,elitaliano.mx,"Restaurante lujoso con decoración elegante, vino y platos italianos como filetes asados y mariscos.",+52 33 3813 1587,"Diag. Golfo de Cortés 4134, Monraz, 44670 Guadalajara, Jal., México",Restaurante italiano, Cierra a la 1a.m.,Guadalajara
Cabanna Restaurant,cabanna.com.mx,"Un espacio moderno y colorido con mesas al aire libre que ofrece antojitos mexicanos, pizzas y ensaladas.",+52 33 3640 1517,"Av. México 2972, Juan Manuel, 44680 Guadalajara, Jal., México",Marisquería,,Guadalajara
TOMATE Taquería,tomatetaqueria.com,"Local animado de tacos al pastor y un especial repleto de carne, queso y tomates, además de micheladas.",+52 33 3825 3331,"Av. Chapultepec Sur 361, Col Americana, Americana, 45681 Guadalajara, Jal., México",Taquería, Cierra a la 1a.m.,Guadalajara
Restaurante Allium,allium.com.mx,Restaurante tranquilo de cocina mexicana creativa con productos locales y mesas de madera.,+52 33 3615 6401,"Av Providencia 2411-Local 106, Providencia, 44630 Guadalajara, Jal., México",Restaurante de alta cocina, Cierra a las 11p.m.,Guadalajara
El Sacromonte,,Restaurante de temática taurina con platos refinados como chiles rellenos con semillas de granada.,+52 33 3825 5447,"C. Pedro Moreno 1398, Col Americana, Americana, 44600 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 11p.m.,Guadalajara
El Sacromonte,,Restaurante de temática taurina con platos refinados como chiles rellenos con semillas de granada.,+52 33 3825 5447,"C. Pedro Moreno 1398, Col Americana, Americana, 44600 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 11p.m.,Guadalajara
El Pilón de Los Arrieros,elpilondelosarrieros.com,"Establecimiento colorido con mesas en el jardín, decoración ecléctica y gastronomía tradicional mexicana.",+52 33 3613 2799,"C/ Galeana 388, Zona Centro, 44100 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 9:30p.m.,Guadalajara
El Pilón de Los Arrieros,elpilondelosarrieros.com,"Establecimiento colorido con mesas en el jardín, decoración ecléctica y gastronomía tradicional mexicana.",+52 33 3613 2799,"C/ Galeana 388, Zona Centro, 44100 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 9:30p.m.,Guadalajara
La Matera,lamatera.mx,"Restaurante de lujo de carnes, mariscos y pizza al estilo argentino, con una larga lista de vinos.",+52 33 3616 1626,"Av. México 2895, Vallarta Nte., 44690 Guadalajara, Jal., México",Restaurante argentino, Cierra a las 12a.m.,Guadalajara
Río Viejo,,"Establecimiento romántico, con un bar y mesas al aire libre, en el que se ofrecen platos típicos mexicanos.",+52 33 3333 4033,"Av. Chapultepec Sur 693, Moderna, 44190 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Guadalajara
Carnes En Su Jugo Mexicaltzingo 1617,carnesmexicaltzingo.com,Gastronomía local en un restaurante relajado especializado en carnes en su jugo.,+52 33 1747 5902,"C. Mexicaltzingo 1617, Americana, 44190 Guadalajara, Jal., México",Restaurante mexicano, 6:30p.m. ,Guadalajara
Karne Garibaldi Sucursal Santa Tere,,None Found,+52 33 4737 4884,"Calle Garibaldi 1306, Santa Teresita, 44200 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 10p.m.,Guadalajara
Brick SteakHouse,,None Found,+52 33 2471 7066,"Av. de las Américas 1254, Country Club, 44610 Guadalajara, Jal., México",Restaurante especializado en filetes, Cierra a las 12a.m.,Guadalajara
La Casa de Los Platos,casadelosplatos.com,Restaurante estilo chalé donde se sirven carnes asadas tradicionales de Guadalajara y platos de queso adobera.,+52 33 1814 5513,"São Paulo 2367, Providencia, 44630 Guadalajara, Jal., México",Restaurante mexicano, Cierra a las 12a.m.,Guadalajara
