Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
La Casona Lindavista,lacasonamty.com.mx,None Found,+52 81 8394 4738,"Av. Miguel Alemán 5333-Local 2, Cerradas de Linda Vista, 67130 Guadalupe, N.L., México",Restaurante mexicano, Cierra a las 11p.m.,Guadalupe
LA FAENA,,"Restaurante informal y animado en el que se ofrecen nachos, filetes y otros platos populares, además de un menú para niños.",+52 81 8367 9939,"Av. Pablo Livas 3020, Progreso, 67170 Guadalupe, N.L., México",Restaurante mexicano, Cierra a las 2a.m.,Guadalupe
La Divina Linda Vista,ladivina.mx,"Platillos mexicanos en un espacio amplio con decoraciones en madera, servicio al bar y ambiente tradicional.",+52 81 8334 8044,"Av. Miguel Alemán 4443, Linda Vista, 67123 Guadalupe, N.L., México",Restaurante mexicano,,Guadalupe
Los Agaves,m.facebook.com,None Found,+52 81 4666 0922,"Av. Miguel Alemán 5500, Ribera de La Purísima, 67130 Guadalupe, N.L., México",Restaurante de desayunos, Cierra a las 12a.m.,Guadalupe
El Guayabo,,Restaurante con detalles de ladrillo donde se fusionan los sabores asiáticos y mexicanos en un ambiente tranquilo.,+52 81 8364 7645,"Aquamarina 4105, Villa Española, 67118 Guadalupe, N.L., México",Restaurante especializado en fusión asiática, Cierra a las 10:30p.m.,Guadalupe
El Garza Cocina de Tradición,elgarza.com,None Found,+52 81 8337 2699,"Esquina Guadalupe, C. Vicente Guerrero 302, Centro de Guadalupe, 67100 Guadalupe, N.L., México",Restaurante, Cierra a las 2a.m.,Guadalupe
La Arrachera,laarrachera.com,"Restaurante tradicional que ofrece carnes asadas al carbón, tacos y tequila en un comedor luminoso.",+52 81 8379 5350,"Av. Constituyentes de Nuevo León 111, Arboledas de Corregidora, 67130 Guadalupe, N.L., México",Restaurante mexicano, Cierra a las 11:30p.m.,Guadalupe
"Restaurante ""Las Palmas""",,None Found,+52 81 2164 9001,"Guadalupe 7721, Santa María Sector C, 67198 Guadalupe, N.L., México",Marisquería, Cierra a las 11p.m.,Guadalupe
Restaurante las Palmas,,None Found,+52 81 8379 5202,"S. Eugenio 101, Vista Sol, 67128 Guadalupe, N.L., México",Restaurante mexicano, 9p.m. ,Guadalupe
Tacos el Güero Linda Vista,tacoselguero.mx,None Found,+52 81 8379 6868,"Av. Miguel Alemán 252, Libertad, 67123 Guadalupe, N.L., México",Taquería, Cierra a las 3a.m.,Guadalupe
La Tortuga mariscos,,None Found,+52 81 1207 4695,"Independencia 233, Paraíso, 67180 Guadalupe, N.L., México",Marisquería, Cierra a las 10p.m.,Guadalupe
El lugar de Max,lugardemax.com,"Restaurante sencillo y animado con desayuno tipo buffet, hamburguesas rebosantes y platos mexicanos.",+52 81 4058 0600,"Av. Miguel Alemán 1301, Arboledas de Nueva Linda Vista, 67129 Guadalupe, N.L., México",Restaurante, Cierra a las 11p.m.,Guadalupe
La Costa Regia,,None Found,+52 81 4444 7406,"Calle, Benito Juárez 224, Centro de Guadalupe, 67100 Guadalupe, N.L., México",Marisquería, Cierra a las 10p.m.,Guadalupe
Los Generales Buffets Lindavista,generales.com.mx,None Found,+52 81 8334 3940,"Co, Av. Miguel Alemán No. 5351, Cerradas de Linda Vista, 67125 Guadalupe, N.L., México",Buffet libre, Cierra a las 11p.m.,Guadalupe
El Terreno Food Park,elterreno.mx,Local con música en vivo y puestos ambulantes en contenedores artísticos que rodean una terraza festiva.,,"Cádiz 130, Las Americas, 67125 Guadalupe, N.L., México",Restaurante,,Guadalupe
Sierra Madre Brewing Co.,smbc.com.mx,None Found,+52 81 8394 8695,"Eje Metropolitano, Av. Miguel Alemán 30 6064, Torres de Linda Vista, 67138 Guadalupe, N.L., México",Cervecería artesanal, Cierra a las 12a.m.,Guadalupe
El Gran Pastor Linda Vista,,None Found,+52 81 8377 8456,"Av Miguel Aleman, Monterrey - Apodaca S/N, Linda Vista, 67121 Guadalupe, N.L., México",Restaurante mexicano, Cierra a las 11p.m.,Guadalupe
El Tiago Restaurante Suc Guadalupe,,None Found,+52 81 2316 9575,"Lic. Francisco de Barbadillo 203A, Centro, 67100 Guadalupe, N.L., México",Restaurante mexicano, Abre a las 8a.m. del dom,Guadalupe
Laly's Restaurante,,None Found,+52 81 8337 3948,"Gral. Plutarco Elías Calles 3302, Riberas del Río, 67160 Guadalupe, N.L., México",Restaurante familiar, Cierra a las 11p.m.,Guadalupe
Restaurant El Cabrito Regional,matangazo.mx,None Found,+52 81 8377 6815,"Av. Uno #1100, Central de Carga, 67129 Guadalupe, N.L., México",Restaurante mexicano, Cierra a las 10p.m.,Guadalupe
Zitla Y Zicatela Restaurante Bar,instagram.com,None Found,+52 81 8398 6227,"Av. Pablo Livas 2500-Local 28, La Silla, 64700 Guadalupe, N.L., México",Bar restaurante, Cierra a las 11:30p.m.,Guadalupe
Pecos Bill,pecos-bill.com,Restaurante con estilo campestre especializado en carnes asadas y antojitos ofrecidos en buffet y a la carta.,+52 81 8377 7613,"Av. Miguel Alemán 202, Libertad, 67123 Guadalupe, N.L., México",Restaurante mexicano,,Guadalupe
Laly's Restaurante - Eloy Cavazos,,None Found,+52 81 8361 6858,"Av Eloy Cavazos 7010-Local 2, México 86, 67194 Guadalupe, N.L., México",Restaurante familiar, Cierra a las 10:30p.m.,Guadalupe
La Puntada Restaurante,lapuntada.com.mx,None Found,+52 81 8393 6922,"Maestro, Av Maestro Israel Cavazos Garza 1200-Pad 2, Roble Santa María, 67190 Guadalupe, N.L., México",Restaurante, 9p.m. ,Guadalupe
Noreste Grill,norestegrill.com.mx,None Found,+52 81 1164 4528,"Av. Miguel Alemán 5000, Nueva Linda Vista, 67110 Guadalupe, N.L., México",Restaurante, Cierra a las 11p.m.,Guadalupe
EL MUELLE DE NICO Suc Eloy Cavazos,,None Found,+52 81 2034 6186,"Rincón del Tepeyac 1747, Rincón de Guadalupe, 67193 Guadalupe, N.L., México",Club nocturno, Cierra a las 3a.m.,Guadalupe
El Rincon Del Tiburon,,None Found,+52 81 1311 9027,"Santa María Sector C, 67190 Guadalupe, N.L., México",Marisquería, Abre a las 11:30a.m. del dom,Guadalupe
El Torito Sinaloense - Sucursal LINDA VISTA,,None Found,+52 81 1968 6068,"Av. Miguel Alemán 6063, Las Americas, 67125 Guadalupe, N.L., México",Restaurante, Cierra a las 2a.m.,Guadalupe
Restaurante Casa de Mamá,facebook.com,None Found,+52 81 8394 9136,"S. Alfonso 1417, La Purísima, 67129 Guadalupe, N.L., México",Restaurante mexicano, Abre a las 9a.m. del lun,Guadalupe
Restaurant café Rinkon,,None Found,+52 81 1093 6500,"Av Eloy Cavazos 7607-A, Rincón de Guadalupe, 67198 Guadalupe, N.L., México",Restaurante, Cierra a las 11p.m.,Guadalupe
Antojitos Tauro - Cocina Mexicana,,None Found,+52 81 2528 6745,"OLIMPIA, C. Tauro 1400A, Nueva Linda Vista, 67129 Guadalupe, N.L., México",Restaurante, Cierra a las 11p.m.,Guadalupe
Tostadas de la Azteca,facebook.com,Local concurrido y sencillo en el que se sirven tostadas clásicas con varios aderezos y salsas.,,"Navajo, Azteca, 67150 Guadalupe, N.L., México",Restaurante mexicano, 9p.m. ,Guadalupe
Palax Restaurante Suc. Expo,,None Found,+52 81 2704 4081,"General Plutarco Elías Calles, Av Azteca &, Azteca, 67150 Guadalupe, N.L., México",Restaurante,,Guadalupe
Taqueria La Mexicana,taquerialamexicana.mx,None Found,+52 81 8141 0043,"Av. Miguel Alemán 4422B, Linda Vista, 67123 Guadalupe, N.L., México",Taquería, Abre a las 8a.m. del dom,Guadalupe
Taquería La Yberia,,None Found,+52 81 8367 1081,"Lic. Francisco de Barbadillo, Centro de Guadalupe, 67100 Guadalupe, N.L., México",Taquería, Abre a las 9:30a.m. del dom,Guadalupe
Doña Sefe,,None Found,+52 81 8398 6000,"Guerra, 67155 Guadalupe, N.L., México",Restaurante mexicano, Cierra a las 10:30p.m.,Guadalupe
Taquería Las Delicias Exposición | Guadalupe,facebook.com,"Local sencillo y animado en el que se sirven tacos, tortas, burritos y otras comidas rápidas.",+52 81 8337 9291,"Avenida Benito Juárez, Av. Tolteca 1612, 67150 Guadalupe, N.L., México",Taquería,,Guadalupe
LA HIPPIOSA,facebook.com,None Found,+52 81 1164 2989,"pablo livas, Av. Pablo Livas 2400, Las Villas, 67170 Guadalupe, N.L., México",Restaurante, Cierra a las 12a.m.,Guadalupe
La Goudina,,None Found,+52 81 8394 3709,"Av. Miguel Alemán 4425-Loc-27, Linda Vista, 67123 Guadalupe, N.L., México",Restaurante italiano, Cierra a las 10p.m.,Guadalupe
RESTAURANT BAR EL GARAGE,,None Found,+52 81 2942 2197,"C. Guadalupe 713, Centro de Guadalupe, 67100 Guadalupe, N.L., México",Bar restaurante, Cierra a las 2a.m.,Guadalupe
Colmillo Arboleda,colmillo.mx,None Found,+52 81 1988 8229,"Parque Arboleda, Av. del Roble 660-Local 303, Valle del Campestre, 66265 San Pedro Garza García, N.L., México",Restaurante, Cierra a las 2a.m.,Guadalupe
Colmillo Arboleda,colmillo.mx,None Found,+52 81 1988 8229,"Parque Arboleda, Av. del Roble 660-Local 303, Valle del Campestre, 66265 San Pedro Garza García, N.L., México",Restaurante, Cierra a las 2a.m.,Guadalupe
Antojitos Mexicanos Santa María,,None Found,+52 81 8361 7649,"C. Geranio 7205, Santa María Sector A, 67190 Guadalupe, N.L., México",Restaurante mexicano, Cierra a las 12a.m.,Guadalupe
Las Famosas,facebook.com,None Found,+52 81 1554 3245,"Av. Evolución 158, Tacubaya, 67900 Guadalupe, N.L., México",Restaurante, Cierra a las 12a.m.,Guadalupe
Doble R restaurant,,None Found,,"Vista Florida 212, Linda Vista, 67130 Guadalupe, N.L., Guadalupe, Mexico, Vista Florida 212, Linda Vista, 67130 Guadalupe, N.L., México",Restaurante familiar, Abre a las 12p.m. del lun,Guadalupe
Taquería Guadalupe,lataqueriaguadalajara.com,None Found,+52 81 8354 0141,"C/ Hidalgo 209, Centro de Guadalupe, 67100 Guadalupe, N.L., México",Taquería, Cierra a las 10:30p.m.,Guadalupe
Restaurant Campreste Mata Crudas,,None Found,+52 492 154 1225,"Carr A Sauceda de la Borda 37-Local C, La Fe, 98615 Guadalupe, Zac., México",Restaurante mexicano, Cierra a las 10p.m.,Guadalupe
Pepe's Antojitos Mexicanos,,None Found,+52 81 3123 1317,"C. del Lindero, Paseo de San Miguel, 67110 Guadalupe, N.L., México",Restaurante mexicano, Cierra a las 11:30p.m.,Guadalupe
Taquería Los Petates,,None Found,+52 81 3068 6777,"Av. Miguel Alemán 110, Libertad, 67123 Guadalupe, N.L., México",Taquería, Cierra a las 2a.m.,Guadalupe
Antojitos Mexicanos Maricela,,None Found,+52 81 2510 9163,"Tulum 71, La Hacienda, 67168 Guadalupe, N.L., México",Restaurante, Cierra a las 12a.m.,Guadalupe
Mariscos La Anacua,mariscosanacua.com,None Found,+52 81 8364 8178,"C. Tauro #112, Nueva Linda Vista, 67129 Guadalupe, N.L., México",Marisquería, 9p.m. ,Guadalupe
Los Garza,facebook.com,None Found,+52 81 1876 0624,"C/ Hidalgo 401, Centro de Guadalupe, 67100 Guadalupe, N.L., México",Restaurante,,Guadalupe
Bucéfalos,,None Found,+52 81 4001 0012,"Av Eloy Cavazos 7301, Santa María Sector C, 67198 Guadalupe, N.L., México",Restaurante, Cierra a las 11:30p.m.,Guadalupe
Mariscos El Calamar Sucursal Eloy Cavazos,facebook.com,None Found,+52 81 8334 6067,"Av Eloy Cavazos 7010, México 86, 67194 Guadalupe, N.L., México",Marisquería, Cierra a las 10p.m.,Guadalupe
Buffalo Wild Wings,buffalowildwings.com.mx,"Cadena de comida para llevar y entregar a domicilio con alitas, tiras de pollo, salsas y mucho más.",+52 81 2127 1850,"Av. Miguel Alemán 108, Linda Vista, 67123 Guadalupe, N.L., México",Bar restaurante,,Guadalupe
Menudo Don Luis,,None Found,+52 341 158 1099,"Benito Juárez 1540, Exposición, 67155 Guadalupe, N.L., México",Restaurante,,Guadalupe
Tacos El Primo Rubio 1,,None Found,,"Av. Pablo Livas, Parques de Guadalupe, 67180 Guadalupe, N.L., México",Taquería, Cierra a las 11p.m.,Guadalupe
Tacos El Guero,,None Found,+52 81 8360 1370,"Chula Vista, 67188 Guadalupe, N.L., México",Taquería, Cierra a la 1a.m.,Guadalupe
Mariscos El Calamar Sucursal Pablo Livas,facebook.com,None Found,+52 81 8393 9370,"Alamo 4621, Valle La Silla, 67180 Guadalupe, N.L., México",Marisquería, Cierra a las 10p.m.,Guadalupe
Barbacoa La Pasadita,,None Found,,"Puebla 511, Residencial Azteca, 67150 Guadalupe, N.L., México",Restaurante especializado en barbacoa, Abre a las 6a.m. del dom,Guadalupe
Antojitos Mexicanos Mision San Miguel,,None Found,+52 81 8317 2797,"P.º de las Américas 100, Valle del Contry 2o Sector, 67174 Guadalupe, N.L., México",Restaurante mexicano, Abre a las 9a.m. del lun,Guadalupe
Mariscos El Calamar Sucursal Mexico,facebook.com,None Found,+52 81 8393 5254,"Loma Verde 154, Lomas de San Miguel, 67113 Guadalupe, N.L., México",Marisquería, Cierra a las 10p.m.,Guadalupe
Noreste Grill,norestegrill.com.mx,None Found,+52 81 4066 1859,"Sun Mall Pablo Livas, Av. Pablo Livas 7601, Rincón de Guadalupe, 67190 Guadalupe, N.L., México",Restaurante, Cierra a las 10p.m.,Guadalupe
Comidas Caseras Allende,,None Found,+52 81 8393 9601,"Emiliano Zapata SN, Jardines de Santa Clara, 67184 Guadalupe, N.L., México",Restaurante familiar, Abre a las 8a.m. del lun,Guadalupe
Tacos El Pueblita,,None Found,,"Av. Pablo Livas 3209, Camino Real, 67170 Guadalupe, N.L., México",Taquería, Cierra a las 4a.m.,Guadalupe
WAKA HOUSE,facebook.com,None Found,+52 81 2618 0454,"C. Guadalupe 814, Marte, 67185 Guadalupe, N.L., México",Restaurante, Cierra a las 11:30p.m.,Guadalupe
Taqueria La Malinche,,None Found,+52 81 3857 8684,"C. Guadalupe 246-306, Centro de Guadalupe, 67100 Guadalupe, N.L., México",Taquería, Abre a las 8a.m. del dom,Guadalupe
Taquería las Delicias - Estadio,facebook.com,None Found,+52 81 1873 9528,"Única 1603, La Quinta, 67175 Guadalupe, N.L., México",Taquería, Cierra a las 11:30p.m.,Guadalupe
Restaurante Rong Li,,None Found,+52 81 8341 2150,"Plaza Platino, Blvd. Acapulco 402, Arboledas de Acapulco, 67113 Guadalupe, N.L., México",Restaurante chino, 9:30p.m. ,Guadalupe
