Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Mariscos El Rey,mariscoselrey.com.mx,Desenfadado restaurante con estilo costero en donde se ofrecen pescados y mariscos acompañados de cerveza.,+52 644 272 0028,"García López, Campo de Tiro, 85420 Guaymas, Son., México",Marisquería, Abre a las 8a.m.,Guaymas
EL Mazateño,facebook.com,None Found,+52 622 221 2000,"Luis Encinas 652, Petrolera, 85448 Guaymas, Son., México",Marisquería, Abre a las 10a.m.,Guaymas
Los Arbolitos De Cajeme Guaymas,mariscoslosarbolitos.com,None Found,+52 622 221 2601,"Carr. Internacional KM 1982, Loma Linda, 85420 Guaymas, Son., México",Marisquería, Abre a las 8a.m.,Guaymas
El Oeste,,None Found,+52 55 5487 2311,"Gaspar Zaragoza Iberri 78, Petrolera, 85456 Guaymas, Son., México",Restaurante de platos de carne, Abre a las 10:30a.m.,Guaymas
La Cocina de Rita,facebook.com,None Found,+52 622 131 0082,"85500 San José de Guaymas, Son., México",Restaurante, Abre a las 8:30a.m.,Guaymas
Restaurante el Sauce y la Palma,facebook.com,None Found,+52 622 224 3457,"C. 13 Sur n, Centro, 85400 Guaymas, Son., México",Restaurante mexicano, Abre a la 1p.m.,Guaymas
Mariscos Miramar,,None Found,+52 622 119 2000,"Luis Encinas 37, Lomas de Miramar, 85448 Guaymas, Son., México",Marisquería, Abre a las 10a.m.,Guaymas
Cocos con mariscos El Kany,,None Found,+52 622 123 3965,"Femosa o El Tular, 85456 Guaymas, Son., México",Marisquería, Abre a las 10a.m.,Guaymas
Los Takuchos,m.facebook.com,None Found,+52 622 122 6881,"CAMINO VIEJO, A Miramar, Quintas Guaymas, 85448 Guaymas, Son., México",Taquería, Abre a las 4:30p.m. del lun,Guaymas
Lucerito de Guaymas,,None Found,+52 622 222 3277,"85400, Av. XII Pte. 320, Centro, 85400 Guaymas, Son., México",Restaurante,,Guaymas
Reef Town,reeftown.mx,None Found,+52 622 221 1420,"Boulevard Luis Encinas, PLAZA ALTEA, Quintas Guaymas, 85448 Guaymas, Son., México",Bar restaurante,,Guaymas
