Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Las Cúpulas Restaurant-Bar,facebook.com,None Found,+52 871 222 1321,"Ignacio Ramírez #632 pte, Col. Centro, 35000 Gómez Palacio, Dgo., México",Restaurante familiar, Abre a las 8a.m.,Gómez Palacio
La Pitanza,facebook.com,None Found,+52 871 455 0500,"Blvd. Ejército Mexicano Km. 4.5, Rinconadas Hamburgo, 35010 Gómez Palacio, Dgo., México",Restaurante, Abre a las 7a.m.,Gómez Palacio
New York,,None Found,+52 871 714 4684,"Blvd. Miguel Alemán 564-Bis, El Campestre, 35080 Gómez Palacio, Dgo., México",Bar restaurante, Abre a las 8a.m.,Gómez Palacio
BARRA HIDALGO,facebook.com,None Found,+52 871 715 1612,"Av Hidalgo 819, Zona Centro, 35000 Gómez Palacio, Dgo., México",Restaurante mexicano, Cierra a las 2a.m. ,Gómez Palacio
Restaurant Titos BBQ,,None Found,+52 871 750 0600,"Francisco González de la Vega 169, Valle del Nazas, 35070 Gómez Palacio, Dgo., México",Restaurante americano, Abre a las 2p.m.,Gómez Palacio
La troje Bellavista,latrojebellavist.wordpress.com,None Found,+52 871 760 0868,"Independencia 1042, Amp Bellavista, 35058 Gómez Palacio, Dgo., México",Marisquería, Abre a las 11a.m.,Gómez Palacio
Martins Gomez Palacio,martins.com.mx,None Found,+52 871 714 7541,"Blvd. Miguel Alemán s/n, Las Rosas, 35090 Gómez Palacio, Dgo., México",Restaurante mexicano, Abre a las 7a.m.,Gómez Palacio
La Jerezana,,None Found,+52 871 714 1238,"Av Morelos 357, Zona Centro, 35000 Gómez Palacio, Dgo., México",Taquería, 1a.m. ,Gómez Palacio
Restaurante Los Aguachiles,aguachiles.wordpress.com,None Found,+52 871 737 3662,"Suchil 137, Nuevo Refugio, 35029 Gómez Palacio, Dgo., México",Marisquería, Abre a las 10a.m.,Gómez Palacio
Restaurante La Esquina,,None Found,+52 871 210 0909,"Av Morelos 472, Zona Centro, 35000 Gómez Palacio, Dgo., México",Restaurante, Abre a las 7:30a.m.,Gómez Palacio
