Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Las Ranitas de Lupita,,None Found,+52 33 3480 8524,"Barranquilla 150, Chulavista, 45653 Hacienda Santa Fe, Jal., México",Restaurante mexicano, Abre a las 7a.m.,Hacienda Santa Fe
Carne En Su Jugo Santa Fe,,None Found,+52 33 4048 3687,"San Nicolás # 291 clouster 8, Hacienda Santa Fe, 45653 Hacienda Santa Fe, Jal., México",Restaurante de platos de carne, Abre a las 8a.m.,Hacienda Santa Fe
Mariscos Alys,,None Found,+52 33 1189 2515,"Calle Sta Barbara 205, Centro, 45653 Hacienda Santa Fe, Jal., México",Marisquería, Abre a las 9a.m.,Hacienda Santa Fe
A Feu Lent Restaurante Grill and Beer,es-la.facebook.com,None Found,+52 33 1099 7396,"Camino a Unión del 4 101, Real del Sol, 45654 Hacienda Santa Fe, Jal., México",Parrilla, Abre a las 2p.m.,Hacienda Santa Fe
A comer con Doña Martha,,None Found,,"Blvd. Ntra. Sra. de Las Mercedes 206, Hacienda Santa Fe, 45653 Hacienda Santa Fe, Jal., México",Restaurante, Cierra a las 12p.m. ,Hacienda Santa Fe
Cenaduria Las Comadres,,None Found,+52 33 1223 4660,"Blvrd Nuevo Mexico 124-C17, 45653 Hacienda Santa Fe, Jal., México",Restaurante, Abre a las 2p.m.,Hacienda Santa Fe
Cenaduria Las Gordas,,None Found,+52 33 1486 9656,"Brasil 120, Hacienda Santa Fe, 45653 Hacienda Santa Fe, Jal., México",Restaurante mexicano, Abre a las 5p.m.,Hacienda Santa Fe
El Mesón del Canelo - Comida Mexicana,,None Found,+52 33 1269 1585,"Tucupita 136, Hacienda Santa Fe, 45653 Hacienda Santa Fe, Jal., México",Restaurante mexicano, Abre a las 2p.m.,Hacienda Santa Fe
"Mariscos El ""Famoso"" Y ""Mary""",,None Found,+52 33 1001 1025,"Blvd. Colón 202, 45653 Hacienda Santa Fe, Jal., México",Marisquería, Abre a las 9a.m.,Hacienda Santa Fe
"Ricas Gorditas ""Doña Chuy""",,None Found,,"Av. San Guillermo 156, Hacienda Santa Fe, 45653 Hacienda Santa Fe, Jal., México",Restaurante mexicano, Abre a las 9a.m.,Hacienda Santa Fe
Órale Aguachile,,None Found,,"Blvrd Nuevo Mexico 170a, 45653 Hacienda Santa Fe, Jal., México",Marisquería, Abre a las 11a.m.,Hacienda Santa Fe
Tacos De Barbacoa Oly's,,None Found,,"Blvd. Colón 270B, Hacienda Santa Fe, 45653 Hacienda Santa Fe, Jal., México",Taquería, Abre a las 9:15a.m.,Hacienda Santa Fe
Rico Pozole Y Menudo,,None Found,,"Blvrd Nuevo Mexico 171, Hacienda Santa Fe, 45653 Hacienda Santa Fe, Jal., México",Restaurante mexicano, 5a.m. ,Hacienda Santa Fe
Tortas Y Mariscos JOS,,None Found,+52 33 3600 2645,"Blvd. Colón 354, Hacienda Santa Fe, 45653 Hacienda Santa Fe, Jal., México",Restaurante, Abre a las 9a.m.,Hacienda Santa Fe
Menuderia Sarita,,None Found,+52 33 2155 9229,"Blvd. Colón 174, Hacienda Santa Fe, 45653 Hacienda Santa Fe, Jal., México",Restaurante mexicano, Abre a las 7a.m.,Hacienda Santa Fe
El Pollo Bronco,facebook.com,None Found,+52 33 1099 5265,"Blvd. Colón 270, Hacienda Santa Fe, 45653 Hacienda Santa Fe, Jal., México",Restaurante especializado en pollo, Abre a las 10:30a.m.,Hacienda Santa Fe
WINGS BUENA VIDA,,None Found,+52 33 2537 3382,"Brasil, 45653 Hacienda Santa Fe, Jal., México",Restaurante de alas de pollo, Abre a las 2p.m.,Hacienda Santa Fe
Restaurante Patio,,None Found,,"Rio de Janeiro 253, Chulavista, 45640 Hacienda Santa Fe, Jal., México",Restaurante, Abre a las 6p.m.,Hacienda Santa Fe
