Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Palominos Río | Restaurante de cortes,restaurantpalominos.mx,Platillos y parrilladas mexicanas estilo Sonora con vino en un lugar amplio con mesas de mantel blanco.,+52 662 212 2700,"C. Galeana 72, Villa de Seris, 83270 Hermosillo, Son., México",Restaurante especializado en filetes, Cierra a las 12a.m.,Hermosillo
Sonora Grill Hermosillo,sonoragrill.com.mx,None Found,+52 662 394 1785,"Fiesta Americana, Blvd. Fco. Eusebio Kino 369 A, Lomas Pitic, 83010 Hermosillo, Son., México",Restaurante, Cierra a las 2a.m.,Hermosillo
El Marcos Hermosillo,,None Found,+52 662 215 4710,"Edificio Galerías, Blvd Colosio, Blvd. Solidaridad esquina-Local 8, Villa Satelite, 83200 Hermosillo, Son., México",Bar restaurante,,Hermosillo
Los Arbolitos de Cajeme Solidaridad,mariscoslosarbolitos.com,None Found,+52 662 260 3381,"Blvd. Solidaridad 201, Santa Fe, 83249 Hermosillo, Son., México",Marisquería, Cierra a las 11p.m.,Hermosillo
Music Zone,musiczone.mx,None Found,+52 662 267 1212,"Pabellón Reforma, Av Cultura 81-Int. K-4, Proyecto Rio Sonora Hermosillo XXI, 83270 Hermosillo, Son., México",Restaurante, Cierra a las 11:30p.m.,Hermosillo
Swiss Haus,swisshaus.mx,None Found,+52 662 217 5040,"3 cuadras a espaldas de Catedral, Av. Dr. Paliza 62, El Centenario, 83260 Hermosillo, Son., México",Restaurante, Cierra a las 11p.m.,Hermosillo
Mochomos Fusión Sonorense,mochomos.mx,Restaurante con aire casual y decoraciones campestres que ofrece menú de alta cocina del estado de Sonora.,+52 662 211 2177,"Bulevar José María Morelos 647, Colinas del, Bachoco, 83104 Hermosillo, Son., México",Bar restaurante, Cierra a la 1a.m.,Hermosillo
La Cura,,Platillos creativos e inusuales servidos en un local desenfadado con motivos náuticos y temática de piratas.,+52 662 310 7625,"Av Veracruz 77, Centro, 83000 Hermosillo, Son., México",Marisquería, 6:40p.m. ,Hermosillo
El Farallón Hermosillo,farallon.com.mx,"Un lugar elegante que tiene un menú grande de mariscos, comida mexicana y opciones internacionales como sushi.",+52 662 267 8800,"Bulevar José María Morelos 307, Las Colinas, 83145 Hermosillo, Son., México",Marisquería, Cierra a las 2a.m.,Hermosillo
Santo Olivo Restaurante,facebook.com,None Found,+52 662 264 8581,"Blvd. Luis Donaldo Colosio Murrieta 803, Residencial La Rioja, 83224 Hermosillo, Son., México",Restaurante italiano, Cierra a las 12a.m.,Hermosillo
Casa Nostra,casa-nostra.ola.click,None Found,+52 662 396 5485,"Gral. Salvador Alvarado 52, Pitic, 83150 Hermosillo, Son., México",Restaurante italiano, Cierra a las 12a.m.,Hermosillo
El Leñador,restaurantellenador.com.mx,None Found,+52 662 213 5033,"Av. Luis Donaldo Colosio Murrieta 168, El Centenario, 83260 Hermosillo, Son., México",Parrilla, Cierra a la 1a.m.,Hermosillo
Santos Grill Centenario,,None Found,+52 662 212 6262,"Santos Grill, esq Marsella 62,Centenario,, Blvd. Miguel Hidalgo, 83260 Hermosillo, México",Parrilla, Cierra a las 12a.m.,Hermosillo
Bistro Restaurante,,None Found,+52 662 260 4033,"C. Guerrero 115, Centro, 83000 Hermosillo, Son., México",Restaurante italiano, Cierra a las 11p.m.,Hermosillo
El Olivo Restaurante,facebook.com,None Found,+52 662 500 4617,"Blvd. Jesús García Morales 567, El Llano, Quinta Emilia, 83210 Hermosillo, Son., México",Restaurante, Cierra a las 11p.m.,Hermosillo
Girasole,girasoleristorante.com,"Restaurante sencillo de platos clásicos de pasta, pizzas y cocteles, con comedor en la terraza.",+52 662 214 7722,"Blvd. Hidalgo esquina con Rodolfo Campodónico 68, El Centenario, 83260 Hermosillo, Son., México",Restaurante, Cierra a las 12a.m.,Hermosillo
Quiriego Restaurante,quiriego.mx,Restaurante luminoso y moderno con patio donde se venden comidas sofisticadas internacionales y con un toque mexicano.,+52 662 340 8737,"C. Marsella 45, El Centenario, 83260 Hermosillo, Son., México",Restaurante, Cierra a las 2a.m.,Hermosillo
Manzo Prime Steak House,,None Found,+52 662 211 1588,"Bulevar José María Morelos 685, Loreto, 83148 Hermosillo, Son., México",Restaurante especializado en filetes, Cierra a las 12a.m.,Hermosillo
Sonora Steak HOUSE,sonorasteakhouse.com,Parrilla destacada por sus cortes y mariscos en una casa antigua con interiores sobrios y desenfadada terraza.,+52 662 210 0313,"Blvd. Fco. Eusebio Kino 914, Pitic, 83150 Hermosillo, Son., México",Restaurante especializado en filetes, Cierra a la 1a.m.,Hermosillo
Restaurante Las Herraduras,m.facebook.com,"CMenú de carnes y parrilladas en vivo comedor de estilo rústico con terraza, decorado con motivos mexicanos.",+52 662 210 0101,"Av Profesor, Alfredo Eguiarte 265, Loma Linda, 83150 Hermosillo, Son., México",Restaurante mexicano, Cierra a las 11p.m.,Hermosillo
Restaurante Calafate,instagram.com,None Found,+52 662 260 8867,"Lago del Cisne 205, Los Lagos, 83245 Hermosillo, Son., México",Restaurante, Cierra a las 2a.m.,Hermosillo
La Siesta Restaurant Steak,lasiestamotel.com.mx,None Found,+52 662 289 1950,"MOTEL LA SIESTA, Blvd. Fco. Eusebio Kino 185, Los Igualados, 83010 Hermosillo, Son., México",Restaurante especializado en filetes, Cierra a la 1a.m.,Hermosillo
"Restaurant La Zarzuela ""La Casa del Cordero""",royalpalace.com.mx,Restaurante casual dentro del Hotel Royal Palace que ofrece platillos internacionales con influencia europea.,+52 662 236 3336,"Blvd. Jesús García Morales 306, El Llano, Montebello, 83210 Hermosillo, Son., México",Restaurante mexicano, Cierra a las 11p.m.,Hermosillo
Cecina Mr. Toto,cecinamrtoto.com,None Found,+52 662 436 0927,"Bulevar José María Morelos 10, Constitucion, 83150 Hermosillo, Son., México",Restaurante,,Hermosillo
Restaurante La Tinto,,None Found,+52 662 170 4325,"Blvd. Fco. Eusebio Kino S/N, Country Club, 83010 Hermosillo, Son., México",Restaurante, Cierra a la 1a.m.,Hermosillo
Néctar,nectargm.mx,None Found,+52 662 107 2035,"Av Centenario Sur 70, El Centenario, 83260 Hermosillo, Son., México",Restaurante familiar, Cierra a la 1a.m.,Hermosillo
EL ANDALUZ,,None Found,+52 662 169 3979,"Plaza Laura, Local B, Blvd. José María Morelos y Pavón 755, Cumbres Residencial, 83143 Hermosillo, Son., México",Restaurante, Cierra a las 12a.m.,Hermosillo
Güeros restaurant,guerosrestaurantmx.com,None Found,+52 662 251 6999,"Blvd. Solidaridad 970, Las Villas, 83289 Hermosillo, Son., México",Marisquería, Cierra a las 8p.m.,Hermosillo
Sal de Jade,saldejade.mx,None Found,,"Av. Luis Donaldo Colosio Murrieta 312, Los Arcos, 83250 Hermosillo, Son., México",Restaurante, Cierra a las 12a.m.,Hermosillo
Steaks del Herradero,steaksdelherradero.com,None Found,+52 662 172 0511,"Blvd. Fco. Eusebio Kino 177, Country Club, 83010 Hermosillo, Son., México",Restaurante, Cierra a las 11p.m.,Hermosillo
Los Magos Restaurant Bar,facebook.com,"Cortes, pollo y cabrito al carbón estilo norteño servidos con guarniciones y tortillas en un comedor familiar.",+52 662 213 9199,"Av Gaston Madrid 32, Centro, 83000 Hermosillo, Son., México",Bar restaurante, Cierra a las 8p.m.,Hermosillo
Asadero 33 Grill & Beer,asadero33.com,None Found,+52 662 310 5767,"Av. Nuevo León 33, Centro, 83000 Hermosillo, Son., México",Taquería, Cierra a las 12a.m.,Hermosillo
Asadero 33 Grill & Beer,asadero33.com,None Found,+52 662 310 5767,"Av. Nuevo León 33, Centro, 83000 Hermosillo, Son., México",Taquería, Cierra a las 12a.m.,Hermosillo
Restaurante Xochimilco,,None Found,+52 662 250 4052,"Calle Gral Álvaro Obregón 51, Villa de Seris, 83280 Hermosillo, Son., México",Restaurante mexicano, Cierra a las 9p.m.,Hermosillo
El Dorado,,None Found,+52 662 213 7777,"Av. Luis Donaldo Colosio Murrieta 137, Prados del Centenario, 83260 Hermosillo, Son., México",Restaurante, Cierra a las 10p.m.,Hermosillo
Cayomango Fish & Drinks Colosio,,None Found,+52 662 118 9899,"Plaza Epic, Blvd. Luis Donaldo Colosio Murrieta 856, 83224 Hermosillo, Son., México",Marisquería, Cierra a las 11p.m.,Hermosillo
La Terraza Allende,,None Found,+52 662 503 8848,"Ignacio Allende 19, El Centenario, 83000 Hermosillo, Son., México",Restaurante, Cierra a las 2a.m.,Hermosillo
Steaks Del Herradero,steaksdelherradero.com,Restaurante con decoración inspirada en el viejo oeste americano especializado en cortes asados y antojitos.,+52 662 214 4045,"Blvd. Juan Navarrete 85, La Huerta, 83208 Hermosillo, Son., México",Restaurante especializado en filetes, Cierra a las 12a.m.,Hermosillo
Restaurante Elba,restaurantelba.com,None Found,+52 662 212 4414,"Av Cultura 81, Proyecto Rio Sonora Hermosillo XXI, 83270 Hermosillo, Son., México",Restaurante, Cierra a las 8p.m.,Hermosillo
MARISCOS EL REY,mariscoselrey.com.mx,Desenfadado restaurante en donde se ofrece un amplio menú de platillos elaborados con pescados y mariscos.,+52 644 272 0028,"Reforma, Av. Irineo Michel 277, El Malecon, 83270 Hermosillo, Son., México",Marisquería, Cierra a las 8p.m.,Hermosillo
Casa Blanca,facebook.com,None Found,+52 662 251 8181,"San Marcos 30, San Angel, 83287 Hermosillo, Son., México",Restaurante mexicano, Cierra a las 11p.m.,Hermosillo
Zagros Torre Hermosillo,zagros.mx,None Found,+52 662 280 5125,"Blvd. Fco. Eusebio Kino 309, Country Club, 83010 Hermosillo, Son., México",Restaurante de alta cocina, Cierra a las 2a.m.,Hermosillo
Mariscos Los Arcos Hermosillo,es-la.facebook.com,None Found,+52 662 213 2220,"Av. Irineo Michel 43, Las Palmas, 83270 Hermosillo, Son., México",Marisquería, Cierra a las 8p.m.,Hermosillo
Palominos KINO - Restaurante de cortes de carne,restaurantpalominos.mx,None Found,+52 662 436 1003,"BLVD, Blvd. Fco. Eusebio Kino #908-A, Pitic, 83150 Hermosillo, Son., México",Restaurante especializado en filetes, Cierra a las 2a.m.,Hermosillo
MIYAKO,,None Found,+52 662 218 5240,"Plaza Miyako, Blvd. Luis Encinas J. 537, El Torreon, 83204 Hermosillo, Son., México",Restaurante japonés, Cierra a las 12a.m.,Hermosillo
MIYAKO,,None Found,+52 662 218 5240,"Plaza Miyako, Blvd. Luis Encinas J. 537, El Torreon, 83204 Hermosillo, Son., México",Restaurante japonés, Cierra a las 12a.m.,Hermosillo
Casa Oaxaca,,Sitio divertido con platos internacionales en un espacio lleno de arte con un jardín verde y terraza.,+52 662 212 0028,"Av. Oaxaca 48, Centro, 83245 Hermosillo, Son., México",Cafetería, Cierra a las 11p.m.,Hermosillo
La Esquina de la Cinco,instagram.com,None Found,+52 662 210 9718,"Av Veracruz 70, Cruz Gálvez, 5 de Mayo, 83010 Hermosillo, Son., México",Restaurante japonés, Cierra a las 12a.m.,Hermosillo
Punto Cardinal Restaurant Bar & Grill,,None Found,+52 662 109 6796,"Blvd. Gomez Farías, León Guzmán 23 Esquina, 83150 Hermosillo, Son., México",Restaurante,,Hermosillo
Está Cabral,facebook.com,None Found,+52 662 213 7474,"Ignacio Allende 7, entre Blvd. Hidalgo y Callejón Velazco, El Centenario, 83260 Hermosillo, Son., México",Bar restaurante, Cierra a la 1a.m.,Hermosillo
Árbol de Vida,m.facebook.com,None Found,+52 662 124 5180,"Avenida Álvaro Obregón, Blvd. Miguel Hidalgo 62-Local D, Centro, 83240 Hermosillo, Son., México",Restaurante, Cierra a la 1a.m.,Hermosillo
El Portón del Sabor,facebook.com,None Found,+52 662 213 9161,"C. Prof Horacio Soria Larrea 220, Centro, 83000 Hermosillo, Son., México",Restaurante de desayunos, Abre a las 8a.m. del dom,Hermosillo
Marifran Cocina Casual,,None Found,+52 662 217 0106,"83200, Raquet Club, 83200 Hermosillo, Son., México",Restaurante, Cierra a las 12a.m.,Hermosillo
Restaurant La Roca,,None Found,+52 662 216 1644,"C. José Obregón 500, Olivares, 83180 Hermosillo, Son., México",Restaurante mexicano, Cierra a las 11:30p.m.,Hermosillo
La Barcaza Oyster Bar,facebook.com,None Found,+52 662 301 8310,"León Guzmán 18 B, Constitucion, 83150 Hermosillo, Son., México",Restaurante, Cierra a las 2a.m.,Hermosillo
Steaks Del Herradero,steaksdelherradero.com,None Found,+52 662 127 0261,"Blvd. Miguel Hidalgo 75, El Centenario, 83260 Hermosillo, Son., México",Restaurante, Cierra a las 10:20p.m.,Hermosillo
La Casa Verde,,None Found,,"Av. Dr. Paliza 64, El Centenario, 83260 Hermosillo, Son., México",Bar restaurante, Cierra a las 12a.m.,Hermosillo
NW TACO SONORA,nwtacosonora.mx,None Found,+52 662 216 6798,"Av. Luis Donaldo Colosio Murrieta 311, Valle Grande, 83205 Hermosillo, Son., México",Taquería, Cierra a las 4a.m.,Hermosillo
Don Ignacio Hermosillo,,None Found,+52 662 278 7952,"Plaza Hidalgo, Blvd. Miguel Hidalgo #182, Centro, 83000 Hermosillo, Son., México",Restaurante, Cierra a las 2a.m.,Hermosillo
RUMBA & OLÉ,facebook.com,None Found,+52 662 598 7321,"En Juarez 431, entre Juarez y avenida 10 avenida 10 y 11 Plaza Colinas, Sacramento, 83144 Hermosillo, Son., México",Restaurante, Cierra a las 8p.m.,Hermosillo
Cecina Mr. Toto Serna,cecinamrtoto.com,Espacio abierto con techo de palmas y ambiente familiar que ofrece sabores de Sonora y su especialidad cecina.,+52 662 302 8974,"C. Marsella 99, El Malecon, 83270 Hermosillo, Son., México",Restaurante mexicano,,Hermosillo
Mariscos El Charco,,None Found,+52 662 260 5154,"Plaza Cantabria, Blvd. Luis Donaldo Colosio Murrieta 803-local 6, La Rioja, 83224 Hermosillo, Son., México",Marisquería, Cierra a las 2a.m.,Hermosillo
Papá Frijol,papafrijol.com.mx,Platillos mexicanos del sur elaborados en un pintoresco restaurante con coloridas paredes y entorno informal.,+52 662 215 0177,"Plaza Dila, Local 42, Bulevar José María Morelos 240, Bugambilia, 83140 Hermosillo, Son., México",Restaurante mexicano, Cierra a las 10p.m.,Hermosillo
J&R Ribs La Costillería Hermosillo,ribsjr.com,None Found,+52 662 118 3484,"Av Ignacio Mariscal 19, Constitucion, 83150 Hermosillo, Son., México",Restaurante, Cierra a las 10p.m.,Hermosillo
Las Espadas - Brazilian Steakhouse,lasespadas.mx,None Found,+52 662 688 5658,"Av. Cultura #55 Proyecto Rio Sonora Galerias Mall, 83280 Hermosillo, Son., México",Restaurante brasileño, Cierra a las 11p.m.,Hermosillo
Pistones Garage HMO,facebook.com,None Found,+52 662 212 0997,"Calle Av. Rosales No. 108, Plaza Antigua, Centro, 83260 Hermosillo, Son., México",Bar restaurante, Cierra a la 1a.m.,Hermosillo
Las Garnachas,facebook.com,None Found,+52 662 111 6775,"83190, Calle Gral. Mariano Escobedo 97-S, San Benito, Hermosillo, Son., México",Restaurante, Abre a las 7:30p.m.,Hermosillo
Fauna Tasting Room Hermosillo (P. Londrés),facebook.com,None Found,+52 662 357 2694,"Blvd. Miguel Hidalgo 63, El Centenario, 83260 Hermosillo, Son., México",Cervecería artesanal, Cierra a la 1a.m.,Hermosillo
Restaurante La Ponderosa,,None Found,+52 662 214 0024,"Calle Gral. José María Yáñez 214, San Benito, 83190 Hermosillo, Son., México",Restaurante, Cierra a las 10p.m.,Hermosillo
Abuelos Restaurante,facebook.com,None Found,+52 662 436 4345,"juárez 148 esquina con, Santos Degollado, Modelo, 83190 Hermosillo, Son., México",Restaurante, Abre a las 8a.m. del dom,Hermosillo
Mis tradiciones,facebook.com,None Found,+52 662 330 0689,"C. Alfonso Durazo A., Villa de Seris, 83280 Hermosillo, Son., México",Restaurante mexicano, Cierra a las 10p.m.,Hermosillo
Mariscos Cabo 51,instagram.com,None Found,+52 662 598 2450,"contra esquina Poder Judicial, Av. Londres y Dr. Paliza 51, El Centenario, 83260 Hermosillo, Son., México",Marisquería, Cierra a las 6p.m. del dom,Hermosillo
Canton,,None Found,+52 662 108 7592,"Bulevar José María Morelos 307, Zona Militar, 83145 Hermosillo, Son., México",Restaurante chino, Cierra a las 9p.m.,Hermosillo
Hacienda Don Ramón,,None Found,+52 662 212 2226,"Av Gaston Madrid 80, Centro, 83000 Hermosillo, Son., México",Restaurante mexicano, Abre a las 9a.m. del dom,Hermosillo
CASONA OBREGÓN 55,casonaobregon55.com,None Found,+52 662 155 5755,"Calle Gral Álvaro Obregón 55, Centro, 83000 Hermosillo, Son., México",Restaurante, Cierra a las 2a.m.,Hermosillo
Casa Nieves Lobby Bar,instagram.com,None Found,+52 662 212 0233,"Bulevar Miguel Hidalgo y Costilla 58-B, El Centenario, 83260 Hermosillo, Son., México",Bar restaurante, Cierra a la 1:45a.m.,Hermosillo
La Salsa Progreso,,None Found,+52 662 435 6408,"Blvd. Juan Bautista de Escalante 442, entre Simón bley y olivares, El cortijo, 83115 Hermosillo, Son., México",Restaurante, Cierra a la 1a.m.,Hermosillo
Restaurant Los Grillos,restaurweb.com,None Found,+52 662 213 8270,"Av. Monterrey 64, Centro, 83000 Hermosillo, Son., México",Restaurante mexicano, Abre a las 8a.m. del lun,Hermosillo
Las Delishas de La Shamaka,instagram.com,None Found,+52 662 288 8817,"C. Garmendia 63, Centro, 83000 Hermosillo, Son., México",Restaurante, Cierra a las 10p.m.,Hermosillo
En Que Tuchi Cocina Sonorense,,None Found,+52 662 196 1843,"Calle Gral Álvaro Obregón 75C, Centro, 83000 Hermosillo, Son., México",Restaurante,,Hermosillo
La Mamache,,None Found,+52 662 224 2330,"Bulevar Manuel J. Clouthier, Y Griega, 83290 Hermosillo, Son., México",Restaurante, Cierra a las 10p.m.,Hermosillo
El Brasero,,None Found,+52 662 260 8869,"B Pte. 222, Los Lagos, 83245 Hermosillo, Son., México",Restaurante, Cierra a las 12a.m.,Hermosillo
