Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Mi Pueblito,mipueblitosbr.com,Icónico local de arquitectura tradicional mexicana y techo de palma que sirve platillos clásicos y margaritas.,+52 868 813 8723,"C. Cinco 13, Zona Centro, 87330 Heroica Matamoros, Tamps., México",Restaurante mexicano, Cierra a las 12a.m.,Heroica Matamoros
El Rincón De José Alfredo,facebook.com,"Parrilladas, tacos y sabores mexicanos en un sitio familiar con decoraciones campestres y servicio al bar.",+52 868 816 1724,"Diag. Cuauhtémoc No. 307, Centro, 87300 Heroica Matamoros, Tamps., México",Restaurante mexicano, Cierra a la 1a.m.,Heroica Matamoros
Restaurant Agave,,Cocina mexicana e internacional en bufé o a la carta en un espacio casual con bar en el Holiday Inn Matamoros.,+52 868 811 5006,"Av Pedro Cárdenas 4999, Amado Nervo, 87396 Heroica Matamoros, Tamps., México",Restaurante familiar, Cierra a las 12a.m.,Heroica Matamoros
RESTAURANTE LA BERNAL,,None Found,+52 868 151 3990,"C. Sexta 1512, Buena Vista, 87497 Heroica Matamoros, Tamps., México",Restaurante familiar, Cierra a las 12a.m.,Heroica Matamoros
"Restaurante ""Los Faroles""",,None Found,+52 868 812 1192,"Matamoros 612, Zona Centro, 87300 Heroica Matamoros, Tamps., México",Restaurante,,Heroica Matamoros
Toro Loko,facebook.com,None Found,+52 868 247 2525,"C. 7 15, Zona Centro, 87300 Heroica Matamoros, Tamps., México",Restaurante americano, Cierra a las 12a.m.,Heroica Matamoros
Bennigan's Matamoros.,facebook.com,Cadena de restaurantes de hamburguesas y otras comidas de pub clásicas estadounidenses en un lugar tranquilo.,+52 868 100 0482,"Av Pedro Cárdenas 5115, Victoria, 87390 Heroica Matamoros, Tamps., México",Restaurante americano, Cierra a las 12a.m.,Heroica Matamoros
La Lilia,facebook.com,None Found,+52 868 819 0404,"C. Sexta 92, Moderno, 87380 Heroica Matamoros, Tamps., México",Restaurante mexicano, 11p.m. ,Heroica Matamoros
Son De 2 Cantina Culinaria,sondedos.com,None Found,+52 868 346 4525,"C. Sexta Local 6, entre Bilbao y Calle Solernau, H, 87370 Heroica Matamoros, Tamps., México",Pub restaurante, Cierra a las 2a.m.,Heroica Matamoros
EL ALAZAN,,None Found,,"Calle Sexta y Teran No. 55 Esquina, Terán 51, Zona Centro, 87300 Heroica Matamoros, Tamps., México",Bar restaurante, Cierra a la 1a.m.,Heroica Matamoros
La Catrina,facebook.com,None Found,+52 868 127 5290,"Av Pedro Cárdenas SN-C BOTICA MONTIEL, Santa Martha, 87394 Heroica Matamoros, Tamps., México",Restaurante, Cierra a las 12a.m.,Heroica Matamoros
La Tiznada - Restaurant Bar,facebook.com,None Found,+52 868 341 5198,"C. Veinte, San Francisco, 87350 Heroica Matamoros, Tamps., México",Pub restaurante, Cierra a las 2a.m.,Heroica Matamoros
Restaurant Louisiana,,None Found,+52 868 813 5094,"8 y 9, C. Nicolás Bravo 119, Centro, 87300 Heroica Matamoros, Tamps., México",Restaurante, Abre a las 8a.m. del dom,Heroica Matamoros
La Traviata,facebook.com,None Found,+52 868 812 5122,"C. 7 170, Zona Centro, 87300 Heroica Matamoros, Tamps., México",Restaurante, Abre a las 8a.m. del dom,Heroica Matamoros
Fajita House,,None Found,+52 868 349 7158,"Calle 14 Laguna Santa Maria Esquina, 87350 Heroica Matamoros, Tamps., México",Restaurante, Cierra a las 2a.m.,Heroica Matamoros
Restaurante Bar Señor Pepe´s,,None Found,+52 868 812 2733,"República de Cuba 109, Lázaro Cárdenas, 87360 Heroica Matamoros, Tamps., México",Bar restaurante, Cierra a la 1a.m.,Heroica Matamoros
The August Kitchen and Bar,,None Found,+52 868 127 4825,"C. 10 633, entre Rayón y Zaragoza, Zona Centro, 87300 Heroica Matamoros, Tamps., México",Restaurante, Cierra a la 1a.m.,Heroica Matamoros
Asadero El Paraíso,,None Found,+52 868 810 1455,"A Reynosa 62, Zona Industrial, 87316 Heroica Matamoros, Tamps., México",Restaurante mexicano, Abre a las 7a.m. del dom,Heroica Matamoros
La Cancillería,,None Found,+52 868 688 5501,"Zona Centro, 87300 Heroica Matamoros, Tamps., México",Restaurante, 11p.m. ,Heroica Matamoros
Restaurante y Bar Hogar,facebook.com,None Found,+52 868 115 9705,"Ave, Agapito González # 142, Amado Nervo, 87396 Heroica Matamoros, Tamps., México",Restaurante mexicano, Abre a las 7a.m. del dom,Heroica Matamoros
García's,facebook.com,"Lugar familiar que ofrece platos internacionales y antojitos mexicanos, además de un bar con música en vivo.",+52 868 812 3929,"Av. Álvaro Obregón 82, Jardín, 87330 Heroica Matamoros, Tamps., México",Bar restaurante,,Heroica Matamoros
RESTAURANT DE MARISCOS LA HACIENDA,,None Found,+52 868 825 3194,"C. España 62, Buena Vista, 87350 Heroica Matamoros, Tamps., México",Marisquería, Abre a las 10a.m. del dom,Heroica Matamoros
Restaurant Y Cantina El Capricho,facebook.com,None Found,+52 868 816 5082,"el capricho, C. 10 SN-S, Zona Centro, 87300 Heroica Matamoros, Tamps., México",Restaurante, Cierra a las 2a.m.,Heroica Matamoros
Restaurante bar 19,,None Found,+52 868 812 4594,"C. Diecinueve 1207, Zona Centro, 87300 Heroica Matamoros, Tamps., México",Bar restaurante,,Heroica Matamoros
Restaurante Gambrinus,,Raciones y tapas de cocina española en cadena de cervecerías que recrea las antiguas fábricas de cerveza.,+52 868 812 2956,"C. Sexta 215, Zona Centro, 87300 Heroica Matamoros, Tamps., México",Bar restaurante, Cierra a las 2a.m.,Heroica Matamoros
La Lola,,None Found,+52 868 816 5543,"Calle Dieciséis, Arroyo del Tigre, 87350 Heroica Matamoros, Tamps., México",Restaurante, Abre a las 9a.m. del dom,Heroica Matamoros
La favorita,,None Found,+52 868 812 0893,"C. Sexta 412, Zona Centro, 87300 Heroica Matamoros, Tamps., México",Restaurante, Abre a las 6a.m. del lun,Heroica Matamoros
El Infiernito Grill,,None Found,,"John F. Kennedy 1, Unidad Hogar, 87360 Heroica Matamoros, Tamps., México",Restaurante mexicano, Cierra a las 12a.m.,Heroica Matamoros
Geko's Trattoria Italiana Sta Cecilia,,None Found,+52 868 817 7577,"Av Pedro Cárdenas 3995, INFONAVIT Buenavista, 87390 Heroica Matamoros, Tamps., México",Restaurante italiano, 11p.m. ,Heroica Matamoros
Cielo en la Tierra,facebook.com,None Found,+52 868 374 4508,"Acapulco #6, Río, 87360 Heroica Matamoros, Tamps., México",Restaurante, Abre a las 7:30a.m. del dom,Heroica Matamoros
Geko's Trattoria Italiana,,None Found,+52 868 812 1014,"C. España 64, Buena Vista, 87350 Heroica Matamoros, Tamps., México",Restaurante italiano, 11p.m. ,Heroica Matamoros
Paparruchos Restaurante,,None Found,+52 868 812 5669,"Calle Primera y Matamoros 1306, Zona Centro, 87300 Heroica Matamoros, Tamps., México",Restaurante mexicano, Abre a las 8a.m. del lun,Heroica Matamoros
Perla Negra,,None Found,+52 868 190 8693,"Catorce 101, San Francisco, 87350 Heroica Matamoros, Tamps., México",Bar restaurante, Cierra a las 2a.m.,Heroica Matamoros
Restaurante El Caporal,restauranteelcaporal.com.mx,None Found,+52 868 816 0985,"Av. Lauro Villar #160 entre Francisco T. Canales, C. Roberto F. García y, Modelo, 87360 Heroica Matamoros, Tamps., México",Restaurante, Abre a las 7a.m. del dom,Heroica Matamoros
La Marquesa,,None Found,+52 868 152 9580,"C. Cinco, Zona Centro, 87300 Heroica Matamoros, Tamps., México",Restaurante, Cierra a las 12a.m.,Heroica Matamoros
Express Grill Matamoros,facebook.com,None Found,+52 868 111 3598,"Av Gral Carlos Salazar 40, Valle Alto, 87380 Heroica Matamoros, Tamps., México",Parrilla, Cierra a las 12a.m.,Heroica Matamoros
Carnes Asadas La Doce,,None Found,+52 868 133 4653,"Matamoros 69, Zona Centro, 87300 Heroica Matamoros, Tamps., México",Restaurante especializado en chuletas, Abre a las 11a.m. del dom,Heroica Matamoros
La Cueva del Humo BBQ,facebook.com,None Found,+52 868 341 3030,"Terán No. 51-Planta Baja, entre 5 y 6, Zona Centro, 87300 Heroica Matamoros, Tamps., México",Restaurante, Abre a la 1p.m. del dom,Heroica Matamoros
Los Norteños,,None Found,+52 868 813 7712,"Matamoros 109, Zona Centro, 87300 Heroica Matamoros, Tamps., México",Restaurante, Abre a las 11a.m. del dom,Heroica Matamoros
Mediterráneo restaurant bar,m.facebook.com,None Found,+52 868 225 9724,"C. Sexta 29, Industrial, 87350 Heroica Matamoros, Tamps., México",Restaurante, Cierra a las 12a.m.,Heroica Matamoros
