Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurant El Marcos Nogales,,None Found,+52 631 313 8082,"Blvd. El Greco 26-local 12, Col, El Greco, 84066 Heroica Nogales, Son., México",Bar restaurante, 12a.m. ,Heroica Nogales
Mi Fondita,,None Found,+52 631 313 3437,"Heroica de Nogales - Imuris 1923, Ferrocarrilera, 84080 Heroica Nogales, Son., México",Restaurante mexicano, Abre a las 7a.m. del dom,Heroica Nogales
Restaurant Bar La Roca,larocarestaurant.com,"Local ornado con patio y fuente, donde se sirven comida mexicana y platos de pescado.",+52 631 312 0760,"C. Elías 91, Buenos Aires Oeste, 84010 Heroica Nogales, Son., México",Restaurante de alta cocina, Abre a las 8a.m. del dom,Heroica Nogales
Restaurant El Túle,carnitaseltule.com,None Found,+52 631 313 5673,"Cts, Municipal, 84030 Heroica Nogales, Son., México",Restaurante mexicano, 12a.m. ,Heroica Nogales
La Patrona Restaurante Cantina,facebook.com,None Found,+52 631 313 8927,"Av Kennedy 176, Kalitea, 84066 Heroica Nogales, Son., México",Restaurante, 12a.m. ,Heroica Nogales
Dantés Restaurant,dantesrestaurant.com.mx,None Found,+52 631 313 1717,"Av. Alvaro Obregon 1726-B, Moderna, 84055 Heroica Nogales, Son., México",Restaurante, 12a.m. ,Heroica Nogales
Los Arbolitos De Cajeme Nogales,mariscoslosarbolitos.com,None Found,+52 631 314 8454,"Av Kalamata 68, Jardines de, Kalitea, 84066 Heroica Nogales, Son., México",Marisquería, Abre a las 9a.m. del dom,Heroica Nogales
Toscanos Restaurante,facebook.com,None Found,+52 631 344 1942,"Cjon. Hermosillo #655, Granja, 84063 Heroica Nogales, Son., México",Restaurante italiano, Abre a las 12p.m. del dom,Heroica Nogales
Trocadero,,None Found,+52 631 313 0507,"México 15 Kilómetro 5, Obregón, 84080 Heroica Nogales, Son., México",Restaurante, Abre a las 12p.m. del dom,Heroica Nogales
Las Mulas Restaurante,facebook.com,None Found,+52 631 209 0741,"Cjon. Hermosillo 503B, Kennedy, 84066 Heroica Nogales, Son., México",Restaurante de brunch, Abre a las 8:30a.m. del dom,Heroica Nogales
El Ensueño Restaurant,,None Found,+52 631 316 0457,"Regina Oeste 19, Pima 1, Lomas de Fátima, 84020 Heroica Nogales, Son., México",Restaurante mexicano, Abre a las 9a.m. del dom,Heroica Nogales
Restaurant Bar El Garage de la Hermosillo,mypvcard.com,None Found,+52 631 163 5582,"Cjon. Hermosillo 655, Kennedy, 84066 Heroica Nogales, Son., México",Restaurante familiar, 12a.m. ,Heroica Nogales
Restaurante ABISÙA,,None Found,,"Jesús García Corona 54, Lomas de Nogales, 84080 1, Son., México",Restaurante, Abre a las 8a.m. del lun,Heroica Nogales
Mariscos Rugus La Palapa,ruguslapalapa.com,None Found,+52 631 313 5080,"C. Elías 1130, Municipal, 84030 Heroica Nogales, Son., México",Marisquería,,Heroica Nogales
Restaurant La Herradura,,None Found,+52 631 313 7513,"Ignacio de La Torre #110, Lomas de Nogales, 84080 Heroica Nogales, Son., México",Restaurante, Abre a las 8a.m. del dom,Heroica Nogales
Asadero La Salida,,None Found,+52 631 303 4578,"Heroica de Nogales - Imuris 1774, Kalitea, 84066 Heroica Nogales, Son., México",Parrilla, Cierra a las 3a.m.,Heroica Nogales
Restaurant Las Marias,,None Found,+52 631 312 8600,"Av. Adolfo López Mateos 168, Fundó Legal, Centro, 84000 Heroica Nogales, Son., México",Restaurante, Abre a las 9a.m. del dom,Heroica Nogales
Mádera Restaurante,,None Found,+52 631 158 4623,"Blvd, Nogales 2000 397, Colinas del Yaqui, 84093 Heroica Nogales, Son., México",Restaurante, Abre a las 8:30a.m. del dom,Heroica Nogales
Los Pilares Restaurant,,None Found,+52 631 319 1419,"Av. Alvaro Obregon 4163, Sonora, 84094 Heroica Nogales, Son., México",Restaurante, Abre a las 8a.m. del lun,Heroica Nogales
Brasa Roja,,None Found,+52 631 186 0413,"Av. Alvaro Obregon 1775, 5 de Mayo, 84074 Heroica Nogales, Son., México",Taquería, Cierra a las 3a.m.,Heroica Nogales
El Changarro Desayunos Mexicanos,,None Found,+52 631 134 1368,"Heroica de Nogales - Imuris 1774 C, Kalitea, 84066 Heroica Nogales, Son., México",Restaurante de desayunos, Abre a las 7a.m. del dom,Heroica Nogales
Mariscos Chihuahua,mariscoschihuahua.com,Lugar clásico de mariscos mexicanos en un entorno informal y animado.,+52 631 313 2351,"Av. Alvaro Obregon 902, Bolívar, 84000 Heroica Nogales, Son., México",Marisquería, Abre a las 9a.m. del dom,Heroica Nogales
Las mesitas restaurant,,None Found,+52 631 313 1818,"Av. Alvaro Obregon 1401, Altamira, 84000 Heroica Nogales, Son., México",Restaurante mexicano, Abre a las 8a.m. del dom,Heroica Nogales
LA CAPITAL RESTAURANTE,restaurantelacapital.com,None Found,+52 631 104 3736,"Cjon. Hermosillo 576, Kennedy, 84066 Heroica Nogales, Son., México",Restaurante, Cierra a las 2a.m.,Heroica Nogales
Myst Nogales,facebook.com,None Found,+52 631 302 7537,"Blvd. El Greco 73, El Greco, 84066 Heroica Nogales, Son., México",Restaurante de sushi, Cierra a las 2a.m.,Heroica Nogales
El Berde,,None Found,+52 631 314 9990,"Cjon. Hermosillo, Kennedy, 84066 Heroica Nogales, Son., México",Tienda de ensaladas, Abre a las 12p.m. del dom,Heroica Nogales
La Granja Food Trucks,,None Found,+52 631 156 2461,"Hermosillo Street # 173, Granja, 84066 Nogales, Son., México",Restaurante, 12a.m. ,Heroica Nogales
Barbas Kitchen Café,facebook.com,None Found,+52 631 180 1398,"Av. Alvaro Obregon, Centro, 84047 Heroica Nogales, Son., México",Restaurante japonés, Abre a las 2p.m. del dom,Heroica Nogales
Burritos Hass,burritoshass.com.mx,None Found,+52 631 313 5684,"Av. Alvaro Obregon 1726 A, Moderna, 84055 Heroica Nogales, Son., México",Restaurante de burritos, 12a.m. ,Heroica Nogales
La Llorona Restaurant-Cantina,facebook.com,None Found,+52 631 158 1596,"Cjon. Hermosillo 564, Kennedy, 84066 Heroica Nogales, Son., México",Restaurante, Abre a las 8:30a.m. del dom,Heroica Nogales
Johnny's Grill,facebook.com,None Found,+52 631 314 6095,"Av. Tecnológico 245, Moderna, 84066 Heroica Nogales, Son., México",Hamburguesería, Abre a las 9a.m. del dom,Heroica Nogales
Mariscos La Bocanita,,None Found,+52 631 313 5876,"C. Elías 789, Municipal, 84035 Heroica Nogales, Son., México",Marisquería, Abre a las 9a.m. del dom,Heroica Nogales
Asadero El Potrillo,,None Found,+52 631 162 2458,"C. Elías 1780, 5 de Mayo, 84066 Heroica Nogales, Son., México",Parrilla, Abre a las 10a.m. del dom,Heroica Nogales
450° Grados Pizza a la Leña,450grados.com,None Found,+52 631 314 5818,"Altar 5, Kennedy, 84066 Heroica Nogales, Son., México",Pizzería, 12a.m. ,Heroica Nogales
Birrieria Esthela,,None Found,+52 631 320 1236,"Av. 5 de Febrero 582, Esperanza, 84060 Heroica Nogales, Son., México",Restaurante, Abre a las 7a.m. del dom,Heroica Nogales
Birrieria El Kora,,None Found,+52 631 144 9122,"Av. Alvaro Obregon 413, Altamira, 84047 Heroica Nogales, Son., México",Restaurante, Abre a las 6a.m. del dom,Heroica Nogales
Tortería La Mexicana,,None Found,+52 631 141 0832,"Av. Alvaro Obregon 1167, Municipal, 84035 Heroica Nogales, Son., México",Restaurante mexicano, Abre a las 9a.m. del dom,Heroica Nogales
Qbanitos,,None Found,+52 631 690 6302,"Av. Alvaro Obregon 1945, Ferrocarrilera, 84074 Heroica Nogales, Son., México",Bar restaurante, Cierra a las 2:45a.m.,Heroica Nogales
Mariscos 7 Mares has parking lot,,None Found,+52 631 690 5281,"Avenida Álvaro Obregón 1650, Av. Alvaro Obregon 1658, 84055 Heroica Nogales, Son., México",Marisquería, Abre a las 9a.m. del dom,Heroica Nogales
Yes! Restaurant,facebook.com,None Found,+52 631 314 5650,"Cjon. Hermosillo 701, Kennedy, 84065 Heroica Nogales, Son., México",Restaurante de brunch, Abre a las 8:30a.m. del dom,Heroica Nogales
Downtown Nogales by Garaje,m.facebook.com,None Found,+52 631 312 6764,"Campillo 86, Fundó Legal, Centro, 84000 Heroica Nogales, Son., México",Bar, Cierra a las 3a.m.,Heroica Nogales
Taquerias Lupita's,facebook.com,None Found,+52 631 312 3293,"Av. Alvaro Obregon #599, Fundó Legal, Municipal, 84030 Heroica Nogales, Son., México",Taquería, Abre a las 8:30a.m. del dom,Heroica Nogales
Asadero Las Ranas,,None Found,+52 631 302 4617,"Av. Tecnológico 1300, Altamira, 84030 Heroica Nogales, Son., México",Taquería, Cierra a las 2a.m.,Heroica Nogales
Asadero Las Ranas,,None Found,+52 631 302 4617,"Av. Tecnológico 1300, Altamira, 84030 Heroica Nogales, Son., México",Taquería, Cierra a las 2a.m.,Heroica Nogales
Wingstop Nogales,wingstop.com.mx,Cadena informal de servicio en caja que ofrece una variedad de alitas de pollo y acompañamientos.,+52 631 314 5928,"Galería Plaza Norte, Blvr. Luis Donaldo Colosio 2693-Local 11-12-13, Kennedy, 84066 Heroica Nogales, Son., México",Restaurante de alas de pollo, 12a.m. ,Heroica Nogales
Restaurante Kai San,,None Found,+52 631 319 2121,"Av Kalamata 66, Kalitea, 84066 Heroica Nogales, Son., México",Buffet libre, Abre a las 10a.m. del dom,Heroica Nogales
Chiloquiles Granja,,None Found,+52 631 132 8304,"Navojoa 15, Granja, 84065 Heroica Nogales, Son., México",Restaurante, Abre a las 8:30a.m. del dom,Heroica Nogales
Restaurant San San,sansanmenu.carrd.co,None Found,,"Colonia nogales centro no.171, Av. Adolfo López Mateos local 9, 84000 Heroica Nogales, Son., México",Restaurante chino, Abre a las 12p.m. del dom,Heroica Nogales
Taco Bar,facebook.com,None Found,+52 631 158 4218,"Hermosillo y Navojoa, Kennedy, 84066 Heroica Nogales, Son., México",Taquería, Cierra a la 1a.m.,Heroica Nogales
Taqueria El Kora,,None Found,+52 631 313 2293,"C. Elías 1110, Municipal, 84035 Heroica Nogales, Son., México",Taquería, Cierra a las 3a.m.,Heroica Nogales
