Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
La Casa del Mendrugo,casadelmendrugo.com,Restaurante lujoso de comida poblana y española en antigua universidad jesuita junto a un museo.,+52 222 326 8060,"C. 4 Sur 304, Centro, 72000 Heroica Puebla de Zaragoza, Pue., México",Restaurante,,Heroica Puebla de Zaragoza
Casa Barroca,casabarroca.com,None Found,+52 222 290 4767,"Av 7 Ote 205, Centro, 72000 Heroica Puebla de Zaragoza, Pue., México",, Cierra a las 11p.m.,Heroica Puebla de Zaragoza
Mural de los Poblanos,elmuraldelospoblanos.com,"Restaurante mexicano fino en espacio de estilo tradicional con arcos, pisos de cerámica y murales coloridos.",+52 222 242 0503,"C. 16 de Septiembre 506, Centro, 72000 Heroica Puebla de Zaragoza, Pue., México",Restaurante mexicano, Cierra a las 12a.m.,Heroica Puebla de Zaragoza
Mochomos Puebla,mochomos.mx,None Found,+52 222 214 6743,"Osa Mayor 4931-Local SA 10, Reserva Territorial Atlixcáyotl, Solesta, 72190 Heroica Puebla de Zaragoza, Pue., México",Restaurante mexicano,,Heroica Puebla de Zaragoza
Sonora Prime Av. Juárez,casaprime.mx,"Restaurante refinado recubierto en madera que ofrece carnes y mariscos, cócteles y una amplia lista de vinos.",+52 55 9990 5866,"Av. Juárez 2706, La Paz, 72160 Heroica Puebla de Zaragoza, Pue., México",Restaurante especializado en filetes, Cierra a las 2a.m.,Heroica Puebla de Zaragoza
El Viejo Rosario,,None Found,+52 222 232 7268,"Av. 8 Ote. 5, Centro histórico de Puebla, 72000 Heroica Puebla de Zaragoza, Pue., México",Restaurante mexicano, Cierra a las 8p.m.,Heroica Puebla de Zaragoza
El Viejo Rosario,,None Found,+52 222 232 7268,"Av. 8 Ote. 5, Centro histórico de Puebla, 72000 Heroica Puebla de Zaragoza, Pue., México",Restaurante mexicano, Cierra a las 8p.m.,Heroica Puebla de Zaragoza
Cocina de los Ángeles,presidenteicpuebla.com,None Found,+52 222 213 7000,"Blvd. Hermanos Serdán 141, Amor, 72140 Heroica Puebla de Zaragoza, Pue., México",Restaurante, Cierra a las 11p.m.,Heroica Puebla de Zaragoza
Animal Puebla,costeno.com,None Found,+52 222 454 0305,"Osa Mayor 5149, Reserva Territorial Atlixcáyotl, Centros Comerciales Desarrollo Atlixcayotl, 72193 Heroica Puebla de Zaragoza, Pue., México",Restaurante mexicano, Cierra a la 1a.m.,Heroica Puebla de Zaragoza
Porfirio's Puebla | Restaurante de comida mexicana,porfirios.com.mx,None Found,+52 222 257 0812,"Colonia, Lote 1 Desarrollo Urbano SB 1-2, Centro Comercial Angelopolis, 72193 Heroica Puebla de Zaragoza, Pue., México",Restaurante mexicano, Cierra a la 1a.m.,Heroica Puebla de Zaragoza
