Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurant Di' Vino Iguala,divinoiguala.com,None Found,+52 733 110 6276,"Xavier Olea 2, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a la 1p.m.,Iguala
Tastee-Freez La Vaca Negra,,None Found,+52 733 332 0177,"Constitución 15, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante familiar, Abre a las 8a.m.,Iguala
El Taxqueño,facebook.com,None Found,+52 733 334 2347,"C. Juan N. Álvarez 32 B, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 8:30a.m.,Iguala
Restaurant Buffet Iguala,facebook.com,None Found,+52 733 339 3068,"C. García de La Cadena 22, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante de desayunos, Abre a las 8:30a.m.,Iguala
Los Agaves,,None Found,+52 733 141 9323,"8FG9+MF, C.n.o.p, CNOP, 40080 Iguala de la Independencia, Gro., México",Restaurante mexicano, 6a.m. ,Iguala
Los Agaves,,None Found,+52 733 141 9323,"8FG9+MF, C.n.o.p, CNOP, 40080 Iguala de la Independencia, Gro., México",Restaurante mexicano, 6a.m. ,Iguala
Taqueria El Buen Gusto,,None Found,+52 733 338 4536,"40000, Calle 1 Pte. Francisco I. Madero 37, Centro, 40000 Iguala de la Independencia, Gro., México",Taquería, Abre a las 4p.m.,Iguala
El Machi,,None Found,+52 733 332 5577,"Carr A Iguala-Taxco Km 106, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 12p.m.,Iguala
Bennoni,bennoni.com,None Found,+52 733 332 8848,"Calle Miguel Hidalgo 2, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 8:30a.m.,Iguala
La Rana Sabia,,None Found,+52 733 332 5421,"Rubén Mora 18, Fracc III, 40023 Iguala de la Independencia, Gro., México",Marisquería, Cierra a las 8p.m.,Iguala
Restaurant Waikiki,demeza.com.mx,None Found,+52 733 339 7444,"Periférico Oriente 62, El Paraiso, 40050 Iguala de la Independencia, Gro., México",Marisquería, Abre a las 10:30a.m.,Iguala
La Casa de Piedra,idvirtualmx.com,None Found,+52 733 109 3096,"Emiliano Zapata 20, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 8:30a.m.,Iguala
Buffet Bambu,,None Found,+52 733 333 5725,"Ignacio Maya 32, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante de desayunos, Abre a las 8:30a.m.,Iguala
Cevicheria Esther,facebook.com,None Found,+52 733 110 1679,"carretera federal mexico-acapulpo, k.m 177, 40000 Iguala de la Independencia, Gro., México",Marisquería, Abre a las 12p.m.,Iguala
"Restaurante Campestre ""LA IGUANA LOCA""",facebook.com,None Found,+52 733 125 4352,"Cda. Club de Leones 2, Azucenas, 40054 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a la 1p.m.,Iguala
Restaurante Vikos,,None Found,+52 733 336 4369,"5 de Mayo 5, Vicente Guerrero, 40080 Iguala de la Independencia, Gro., México",Marisquería,,Iguala
Parrila Villa Molcajetes,facebook.com,None Found,+52 733 584 8830,"Emiliano Zapata 57, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 9a.m.,Iguala
Restaurante Boca del Mar,,None Found,+52 733 103 5863,"Heroico Colegio Militar 57, Camino Real, 40054 Iguala de la Independencia, Gro., México",Marisquería, Abre a la 1p.m.,Iguala
Río Escondido,,None Found,+52 733 333 3362,"Av Gral Álvaro Obregón 4, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 9a.m.,Iguala
Antojitos Mexicanos Emmanuel,,None Found,+52 733 115 4247,"Mariano Escobedo 70, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 2:30p.m.,Iguala
"Torteria y jugeria ""El Cuais""",,None Found,+52 733 151 8301,"40000, Ignacio M. Altamirano 9, Centro, Iguala de la Independencia, Gro., México",Restaurante de comida rápida, Abre a las 8a.m.,Iguala
El Arroyo,,None Found,+52 733 108 9229,"Mariano Escobedo 7, Centro, 40000 Iguala de la Independencia, Gro., México",Buffet libre, Abre a las 8a.m.,Iguala
Ponle Cafe Iguala,maspedidos.menu,None Found,+52 733 338 4175,"C. José María Morelos y Pavón 74-a-74-a, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 9a.m.,Iguala
Restaurant casa grimart En Iguala De La Independencia,facebook.com,None Found,+52 733 125 2209,"Joaquín Baranda 58, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 9a.m. del lun,Iguala
REST.FAMILIA LA ISLA,,None Found,+52 744 370 7352,"Perif. Nte., Benito Juárez, 40015 Iguala de la Independencia, Gro., México",Marisquería, Abre a las 10a.m.,Iguala
Carvig's,,None Found,,"Guillermo Santana Crespo 2 A, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante de comida rápida, Abre a las 8a.m.,Iguala
La Arrachera de Iguala (Tacos & Grill),facebook.com,None Found,+52 733 168 9080,"Calle Miguel Hidalgo 69, Centro, 40000 Iguala de la Independencia, Gro., México",Taquería, Abre a las 2p.m.,Iguala
Buffet Las Brasas,,None Found,,"C. Benito Juárez 46, Centro, 40000 Iguala de la Independencia, Gro., México",Taquería,,Iguala
Reforma Comedor,facebook.com,None Found,+52 222 458 8265,"Reforma 78, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 8a.m.,Iguala
Restaurant Casa Mateo,,None Found,+52 733 332 1020,"Joyas de Iguala, 40090 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a la 1p.m.,Iguala
Pozoleria Mary,,None Found,+52 733 334 0382,"Av Cristóbal Colón 24A, Centro, 40000 Iguala de la Independencia, Gro., México",, Abre a la 1p.m.,Iguala
Finca Linaloe,facebook.com,None Found,+52 733 110 7193,"Ramón Corona 19, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 6p.m. del mié,Iguala
TAQUERIA IGUALA,,None Found,+52 733 676 7056,"Periférico Oriente 24, Zona Militar, 40050 Iguala de la Independencia, Gro., México",Taquería, Abre a las 3:30p.m.,Iguala
Restaurant Chely’s,,None Found,+52 733 334 2580,"C. Juan N. Álvarez 207, Juan N. Alvarez, 40020 Iguala de la Independencia, Gro., México",Marisquería, Abre a las 12p.m.,Iguala
Chill N’ Kill,,None Found,+52 733 131 9770,"Reforma 78, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 9a.m.,Iguala
Restaurant Demos el original,,None Found,+52 733 189 2969,"24 de Febrero, 40080 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 10a.m.,Iguala
Casa Mar,,None Found,,"C. Josefa Ortiz de Domínguez 22, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante de desayunos,,Iguala
Itacate Restaurante,,None Found,,"Calle 1 Pte. Francisco I. Madero 100, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante familiar, Abre a las 9a.m.,Iguala
Buffet Santa Fe,facebook.com,None Found,+52 733 332 4183,"A Tuxpan 7, Las Americas II, 40101 Iguala de la Independencia, Gro., México",Buffet libre, Abre a las 8:30a.m.,Iguala
Restaurant el Antojito,,None Found,+52 733 332 2544,"Juan Aldama 8, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 8:30a.m. del lun,Iguala
Iguala Guerrero México,,None Found,+52 733 120 0793,"Calle Prof.ª Herlinda García 60, Educacion, 40020 Iguala de la Independencia, Gro., México",Taquería,,Iguala
"Restaurante Video-Bar ""Poczo"" (pozoleria)",m.facebook.com,None Found,+52 733 141 1420,"Fidel Velázquez # 7, Benito Juárez, 40015 Iguala de la Independencia, Gro., México",Restaurante, Abre a la 1p.m. del jue,Iguala
Cocina Económica Doña Tefa,,None Found,+52 733 332 8581,"Juan Aldama 82, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 8a.m.,Iguala
Pozolería Los Tlacololeros,,None Found,,"40000, Av Cristóbal Colón 39A, Centro, Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a la 1p.m. del jue,Iguala
Antojitos Lolita,,None Found,,"40000, Ignacio Zaragoza 58, Centro, Iguala de la Independencia, Gro., México",Restaurante, Abre a las 8:30p.m.,Iguala
"Restaurant ""EL GUAMUCHIL""",,None Found,+52 733 582 8396,"Juan Aldama 38A, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 9a.m. del lun,Iguala
Torteria El Tomatito,,None Found,+52 733 131 4396,"Caritono maldonado s/n # esq, Perif. Sur, Plan de Iguala, 40060 Iguala de la Independencia, Gro., México",, Abre a las 7a.m.,Iguala
Olivas y Popeyes,,None Found,+52 733 100 2206,"Ignacio Maya 14, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 8a.m.,Iguala
Restaurante Sonora's Fisher,facebook.com,None Found,+52 733 114 9859,"A Tuxpan, 40100 Iguala de la Independencia, Gro., México",Marisquería, Abre a la 1p.m.,Iguala
Pizzeria Napoli CIII,,None Found,+52 733 125 9113,"Europa 14, Centro, 40000 Iguala de la Independencia, Gro., México",Pizzería, Abre a las 3p.m.,Iguala
Valhalla Bar rock,,None Found,+52 733 121 5281,"Nicolás Bravo 2, Centro, 40000 Iguala de la Independencia, Gro., México",Bar restaurante, Abre a las 5p.m.,Iguala
"Antojitos Mexicanos ""Moreno""",,None Found,+52 733 676 7148,"Tulipanes 23, El Paraiso, 40050 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 8a.m.,Iguala
Restaurant DeMos,idvirtualmx.com,None Found,+52 733 337 3026,"Perif. Nte. s/n, Benito Juárez, 40015 Iguala de la Independencia, Gro., México",Restaurante de cocina de Oriente Medio, Abre a las 10a.m.,Iguala
Restaurant Y Salon De Fiestas Casa Tefa,,None Found,+52 733 141 0345,"Unnamed Road, Joyas de Iguala, 40090 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 8a.m.,Iguala
"Restaurante café, terraza bufet la parroquia",facebook.com,None Found,+52 733 115 8482,"40000, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante familiar, Abre a las 9a.m.,Iguala
El Toloache,facebook.com,None Found,+52 733 333 4310,"Mariano Matamoros 83, Centro, 40000 Iguala de la Independencia, Gro., México",Taquería, Abre a las 8p.m.,Iguala
Tortas El Cuais,,None Found,+52 733 332 1147,"Calle, Mariano Matamoros 2A, 40000 Iguala de la Independencia, Gro., México",Restaurante de comida rápida, Abre a las 7a.m.,Iguala
Plaza Garibaldi Iguala,,None Found,,"Emiliano Zapata 7, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 8a.m.,Iguala
Mariscos Langosta LO-K,,None Found,+52 733 100 5919,"C. Josefa Ortiz de Domínguez 13-D, Centro, 40000 Iguala de la Independencia, Gro., México",Marisquería, Abre a la 1:30p.m.,Iguala
Restaurante Maria Bonita,,None Found,,"Calle Miguel Hidalgo 12, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 9a.m.,Iguala
Restaurant Italianissimo,idvirtualmx.com,None Found,+52 733 113 7453,"Olinalá 7, Burócrata, 40090 Iguala de la Independencia, Gro., México",Restaurante italiano, Abre a la 1p.m. del mar,Iguala
Mister Wings Centro,,None Found,+52 733 109 1560,"Juan Aldama 114, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 3p.m.,Iguala
Tortas Llac,,None Found,+52 733 131 0698,"Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante de comida rápida, Abre a las 8:30a.m. del lun,Iguala
Restaurante Roof 54. Iguala,jorge-burgos.ola.click,None Found,+52 733 101 6931,"Calle, Juan Aldama 54, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante,,Iguala
SUSHI-TE,,None Found,+52 733 117 6271,"Juan Aldama 112, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante de sushi, Abre a la 1p.m.,Iguala
Chopi Burguers Iguala,facebook.com,None Found,+52 733 174 6998,"Fracc, 1, Las Americas, 40040 Iguala de la Independencia, Gro., México",Hamburguesería, Abre a las 3:30p.m.,Iguala
"Taqueria ""La amiga Mástache"" . La original de Iguala guerrero",,None Found,+52 733 128 5960,"Calle Miguel Hidalgo 22, Centro, 40000 Iguala de la Independencia, Gro., México",Taquería, Abre a las 8a.m.,Iguala
Pozoleria Ana y Ofe,,None Found,,"Ignacio Comonfort 68, Centro, 40000 Iguala de la Independencia, Gro., México",,,Iguala
Restaurante Mazagan,,None Found,,"Mariano Escobedo 84, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 12:30p.m.,Iguala
KFC IGUALA,kfc.com.mx,None Found,+52 733 339 7444,"Periférico Oriente 22, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante especializado en pollo, Abre a las 10a.m.,Iguala
Antojitos Mexicanos Roa,,None Found,+52 733 294 0324,"Heroico Colegio Militar, San Angel, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 8a.m. del lun,Iguala
Restaurante Olivo,,None Found,+52 733 228 1750,"Bandera Nacional 86, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante familiar, Abre a las 8:30a.m.,Iguala
Pozoleria Susy's,,None Found,,"Ignacio Comonfort, Centro, 40000 Iguala de la Independencia, Gro., México",,,Iguala
Xiana-lu Taqueria,facebook.com,None Found,+52 733 125 8622,"40000, Centro, 40000 Iguala de la Independencia, Gro., México",Taquería,,Iguala
Cafe Morelos,facebook.com,None Found,+52 17331187724,"Reforma 16, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante de desayunos, Abre a las 8a.m. del lun,Iguala
Restaurante Mi Tierra,,None Found,+52 733 110 3044,"Calle Miguel Hidalgo 7, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 7a.m. del lun,Iguala
Pozoleria La Morenita,m.facebook.com,None Found,,"Reforma 93, Centro, 40000 Iguala de la Independencia, Gro., México",, Abre a la 1p.m. del jue,Iguala
Los Machis,,None Found,,"Ignacio Maya 98, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 12p.m.,Iguala
Los Machis,,None Found,,"Ignacio Maya 98, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 12p.m.,Iguala
Iguala de mis Amores,,None Found,,"Calle Cristóbal Colón & Calle Juan N. Álvarez, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante de brunch, Abre a las 7a.m.,Iguala
El Machi La Hacienda,,None Found,+52 733 131 9807,"Reforma 24, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 12p.m.,Iguala
Domino's Iguala,dominosmx.app.link,Cadena de comida a domicilio o para llevar con gran variedad de pizzas y otros platos y acompañamientos.,+52 733 332 4567,"Bandera Nacional 29, Centro, 40000 Iguala de la Independencia, Gro., México",Pizzería, Abre a las 11a.m.,Iguala
Restaurante Coco,,None Found,+52 733 688 5997,"Emiliano Zapata 24, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante,,Iguala
Picaditas Doña Chave,,None Found,+52 733 119 4944,"Juan Aldama 82, 92 Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante mexicano, Abre a las 9a.m.,Iguala
TAQUERIA EL GORDO DIAZ,,None Found,+52 733 115 4717,"Av. Vicente Guerrero 72, Centro, 40000 Iguala de la Independencia, Gro., México",Taquería, Abre a las 5:30p.m.,Iguala
TACOS VILLA1000,,None Found,+52 733 117 5363,"Tacos villa1000, C. Juan N. Álvarez 158, Juan N. Alvarez, 40020 Iguala de la Independencia, Gro., México",Taquería, Abre a las 6p.m. del lun,Iguala
Subway centro,restaurantes.subway.com,"Cadena informal de servicio al mostrador con ensaladas, sándwiches personalizados y opciones saludables.",+52 733 110 2424,"Constitución 17 A, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante de comida rápida, Abre a las 9a.m.,Iguala
Star Burger,facebook.com,None Found,+52 733 100 1050,"Bandera Nacional 27, Centro, 40000 Iguala de la Independencia, Gro., México",Hamburguesería, Abre a las 4:30p.m.,Iguala
Restaurante El Rincón,,None Found,,"Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante,,Iguala
Antojitos Mexicanos Sandi,,None Found,+52 733 100 5644,"Bandera Nacional 96, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 8a.m. del lun,Iguala
Doña Toñita,dona-tonita.ueniweb.com,None Found,+52 733 117 5094,"Luis Reyes Quezada, Luis Quintero, 40054 Iguala de la Independencia, Gro., México",Restaurante mexicano,,Iguala
Como en casa,,None Found,+52 733 114 0021,"Juan Aldama 51A, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 7a.m.,Iguala
Como en casa,,None Found,+52 733 114 0021,"Juan Aldama 51A, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 7a.m.,Iguala
*La Lupita *,,None Found,+52 733 148 8293,"Ramón Corona, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 8a.m. del lun,Iguala
Antojitos Mexicanos Lupita,,None Found,+52 733 117 7848,"Emiliano Zapata 11-1, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 7a.m.,Iguala
Cevichería Playa Azul,,None Found,+52 733 332 5011,"Ignacio M. Altamirano 69, Centro, 40000 Iguala de la Independencia, Gro., México",Marisquería, Abre a las 9a.m.,Iguala
El Cuais,,None Found,+52 733 334 3080,"Av Gral Álvaro Obregón 8, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 8a.m.,Iguala
La Cocina de Minda,,None Found,,"Juan Ruiz de Alarcón 11, Centro, 40000 Iguala de la Independencia, Gro., México",Restaurante, Abre a las 10a.m.,Iguala
Restaurante Casa Iguala,,None Found,+52 733 132 5348,"C. Benito Juárez 5, Centro, 40000 Iguala de la Independencia, Gro., México",Taquería, Abre a las 9a.m.,Iguala
Taqueria Don Beto,,None Found,+52 733 133 1270,"C. José María Morelos y Pavón, Centro, 40000 Iguala de la Independencia, Gro., México",Taquería,,Iguala
