Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Chili's Sendero Ixtapaluca,chilis.com.mx,Cadena apta para familias que ofrece alimentos estadounidenses y tex-mex en un ambiente sureño.,+52 25967360,"Carr Federal México-Cuautla 1, Santa Barbara, 56538 Ixtapaluca, Méx., México",Restaurante americano, Cierra a las 12a.m.,Ixtapaluca
Restaurante Sabor Do Brasil Ixtapaluca,sabordobrasilrestaurante.com.mx,None Found,+52 55 9265 3037,"Carr Federal México-Cuautla 20 D, Hacienda Las Palmas I y II, Geovillas Santa Barbara, 56535 Ixtapaluca, Méx., México",Restaurante brasileño, Abre a las 12p.m. del dom,Ixtapaluca
RESTAURANTE ESPARTACOS IXTAPALUCA,,None Found,+52 55 5972 6303,"Blvd. San Buena Ventura No. 1 Local 2 Col. La Venta Municipio Ixtapaluca, 56530 Ixtapaluca, Méx., México",Restaurante mexicano, Abre a las 8a.m. del dom,Ixtapaluca
La Casa de Toño en Sendero Ixtapaluca,sucursales.lacasadetono.mx,None Found,+52 55 9331 4671,"Carr Federal México-Cuautla No.1-Local 5, Santa Barbara, 56538 Ixtapaluca, Méx., México",Restaurante mexicano, 11p.m. ,Ixtapaluca
Los Cantaritos Grill Ixtapaluca,,None Found,+52 55 7771 7062,"Calle José María Morelos Manzana 024, Los Heroes, 56577 Ixtapaluca, Méx., México",Parrilla, Cierra a las 10:30a.m. del dom,Ixtapaluca
Red Hot Grill,facebook.com,None Found,+52 55 2596 7559,"Plaza Sendero, Carretera México Cuautla 1 Subancla 2, Santa Barbara, 56538 Ixtapaluca, Méx., México",Restaurante familiar,,Ixtapaluca
Bisquets Obregón Ixtapaluca,bisquetsobregon.com,None Found,+52 55 9053 0028,"Av. Cuauhtémoc 3, Geovillas San Jacinto, 56530 Ixtapaluca, Méx., México",Restaurante, 11p.m. ,Ixtapaluca
Taquería La Hacienda del Cid,,None Found,+52 55 6542 2360,"Manzana 003, 56535 El Jaral, Méx., México",Restaurante, Cierra a la 1a.m.,Ixtapaluca
La Huarachera De Coyoacan,facebook.com,None Found,+52 55 8865 9545,"Manzana 234, Geovillas Santa Barbara, 56538 Ixtapaluca, Méx., México",Restaurante, Cierra a las 12a.m.,Ixtapaluca
Fonda Margarita Ixtapaluca,,None Found,+52 56 1997 0283,"3Jose, Av. Cuauhtémoc Manzana 006, de la Palma, 56530 Ixtapaluca, Méx., México",Restaurante mexicano, Abre a las 8a.m. del dom,Ixtapaluca
Marisquería Playa San José,,None Found,+52 55 3333 8200,"C. Benito Juárez 1, Centro, 56530 Ixtapaluca, Méx., México",Marisquería, Abre a las 10a.m. del dom,Ixtapaluca
La Choperia Ixtapaluca,,None Found,+52 55 2038 1983,"C. la Espinita 5, 56535 Ixtapaluca, Méx., México",Bar restaurante, Cierra a las 2:53a.m.,Ixtapaluca
