Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Los Cazadores Cuernavaca,facebook.com,None Found,+52 777 983 1064,"Begonias 4, Atlacomulco, 62560 Jiutepec, Mor., México",Restaurante, Abre a las 9a.m.,Jiutepec
Restaurante La Casona,hotelhaciendadecortes.com.mx,None Found,+52 777 315 8844,"Plaza Kennedy 90, Atlacomulco, 62560 Jiutepec, Mor., México",Restaurante mexicano,,Jiutepec
Restaurante Coty Y Pablo,,None Found,+52 55 1613 6506,"P.º de Las Fuentes 24, Los Fuentes, 62554 Jiutepec, Mor., México",Marisquería, Abre a las 11a.m.,Jiutepec
Restaurante Huayacán,hotelhuayacan.com,None Found,+52 777 460 9216,"Tezontepec 200, Lomas de Jiutepec, 62560 Jiutepec, Mor., México",Restaurante mexicano, Abre a las 8a.m.,Jiutepec
Los panzoles,,None Found,,"Chimalpopoca 13, Porvenir, 62577 Jiutepec, Mor., México",Restaurante,,Jiutepec
"Bisquets Obregón, Jiutepec",,None Found,+52 777 416 6190,"PALMA REAL, RESIDENCIAL, Residencial, La Palma, 62553 Jiutepec, Mor., México",Restaurante mexicano, Abre a las 7a.m.,Jiutepec
Los Tradicionales Huaraches y Mariscos Jiutepec Centro,,None Found,+52 777 319 6030,"Calle Gral Emiliano Zapata 2, Centro, 62550 Jiutepec, Mor., México",Restaurante, Abre a las 9:30a.m.,Jiutepec
Patio 30,,None Found,+52 777 333 9434,"Pino 19, Villas del Descanso, 62554 Jiutepec, Mor., México",Bar restaurante, Abre a las 5p.m. del jue,Jiutepec
La cosecha de vida,,None Found,+52 777 245 2276,"C. 4 Este, Civac 1ra Secc, 62578 Jiutepec, Mor., México",Cafetería, Abre a las 8:30a.m. del lun,Jiutepec
El Encuentro,,None Found,+52 777 319 0764,"Olivo 5-A, Villas del Descanso, 62570 Jiutepec, Mor., México",Restaurante, Abre a las 9a.m.,Jiutepec
Casa Taxco Cuauhnahuac,,None Found,+52 777 516 4031,"Blvd. Paseo Cuauhnáhuac km 3-Número 333, Bugambilias, 62577 Jiutepec, Mor., México",Restaurante, Abre a las 8a.m.,Jiutepec
