Names,Website,Phone Number,Address,Type,Opens At,Municipio
La Casa Del Panucho,,+52 999 576 4577,"C. 22 84A, Centro, 97370 Kanasín, Yuc., México",Restaurante, Abre a las 5:30p.m.,Kanasín
"""EL RINCÓN de Hidalgo",facebook.com,+52 999 220 2481,"C. 1, Sta Rosa, 97370 Kanasín, Yuc., México",Restaurante mexicano, Abre a las 8a.m.,Kanasín
Restaurante El Tiburón,,+52 999 131 5383,"Por 35 y 37, Calle 36 404, Cuauhtémoc, 97370 Kanasín, Yuc., México",Marisquería, Abre a las 11a.m.,Kanasín
Lonchería Elsy,,+52 999 988 1534,"C. 22 1, Centro, 97370 Kanasín, Yuc., México",Restaurante, Abre a las 6:01p.m.,Kanasín
Texcoco Lindo y Que Rico,facebook.com,+52 999 566 1402,"C. 65 468, Francisco Villa, 97370 Kanasín, Yuc., México",Restaurante mexicano,,Kanasín
El Nuevo Brindis Kanasín de tony,,+52 999 251 1178,"C. 75ᴮ, Cuauhtémoc, 97370 Kanasín, Yuc., México",Restaurante, Abre a las 12p.m.,Kanasín
Restaurant Los Amos Del Camino,,,"97370, C. 1 203, Sta Rosa, Kanasín, Yuc., México",Restaurante,,Kanasín
Doña Maxi,,,"por la 2 y la 8, C. 65, Villas de Oriente, 97370 Kanasín, Yuc., México",Restaurante, Abre a las 6p.m.,Kanasín
La Patrona - Huevos Motuleños.,,+52 999 115 9221,"Calle 23 Diagonal, #102 Dep.3 x 32 y 34, Xelpac Cuauhtémoc, 97370 Kanasín, Yuc., México",Restaurante, Abre a las 8a.m.,Kanasín
Lonchería Marisol Antojitos regionales,facebook.com,+52 999 491 6811,"97370, La Finca, 97370 Kanasín, Yuc., México",Restaurante, Abre a las 6p.m.,Kanasín
Carnitas Mi Yucatan,,+52 999 193 5067,"C. 8 104b, Jardines de Mulchechen, Centro, 97370 Kanasín, Yuc., México",Restaurante de brunch, Abre a las 7a.m.,Kanasín
La Casa Del Pavo,,+52 999 164 6044,"Cuauhtémoc, 97370 Kanasín, Yuc., México",Restaurante, Abre a las 6p.m.,Kanasín
"Lonchería ""LA TIA SOCO""",,+52 999 547 4444,"por 24 y 26, Calle 21, Centro, 97370 Kanasín, Yuc., México",, Abre a las 7a.m.,Kanasín
Panucho de Kanasín de la 26,,+52 999 474 4622,"C. 26 101D, Centro, 97370 Kanasín, Yuc., México",Restaurante de comida rápida, Abre a las 7p.m.,Kanasín
La Kibberia,,+52 999 609 4822,"C. 57 527, Granjas, Reparto Granjas, 97370 Kanasín, Yuc., México",Restaurante occidental, Abre a las 6:30a.m.,Kanasín
Las cazuelas de Frida,,,"C. 48 311a, Xelpac Cuauhtémoc, 97370 Kanasín, Yuc., México",Restaurante familiar,,Kanasín
La Cafeteada Kanasín,facebook.com,+52 999 743 3391,"Calle 21 & Calle 14, Centro, 97370 Kanasín, Yuc., México",Restaurante, Abre a las 6:30p.m.,Kanasín
Lonchería Doña Boli,facebook.com,+52 999 289 2630,"C. 69 190, Xelpac Cuauhtémoc, 97370 Kanasín, Yuc., México",Restaurante mexicano, Abre a las 7a.m. del lun,Kanasín
Losfaroles1974,,,"Centro, 97370 Kanasín, Yuc., México",Restaurante, Cierra a las 2p.m. ,Kanasín
La Mariskería 2 Restaurante-Bar,,,"Granjas, Reparto Granjas, 97370 Kanasín, Yuc., México",Marisquería, Abre a las 12p.m.,Kanasín
LONCHERIA LOS FAROLES,,,"Calle 23, Centro, 97370 Kanasín, Yuc., México",Restaurante, Abre a las 6p.m.,Kanasín
Antojitos Yucatecos DIOS PROVEE,,+52 999 198 8588,"San Pedro Noh Pat, 97370 Kanasín, Yuc., México",Restaurante mexicano, Abre a las 6:30a.m. del lun,Kanasín
"""LA GARDEÑA""",,,"POR 32 Y 37A, C. 19, Centro, 97370 Kanasín, Yuc., México",,,Kanasín
Cochinita el güero,facebook.com,+52 999 990 6170,"C. 63ᴬ, Mulchechén, 97370 Kanasín, Yuc., México",Restaurante de desayunos, Abre a las 6:30a.m.,Kanasín
El Hidalguense,,+52 999 547 9140,"C. 64 497, Mulchechén, 97370 Kanasín, Yuc., México",Restaurante especializado en barbacoa, Abre a las 7a.m.,Kanasín
TAQUERÍA PALENQUE KANASÍN,,,"C. 19 209, entre 32 y 34, Pablo Moreno, 97370 Kanasín, Yuc., México",Restaurante, Abre a las 5p.m.,Kanasín
Taquería Los Palenques,,,"97370 Kanasín, Yuc., México",Taquería, Cierra a las 12p.m. ,Kanasín
Frappes el wach,,+52 999 230 5563,"C. 31 183, Centro, 97370 Kanasín, Yuc., México",Restaurante,,Kanasín
CEDRO`S,,+52 999 615 4298,"Centro, 97373 Kanasín, Yuc., México",Restaurante, Abre a las 6:30a.m. del lun,Kanasín
