Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Sorstis Restaurante Mediterraneo,,None Found,+52 612 128 8985,"Constitución, Zona Comercial, 23000 La Paz, B.C.S., México",Restaurante mediterráneo, Cierra a las 2a.m. ,La Paz
Asadero Rancho Viejo,,None Found,+52 612 125 6633,"Gral Manuel Márquez de León 228, Zona Comercial, 23000 La Paz, B.C.S., México",Restaurante mexicano, Cierra a las 2a.m. ,La Paz
Harker Board Co.,instagram.com,None Found,+52 612 203 6209,"Paseo Álvaro Obregón 299, Zona Central, 23000 La Paz, B.C.S., México",Restaurante,,La Paz
Mariscos El Toro Güero,eltoroguero.com,Opciones de comida rápida y platos con mariscos en un restaurante al aire libre con techo de paja.,+52 612 122 7892,"Mariano Abasolo S/N, Pueblo Nuevo, 23060 La Paz, B.C.S., México",Marisquería, Abre a las 10a.m.,La Paz
Tres Virgenes,,None Found,+52 612 123 2226,"C. Francisco I. Madero 1130, Zona Central, 23000 La Paz, B.C.S., México",Parrilla, Abre a las 2p.m.,La Paz
JOSE MAGUEYES RESTAURANTE,josemagueyes.com,"Taberna colorida con accesorios vintage donde se sirven carnes, margaritas y gastronomía tradicional mexicana.",+52 612 128 7846,"Ignacio Allende 512, Zona Central, 23000 La Paz, B.C.S., México",Bar restaurante, Abre a las 8:30a.m.,La Paz
María California,,None Found,+52 612 140 0342,"Lic. Benito Juárez 105, Zona Central, 23000 La Paz, B.C.S., México",Restaurante mexicano, Abre a las 7:30a.m.,La Paz
El Mezquite Grill,,None Found,+52 612 158 4881,"C. Francisco I. Madero S/N, Zona Central, 23000 La Paz, B.C.S., México",Bar restaurante,,La Paz
La Peregrina Restaurant,quintalaperegrina.com,None Found,+52 612 138 1324,"Avenida 5 de Mayo #12, e/ Belisario Dominguez y Álvaro Obregón (Malecón, Zona Central, 23000 La Paz, B.C.S., México",Restaurante, Abre a la 1p.m.,La Paz
Mack-Fisher,facebook.com,None Found,+52 612 122 4140,"José María Morelos y Pavón entre Revolución y Madero, Zona Central, 23020 La Paz, B.C.S., México",Marisquería, Abre a las 9a.m.,La Paz
Vrentino Restaurant,vrentinoadmon.wixsite.com,None Found,+52 612 194 0227,"Blvd Alberto Alvarado aramburo #7, Colina del sol, 23010 La Paz, B.C.S., México",Restaurante, Abre a las 7a.m.,La Paz
Claro Fish Jr.,,None Found,+52 612 129 7720,"Nicolás Bravo 33, Zona Central, 23000 La Paz, B.C.S., México",Marisquería, Abre a las 9a.m.,La Paz
Taco Fish La Paz,tacofishlapazbcs.com,"Lugar informal con terraza cubierta, tacos de pescado y mariscos, empanadas y ceviche.",+52 612 348 2350,"Gral Manuel Márquez de León S/N, Zona Central, 23000 La Paz, B.C.S., México",Taquería, Abre a las 8:30a.m.,La Paz
Tailhunter Restaurant,tailhunter.com,Relajado bar deportivo y restaurante estilo palapa con vista al mar en donde se sirven pescados y mariscos.,+52 612 125 3311,"Paseo Álvaro Obregón 755, Esterito, 23020 La Paz, B.C.S., México",Restaurante, Abre a la 1p.m.,La Paz
Hambrusia,hambrusia.com,None Found,+52 612 202 4853,"Paseo Alvaro Obregon, Zona Central, 23000 La Paz, B.C.S Centro, 23000 La Paz, B.C.S., México",Restaurante mexicano, Abre a las 4p.m.,La Paz
Casamarte Oyster Bar & Grill,instagram.com,None Found,+52 612 155 6929,"16 de Septiembre 7, Zona Comercial, 23000 La Paz, B.C.S., México",Restaurante, Abre a las 8a.m.,La Paz
Anzuelo Cocina del Mar,facebook.com,None Found,+52 612 125 2532,"Gral Manuel Márquez de León 2415, Barrio Manglito, 23060 La Paz, B.C.S., México",Marisquería, Abre a las 8a.m.,La Paz
Fuego y Leña,es-es.facebook.com,None Found,+52 612 111 2489,"Ignacio Allende #169, Zona Central, 23000 La Paz, B.C.S., México",Pizzería, Abre a las 4p.m.,La Paz
Dulce Romero Restaurante,dulceromero.mx,"Lugar tranquilo con ambiente moderno, se ofrece un menú de comida ligera y repostería casera para todo el día.",+52 612 158 6649,"Ignacio Allende 167, Zona Central, 23000 La Paz, B.C.S., México",Panadería, Abre a las 8a.m.,La Paz
Vid'ah Bistro,vidahbistro.com.mx,None Found,+52 612 146 6055,"Paseo Álvaro Obregón entre M. Pineda y Marques de León, Zona Central, 23000 La Paz, B.C.S., México",Restaurante, Abre a las 7:30a.m.,La Paz
Bismarkcito,cleomgruporestaurantero.com,"Restaurante de langostas junto a la bahía, con una terraza; también se venden tacos y pizzas de mariscos.",+52 612 128 9900,"Paseo Alvaro Obregon entre Constitucion e Hidalgo, Zona Comercial, 23000 La Paz, B.C.S., México",Restaurante, Abre a las 8a.m.,La Paz
Taqueria El Paisa,,None Found,+52 612 129 6795,"Mariano Abasolo 2730, Zona Central, 23000 La Paz, B.C.S., México",Taquería, Cierra a las 2a.m. ,La Paz
Oliva Al Mare,olivamerida.com,None Found,+52 612 688 5599,"Paseo Álvaro Obregón 440, Esterito, 23020 La Paz, B.C.S., México",Restaurante italiano, Abre a las 2p.m.,La Paz
Mariscos El Molinito,,"Restaurante familiar con techos de palapa en donde se ofrece extenso menú de pescados, mariscos y carnes.",+52 612 128 4747,"Carr Escénica, Lomas de Palmira, 23010 La Paz, B.C.S., México",Marisquería,,La Paz
Tatanka La Paz,,None Found,+52 612 122 1999,"Revolución de 1910 s/n, entre Bravo y Ocampo, Zona Central, 23000 La Paz, B.C.S., México",Parrilla, Abre a las 2p.m.,La Paz
La Católica,,None Found,+52 612 122 8988,"Isabel La Católica 630, Los Olivos, 23040 La Paz, B.C.S., México",Restaurante, Abre a las 8:30a.m.,La Paz
Los 32 Sabores,,None Found,+52 612 155 2459,"Revolución de 1910 635, Esterito, 23000 La Paz, B.C.S., México",Restaurante mexicano, Abre a las 4p.m. del lun,La Paz
Quemadero,,None Found,+52 612 198 8518,"Paseo Álvaro Obregón 1558, Zona Central, 23000 La Paz, B.C.S., México",Restaurante, Abre a las 2p.m.,La Paz
Tacos del Sur,,None Found,+52 612 124 3033,"Tabachines 130, Adolfo Ruíz Cortínez, 23040 La Paz, B.C.S., México",Taquería, Cierra a las 2a.m. ,La Paz
Nim,,None Found,+52 612 122 0908,"Revolución de 1910 1110, Zona Central, 23000 La Paz, B.C.S., México",Restaurante, Abre a la 1p.m.,La Paz
La Costa,,None Found,,"Antonio Navarro s/n, Zona Comercial, 23060 La Paz, B.C.S., México",Marisquería,,La Paz
La Costa,,None Found,,"Antonio Navarro s/n, Zona Comercial, 23060 La Paz, B.C.S., México",Marisquería,,La Paz
Nómada Fresh La Paz,,None Found,+52 612 141 5411,"C. Francisco I. Madero 1235, Zona Central, 23000 La Paz, B.C.S., México",Restaurante orgánico, Abre a las 8a.m. del lun,La Paz
La Esquina Del Chef,facebook.com,None Found,+52 612 128 5307,"Independencia esquina, 18 de Marzo Col, Zona Central, 23000 La Paz, B.C.S., México",Restaurante, Abre a las 9a.m. del lun,La Paz
Restaurante Samael,,None Found,+52 612 125 7775,"Ignacio Allende 1715 Esquina Chiapas, La Paz, B.C.S., México",Restaurante mexicano, Abre a las 7:30a.m.,La Paz
Esperanza's,facebook.com,None Found,+52 612 152 9189,"Melchor Ocampo 635, entre Altamirano y Gómez Farías, Zona Central, 23000 La Paz, B.C.S., México",Restaurante japonés, Abre a la 1p.m. del lun,La Paz
La Mentita,meximania.com,None Found,+52 624 355 3910,"Belisario Domínguez, Constitución 115 Esquina, Zona Central, 23000 La Paz, B.C.S., México",Restaurante de desayunos, Abre a las 7a.m.,La Paz
Estancia Uruguaya,,"Coqueto restaurant-bar de estilo rústico y colorido, con menú de especialidades regionales uruguayas y cortes.",,"Miguel Hidalgo y Costilla 1095, Zona Central, 23000 La Paz, B.C.S., México",Restaurante uruguayo, Abre a las 2p.m.,La Paz
La Casa Madre,,None Found,+52 612 176 2631,"Av. Revolución de 1910, Manuel Pineda 696, 23000 La Paz, B.C.S., México",Restaurante italiano, Abre a las 2p.m.,La Paz
La Garita La Paz,,None Found,+52 612 139 0754,"Sinaloa 2825, Flores Magón, 23056 La Paz, B.C.S., México",Restaurante de burritos, Abre a las 7a.m. del lun,La Paz
