Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante El Farallón,farallon.com.mx,None Found,+52 668 812 1273,"Av Gral Álvaro Obregón 499, Centro, 81200 Los Mochis, Sin., México",Marisquería, 12a.m. ,Los Mochis
La Mentirosa,facebook.com,None Found,+52 668 861 1788,"Blvd Centenario 805, Centro, 81200 Los Mochis, Sin., México",Bar restaurante, 12a.m. ,Los Mochis
Panamá Restaurante y Pastelería Gabriel Leyva,panama.com.mx,"Establecimiento con patio y ambiente luminoso que ofrece comidas clásicas, pasteles y tortas.",+52 668 812 1277,"Av. Gral. Gabriel Leyva 690, Centro, 81289 Los Mochis, Sin., México",Restaurante mexicano, Abre a las 7a.m. del dom,Los Mochis
El Pecado Café,,None Found,+52 668 828 2808,"81200, Av. Independencia 528, 81200 Los Mochis, Sin., México",Hamburguesería, Cierra a la 1a.m.,Los Mochis
J&R Ribs Costilleria,ribsjr.com,None Found,+52 668 819 1537,"Plaza Santa Cecilia, Blvd Canuto Ibarra Guerrero 882-1-2, Privada San Mateo, Campestre II Primera Secc, 81248 Los Mochis, Sin., México",Restaurante especializado en soul food, 12a.m. ,Los Mochis
Restaurante V de Vaca,vdevaca.com.mx,None Found,+52 668 165 5555,"Av Gral Álvaro Obregón 525 Pte, Centro, 81200 Los Mochis, Sin., México",Restaurante de platos de carne, Cierra a la 1a.m.,Los Mochis
Lola Cocina de Mercado,,None Found,+52 668 818 0802,"Blvd. Antonio Rosales 800, Fátima, 81200 Los Mochis, Sin., México",Restaurante, Abre a las 8a.m. del dom,Los Mochis
El Leñador,ellenador.com.mx,None Found,+52 668 817 3322,"Blvd. Antonio Rosales 985 Sur, Centro, 81289 Los Mochis, Sin., México",Restaurante mexicano,,Los Mochis
El Quemado Restaurante,,None Found,+52 668 815 3178,"Blvd. Gral. Macario Gaxiola Sur 372, Centro, La Cuchilla, 81200 Los Mochis, Sin., México",Restaurante mexicano, Abre a las 11a.m. del dom,Los Mochis
Restaurant La Pura Calidad,,None Found,+52 668 812 8747,"Av. Belisario Domínguez s/n, Centro, 81200 Los Mochis, Sin., México",Marisquería, Abre a las 7a.m. del dom,Los Mochis
