Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante Juanitos,juanitos.com,Una oferta extensa de platillos mexicanos y americanos en un restaurante amplio y colorido con terraza.,+52 314 333 1388,"Blvd. Costero, Blvd. Miguel de la Madrid km 14, Santiago Centro, 28860 Manzanillo, Col., México",Restaurante mexicano, Abre a las 8a.m.,Manzanillo
Pacifica del mar,facebook.com,None Found,+52 314 333 6353,"Del Mar 1506, Playa Azul las Brisas, 28210 Manzanillo, Col., México",Restaurante mediterráneo, Abre a las 8a.m.,Manzanillo
Sabor Veracruzano Restaurante,saborveracruzano.com.mx,None Found,+52 314 333 6313,"Blvd. Miguel de la Madrid 1521, Playa Azul Salagua, 28218 Manzanillo, Col., México",Restaurante, Abre a las 8a.m.,Manzanillo
Mariscos La Huerta,,None Found,+52 314 334 0648,"Blvd. Miguel de la Madrid 873, Playa Azul Salagua, 28218 Manzanillo, Col., México",Marisquería, Abre a las 12p.m.,Manzanillo
Mariscos Carlos,,None Found,+52 314 336 5458,"León Marino Lote 7 Villa, Foca 16, Océano, 28219 Manzanillo, Col., México",Marisquería, Abre a las 12p.m.,Manzanillo
El FOGÓN,wa.me,None Found,+52 314 333 3094,"Boulevard Miguel de la Madrid Kilómetro 9.5, Salagua Centro, 28219 Manzanillo, Col., México",Restaurante, Abre a la 1p.m.,Manzanillo
Oasis Ocean Club,oasisoceanclub.com.mx,"Local tranquilo frente a la playa donde se sirve comida rápida, como hamburguesas y tacos, además de cerveza y cocteles.",+52 314 102 0794,"C. Delfin 400, Club Santiago, 28860 Manzanillo, Col., México",Restaurante,,Manzanillo
El Marinero Restaurante,,None Found,+52 314 331 2550,"Calle 7 Hotel Marbella, 28218, Marbella, 28218 Manzanillo, Col., México",Restaurante, Abre a las 7a.m.,Manzanillo
La Sal,,None Found,+52 314 688 6722,"Articulo 123 20, Morelos, 28218 Manzanillo, Col., México",Restaurante, Abre a la 1p.m.,Manzanillo
El Caballito,,None Found,+52 314 334 7245,"Pacifico Azul, Blvd. Miguel de la Madrid 1562, Viveros Pelayo, 28218 Manzanillo, Col., México",Restaurante, Abre a las 8a.m.,Manzanillo
El Vaquero,,None Found,+52 314 333 8005,"Pájaro de Fuego 5A, Playa Azul Salagua, 28218 Manzanillo, Col., México",Restaurante especializado en filetes, Abre a la 1p.m.,Manzanillo
La Sonrisa,facebook.com,None Found,+52 314 117 8604,"Océano Atlántico 788, Col del Mar, 28218 Manzanillo, Col., México",Restaurante mexicano,,Manzanillo
Monster Burger & BBQ,,None Found,+52 314 335 3772,"Av Elías Zamora 2119, Nuevo Salahua, 28869 Manzanillo, Col., México",Hamburguesería, Abre a las 2p.m.,Manzanillo
El Herradero Restaurante,herraderomanzanillo.com,None Found,+52 314 116 0764,"Blvd. Miguel de la Madrid 925, Playa Azul Salagua, 28218 Manzanillo, Col., México",Restaurante,,Manzanillo
Restaurante Punta Zuk,restaurantepuntazuk.com,None Found,+52 314 333 0441,"Blvd. Miguel de la Madrid 21, Olas Altas, 28860 Manzanillo, Col., México",Restaurante, Abre a las 12p.m.,Manzanillo
Pata Salada Beach Bar,bit.ly,None Found,+52 314 333 7307,"Playa de Oro 1509, Las Brisas, 28218 Manzanillo, Col., México",Restaurante, Abre a las 2p.m.,Manzanillo
Aramaára Restaurant,aramaararestaurant.com,None Found,+52 314 218 2992,"KM 8.6, Blvd. Miguel de la Madrid, Playa Azul Salagua, 28218 Manzanillo, Col., México",Restaurante,,Manzanillo
La Terraza Restaurant Bar,facebook.com,None Found,+52 314 160 8347,"Blvd. Miguel de la Madrid 3157, Playa Azul Salagua, 28218 Manzanillo, Col., México",Bar restaurante, Abre a las 3:30p.m.,Manzanillo
Restaurant Bar El Bigotes 1,,None Found,+52 314 334 0831,"Blvd. Miguel de la Madrid # 3157, Playa Azul Salagua, 28218 Manzanillo, Col., México",Marisquería, Abre a las 12:30p.m.,Manzanillo
Chantilly Blvd Restaurante,,None Found,+52 314 333 7182,"Blvd. Miguel de la Madrid 1059, Playa Azul Salagua, 28218 Manzanillo, Col., México",Restaurante, Abre a las 8a.m.,Manzanillo
Poco Pazzo,,None Found,+52 314 336 8533,"Las Hadas, Península de Santiago, 28867 Manzanillo, Col., México",Restaurante, Abre a las 6p.m.,Manzanillo
El Vergel Restaurant,,None Found,+52 314 688 2342,"Lic. Miguel de la Madrid Hurtado 1251-PB1, Las Palmas, 28869 Manzanillo, Col., México",Restaurante, Abre a las 8a.m.,Manzanillo
Carnes y Mariscos Galvan,,None Found,+52 314 198 9116,"Francisco I. Madero 13, Santiago Centro, 28860 Manzanillo, Col., México",Marisquería, Abre a las 11a.m.,Manzanillo
Mariscos El Capi,,None Found,+52 314 688 2611,"Blvd. Miguel de la Madrid Hurtado #3177, Playa Azul Salagua, Col., México",Marisquería, Abre a las 12:30p.m.,Manzanillo
Los Carrizos Resturante,,None Found,+52 314 332 8905,"Calle Belisario Domínguez s/n, Centro Histórico, 28200 Manzanillo, Col., México",Restaurante, Abre a las 11:30a.m.,Manzanillo
La Katana- Cocina Asiática Fusión,lakatana.com.mx,None Found,+52 314 334 0000,"Boulevard Miguel de la Madrid No. 10249-S, Salagua Centro, 28869 Manzanillo, Col., México",Restaurante asiático, Abre a la 1p.m.,Manzanillo
La Pergola Restaurante,lapergola.com.mx,None Found,+52 314 333 2265,"Blvd. Miguel de la Madrid Km 11.5, Salagua, 28867 Manzanillo, Col., México",, Abre a las 7:30a.m.,Manzanillo
Marisqueria El Delfin,,None Found,+52 314 106 0050,"28259, Blvd. Miguel de la Madrid 610, San Pedrito el Bajo, Manzanillo, Col., México",Marisquería, Abre a las 12p.m.,Manzanillo
Mariscos Doña Concha,,None Found,+52 314 333 7676,"Blvd. Miguel de la Madrid 2185, Playa Azul Salagua, 28218 Manzanillo, Col., México",Bar restaurante, Abre a las 11:30a.m.,Manzanillo
Restaurante Bigotes 2,,None Found,+52 314 333 1236,"Puesta del Sol 3, Playa Azul Salagua, 28218 Manzanillo, Col., México",Marisquería, Abre a las 9a.m.,Manzanillo
La Carnita Asada Restaurante,facebook.com,None Found,+52 55 2929 6848,"Division del Nte. 801, Playa Azul las Brisas, 28218 Manzanillo, Col., México",Parrilla, Abre a la 1p.m.,Manzanillo
Restaurante Costa Dorada,,None Found,+52 314 197 5025,"Av Paseo de Las Gaviotas 71, Soleares, Viveros Pelayo, 28219 Manzanillo, Col., México",Restaurante, Abre a las 11:30a.m.,Manzanillo
Mariscos El toro Mambo,,None Found,+52 314 106 9504,"Gral. Lázaro Cárdenas 1096, Las Brisas, 28218 Manzanillo, Col., México",Marisquería, Abre a la 1p.m.,Manzanillo
Playa Azúl Mariscos,,None Found,+52 314 181 5600,"Blvd. Miguel de la Madrid 897, Playa Azul Salagua, 28218 Manzanillo, Col., México",Marisquería, Abre a las 9:20a.m.,Manzanillo
Bambú,facebook.com,None Found,+52 314 335 5152,"Av. Paseo de las Gaviotas S/N, Local 11, Av Paseo de Las Gaviotas 251, Viveros Pelayo, 28219 Manzanillo, Col., México",Restaurante mexicano, Abre a las 8a.m.,Manzanillo
Mariscos Doña Concha Av. México,facebook.com,None Found,+52 314 332 0964,"Av. México 366, Centro Histórico, 28200 Manzanillo, Col., México",Marisquería, Abre a las 11a.m.,Manzanillo
Los Carrizos,,None Found,+52 314 333 7315,"Blvd. Miguel de la Madrid 5080, Playa Azul Salagua, 28218 Manzanillo, Col., México",Restaurante, Abre a las 9a.m.,Manzanillo
Restaurante Los Delfines,lasbrisashotels.com.mx,None Found,,"28867, Vista Hermosa 7, Península de Santiago, Manzanillo, Col., México",Marisquería, Abre a la 1p.m.,Manzanillo
