Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante La Casa Country,,"Restaurante colorido y recubierto en madera donde se sirven tacos, fajitas, filete y comida tex‑mex.",+52 669 916 4535,"Av Camarón Sábalo S/N, Sábalo Country, 82100 Mazatlán, Sin., México",Restaurante mexicano, Cierra a las 11:30p.m.,Mazatlán
Presidio Cocina de México,,"Lugar agradable con un ambiente histórico, un bar y mesas al aire libre en un patio con plantas.",+52 669 223 1021,"Blvd. Niños Héroes 1511, Centro, 82000 Mazatlán, Sin., México",Restaurante,,Mazatlán
Angelo's,,Restaurante del Hotel Pueblo Bonito que ofrece comida internacional en un refinado comedor con candelabros.,+52 669 989 8900,"Av Camarón Sábalo 2121, Sábalo Country, 82100 Mazatlán, Sin., México",Restaurante italiano, Cierra a las 11p.m.,Mazatlán
Restaurant Pancho's frente al Mar.,facebook.com,"Cadena informal frente al mar con platos clásicos, amplio menú de desayuno y decoración tradicional.",+52 669 914 0911,"Av. Gaviotas 408, Zona Dorada, 82110 Mazatlán, Sin., México",Restaurante mexicano, Cierra a las 11p.m.,Mazatlán
Los Arcos,restaurantlosarcos.com,None Found,+52 669 913 9577,"Av Camarón Sábalo 1019, Zona Costera, 82110 Mazatlán, Sin., México",Marisquería, 10p.m. ,Mazatlán
Hector's Bistro,hectors.mx,Sencillo comedor de aire artístico con un variado menú de cocina internacional acompañada de vino y cocteles.,+52 669 981 1577,"Mariano Escobedo 409, Centro, 82000 Mazatlán, Sin., México",Restaurante de cocina contemporánea europea, Cierra a las 11p.m.,Mazatlán
Restaurante Chile's Pepper,,None Found,+52 669 913 0069,"Del Atún, Sin Nombre, 82110 Mazatlán, Sin., México",Restaurante mexicano, Cierra a las 10:30p.m.,Mazatlán
Restaurante Chile's Pepper,,None Found,+52 669 913 0069,"Del Atún, Sin Nombre, 82110 Mazatlán, Sin., México",Restaurante mexicano, Cierra a las 10:30p.m.,Mazatlán
Restaurant Panchos,facebook.com,None Found,+52 669 913 3040,"Av. Camaron Sabalo 1614-B, Sábalo Country, 82100 Mazatlán, Sin., México",Restaurante mexicano, Cierra a las 11p.m.,Mazatlán
La Marea Mazatlán,lamareamazatlan.shop,None Found,+52 669 239 3266,"Cam. a Observatorio 11, Cerro del Vigía, 82040 Mazatlán, Sin., México",Marisquería, Cierra a las 11p.m.,Mazatlán
Gus & Gus Restaurant Bar & Grill,,"Cantina relajada con terraza para probar mariscos, tomar margaritas, cantar karaoke y escuchar rock en vivo.",+52 669 914 4501,"Av Camarón Sábalo 1730, El Dorado, 82110 Mazatlán, Sin., México",Bar restaurante, Cierra a las 2a.m.,Mazatlán
Angelina's Kitchen,angelinasmexico.com,None Found,+52 669 910 1596,"Venustiano Carranza 18, Centro, 82000 Mazatlán, Sin., México",Restaurante mediterráneo,,Mazatlán
