Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Cabanna Restaurant,cabanna.com.mx,"Espacio colorido con estilo vanguardista y aire casual que ofrece antojitos mexicanos, mariscos y pizzas.",+52 686 905 0203,"Plaza Gran vía, Calz. Cetys 1950, Rivera, 21259 Mexicali, B.C., México",Marisquería, Cierra a las 11p.m.,Mexicali
BODEGA 8,facebook.com,None Found,+52 686 514 3445,"Calz. Cetys 1950, Rivera, 21259 Mexicali, B.C., México",Restaurante mexicano, Cierra a la 1a.m.,Mexicali
Palominos,restaurantpalominos.mx,"Espacio refinado con mesas de mantel blanco y un menú extenso de carnes asadas, mariscos y recetas mexicanas.",+52 686 554 5555,"Av Reforma & Calzada Justo Sierra, Calz. Justo Sierra, Nueva, 21100 Mexicali, B.C., México",Restaurante especializado en filetes,,Mexicali
Cenaduría Selecta Restaurante de Comida Mexicana en Mexicali,cenaduriaselecta.com,None Found,+52 686 552 4047,"C. G 1510, Segunda, 21100 Mexicali, B.C., México",Restaurante mexicano, Cierra a las 10p.m.,Mexicali
La Casa del Tutuli,,None Found,+52 686 107 4352,"12 de Octubre 601, Carbajal, 21370 Mexicali, B.C., México",Restaurante, Cierra a las 10p.m.,Mexicali
Mochomos,mochomos.mx,Espacio selecto con toques campestres y ambiente casual que ofrece menú de alta cocina del estado de Sonora.,+52 686 591 6628,"Calz. Manuel Gómez Morín 799-local 9-a, Rivera, 21259 Mexicali, B.C., México",Restaurante, Cierra a las 11p.m.,Mexicali
Los Arcos,restaurantlosarcos.com,None Found,+52 686 556 0903,"C. Calafia 454, Centro Cívico, 21000 Mexicali, B.C., México",Marisquería, Cierra a las 10p.m.,Mexicali
Laguna Azul,m.facebook.com,"Marisquería sencilla y animada con cocteles de camarones, ostras, ceviches y pescados fritos.",+52 686 565 6181,"Calz Independencia 823, Centro Cívico, 21290 Mexicali, B.C., México",Marisquería, Cierra a las 8p.m.,Mexicali
Fonda de Mexicali - Restaurante en Mexicali,araizahoteles.com,Espacioso lugar familiar con ambiente alegre que ofrece un amplio menú y buffet de platillos mexicanos.,+52 686 564 1100,"Blvd. Benito Juárez 2220, Jardines del Valle, 21279 Mexicali, B.C., México",Restaurante mexicano,,Mexicali
La casa de Julia,lacasadejulia.com,"Restaurante informal sirve comida familiar como chicharrón, gorditas y tacos, además de cocteles.",+52 686 108 9990,"P.º de los Robles 1, Los Pinos, 21230 Mexicali, B.C., México",Restaurante mexicano, Abre a las 8a.m. del dom,Mexicali
Heidelberg Restaurante,restauranteheidelberg.com,Diverso menú internacional en un amplio comedor familiar con decorado rústico europeo y un bar estilo alemán.,+52 686 554 2022,"Ave. Fco. I. Madero y Calle H S/N, Nueva, 21100 Mexicali, B.C., México",Restaurante, Cierra a la 1a.m.,Mexicali
"La Corriente, Cevichería Nais",facebook.com,None Found,+52 686 514 0300,"Blvd. Benito Juárez 1298, Jardines del Valle, 21279 Mexicali, B.C., México",Marisquería, Cierra a las 11p.m.,Mexicali
Las Campanas Restaurant,mexicali.org,Restaurante familiar y amplio de toda la vida con cocina mexicana en donde se ofrecen desayunos tradicionales.,+52 686 568 1213,"Calzada Justo Sierra, honduras 377-y, Cuauhtémoc Nte, 21200 Mexicali, B.C., México",Restaurante mexicano, Cierra a las 10:30p.m.,Mexicali
Sakura Restaurant Bar,sakurarestaurantbar.com,"Antiguo restaurante japonés con una piscina de tortugas, que sirve sashimi y carnes asadas teppanyaki.",+52 686 633 5915,"Blvd. Lázaro Cárdenas y Calz. Francisco L. Montejano, Calafia, 21280 Mexicali, B.C., México",Restaurante japonés, Cierra a las 11p.m.,Mexicali
El Rincón de Panchito,m.facebook.com,None Found,+52 686 567 7718,"Blvd. Benito Juárez 1298, Jardines del Valle, 21270 Mexicali, B.C., México",Restaurante cantonés, Cierra a las 9p.m.,Mexicali
260 Grill & Bar Restaurante Mexicali,260grillbar.com,None Found,+52 686 104 1924,"Calz. Manuel Gómez Morín, 21259 Mexicali, B.C., México",Restaurante, Cierra a las 12:30a.m.,Mexicali
Asadero Acatlán de Juárez,m.facebook.com,Tacos estándares en un lugar funcional y popular con bancos de pícnic y una terraza.,+52 686 555 3243,"Calz Independencia 697, Esperanza, 21140 Mexicali, B.C., México",Taquería,,Mexicali
Asadero Acatlán de Juárez,m.facebook.com,Tacos estándares en un lugar funcional y popular con bancos de pícnic y una terraza.,+52 686 555 3243,"Calz Independencia 697, Esperanza, 21140 Mexicali, B.C., México",Taquería,,Mexicali
Umai Progressive Asian Food,umaimxl.com,None Found,+52 686 251 3673,"Calz. Justo Sierra 1700, Los Pinos, 21230 Mexicali, B.C., México",Restaurante especializado en fusión asiática, Cierra a las 11p.m.,Mexicali
