Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Tierra Santa Restaurante,,None Found,+52 866 634 0404,"Washington 33-A, Guadalupe, 25720 Monclova, Coah., México",Restaurante mexicano, Abre a las 12p.m.,Monclova
Hacienda Campanario,,"Un amplio restaurant bar con especialidades regionales y de la parrilla, con área de juegos y menú para niños.",+52 866 633 8355,"Blvd Harold R. Pape 1617, Colonia, Santa Monica, 25720 Monclova, Coah., México",Restaurante mexicano, Abre a las 8a.m.,Monclova
Restaurante El Álamo,facebook.com,None Found,+52 866 635 2859,"Jalisco Sur 901, Tecnológico, 25750 Monclova, Coah., México",Restaurante, Abre a las 12p.m.,Monclova
Boruca Restaurant & Sports-Bar,facebook.com,"Lugar amplio y casual, con paredes de ladrillo que lucen fotos de deportistas y un variado menú internacional.",+52 866 105 2888,"Blvd Harold R. Pape 1629, Santa Monica, 25720 Monclova, Coah., México",Restaurante americano, 2a.m. ,Monclova
Los Corrales,loscorralesrestaurant.com,None Found,+52 866 631 3333,"Calle Blvd. Pape & Frontera, Guadalupe, 25750 Monclova, Coah., México",Bar restaurante, Abre a las 7:30a.m.,Monclova
KÓKORO CAFÉ,kokorocafe.com.mx,None Found,+52 866 688 1717,"Blvd Harold R. Pape 1402, El Pueblo, 25730 Monclova, Coah., México",Cafetería, Abre a las 3p.m.,Monclova
Puro Taco,purotaco.com.mx,None Found,+52 866 688 1616,"San Miguel Nte 1210, El Pueblo, 25730 Monclova, Coah., México",Taquería, Abre a las 12p.m.,Monclova
Hooligans Irish Pub + Kitchen,,None Found,+52 866 634 5009,"Blvd. Ejercito Mexicano 1406, Los Pinos, 25720 Monclova, Coah., México",Pub irlandés,,Monclova
Restaurant Vitali,vitalitaqueriaasador.com.mx,None Found,+52 866 633 2828,"Nogal 26, Santa Monica, 25720 Monclova, Coah., México",Taquería, Abre a las 8a.m.,Monclova
Triple B restaurante & bar,facebook.com,None Found,+52 866 697 7717,"Blvd Harold R. Pape, Santa Monica, 25720 Monclova, Coah., México",Bar restaurante, 2a.m. ,Monclova
La Pesca Sinaloense,m.facebook.com,None Found,+52 866 631 4536,"Anáhuac, 25750 Monclova, Coah., México",Marisquería, Abre a las 12p.m.,Monclova
El taco del sirlon,,None Found,+52 866 635 8045,"Blvd Harold R. Pape 1813, Fraccionamiento La Salle, 25720 Monclova, Coah., México",Restaurante especializado en filetes, Abre a las 8a.m.,Monclova
Panorámica Monclova,,None Found,+52 866 281 6268,"Blvd Harold R. Pape 2006, col. Palma, 25730, 25718 Monclova, Coah., México",Restaurante, 2a.m. ,Monclova
Ribs,,None Found,+52 866 136 3363,"Blvd Harold R. Pape, Santa Monica, 25720 Monclova, Coah., México",Restaurante mexicano, Abre a las 11a.m.,Monclova
Los Chilaquiles,,None Found,+52 866 634 6672,"Benito Juárez 709, Guadalupe, 25750 Monclova, Coah., México",Restaurante mexicano, Abre a las 7:30a.m.,Monclova
Piccola Italia,facebook.com,None Found,+52 866 648 2555,"Blvrd Benito Juárez 320, Chapultepec, 25730 Monclova, Coah., México",Restaurante italiano, Abre a las 7:30p.m. del mar,Monclova
Susso's by Vera,,None Found,+52 866 633 6511,"Blvd Harold R. Pape 508, Guadalupe, 25750 Monclova, Coah., México",Restaurante, 2a.m. ,Monclova
Restaurante Gourmet Cimaco,gourmetcimaco.com.mx,None Found,+52 866 649 5408,"Blvd Harold R. Pape No. 1000-Local 1, Estancias de San Juan Bautista, 25726 Monclova, Coah., México",Restaurante, Abre a las 8a.m.,Monclova
Pappa’s Grill Monclova,,None Found,+52 866 632 1556,"Blvd Harold R. Pape 6201, Guadalupe, 25750 Monclova, Coah., México",Restaurante americano, Abre a las 12:40p.m.,Monclova
Los Colorines Monclova,,None Found,+52 866 688 1288,"Río Lerma 402, Jardines del Valle, 25730 Monclova, Coah., México",Restaurante mexicano, Abre a las 8a.m.,Monclova
Los Toritos Restaurante,facebook.com,None Found,+52 866 157 0307,"Venustiano Carranza 351, Zona Centro, 25700 Monclova, Coah., México",Restaurante mexicano, Abre a las 8a.m.,Monclova
Antiguo Restaurant Jardin,,None Found,+52 866 633 3197,"Río Lerma 299, Del Valle, 25730 Monclova, Coah., México",Restaurante, Abre a las 9a.m.,Monclova
Gyros Restaurant,,None Found,+52 866 633 7033,"Blvd. Boulevard Harold R. Pape 1509, esquina con Kennedy, El Pueblo, 25730 Monclova, Coah., México",Restaurante, Abre a las 6p.m.,Monclova
Hawaii Restaurante,,None Found,+52 866 632 0900,"Av. Ildefonso Fuentes 212, Zona Centro, 25700 Monclova, Coah., México",Restaurante, Abre a las 8a.m. del lun,Monclova
Tacos y Comidas Alan,,None Found,+52 866 633 3111,"Blvd Harold R. Pape 2006, col. Palma, 25730 Monclova, Coah., México",Taquería,,Monclova
Las Adelitas Monclova,,None Found,+52 866 177 9552,"C. Huemac 007, Anáhuac, 25750 Monclova, Coah., México",Restaurante, Abre a las 8:30a.m. del lun,Monclova
Sukori Sushi,facebook.com,None Found,+52 866 641 5606,"C. Manuel Acuña 301, El Pueblo, 25730 Monclova, Coah., México",Restaurante de sushi, 2a.m. ,Monclova
Cleto's Grill,,None Found,+52 866 634 6019,"La Paz LB, Rosita, 25717 Monclova, Coah., México",Bar restaurante, Abre a las 8a.m.,Monclova
La Republica Cocina y Cantina,facebook.com,None Found,,"Morelia Esq, C. Guatemala S/N, Chapultepec, 25730 Monclova, Coah., México",Bar, 2a.m. ,Monclova
El Malecón,,None Found,+52 866 632 4455,"Abasolo 698, Zona Centro, 25700 Monclova, Coah., México",Marisquería, Abre a las 9:30a.m.,Monclova
Fonda La Sirena,,None Found,+52 866 632 2550,"Benito Juárez Sur 700, Zona Centro, 25700 Monclova, Coah., México",Restaurante mexicano, Abre a las 8a.m.,Monclova
Restaurante Santa Fe,,None Found,+52 866 256 5917,"25720, Los Pinos, 25720 Monclova, Coah., México",Restaurante, Abre a las 8a.m.,Monclova
El Molcajete Taqueria,,None Found,+52 866 214 5582,"Bulevard Harold R. Pape, Kennedy Esquina, con, 25730 Monclova, Coah., México",Taquería, Abre a las 8a.m.,Monclova
Picosso Cocina Pop,facebook.com,None Found,+52 866 177 5858,"C. Huemac 1106, Anáhuac, 25750 Monclova, Coah., México",Restaurante, Abre a las 12p.m.,Monclova
"Asadero de Juan Hermilo ""El Original""",,None Found,+52 866 642 8787,"Av. Juárez, El Pueblo, 25730 Monclova, Coah., México",Parrilla, Abre a las 11a.m.,Monclova
La Cocina De María,,None Found,+52 866 190 4433,"25730, C. Cuauhtemoc 1716, Del Valle, Monclova, Coah., México",Restaurante, Abre a las 8a.m.,Monclova
La Nacional Botanero Bar,,None Found,+52 866 224 3396,"Blvd. Ejercito Mexicano 507-C, Los Pinos, 25720 Monclova, Coah., México",Bar restaurante, 2a.m. ,Monclova
