Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Mochomos Monterrey,mochomos.mx,Sofisticado comedor estilo industrial con ventanales y vista que ofrece alta cocina sonorense contemporánea.,+52 81 8647 0160,"Av Lázaro Cárdenas 2400, Zona Loma Larga Oriente, 66260 Monterrey, N.L., México",Restaurante, Cierra a las 2a.m.,Monterrey
La Nacional,lanacional.mx,"Restaurante sofisticado donde se sirven carnes y platos de mariscos lujosos, tacos y cervezas mexicanas.",+52 81 8347 9205,"Av San Jerónimo 1106, Miravalle, 64634 Monterrey, N.L., México",Restaurante de alta cocina, Cierra a las 2a.m.,Monterrey
La Divina,ladivina.mx,Cortes de carne y antojitos de vanguardia ofrecidos en un moderno comedor o en una casual cantina rústica.,+52 81 8040 2278,"C. Diego de Montemayor 507 Sur, Centro, 64000 Monterrey, N.L., México",Restaurante,,Monterrey
El Gaucho de Monterrey,restaurantelgaucho.com,"Local emblemático que sirve porciones abundantes de carne asada, mariscos y comida mexicana regional.",+52 81 8358 4218,"Arroyo Seco 100, Arroyo Seco, 64740 Monterrey, N.L., México",Restaurante argentino, Cierra a las 12a.m.,Monterrey
Mar del Zur,mardelzur.com,None Found,+52 81 2318 0980,"Av. José Vasconcelos 150 PB, Del Valle, 66220 San Pedro Garza García, N.L., México",Restaurante, Cierra a las 12a.m.,Monterrey
La Torrada,latorrada.mx,"Refinado restaurante de carnes con destacados platos de mariscos, tacos, hamburguesas, carnes premium y vinos.",+52 81 8262 7151,"Av Lázaro Cárdenas 2500, Valle Oriente, 66260 San Pedro Garza García, N.L., México",Restaurante especializado en filetes, Cierra a las 12a.m.,Monterrey
El Gran Pastor,elgranpastor.com,None Found,+52 81 8129 4453,"Gonzalitos 702 esq, Calle Dr. Francisco L. Rocha, San Jerónimo, 64020 Monterrey, N.L., México",Restaurante mexicano, Cierra a la 1a.m.,Monterrey
El Lingote,ellingoterestaurante.com,None Found,+52 81 8191 7717,"Av. Fundidora s/n Museo del Acero A.C, Obrera, 64010 Monterrey, N.L., México",Restaurante, Cierra a las 11:30p.m.,Monterrey
El Lindero Monterrey,ellindero.com,"Establecimiento antiguo con enchiladas, tacos, fajitas y mezcal en ambiente rústico y colorido.",+52 81 1969 6621,"Degollado #770 Sur, Obispado, 64060 Monterrey, N.L., México",Restaurante mexicano, Cierra a las 10p.m.,Monterrey
Me Muero de Hambre,memuerodehambre.com,"Local ecléctico con terraza y vista a la ciudad, que ofrece mariscos, tacos de filete y pizzas a la leña.",+52 81 8344 3622,"Francisco Javier Mina 1003, Barrio Antiguo, Centro, 64000 Monterrey, N.L., México",Restaurante, Cierra a la 1a.m.,Monterrey
La Buena Barra Monterrey,grupobarra.com,"Carnes mexicanas asadas al carbón y mariscos con un toque contemporáneo, además de cocteles creativos.",+52 81 8338 5050,"Rio Missouri 600 Ote-local 307, Zona Valle de Santa Engracia, 66268 San Pedro Garza García, N.L., México",Restaurante, Cierra a las 2a.m.,Monterrey
El Rey del Cabrito,elreydelcabrito.shop,Restaurante mexicano famoso por su variedad de cortes de cabrito en un local con decoración tradicional.,+52 81 8345 3232,"Constitución 817-Oriente, Centro, 64000 Monterrey, N.L., México",Restaurante mexicano, Cierra a las 11:50p.m.,Monterrey
PANGEA,restaurantepangea.com,"Entorno refinado y platos regionales sofisticados con un toque contemporáneo, además de una gran bodega de vino.",+52 81 8114 6601,"Av. del Roble 660, Valle del Campestre, 66273 San Pedro Garza García, N.L., México",Restaurante de alta cocina,,Monterrey
Restaurante San Carlos Morones Prieto,restaurantesancarlos.com,Restaurante familiar con estilo clásico conocido por su carne asada al carbón y su comida regiomontana.,+52 81 8344 4114,"Av. Ignacio Morones Prieto 2803 Pte, Loma Larga, 64710 Monterrey, N.L., México",Restaurante mexicano, Cierra a las 11p.m.,Monterrey
