Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante San Miguelito,sanmiguelito.mx,Restaurante conocido por sus estatuas invertidas de San Antonio y platos regionales con vacuno y pescado.,+52 443 354 2195,"Perif. Paseo de la República s/n, La Loma, 58290 Morelia, Mich., México",Restaurante mexicano, Cierra a las 12a.m.,Morelia
Restaurante LU Cocina Michoacana,hotelcasino.com.mx,"Espacio elegante con mesas al aire libre que sirve platos regionales, menús de degustación y desayunos.",+52 443 683 6745,"Portal Hidalgo 229, Centro, 58000 Morelia, Mich., México",Restaurante mexicano, Cierra a las 10:30p.m.,Morelia
Mi Lola Morelia,,"Ecléctico y colorido restaurant de cocina Argentina y pizza a la leña, decorado en estilo innovador y bohemio.",+52 443 611 6321,"Perif. Paseo de la República 2308, Bosque Camelinas, 58290 Morelia, Mich., México",Pizzería, Cierra a las 11p.m.,Morelia
Chango Restaurante,,"Restaurante luminoso con bar, terraza, cocteles y gastronomía internacional con un toque mexicano.",+52 443 312 6213,"Sor Juana Inés de La Cruz 129, Centro histórico de Morelia, 58000 Morelia, Mich., México",Restaurante,,Morelia
La Conspiración de 1809,laconspiracionde1809.com,"Restaurante agradable que ofrece platos creativos, cocina michoacana y un bar, además de un comedor al aire libre.",+52 443 158 0443,"Allende 209, colonia centro, 58000 Morelia, Mich., México",Restaurante, Cierra a las 12a.m.,Morelia
RESTAURANTE EMILIANOS,,Platillos italianos en un espacio refinado pero casual con candiles y arte que recuerda a una casa colonial.,+52 443 315 3571,"Artilleros de 1847 1643, Chapultepec Sur, 58260 Morelia, Mich., México",Restaurante, Cierra a las 12a.m.,Morelia
Tata Mezcalería + Cocina,tatamezcaleria.com,"Restaurante tranquilo y arbolado con terraza, que ofrece platos creativos de mariscos, tacos, carne y postres.",+52 443 312 9514,"Bartolomé de Las Casas 511, Centro histórico de Morelia, 58000 Morelia, Mich., México",Restaurante mexicano, Cierra a la 1a.m.,Morelia
El Solar de Villagrán,,Especialidades michoacanas ofrecidas en un refinado y luminoso comedor con vigas expuestas y candelabros.,+52 443 314 6407,"Rincón de Las Comadres s/n, Campestre, 58270 Morelia, Mich., México",Restaurante mexicano, Cierra a las 10:30p.m.,Morelia
CUISH COCINA BOUTIQUE MICH-OAX,facebook.com,None Found,+52 443 312 1480,"C. de Santiago Tapia #60, Centro, 58000 Morelia, Mich., México",Restaurante, Cierra a las 9:30p.m.,Morelia
Restaurante La Noria,,Restaurante rústico con decoración colorida donde se sirven platos tradicionales de estilo regional.,+52 443 334 6616,"Pléyades 36, Cosmos, 58050 Morelia, Mich., México",Restaurante mexicano,,Morelia
Las Trojes de La Loma,,None Found,+52 443 314 7344,"Juan Sebastián Bach 51, La Loma, 58290 Morelia, Mich., México",Bar restaurante, Cierra a las 12a.m.,Morelia
Lasagna Factory,lasagnafactory.mx,None Found,+52 443 314 1004,"Blvd. García de León 421, Chapultepec Sur, 58260 Morelia, Mich., México",Restaurante italiano, Cierra a las 10:45p.m.,Morelia
La Tarasca Morelia Restaurante,,None Found,+52 443 688 4098,"Av Francisco I. Madero Pte 243, Centro histórico de Morelia, 58000 Morelia, Mich., México",Restaurante, Cierra a las 11p.m.,Morelia
VICENTE Asador de Brasa,,None Found,+52 443 298 4147,"Perif. Paseo de la República #58, Nueva Jacarandas, 58090 Morelia, Mich., México",Parrilla, Cierra a la 1a.m.,Morelia
Hickory Morelia,facebook.com,None Found,+52 443 147 0652,"Gral. Mariano Arista 555, Chapultepec Oriente, 58260 Morelia, Mich., México",Restaurante argentino, Cierra a las 11p.m.,Morelia
La Azotea Restaurante,hoteljuaninos.com.mx,None Found,+52 443 312 0036,"Av. Morelos Sur, Centro 39, 58000 Morelia, Mich., México",Restaurante, Cierra a las 11p.m.,Morelia
Restaurantes en Morelia - Villa Montaña,villamontana.com.mx,None Found,+52 443 115 7217,"C. Patzimba 201-2, Vista Bella, 58090 Morelia, Mich., México",Restaurante, Cierra a las 10:30p.m.,Morelia
La Casona de las Rosas,facebook.com,None Found,+52 443 317 8822,"C. de Santiago Tapia 331, Centro, 58000 Morelia, Mich., México",Restaurante mexicano, Cierra a las 12a.m.,Morelia
Spaghetteria La Piccola Italia,m.facebook.com,None Found,+52 443 321 4545,"Fray Manuel Navarrete 53, Centro histórico de Morelia, 58000 Morelia, Mich., México",Restaurante italiano, Abre a la 1p.m. del dom,Morelia
Río 53 Hamburguesas de autor,facebook.com,"Restaurante sencillo que ofrece hamburguesas, acompañamientos y postres, además de cervezas.",+52 443 275 7827,"Av Solidaridad 1053, Nueva Chapultepec, 58280 Morelia, Mich., México",Hamburguesería, Cierra a las 11p.m.,Morelia
Café MX,cafe-mx.com,None Found,+52 443 324 0768,"Perif. Paseo de la República 58, Nueva Jacarandas, 58099 Morelia, Mich., México",Cafetería, Cierra a las 12a.m.,Morelia
Salerosa Morelia,,None Found,+52 443 628 0180,"Calz. Ventura Puente s/n, Félix Ireta, 58070 Morelia, Mich., México",Restaurante mexicano, Cierra a la 1a.m.,Morelia
Mi Rancho Restaurant,,"Céntrico restaurante decorado con artesanías que ofrece menú internacional, cortes y especialidades mexicanas.",+52 443 933 5383,"Av Francisco I. Madero Pte 867, Centro histórico de Morelia, 58000 Morelia, Mich., México",Restaurante mexicano, Cierra a las 11:30p.m.,Morelia
La Plazuela,,None Found,+52 443 312 5049,"Sor Juana Inés de La Cruz #126, Centro histórico de Morelia, 58000 Morelia, Mich., México",Restaurante cubano, Cierra a las 10p.m.,Morelia
La Cueva de Chucho,,"Restaurante amplio que atiende las 24 horas, con platos tradicionales y un ambiente sencillo.",+52 443 312 3885,"C. de Eduardo Ruiz 620, Centro histórico de Morelia, 58000 Morelia, Mich., México",Restaurante mexicano,,Morelia
"Cactux Gastrocultural restaurante, cantina y espectaculos en vivo en Morelia",,None Found,,"C. Héroe de Nacozari 191, Centro histórico de Morelia, 58000 Morelia, Mich., México",Bar restaurante,,Morelia
La Aldaba,casagrandemorelia.com.mx,None Found,+52 443 313 2000,"Portal Matamoros 98, Centro histórico de Morelia, 58000 Morelia, Mich., México",Restaurante, Cierra a las 11p.m.,Morelia
Pecados y Milagros,,None Found,+52 443 100 9038,"Dr. Miguel Silva G. 525, Centro histórico de Morelia, 58000 Morelia, Mich., México",Restaurante mexicano, Cierra a las 11p.m.,Morelia
Café Chai Morelia,chai.com.mx,None Found,+52 443 315 4368,"Av Acueducto 307, Vasco de Quiroga, 58230 Morelia, Mich., México",Restaurante, Cierra a las 11p.m.,Morelia
Parrilla & Canilla,parrillaycanilla.com,"Estilizado espacio con grandes ventanales y vista panorámica que ofrece pastas, pizzas al horno y cortes.",+52 443 390 9160,"José Juan Tablada 60, Santa Maria de Guido, 58090 Morelia, Mich., México",Restaurante uruguayo, Cierra a las 10:30p.m.,Morelia
Valentina Cantina Fina,grupomrl.com.mx,None Found,+52 443 506 5506,"Calle Venezuela S/N De, Las Américas, 58270 Morelia, Mich., México",Bar restaurante, Cierra a las 2a.m.,Morelia
Cafe Michelena,,None Found,+52 443 393 5535,"Allende 209, Centro histórico de Morelia, 58000 Morelia, Mich., México",Cafetería, Cierra a las 10p.m.,Morelia
Fisher's Morelia,fishers.com.mx,None Found,+52 443 147 1006,"shopping centre, Av. Montana Monarca Norte 1000 L-2N Mor, Camino a Jesús del Monte 33, 58350 Morelia, Mich., México",Marisquería, 9p.m. ,Morelia
Salmone's Morelia,,None Found,+52 443 317 8136,"Miguel de Cervantes Saavedra 718, Ventura Puente, 58020 Morelia, Mich., México",Restaurante, Abre a las 12p.m. del dom,Morelia
Onix Restaurant Bar,onix.mx,None Found,+52 443 317 8290,"Av Francisco I. Madero Pte 261, Centro histórico de Morelia, 58000 Morelia, Mich., México",Bar restaurante, Cierra a las 3a.m.,Morelia
Romatella,facebook.com,None Found,+52 443 426 1655,"C. Tte. Cor. José Mª Olvera 404, Nueva Chapultepec, 58280 Morelia, Mich., México",Restaurante italiano, Cierra a las 11p.m.,Morelia
Kontén Morelia,,None Found,+52 443 314 0151,"249, Av. Lic. Enrique Ramírez Miguel S/n, Terrazas del Campestre, 58270 Morelia, Mich., México",Restaurante asiático, Cierra a las 11p.m.,Morelia
"Restaurantes en morelia - La Cabaña ""Las palmas""",lacabañalaspalmas.com,None Found,+52 443 308 1967,"Benito Rocha y Pardinas 164, Fracc. Hacienda la Trinidad, Niños Héroes, 58195 Morelia, Mich., México",Restaurante mexicano, 8:30p.m. ,Morelia
"Restaurantes en morelia - La Cabaña ""Las palmas""",lacabañalaspalmas.com,None Found,+52 443 308 1967,"Benito Rocha y Pardinas 164, Fracc. Hacienda la Trinidad, Niños Héroes, 58195 Morelia, Mich., México",Restaurante mexicano, 8:30p.m. ,Morelia
Hotel Casa Embrujo Morelia,casaembrujo.com.mx,None Found,+52 443 312 0489,"C. Curatame 65, Vista Bella, 58090 Morelia, Mich., México",,,Morelia
Hotel Casa Embrujo Morelia,casaembrujo.com.mx,None Found,+52 443 312 0489,"C. Curatame 65, Vista Bella, 58090 Morelia, Mich., México",,,Morelia
Las Europeas Mx,linktr.ee,None Found,,"Del Romance 47, Centro histórico de Morelia, 58000 Morelia, Mich., México",Restaurante, Cierra a las 11p.m.,Morelia
La Guarecita de San Agustin,,None Found,+52 443 233 0228,"Hidalgo 54, Centro, 58000 Morelia, Mich., México",Restaurante, Cierra a las 11p.m.,Morelia
"La Fontana, Piano Bar & Mezcalería",facebook.com,None Found,+52 443 321 3121,"Del Romance 103, Centro histórico de Morelia, 58000 Morelia, Mich., México",Restaurante italiano, Cierra a las 11p.m.,Morelia
El Tragadero,,None Found,+52 443 313 0092,"Hidalgo 63, Centro histórico de Morelia, 58000 Morelia, Mich., México",Restaurante mexicano, 8:30p.m. ,Morelia
