Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
El Restaurant La Chaya Maya en Mérida Yucatán,lachayamaya.com,Gastronomía de Yucatán en un ambiente informal con decoraciones típicas y ventanas grandes.,+52 999 928 4780,"C. 57 x 62, Parque Santa Lucia, Centro, 97000 Mérida, Yuc., México",Yucatan restaurant, Cierra a las 11p.m.,Mérida
Micaela Mar & Leña,restaurantemicaela.com,"Establecimiento concurrido que ofrece comida local refinada, como mariscos y carnes, cócteles y mezcal.",+52 999 518 1702,"Calle 47 458, Centro, 97000 Mérida, Yuc., México",Restaurante, Cierra a la 1a.m.,Mérida
Yerba Santa Mérida,yerbasantamerida.com,None Found,+52 999 802 2908,"P.º de Montejo 473, Zona Paseo Montejo, Zona, 97000 Mérida, Yuc., México",Restaurante,,Mérida
Yerba Santa Mérida,yerbasantamerida.com,None Found,+52 999 802 2908,"P.º de Montejo 473, Zona Paseo Montejo, Zona, 97000 Mérida, Yuc., México",Restaurante,,Mérida
Sonora Grill Mérida,sonoragrill.com.mx,None Found,+52 999 481 9451,"C. 37 215, Monterreal, 97133 Mérida, Yuc., México",Restaurante, Cierra a las 2a.m.,Mérida
Porfirio's Mérida | Restaurante de comida mexicana,porfirios.com.mx,None Found,+52 999 289 6216,"Calle 60, Avenida Paseo de Montejo The Harbor Lifestyle Mall, Industrial, 97204 Mérida, Yuc., México",Restaurante mexicano, Cierra a la 1a.m.,Mérida
Restaurante Emplumado,emplumado.com,None Found,+52 999 393 8340,"Av Carlos Torre Repetto 29, Zona Paseo Montejo, Centro, 97000 Mérida, Yuc., México",Restaurante, Cierra a las 2a.m.,Mérida
Matilda Salon Mexicano,,None Found,+52 999 921 1452,"Calle 63 No. 516 Por 62 y 64, 97000 Mérida, Yuc., México",Restaurante mexicano, Cierra a las 11:30p.m.,Mérida
La Pigua,lapiguamerida.com,"Camarones, cangrejos y pulpos a las brasas y servidos con vinos internacionales en un entorno elegante.",+52 999 920 3605,"Av Cupules 505 A, Yucatán, 97050 Mérida, Yuc., México",Marisquería, Cierra a las 10p.m.,Mérida
Catrín,catrin47.com,None Found,+52 999 518 1725,"Calle 47 463B, Centro, 97000 Mérida, Yuc., México",Bar restaurante, Cierra a las 2a.m.,Mérida
