Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante las Caballerizas,lascaballerizas.com,Cocina mexicana-internacional en un lugar pintoresco y familiar con muchas áreas verdes y una granja pequeña.,+52 55 8284 1041,"Domilicio Conocido, Av. San Francisco s/n, 52790 Dos Ríos, Méx., México",Restaurante mexicano, Abre a las 9a.m.,Naucalpan de Juárez (municipio de Huixquilucan)
Restaurante 9 hoyos,,None Found,+52 55 5304 8175,"And. José de San Martin 15, Bosque Real, 53713 Naucalpan de Juárez, Méx., México",Restaurante, Abre a las 7a.m.,Naucalpan de Juárez (municipio de Huixquilucan)
La Casa de los Olivos,,"Comedor abierto con aire informal en donde se sirven sándwiches, carne asada y platillos mexicanos.",+52 55 5360 5166,"Valle de México 45, El Mirador, 53050 Naucalpan de Juárez, Méx., México",Restaurante, Abre a las 8:30a.m.,Naucalpan de Juárez (municipio de Huixquilucan)
La Casa de Toño en Magnocentro,sucursales.lacasadetono.mx,None Found,+52 55 9331 4671,"Blvd. Magnocentro 29-Local 110, Centro, 52760 Huixquilucan de Degollado, Méx., México",Restaurante mexicano, Abre a las 8a.m.,Naucalpan de Juárez (municipio de Huixquilucan)
Loma Linda Interlomas,lomalinda.com.mx,Reconocido restaurante que ofrece cortes al carbón y vinos en un estilizado comedor decorado en madera y piel.,+52 55 5290 0149,"Vialidad de la Barranca 6, Col. Ex Hacienda Jesús del Monte, Bosque de las Palmas, 52779 Naucalpan de Juárez, Méx., México",Restaurante especializado en filetes, Abre a la 1p.m.,Naucalpan de Juárez (municipio de Huixquilucan)
"Restaurante ""El Castillo""",elcastillosalon01.wixsite.com,None Found,+52 55 2821 4770,"Cam. Agua Bendita 26, 52798 Huixquilucan de Degollado, Méx., México",Restaurante,,Naucalpan de Juárez (municipio de Huixquilucan)
Cambalache Interlomas,cambalacherestaurantes.com,None Found,+52 55 4780 3330,"Palmas Hills Mz II, Lt 1-2, Valle de las Palmas, 52763 Méx., México",Restaurante argentino, Abre a la 1p.m.,Naucalpan de Juárez (municipio de Huixquilucan)
La Vaka Satélite,lavaka.mx,None Found,+52 55 5920 0172,"Boulevard Manuel Ávila Camacho Norte Conjunto, San Miguel, 53010 Naucalpan de Juárez, Méx., México",Buffet libre, Abre a las 11a.m.,Naucalpan de Juárez (municipio de Huixquilucan)
Suntory Interlomas,suntory.com.mx,Comida japonesa tradicional ofrecida en un refinado salón con mesas de teppanyaki y un sofisticado bar lounge.,+52 55 5290 4420,"Vialidad de la Barranca 6, Col. Ex Hacienda Jesús del Monte, Bosque de las Palmas, 52779 Naucalpan de Juárez, Méx., México",Restaurante japonés, Abre a la 1p.m.,Naucalpan de Juárez (municipio de Huixquilucan)
La kuchineria,,None Found,+52 55 9131 4432,"Gral. Agustín de Iturbide 2, 53126 Naucalpan de Juárez, Méx., México",Restaurante, Abre a las 8a.m.,Naucalpan de Juárez (municipio de Huixquilucan)
