Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
restaurante los alamos,,None Found,+52 642 422 0100,"Calle Gral. I. Pesqueira 902, Reforma, 85830 Navojoa, Son., México",Restaurante, Abre a las 7a.m.,Navojoa
Restaurante las Palmas,api.whatsapp.com,None Found,+52 642 422 7403,"Hospital San José Navojoa, Blvd. Sosa Chávez 302, Juárez, 85870 Navojoa, Son., México",Restaurante mexicano, Abre a las 7a.m.,Navojoa
Tip's Restaurante,,None Found,+52 648 108 7462,"General Ignacio Pesqueira Sur S/N, Calle Gral. I. Pesqueira SN-S, Juárez, 85870 Navojoa, Son., México",Restaurante mexicano, Abre a las 8a.m.,Navojoa
Mesa Rica Restaurante,autoserviciomas.com,None Found,+52 642 421 2507,"Carretera Internacional Mexico-Nogales y Periferico Norte, 85230 Navojoa, Son., México",Restaurante, Abre a las 8a.m.,Navojoa
Restaurant El Retiro,instagram.com,None Found,+52 642 136 1083,"Calle Gral. I. Pesqueira 902, Reforma, 85830 Navojoa, Son., México",Restaurante, Abre a las 12p.m.,Navojoa
Guayparin Restaurante,,None Found,+52 642 156 1050,"Av. Guillermo Chávez 8, Col. Lomas del Mocuzarí, Rosales, 85850 Navojoa, Son., México",Restaurante mexicano, Abre a las 7a.m.,Navojoa
Sushiko Bar Navojoa,facebook.com,None Found,+52 642 421 0831,"Calle Gral. I. Pesqueira Sur 800, Juárez, 85870 Navojoa, Son., México",Restaurante japonés, Abre a las 7a.m.,Navojoa
Restaurant Bar Los Arcos,facebook.com,None Found,+52 642 425 5311,"Calle Gral. I. Pesqueira S/N, Centro, 85800 Navojoa, Son., México",Bar restaurante, Abre a las 7a.m.,Navojoa
Malicha's,facebook.com,None Found,+52 642 421 1289,"Calle No Reelección Sur 404, Centro, Reforma, 85800 Navojoa, Son., México",Restaurante, Abre a las 7a.m.,Navojoa
Restaurante La Casona,,None Found,+52 642 154 5275,"C. Rincón 101-107, Centro, Reforma, 85800 Navojoa, Son., México",Restaurante, Abre a las 7a.m.,Navojoa
Los Álamos Café,,None Found,+52 642 424 2211,"Gral. Ignacio Pesqueira Prolongación Nte. 902, Reforma, 85830 Navojoa, Son., México",Cafetería, Abre a las 6:30a.m.,Navojoa
Los Arbolitos de Cajeme Navojoa,mariscoslosarbolitos.com,None Found,+52 642 422 7636,"Calle Gral. I. Pesqueira 1009, Reforma, 85830 Navojoa, Son., México",Restaurante, Abre a las 9a.m.,Navojoa
La Banqueta,,None Found,,"Blvd. Rafael J. Almada, Deportiva, 85860 Navojoa, Son., México",Restaurante, Abre a las 9a.m.,Navojoa
Naá Tetuá Steak House,naatetua.com.mx,None Found,+52 642 149 2830,"Boulevard Centenario, Callejón. del Dátil 1002, 85823 Navojoa, Son., México",Restaurante especializado en filetes, Abre a las 8a.m.,Navojoa
El Arbol Caido,facebook.com,None Found,+52 642 112 7048,"Blvd Manlio Favio Beltrones Norte, Km 1, Bahuises, 85229 Navojoa, Son., México",Restaurante,,Navojoa
Angus Sonora Grill,,None Found,+52 642 142 8149,"85820, C. Corregidora Nte. 310, Constitucion, 85820 Navojoa, Son., México",Taquería, Abre a las 4p.m.,Navojoa
"Mariscos ""El Cuco""",,None Found,+52 642 150 7869,"Calle No Reelección Sur 3200, Juárez, 85870 Navojoa, Son., México",Marisquería, Abre a las 7a.m.,Navojoa
Mi Gusto Es,,None Found,+52 642 154 8623,"C. Benito Juárez García 17, Pueblo Viejo, 85845 Navojoa, Son., México",Restaurante, Abre a las 7a.m.,Navojoa
Restaurant El Descanso,,None Found,+52 642 120 8570,"Periférico Avenida Sinaloa y, Deportiva, 85860 Navojoa, Son., México",Restaurante, Abre a las 7a.m.,Navojoa
La Leña Tacos and Beer,,None Found,+52 642 125 4339,"Calle Gral. I. Pesqueira 1727, Reforma, 85224 Navojoa, Son., México",Taquería, Abre a las 6p.m.,Navojoa
Carimali Pizza,carimalipizza.com.mx,None Found,+52 642 425 6600,"Calle Gral. I. Pesqueira, Avenida Hermenegildo Galeana &, Reforma, Navojoa, Son., México",Pizzería, Abre a las 11a.m.,Navojoa
El Trompo Tacos al Pastor,instagram.com,None Found,+52 642 421 0505,"Av. Álvaro Obregón Ote. 110, Centro, Reforma, 85800 Navojoa, Son., México",Taquería, Abre a las 7:30a.m.,Navojoa
Los Mezquites,,None Found,+52 642 422 0008,"Calle No Reelección Sur 1301, Juárez, 85870 Navojoa, Son., México",Marisquería, Abre a las 6a.m.,Navojoa
Sakura,,None Found,+52 642 112 9810,"Av Ignacio López Rayón 706, Constitucion, 85820 Navojoa, Son., México",Restaurante, Abre a la 1p.m.,Navojoa
Nozomi,,None Found,+52 642 482 5547,"Blvd. Centenario 730, Reforma, 85830 Navojoa, Son., México",Restaurante, Abre a la 1p.m.,Navojoa
Bocados Cocina Fusión,facebook.com,None Found,+52 642 424 2432,"Av. Luis Salido Quiros 707, Deportiva, 85870 Navojoa, Son., México",Restaurante japonés, Abre a las 12p.m.,Navojoa
Bull Burger,bullburger-mex.ola.click,None Found,+52 642 120 6641,"esquina con, Durango, C. Rincón 309, Juárez, 85870 Navojoa, Son., México",Hamburguesería,,Navojoa
Ohana,facebook.com,None Found,+52 642 142 5302,"Av. Álvaro Obregón Pte. 207, Centro, Reforma, 85800 Navojoa, Son., México",Tienda de ensaladas, Abre a las 11:30a.m. del lun,Navojoa
El Apetito,,None Found,,"No Reelección 1861, Juárez, 85870 Navojoa, Son., México",Taquería, Abre a las 6p.m.,Navojoa
"Cenaduría ""Los Parra""",m.facebook.com,None Found,+52 642 104 6062,"Blvrd Sonora, Sonora, 85890 Navojoa, Son., México",Restaurante mexicano, Abre a las 6p.m.,Navojoa
Rich Restaurante,facebook.com,None Found,+52 642 422 5998,"Av. Miguel Hidalgo y Costilla Ote. 107, Centro, 85800 Navojoa, Son., México",Restaurante mexicano, Abre a las 7a.m.,Navojoa
Cocina Al-ma,,None Found,+52 642 120 4429,"Talamante 1005-A, Juárez, 85870 Navojoa, Son., México",Restaurante, Abre a las 7a.m. del lun,Navojoa
Hotel del Rio,facebook.com,None Found,+52 642 425 5300,"Z.C, Gral. Ignacio Pesqueira Prolongación Nte. S/N, Los Naranjos, 85800 Navojoa, Son., México",,,Navojoa
Mariscos La Bahía 2 Navojoa,facebook.com,None Found,+52 642 154 3776,"85860, C. Chibucu 1811, Beltrones, 83560 Navojoa, Son., México",Marisquería, Abre a las 10a.m.,Navojoa
