Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Los Cocos,loscocos.mx,Restaurante sencillo con porciones generosas de mariscos y cervezas.,+52 55 6311 0404,"Av Cuauhtémoc 17, Maravillas, 57410 Cdad. Nezahualcóyotl, Méx., México",Marisquería, Cierra a las 9p.m.,Nezahualcóyotl
El buey encarbonado Neza,,None Found,+52 55 2232 4206,"Av. México 274, Las Fuentes, 57600 Cdad. Nezahualcóyotl, Méx., México",Restaurante familiar, Cierra a las 9:30p.m.,Nezahualcóyotl
Restaurante La Cuarta del Pibe Argentino,lacuartadelpibe.digitalmenu.cc,None Found,,"Av. 4a. Avenida 242, Benito Juárez, 57000 Cdad. Nezahualcóyotl, Méx., México",Restaurante argentino, Cierra a las 11p.m.,Nezahualcóyotl
Perros y Burros Neza,perrosyburros.com,None Found,+52 55 7669 2309,"Av. Bordo de Xochiaca Manzana 004, Col. Raul Romero Ampliación, El Sol, 57300 Cdad. Nezahualcóyotl, Méx., México",Bar restaurante, Cierra a la 1a.m.,Nezahualcóyotl
Los Cocos,loscocos.mx,"Restaurante sencillo con cocteles y platos de mariscos regionales, hamburguesas y bocadillos.",+52 55 1134 2423,"Av. Pantitlán 323, Evolucion, 57000 Cdad. Nezahualcóyotl, Méx., México",Marisquería, Cierra a las 9p.m.,Nezahualcóyotl
Restaurante Familiar Ermita,,None Found,+52 55 5793 6559,"Ermita 289, Jose Vicente Villada, 57710 Cdad. Nezahualcóyotl, Méx., México",Restaurante mexicano, Cierra a las 8p.m.,Nezahualcóyotl
MargAlitas,,None Found,+52 55 5088 7231,"y, Rielera, Av. 4a. Avenida #243, 57000 Cdad. Nezahualcóyotl, Méx., México",Restaurante, Cierra a la 1a.m.,Nezahualcóyotl
La Casa de Toño en Plaza Jardín Nezahualcóyotl,sucursales.lacasadetono.mx,None Found,+52 55 9331 4671,"Bordo Xochiaca Local 3 D1y3D14 3 int. D13 y D14, Av. Ciudad Jdn. Supermanzana Bicentinario, 57205 Méx., México",Restaurante mexicano, Cierra a las 11p.m.,Nezahualcóyotl
Carne Bon,carnebon.com,"Restaurante informal apto para familias en el que se ofrecen costillas, carnes, hamburguesas, fajitas, burritos y tacos.",+52 55 5792 9292,"Av. Pantitlán No. 357, Evolucion, 57700 Cdad. Nezahualcóyotl, Méx., México",Restaurante de platos de carne, Cierra a las 11p.m.,Nezahualcóyotl
La Tradición,facebook.com,None Found,+52 55 6183 3907,"Esquina gaviota, Av. 4a. Avenida #68, Benito Juárez, 57000 Cdad. Nezahualcóyotl, Méx., México",Taquería, Cierra a las 2a.m.,Nezahualcóyotl
MAZATLANCITO NEZA,marisqueriamazatlancito.com,"Animado restaurante con música en vivo en el que se ofrecen especialidades de mariscos, cocteles y cervezas.",+52 55 6610 1055,"C. Indio Triste 159, Metropolitana 3ra Secc, 57750 Cdad. Nezahualcóyotl, Méx., México",Marisquería, Cierra a las 10p.m.,Nezahualcóyotl
Parilla La Cabaña Suiza,,None Found,+52 55 3186 9541,"Av. 4a. Avenida 229, Benito Juárez, 57000 Cdad. Nezahualcóyotl, Méx., México",Restaurante, Cierra a las 8p.m.,Nezahualcóyotl
El Chimicharro,elchimicharro.com,None Found,+52 55 5792 0714,"Calle Cama de Piedra 10, Benito Juárez, 57000 Cdad. Nezahualcóyotl, Méx., México",Restaurante argentino,,Nezahualcóyotl
El Vaquero,,None Found,+52 55 2232 2394,"Av. Nezahualcóyotl 523, Agua Azul, 57500 Cdad. Nezahualcóyotl, Méx., México",Restaurante familiar, Cierra a las 2a.m.,Nezahualcóyotl
Restaurante Los 3 Caballos,facebook.com,None Found,+52 55 8771 7980,"Esquina con Xochimilco, Av. Texcoco 408, Metropolitana 3ra Secc, 57750 Cdad. Nezahualcóyotl, Méx., México",Restaurante familiar, Cierra a las 11p.m.,Nezahualcóyotl
Gallo Cervecero Neza,gallocervecero.com,None Found,+52 56 2037 9489,"4ta Av. 257 locales 35 y 36 Rey Neza Nezahualcóyotl, 57809 México, Méx., México",Bar deportivo, Cierra a las 10p.m.,Nezahualcóyotl
Parrilla Mexicana El Rincón del Conejo,negocio.site,None Found,+52 55 8817 2939,"Av. 4a. Avenida & Calle Paloma Negra, Benito Juárez, 57000 Cdad. Nezahualcóyotl, Méx., México",Restaurante mexicano, Cierra a las 10p.m.,Nezahualcóyotl
La Estancia Asador Argentino.,,None Found,+52 55 5797 5405,"C. Escalerillas 128, Metropolitana 2da Secc, 57740 Cdad. Nezahualcóyotl, Méx., México",Restaurante argentino, Cierra a las 9p.m.,Nezahualcóyotl
RESTAURANTE LA JAIBA,,None Found,,"C. El Clavelero 241, Benito Juárez, 57000 Cdad. Nezahualcóyotl, Méx., México",Restaurante, Cierra a las 8p.m.,Nezahualcóyotl
Fonda Las Delicias,,None Found,+52 55 5730 6072,"Av. 4 No. 240, Benito Juárez, 57000 Cdad. Nezahualcóyotl, Méx., México",Restaurante, Cierra a las 9p.m.,Nezahualcóyotl
