Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante Ojo de Agua,,None Found,,"Calz Bellavista Manzana 002, Hacienda Ojo de Agua, 55770 Ojo de Agua, Méx., México",Restaurante mexicano, Abre a las 10a.m. del lun,Ojo de Agua
Pachuco,pachuco.com.mx,None Found,,"Flores Mz 130 Lote 29, 55770 Ojo de Agua, Méx., México",Pub restaurante, Cierra a las 2a.m.,Ojo de Agua
Terraza la Maria,,None Found,+52 56 3380 4336,"Blvrd Ojo de Agua 30, Ojo de Agua, 55770 Ojo de Agua, Méx., México",Bar restaurante, Cierra a las 2a.m.,Ojo de Agua
La Guelaguetza,,None Found,,"Calz. de la Hacienda Mz56 Lt10, Hacienda, 55770 Ojo de Agua, Méx., México",Restaurante, Cierra a las 12a.m.,Ojo de Agua
Guasavito grill Ojo de Agua,,None Found,+52 55 8943 5314,"Blvrd Ojo de Agua #9, Hacienda Ojo de Agua, 55770 Ojo de Agua, Méx., México",Parrilla, Cierra a las 12a.m.,Ojo de Agua
La Romelia,,None Found,+52 55 7984 6673,"Blvrd Ojo de Agua 125, Fraccionamiento, Real Castell, 55767 Ojo de Agua, Méx., México",Restaurante,,Ojo de Agua
Cacao Restaurante,facebook.com,None Found,+52 55 5938 0035,"Herradura Mz 75A-L 31, Ojo de Agua, 55770 Ojo de Agua, Méx., México",Restaurante mexicano, Abre a las 8:30a.m. del dom,Ojo de Agua
Muellezitto Hacienda Ojo de Agua,,None Found,+52 55 9080 6110,"Blvrd Ojo de Agua 1737, Ojo de Agua, 55770 Ojo de Agua, Méx., México",Restaurante, Abre a las 9a.m. del dom,Ojo de Agua
La Esquina de Madera,,None Found,+52 55 5938 6478,"Blvrd Ojo de Agua MZ-111 L-1, Ojo de Agua, 55770 Ojo de Agua, Méx., México",Crepería, 11:15p.m. ,Ojo de Agua
La Terraza,,None Found,+52 56 1718 5015,"Dalias Mz 146 Lt 39, ojo de agua Tecamac, Estado de México, Ojo de Agua, 55770 México, Méx., México",Restaurante, Abre a las 8a.m. del lun,Ojo de Agua
La Casa De Las Alitas Ojo De Agua,,None Found,+52 56 2413 9962,"COLONIA REAL TOSCANA, Joaquin Amaro 334, C. Joaquín Amaro 233, 55767 Ojo de Agua, Méx., México",Restaurante de alas de pollo, 11p.m. ,Ojo de Agua
La Casa de Toño en Multiplaza Ojo de Agua,sucursales.lacasadetono.mx,None Found,+52 55 9331 4671,"Manzana 014, 55767 Ojo de Agua, Méx., México",Restaurante mexicano, 11p.m. ,Ojo de Agua
Punto Chope Ojo de Agua,m.facebook.com,None Found,+52 55 1628 9991,"Plaza libra, Blvrd Ojo de Agua 1-Planta Alta, Real Castell, 55767 Ojo de Agua, Méx., México",Bar con música en directo,,Ojo de Agua
Pozole Don Pancho Tecámac,,None Found,+52 55 7049 2165,"Carr. Federal Pachuca - Mexico Km 34.5, San Francisco Cuautliquixca, 55760 Ojo de Agua, Méx., México",Restaurante, 10:30p.m. ,Ojo de Agua
