Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Marrón Cocina Galería,facebook.com,None Found,+52 272 724 0139,"Ote. 4 #355, entre sur 7 y sur 9, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 12p.m.,Orizaba
Madison Grill Orizaba,madisongrill.mx,None Found,+52 272 724 6927,"Ote. 2 1158, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a la 1p.m.,Orizaba
Corazón de Amaranto,facebook.com,None Found,+52 272 688 5223,"Ote. 6 1653, Centro, 94364 Orizaba, Ver., México",Restaurante, Abre a las 8a.m.,Orizaba
La Borda,facebook.com,"Restaurante donde se ofrecen menús abundantes, con una terraza en el piso superior con vista a la montaña.",+52 272 171 6504,"Pte. 7 248-Altos, entre calle sur 4 y sur 6, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 8a.m.,Orizaba
Aborigen,linktr.ee,None Found,+52 272 225 8718,"Colón Poniente No 414, Centro, 94300 Orizaba, Ver., México",Restaurante mexicano, Abre a las 11a.m.,Orizaba
Restaurante “El español”,tourmx360.com,None Found,+52 272 725 7793,"Sur 3 230, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a la 1:30p.m.,Orizaba
Quinta La Escamela,,None Found,+52 272 724 3610,"Av. Cri-Crí, Adolfo Lopez Mateos, 94345 Orizaba, Ver., México",Restaurante, Abre a las 8a.m.,Orizaba
Restaurante Las Fuentes,,None Found,+52 272 725 5833,"Pte. 7 163, Centro, 94300 Orizaba, Ver., México",Restaurante mexicano, Abre a las 7a.m.,Orizaba
Restaurante La Troje,,None Found,+52 272 725 0805,"Sur 5 225, Centro, 94300 Orizaba, Ver., México",Restaurante mexicano, Abre a las 9a.m.,Orizaba
Asadero Argentino,,None Found,+52 272 724 4880,"Ote. 6 903, Centro, 94300 Orizaba, Ver., México",Restaurante argentino, Abre a la 1p.m.,Orizaba
Fogon Do Brasil,facebook.com,None Found,+52 272 724 4845,"Ote. 5 1558, Agrícola Moctezuma, 94300 Orizaba, Ver., México",Restaurante, Abre a las 12p.m.,Orizaba
Restaurante NAMI NORI Orizaba,linkr.bio,None Found,+52 272 217 7486,"Oriente 2 esquina con Sur 5 Centro, Ote. 2 218, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 9a.m.,Orizaba
Mestiza Cocina Mexicana,mestiza.restaurant,None Found,+52 272 153 6442,"Sur 39 295, entre ORIENTE 4 Y ORIENTE 4 A, Centro, 94300 Orizaba, Ver., México",Restaurante mexicano, Abre a las 8a.m.,Orizaba
Casa Lara,es-la.facebook.com,None Found,+52 272 233 9118,"Sur 4 251, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 3:30p.m.,Orizaba
Sora Sky Bar,facebook.com,None Found,+52 272 148 4303,"Ote. 6 851, Centro, 94300 Orizaba, Ver., México",Restaurante japonés, Abre a las 5p.m. del jue,Orizaba
Café con Leche,facebook.com,None Found,+52 272 728 9292,"Sur 9 44, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 8:30a.m.,Orizaba
"""BELLA NAPOLI"" Ristorante Italiano",bellanapoliorizaba.org,None Found,+52 272 725 7770,"Sur 7 230, Centro, 94300 Orizaba, Ver., México",Restaurante italiano,,Orizaba
70's Restaurant & Coffee,,None Found,+52 272 156 2193,"Calle Sur 7 Número 25 entre Colón y, Ote. 2, Centro, 94300 Orizaba, Ver., México",Restaurante mexicano, Abre a las 8:30a.m.,Orizaba
Mar y Tierra,,None Found,+52 272 688 5222,"Ote. 6 1653, Centro, 94364 Orizaba, Ver., México",Restaurante, Abre a las 8a.m.,Orizaba
Gran Café de Orizaba,,None Found,+52 272 728 8349,"Fco. I. Madero Nte., Centro, 94300 Orizaba, Ver., México",Cafetería, Abre a las 10a.m.,Orizaba
Romantxu,facebook.com,None Found,+52 272 283 8265,"Ote. 6 1653, Centro, 94364 Orizaba, Ver., México",Restaurante, Abre a las 9a.m.,Orizaba
La Casona de Orizaba,,None Found,+52 272 262 8201,"Norte 3 esquina poniente 2 Centro, Supermanzana histórico, 94300 Orizaba, Ver., México",Restaurante, Abre a las 8a.m.,Orizaba
Mi Teita,,None Found,,"Sur 33 700, Centro, 94300 Orizaba, Ver., México",Restaurante libanés, Abre a las 8a.m.,Orizaba
El Rincón Italiano,,None Found,+52 272 724 2233,"Ote. 6, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 10a.m.,Orizaba
Mariscos Boca del Rio,,"Mariscos y pescados estilo veracruzano en restaurante amplio con área infantil, servicio al bar y aire casual.",+52 272 725 8579,"Pte. 7 1157, Centro, 94370 Orizaba, Ver., México",Marisquería, Abre a las 10a.m.,Orizaba
Trattoria da Marco,instagram.com,None Found,+52 272 370 4331,"Pte. 5 228A, entre sur 4 y rio orizaba, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a la 1p.m.,Orizaba
Restaurante 1925,,None Found,+52 272 233 0764,"Sur 12 casi esquina, Pte. 3, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 8a.m.,Orizaba
Restaurante Scattola,,None Found,+52 272 725 2007,"Sur 10 144, Centro, 94300 Orizaba, Ver., México",Restaurante italiano, Abre a las 2p.m.,Orizaba
Domu Sushi Bar,facebook.com,Moderno restaurante y bar para probar cocina de fusión japonesa en un luminoso salón con techos de domo.,+52 272 106 1452,"Ote. 6 1469, Centro, 94363 Orizaba, Ver., México",Restaurante japonés, Abre a la 1p.m.,Orizaba
Santo Brunch,instagram.com,None Found,,"Nte. 22 463, El Edén, 94324 Orizaba, Ver., México",Restaurante, Abre a las 9a.m.,Orizaba
Kaffé Real,facebook.com,None Found,+52 272 167 3878,"Pte. 7 50, Centro, 94300 Orizaba, Ver., México",Cafetería, Abre a las 8a.m.,Orizaba
Don Simon Restaurante Bar,,None Found,+52 272 196 1970,"Sur 2 #142 entre poniente 3 y 5, 94300 Orizaba, Ver., México",Bar restaurante, Abre a las 8a.m.,Orizaba
Restaurante Gran Cocina Montellano,facebook.com,None Found,+52 272 724 0912,"Colón Ote. 803, Centro, 94300 Orizaba, Ver., México",Restaurante familiar,,Orizaba
La Palapa,,None Found,+52 272 147 7279,"Colón Poniente 10, Centro, 94300 Orizaba, Ver., México",Marisquería, Abre a las 11a.m.,Orizaba
Quintal Restaurante,,None Found,+52 272 341 5377,"Colón Poniente 492, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 8a.m.,Orizaba
Casa Jardín Orizaba,instagram.com,None Found,+52 272 236 5767,"y 16, poniente 14, Norte 5 #580, Centro, 94303 Orizaba, Ver., México",Restaurante, Abre a las 9a.m.,Orizaba
Cullinan Restaurante,facebook.com,None Found,+52 272 282 7346,"Colon poniente esq. norte 7 303 Altos, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 8a.m.,Orizaba
Madison Grill,madisongrill.mx,None Found,+52 272 688 5227,"Ote. 6 1653, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a la 1p.m.,Orizaba
La Prosperidad,,None Found,+52 272 190 0373,"Isabel la católica y Belisario Domínguez s/n, Francisco I. Madero, Barrio Nuevo, 94340 Orizaba, Ver., México",Restaurante mexicano, Abre a las 8a.m.,Orizaba
Estrela Do Brasil Orizaba,m.facebook.com,None Found,+52 272 106 3096,"Ote. 7 1882, Agrícola Moctezuma, 94345 Orizaba, Ver., México",Restaurante brasileño,,Orizaba
Restaurante La Querencia,facebook.com,None Found,+52 272 147 7969,"Colon poniente, Nte. 11 503, 94300 Orizaba, Ver., México",Restaurante, Abre a las 8a.m.,Orizaba
La Cocina del Chef,facebook.com,None Found,+52 272 252 1960,"Sur 29 347, entre Oriente 4A y 6, Centro, 94300 Orizaba, Ver., México",Restaurante mexicano,,Orizaba
Nata Restaurante,,None Found,+52 272 152 1107,"Sur 7 484, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 8a.m.,Orizaba
Restaurante Asadero Victorio's,facebook.com,None Found,+52 272 724 0826,"Oriente 6 956, Orizaba Centro, 94300 Orizaba, Ver., México",Parrilla, Abre a la 1:30p.m.,Orizaba
Restaurante Asadero Victorio's,facebook.com,None Found,+52 272 724 0826,"Oriente 6 956, Orizaba Centro, 94300 Orizaba, Ver., México",Parrilla, Abre a la 1:30p.m.,Orizaba
La Braza,,None Found,+52 272 724 2627,"Ote. 6 1500, Centro, 94363 Orizaba, Ver., México",Restaurante mexicano, Abre a las 8a.m.,Orizaba
Lafarina Terraza y Horno,facebook.com,None Found,+52 272 215 1630,"Pte. 7 523, entre Sur 10 y 12, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 8a.m.,Orizaba
Benjamino's Pizzas,,None Found,+52 272 106 3117,"Ote. 7 1863, Centro, 94300 Orizaba, Ver., México",Pizzería, Abre a las 2p.m.,Orizaba
Sano Pretexto,uv.mx,None Found,+52 272 725 0669,"Ote. 4 1265, Centro, 94363 Orizaba, Ver., México",Restaurante, Abre a las 8:30a.m.,Orizaba
Restaurante Nussa,,None Found,+52 272 724 0900,"Sur 21 293, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 8a.m. del lun,Orizaba
El Pozolazo Jarocho,,None Found,+52 272 725 2339,"Sur 6, Centro, 94300 Orizaba, Ver., México",Restaurante mexicano, Abre a las 11a.m.,Orizaba
RESTAURANT COLONIAL MEXICANO,facebook.com,None Found,+52 272 141 9981,"Poniente 9 #1070, Esquina sur 18, 94300 Orizaba, Ver., México",Restaurante, Abre a las 12p.m.,Orizaba
Restaurante El Colibrí,facebook.com,None Found,+52 272 237 2330,"Sur 7 452, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 8a.m. del lun,Orizaba
URBAN FOOD PARK,,None Found,,"Sur 10 12, entre PONIENTE 3 Y COLON, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 3p.m.,Orizaba
Super Tortas Orizabeñas Colón,facebook.com,None Found,+52 272 141 3568,"94300, entre Madero Sur y Sur 2, Colón Poniente #26, Centro, 94300 Orizaba, Ver., México",Restaurante mexicano, Abre a las 8a.m.,Orizaba
El Pozolazo Huasteco,,None Found,+52 272 724 6688,"94300, Ote. 6 546, Centro, Orizaba, Ver., México",Restaurante, Abre a las 11a.m.,Orizaba
Los Antojos Del Fogon SR,,None Found,+52 272 370 0693,"Ote. 2 1734, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 8a.m.,Orizaba
México Lindo Restaurante,,None Found,+52 272 135 9844,"Sur 8 147-Int. 1, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 9:30a.m.,Orizaba
Cielo Canela,,None Found,+52 272 184 0759,"Nte. 16 363, Centro, 94320 Orizaba, Ver., México",Restaurante, Abre a las 9a.m.,Orizaba
Restaurante F&J,,None Found,+52 272 724 6721,"Ote. 6 1490, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 8a.m.,Orizaba
Poliforum Mier y Pesado,orizaba.travel,None Found,+52 272 688 5229,"Ote. 6 1653, Centro, 94364 Orizaba, Ver., México",Centro cultural, Abre a las 10a.m.,Orizaba
Restaurante BlaBla,,None Found,+52 272 721 4766,"Sur 6 125, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 8a.m.,Orizaba
El Barzon B18,m.facebook.com,None Found,+52 272 724 2153,"Ote. 6 844, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a la 1p.m.,Orizaba
The Home Grill La Braza,,None Found,+52 272 106 9592,"Ote. 6 527, Centro, 94300 Orizaba, Ver., México",Restaurante mexicano, Abre a las 7a.m.,Orizaba
Gallery Restaurante,hoteltrueba.com,None Found,+52 272 103 1464,"Ote. 6 485, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 7a.m.,Orizaba
Pizzas Lauretta,,None Found,+52 272 724 2129,"Oriente 8, Centro, 94300 Orizaba, Ver., México",Pizzería, Abre a las 2p.m.,Orizaba
Santo Origen Orizaba,m.facebook.com,None Found,+52 272 141 2710,"Sur 6 113, Centro, 94730 Orizaba, Ver., México",Restaurante,,Orizaba
Santo Origen Orizaba,m.facebook.com,None Found,+52 272 141 2710,"Sur 6 113, Centro, 94730 Orizaba, Ver., México",Restaurante,,Orizaba
Restaurante el Marisquito,,None Found,+52 272 143 9786,"Pte. 6 57, Centro, 94300 Orizaba, Ver., México",Marisquería, Abre a las 10a.m.,Orizaba
Restaurante La Tiendita,,None Found,,"Ote. 5 483, Centro, 94300 Orizaba, Ver., México",Restaurante, Abre a las 7:47a.m.,Orizaba
El Pozolazo De Orizaba,,None Found,+52 272 688 9374,"Ote. 6 1906, Centro, 94344 Orizaba, Ver., México",Restaurante, Abre a las 9:30a.m.,Orizaba
EPIFANIO,,None Found,,"Av. Cri-Crí & Oriente 9, Agrícola Moctezuma, 94345 Orizaba, Ver., México",Restaurante, Abre a las 8:30a.m.,Orizaba
O-TORO barra japonesa de pueblo.,,None Found,+52 984 280 0161,"Calle sur 13-Número 74, entre oriente 2 y Av. colon, Centro, 94300 Orizaba, Ver., México",Restaurante japonés,,Orizaba
