Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante La Blanca,,None Found,+52 771 172 4341,"Calle Mariano Matamoros 201, Centro, 42000 Pachuca de Soto, Hgo., México",Restaurante mexicano, Abre a las 8a.m.,Pachuca de Soto
La 3a Ronda Pachuca,la3aronda.com,None Found,+52 771 353 6200,"Vía Dorada, Av. Ferrocarril Central #121 1er piso Col, Zona Plateada, 42088 Pachuca de Soto, Hgo., México",Restaurante mexicano, Cierra a las 3a.m. ,Pachuca de Soto
Madero Restaurante - San Javier,maderorestaurante.mx,None Found,+52 55 1454 0455,"Blvd. Valle de San Javier 109, Fracc, Valle de San Javier, 42086 Pachuca de Soto, Hgo., México",Restaurante mexicano, Abre a las 7a.m.,Pachuca de Soto
Rata Roja,m.facebook.com,None Found,+52 771 125 8536,"Camino Real de La Plata, Zona Plateada, 42084 Pachuca de Soto, Hgo., México",Bar restaurante, Cierra a las 3a.m.,Pachuca de Soto
En Un Rincón Del Alma,,None Found,+52 771 719 2425,"Valle de San Javier, 42086 Pachuca de Soto, Hgo., México",Buffet libre, Abre a las 8:30a.m.,Pachuca de Soto
EL CANIBAL (Pachuca),elcanibalmx.com,"Pub de ladrillos a la vista en el que se sirven hamburguesas, alitas, papas fritas, batidos y cervezas.",+52 771 153 0308,"Calle Gral. Felipe Angeles 604, Periodistas, 42060 Pachuca de Soto, Hgo., México",Hamburguesería, Abre a la 1p.m.,Pachuca de Soto
Restaurante Las Acamayas,,"Restaurante tipo buffet familiar que ofrece una gran variedad de mariscos, ensaladas, pizza y mucho más.",+52 771 715 9345,"C. José Maria Pino Suárez 300-A, Real de Minas, 42090 Pachuca de Soto, Hgo., México",Marisquería, Abre a las 11a.m.,Pachuca de Soto
Sotero Cocina de Oficio,,"Restaurante informal en el que se sirven platillos caseros originales para compartir, además de postres y cocteles.",+52 771 719 4770,"Dr. Manuel del Corral 101, Real de Minas, 42090 Pachuca de Soto, Hgo., México",Restaurante,,Pachuca de Soto
El Estufón de la Abuela,elestufondelaabuela.com.mx,None Found,+52 771 711 4032,"CARRT, Autopista México - Pachuca KM 85.5, Club de Golf, 42080 Pachuca de Soto, Hgo., México",Restaurante mexicano, Abre a las 9a.m.,Pachuca de Soto
Madero Restaurante - Villas,maderorestaurante.mx,None Found,+52 55 1454 0455,"Blvrd Nuevo Hidalgo #33, Villas de Pachuca, 42083 Pachuca de Soto, Hgo., México",Restaurante mexicano, Abre a las 7a.m.,Pachuca de Soto
