Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante Tierra Santa,tierrasantarest.com,None Found,+52 878 127 1827,"Lib. Manuel Pérez Treviño 2600, Tecnológico, 26080 Piedras Negras, Coah., México",Restaurante, Abre a las 8a.m.,Piedras Negras
Barrokas Restaurante,barrokas.com,None Found,+52 878 782 6670,"26080, C. Juan de la Barrera 3, 100 Casas, 26080 Piedras Negras, Coah., México",Restaurante mexicano, Abre a las 12p.m.,Piedras Negras
Las Cabañitas,,None Found,+52 878 782 2030,"C. Adolfo López Mateos 803, Roma, 26025 Piedras Negras, Coah., México",Restaurante de desayunos, Abre a las 7:30a.m.,Piedras Negras
Charcoal Grill,charcoalgrill.mx,None Found,+52 878 783 8200,"Avenida Lazaro Cardenas, Buena Vista Sur, 26040 Piedras Negras, Coah., México",Parrilla, Abre a las 8a.m.,Piedras Negras
El jalisquillo,,"Restaurante sencillo con ambiente tradicional donde se ofrecen tortas, pozole y quesadillas.",+52 878 782 2254,"Morelia 516, Roma, 26025 Piedras Negras, Coah., México",Restaurante mexicano,,Piedras Negras
SR Headquarters,los-sombreros.com.mx,None Found,+52 878 783 3888,"Av. 16 de septiembre, San José 624, 26017 Piedras Negras, Coah., México",Restaurante,,Piedras Negras
El Antojo Sabor Mexicano,,None Found,+52 878 173 2069,"Galindo 315, Central, 26060 Piedras Negras, Coah., México",Restaurante, Abre a las 8a.m. del lun,Piedras Negras
República Restaurant - Bar,,None Found,+52 878 688 6141,"Lib. Manuel Pérez Treviño #500, Seccion 1, 26069 Piedras Negras, Coah., México",Bar restaurante, Abre a las 8a.m.,Piedras Negras
La Estancia,,None Found,+52 878 782 8090,"Av. Emilio Carranza 100, Nísperos, 26020 Piedras Negras, Coah., México",Restaurante, Abre a las 12p.m.,Piedras Negras
LA ESTRELLA RESTAURANTE,estrella-restaurant.com.mx,None Found,+52 878 783 8659,"C. Román Cepeda 207 SUR, COL BUENA VISTA, 26040 Piedras Negras, Coah., México",Marisquería, Abre a las 8a.m.,Piedras Negras
Talavera Café and Grill,facebook.com,None Found,+52 878 782 8285,"700 J, Calle Prol. Jiménez, Las Fuentes, 26010 Piedras Negras, Coah., México",Restaurante mexicano, Abre a las 7a.m.,Piedras Negras
La aledaña,,None Found,+52 878 795 2042,"Calle Blvd. Mendoza Berrueto 2614, Centro, 26070 Piedras Negras, Coah., México",Restaurante, Abre a las 8a.m.,Piedras Negras
Pescadería García,pescaderiasgarcia.com,"Mariscos y pescados en un restaurante acogedor con atmósfera casual, decoraciones marinas y área infantil.",+52 878 782 7234,"H. Colegio Militar 904, Las Fuentes, 26010 Piedras Negras, Coah., México",Marisquería, Abre a las 10a.m.,Piedras Negras
Casa Grande Restaurant,,None Found,+52 878 783 3507,"C. Román Cepeda 311, Buena Vista Nte, 26040 Piedras Negras, Coah., México",Restaurante, Abre a las 8a.m.,Piedras Negras
El Tecu,,None Found,+52 878 782 8051,"Jalisco 1701, Juárez Ampliación, Nísperos, 26020 Piedras Negras, Coah., México",Restaurante, Abre a las 7a.m. del lun,Piedras Negras
Guajas,guajas.com,None Found,+52 878 782 2501,"Av. Emilio Carranza 1021, Burócrata, 26020 Piedras Negras, Coah., México",Restaurante, Abre a la 1p.m.,Piedras Negras
La Casita,,None Found,+52 878 782 5100,"Prol Puebla # 1108, Country House, 26017 Piedras Negras, Coah., México",Restaurante, Abre a la 1p.m.,Piedras Negras
Asadero San Marcos,,None Found,+52 878 112 0146,"San Marcos 721, Valle San José, 26017 Piedras Negras, Coah., México",Parrilla, Abre a la 1p.m.,Piedras Negras
Rancho el Rey Bar & Grill,ranchoelrey.com,None Found,+52 844 739 4454,"Calle Blvd. Mendoza Berrueto 3506, Chapultepec, 26070 Piedras Negras, Coah., México",Bar restaurante, Abre a las 8a.m.,Piedras Negras
Salsero,,None Found,+52 878 783 5550,"Av 16 de Septiembre 516, Valle San José, 26017 Piedras Negras, Coah., México",Bar restaurante, Abre a las 8a.m.,Piedras Negras
Los Merecidos,,None Found,+52 878 133 1202,"C. Adolfo López Mateos 4001, Buena Vista Nte, 26040 Piedras Negras, Coah., México",Restaurante de brunch, Abre a las 8:30a.m.,Piedras Negras
Mi Casa restaurante,,None Found,+52 878 782 4090,"Lib. Manuel Pérez Treviño 2602, Tecnológico, 26085 Piedras Negras, Coah., México",Restaurante mexicano, Abre a las 8a.m. del lun,Piedras Negras
ItalianMix Bistro,italianmixbistro.com,None Found,+52 878 783 0204,"Avenida Lazaro Cardenas 1515-Local 4, Buena Vista Sur, 26040 Piedras Negras, Coah., México",Restaurante italiano, Abre a las 12p.m.,Piedras Negras
D´Rivera Restaurant Bar Piedras Negras,,None Found,+52 878 701 2827,"Lib. Manuel Pérez Treviño 2602, Tecnológico, 26080 Piedras Negras, Coah., México",Restaurante, Abre a la 1p.m.,Piedras Negras
Gorditas Saavedra,facebook.com,None Found,+52 878 103 0008,"717, 26010 Piedras Negras, Coah., México",Restaurante,,Piedras Negras
El Carbon Grill Restaurante,facebook.com,None Found,+52 878 112 0444,"Blvd. Eliseo Mendoza Berrueto 2608, 26080 Piedras Negras, Coah., México",Restaurante mexicano, Abre a las 11a.m.,Piedras Negras
La Casa de los Chilaquiles,m.facebook.com,None Found,+52 878 104 4539,"Av 16 de Septiembre 411-Local 5, Colonia, Las Fuentes, 26010 Piedras Negras, Coah., México",Restaurante, Abre a las 7:30a.m.,Piedras Negras
Antojitos Mary,,None Found,,"Bahía Azul 333, Palmas II, 26070 Piedras Negras, Coah., México",Restaurante, Abre a las 7a.m.,Piedras Negras
Papa’s Grill,,None Found,+52 878 782 2591,"Carretera Federal 2, Privada Blanca, 26069 Piedras Negras, Coah., México",Parrilla, Abre a las 12p.m.,Piedras Negras
El Griego,,None Found,+52 878 790 1432,"Av 16 de Septiembre 413, Las Fuentes, 26010 Piedras Negras, Coah., México",Restaurante, Abre a las 7p.m.,Piedras Negras
Rancho Steak Grill,,None Found,+52 878 782 2000,"Oliver 1801, Buena Vista Nte, 26040 Piedras Negras, Coah., México",Restaurante mexicano, Abre a las 7a.m.,Piedras Negras
Casa Masamoto,casamasamoto.com,None Found,+52 878 104 5390,"Lib. Manuel Pérez Treviño 2700-Local D1, Tecnológico, 26080 Piedras Negras, Coah., México",Restaurante asiático,,Piedras Negras
El sabor de Puebla,,None Found,+52 878 783 9070,"Camelia 503, Guillén, 26080 Piedras Negras, Coah., México",Restaurante, Abre a las 2p.m.,Piedras Negras
"Quesadillas ""El Gallo""",,None Found,+52 878 795 5971,"Avenida Lazaro Cardenas #3005, Buena Vista Nte, 26040 Piedras Negras, Coah., México",Restaurante, Abre a las 8a.m.,Piedras Negras
Mariscos El Marlin,,None Found,+52 878 783 6444,"Emilio Carranza 200, La Villita, Villa de Fuente, 26090 Piedras Negras, Coah., México",Marisquería, Abre a las 11:30a.m.,Piedras Negras
La María restaurante,facebook.com,None Found,,"San Luis 1401, Country House, 26017 Piedras Negras, Coah., México",Bar restaurante, Abre a la 1p.m.,Piedras Negras
Tensai Sushi & Bar,tensaisushi.com,"Comedor familiar decorado en madera oscura en donde se ofrecen arroces, sushi y especialidades japonesas.",+52 878 782 9889,"Plaza Innova, A 4, Lib. Manuel Pérez Treviño 2750, 26080 Piedras Negras, Coah., México",Restaurante japonés, Abre a las 12p.m.,Piedras Negras
Los Toros Restaurante,,None Found,+52 878 153 1930,"C. Ciprés 1003, Guillén, 26080 Piedras Negras, Coah., México",Restaurante de brunch, Abre a las 7a.m.,Piedras Negras
La Estrella Pescados Y Mariscos,estrella-restaurant.com.mx,None Found,+52 878 782 4003,"Zaragoza #319, Zona Centro, 26000 Piedras Negras, Coah., México",Marisquería, Abre a las 10a.m.,Piedras Negras
Primer Piso Food Park,facebook.com,None Found,+52 877 201 2494,"Lib. Manuel Pérez Treviño 1302, Seccion 1, SUTERM, 26020 Piedras Negras, Coah., México",Bar, Abre a las 12p.m.,Piedras Negras
Taquería Arandas,,"Puesto sencillo de una cadena tex-mex famosa, especializada en tacos de food truck.",+52 878 783 0655,"Av. Roman Cepeda S/N, Seccion 1, 26069 Piedras Negras, Coah., México",Taquería, Abre a las 7a.m.,Piedras Negras
The Beer Box,bierbox.com.mx,None Found,+52 18781402099,"Lib. Manuel Pérez Treviño 2750-C-14, Tecnológico, 26080 Piedras Negras, Coah., México",Restaurante,,Piedras Negras
La Bajadita Tacos & Almuerzos,,None Found,,"Anita Pape 204, Chapultepec, 26070 Piedras Negras, Coah., México",Taquería, Abre a las 7a.m. del mar,Piedras Negras
Restaurante Los Mazatlecos,restaurantelosmazatlecos.com,None Found,+52 878 173 4091,"Av. Roman Cepeda 630, Col. Buena Vista, 26040 Piedras Negras, Coah., México",Restaurante, Abre a las 11a.m.,Piedras Negras
Carnitas Uruapan,,None Found,+52 878 795 2680,"México 2, Privada Blanca, San Luis, 26069 Piedras Negras, Coah., México",Restaurante, Abre a las 8a.m.,Piedras Negras
M&M Restaurant,facebook.com,None Found,+52 878 155 6795,"San Juan 723, Plaza Lux, 26017 Piedras Negras, Coah., México",Restaurante, Abre a las 7:30a.m.,Piedras Negras
El Jacal,,None Found,+52 878 111 0735,"Av 16 de Septiembre 504, Las Fuentes, 26010 Piedras Negras, Coah., México",Restaurante, Abre a las 7p.m.,Piedras Negras
Restaurant Tang´s Cuisine,,None Found,+52 878 782 3277,"Av. Emilio Carranza 513, González, 26000 Piedras Negras, Coah., México",Restaurante chino, Abre a las 12p.m.,Piedras Negras
Restaurante,,None Found,+52 878 108 4557,"Zona Centro, 26000 Piedras Negras, Coah., México",Restaurante, Abre a las 7a.m.,Piedras Negras
Gula Burger - Piedras Negras,facebook.com,None Found,,"Arroyo 502, Central, 26060 Piedras Negras, Coah., México",Hamburguesería, Abre a las 11a.m.,Piedras Negras
El Cafecito,,None Found,,"Calle Prol. Tepic 900, Nísperos, 26020 Piedras Negras, Coah., México",Restaurante, Abre a las 8a.m. del lun,Piedras Negras
Elotes mi Mexico,facebook.com,None Found,+52 878 138 3903,"Guanajuato 300, Roma, 26025 Piedras Negras, Coah., México",Restaurante, Abre a las 4p.m.,Piedras Negras
Chirapos,,None Found,,"Privada Blanca, 26069 Piedras Negras, Coah., México",Restaurante familiar,,Piedras Negras
Dos Marías Plaza de Toros,facebook.com,None Found,+52 878 156 4662,"Av Adolfo Lopez Mateos 1702-1 Col, Buena Vista Nte, 26040 Piedras Negras, Coah., México",Restaurante, Abre a las 9a.m.,Piedras Negras
Iwa Ramen,facebook.com,None Found,+52 878 791 0555,"Av. Roman Cepeda #409, Buena Vista Nte, 26040 Piedras Negras, Coah., México",Restaurante, Abre a las 12p.m.,Piedras Negras
