Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Porfirio's Playa del Carmen | Restaurante de comida mexicana,porfirios.com.mx,None Found,+52 984 877 2366,"5ta Avenida, esq. Calle 12 Col, Calle 12 Nte, Centro, Gonzalo Guerrero, 77710 Playa del Carmen, Q.R., México",Restaurante mexicano, Cierra a las 2a.m. ,Playa del Carmen
El Fogón,facebook.com,"Restaurante animado de 2 pisos con tacos de cerdo asados a fuego lento, pozole y otros platos a base de carne.",,"30 Avenida Nte. s/n, Centro, 77710 Playa del Carmen, Q.R., México",Restaurante mexicano, Cierra a las 3a.m. ,Playa del Carmen
Kascabal,kascabalrestaurante.com,None Found,+52 984 105 7456,"5av Entre Calle 12 y 14, 77710 Playa del Carmen, Q.R., México",Restaurante, Abre a las 9a.m.,Playa del Carmen
The Sonora Grill Playa del Carmen,thesonoragrill.com.mx,None Found,+52 984 801 2091,"esquina, Av 5, Calle 12 Nte norte S/N, Gonzalo Guerrero, 77720 Playa del Carmen, Q.R., México",Restaurante especializado en filetes, Cierra a las 2a.m. ,Playa del Carmen
La Cueva del Chango,lacuevadelchango.com,"Lugar con brunches y comida todo el día, terraza que parece una jungla y menús veganos y vegetarianos.",+52 984 147 0271,"Calle 38 Nte Mz. 4-Lote 3, Zazil-ha, 77710 Playa del Carmen, Q.R., México",Restaurante mexicano, Abre a las 8a.m.,Playa del Carmen
Zitla Playa,instagram.com,Restobar abierto de cocteles y comida de pub en un espacio colorido con estilo de playa.,+52 984 873 3315,"Calle 12 Norte, Entre Av. 15 y 20, Centro, 77710 Playa del Carmen, Q.R., México",Restaurante, Abre a las 11:30a.m.,Playa del Carmen
Osteria de Roma,,None Found,+52 984 318 5567,"Calle 6 Nte entre avenida 20, Calle 6 Nte y 25, Centro, 77710 Playa del Carmen, Q.R., México",Restaurante italiano, Abre a la 1p.m.,Playa del Carmen
La Bodeguita del Medio Playa del Carmen,labodeguitadelmedio.com.mx,Un espacio casual con fotografías clásicas y música en vivo que ofrece platillos y cócteles típicos de Cuba.,+52 984 803 3950,"5ta Avenida Calle 34 Norte Esq, Gonzalo Guerrero, 77720 Playa del Carmen, Q.R., México",Restaurante cubano, Cierra a las 3a.m. ,Playa del Carmen
Luma Taverna del Mar,lumaplaya.mx,None Found,+52 984 125 1446,"Calle 38 Nte entre Albatros y Calle Flamingo, Gonzalo Guerrero, 77710 Playa del Carmen, Q.R., México",Restaurante italiano, Abre a las 3p.m.,Playa del Carmen
La Vagabunda,vagabundaplaya.com,"Taquería colorida con mesas bajo los árboles, música en vivo y gran menú de desayunos.",+52 984 176 3145,"5ta Av entre 24 Y 26, Quinta Avenida, Centro, 77710 Playa del Carmen, Q.R., México",Restaurante mexicano, Abre a las 7a.m.,Playa del Carmen
Nicoletta Playa Del Carmen,nicolettarestaurant.com,None Found,+52 984 147 6542,"5 Av. Nte. s/n, entre calles 12 y 14, Centro, 77710 Playa del Carmen, Q.R., México",Restaurante italiano, 1a.m. ,Playa del Carmen
Lido | Cocina de Playa,lidobeachclub.mx,"Animado restaurante playero con gran menú de cocteles, tacos, hamburguesas y mariscos.",+52 984 146 3373,"Av. 1era. Norte Bis, Mz. 22, Lote 3, Centro, 77710 Playa del Carmen, Q.R., México",Restaurante, Abre a las 8a.m.,Playa del Carmen
EL CHULETÓN,elchuleton.com.mx,None Found,+52 984 879 4799,"Av. 20 entre Constituyentes y, C. 16 Nte. Bis, Centro, 77710 Playa del Carmen, Q.R., México",Restaurante, Abre a las 12p.m.,Playa del Carmen
Trattoria del Centro,facebook.com,None Found,+52 984 147 2294,"Calle 26, entre avenida 10 y avenida 5, Quintas del Carmen, Gonzalo Guerrero, 77720 Playa del Carmen, Q.R., México",Restaurante italiano, Abre a las 5p.m.,Playa del Carmen
Ictio Fish House,ictiofishhouse.com,None Found,+52 984 163 5647,"1era. Av. esquina con, Calle 22 Nte, Centro, 77720 Playa del Carmen, Q.R., México",Marisquería, Abre a las 12p.m.,Playa del Carmen
Cheester Playa del Carmen,cheesterplaya.mx,"Pasta y mariscos servidos en una terraza con sombrillas de palmera, manteles a cuadros y música en vivo.",+52 984 169 7524,"40 Av. Nte entre Calle 4 y Calle 6 Norte, Centro, 77710 Playa del Carmen, Q.R., México",Restaurante italiano,,Playa del Carmen
El Fogon,,Tacos tradicionales y platos de carne asada familiares servidos en un local sencillo y colorido.,,"Av. Constituyentes, Quintas del Carmen, Gonzalo Guerrero, 77720 Playa del Carmen, Q.R., México",Restaurante mexicano, Cierra a las 12p.m. ,Playa del Carmen
Mu. Burgerhouse AV40 | Hamburguesería en Playa del Carmen,muburgers.mx,"Restaurante sencillo, con un patio arbolado, que ofrece una variedad de hamburguesas, papas fritas y cervezas.",+52 984 879 4525,"40 Avenida Nte. 11, entre calles 4 y 6, Centro, 77710 Playa del Carmen, Q.R., México",Restaurante,,Playa del Carmen
Los Tapetes Restaurante,,None Found,+52 984 239 0938,"Quinta Avenida, Centro, 77710 Playa del Carmen, Q.R., México",Restaurante, Abre a las 8a.m.,Playa del Carmen
ALUX - Fine Dining,aluxrestaurant.com,Restaurante mexicano contemporáneo en una amplia caverna subterránea con luces coloridas y murciélagos.,+52 984 206 1401,"Av Benito Juárez Mz 217 Lt2, Ejidal, 77710 Playa del Carmen, Q.R., México",Restaurante, Abre a las 5:45p.m.,Playa del Carmen
ALUX - Fine Dining,aluxrestaurant.com,Restaurante mexicano contemporáneo en una amplia caverna subterránea con luces coloridas y murciélagos.,+52 984 206 1401,"Av Benito Juárez Mz 217 Lt2, Ejidal, 77710 Playa del Carmen, Q.R., México",Restaurante, Abre a las 5:45p.m.,Playa del Carmen
Rockas Jamaican Kitchen & Rockas Beach Town Grill,facebook.com,None Found,+52 984 277 9119,"Calle 38 Norte y Calle Flamingo Miranda, LOCAL 1 y 2, 77710 Playa del Carmen, Q.R., México",Restaurante jamaicano, Abre a las 5p.m.,Playa del Carmen
Po Thai Restaurante,pothai.com.mx,"Restaurante popular con decoración tailandesa y patio, que ofrece sopa tom yum ácida y curri con cangrejo.",+52 984 277 4846,"Av. 10 Norte entre calle 14 y 14 bis, 77710 Playa del Carmen, Q.R., México",Restaurante tailandés, Abre a las 2p.m.,Playa del Carmen
Zenzi Beach,zenzi-playa.com,Bar de playa tranquilo que ofrece comida mexicana y estadounidense todo el día y música en vivo por las noches.,+52 984 803 5788,"y la Playa, C. 10 Nte. 018, Centro, 77710 Playa del Carmen, Q.R., México",Restaurante, Cierra a las 2a.m. ,Playa del Carmen
Así Restaurant & Beach Club,asiplaya.com,None Found,+52 984 208 1698,"Calle 14 Nte, Gonzalo Guerrero, 77710 Playa del Carmen, Q.R., México",Marisquería, Abre a las 7a.m.,Playa del Carmen
La Perla Pixan Cuisine & La Carboneria,laperlacarboneria.com,Animado restaurante con techo de paja y pabellones donde se sirven platos y bebidas tradicionales.,+52 984 120 2616,"Calle 38 Norte Entre 5ta y la playa, Gonzalo Guerrero, 77720 Playa del Carmen, Q.R., México",Restaurante mexicano, Abre a las 8a.m.,Playa del Carmen
