Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
El Mesón Huasteco,elmesonhuasteco.mx,None Found,+52 782 826 5296,"Calle 2 N°20 Esq, Municipio Libre, Cazones, 93230 Poza Rica de Hidalgo, Ver., México",Restaurante mexicano, Abre a las 7a.m.,Poza Rica de Hidalgo
La Huerta Restaurante,,None Found,+52 782 824 5288,"Perú 203, 27 de Septiembre, 93320 Poza Rica de Hidalgo, Ver., México",Restaurante mexicano, Abre a las 8a.m.,Poza Rica de Hidalgo
La Tradicional brasa y fuego,facebook.com,None Found,+52 782 103 8383,"Av Uno 401, Cazones, 93230 Poza Rica de Hidalgo, Ver., México",Bar restaurante, Abre a las 2p.m.,Poza Rica de Hidalgo
Poza-Grill,,None Found,+52 782 823 2500,"Pozo 13 784, San Roman, 93240 Poza Rica de Hidalgo, Ver., México",Restaurante,,Poza Rica de Hidalgo
RESTAURANT LA HIGUERA,,None Found,+52 782 119 0039,"DE HGO, Miguel Hidalgo 14 A, Tepeyac, 93250 Poza Rica de Hidalgo, Ver., México",Restaurante mexicano, Abre a las 10a.m.,Poza Rica de Hidalgo
Restaurante Ariguznaga,,None Found,+52 782 122 0385,"C. Azcapotzalco 25, Petromex, 93290 Poza Rica de Hidalgo, Ver., México",Marisquería, Abre a las 9a.m.,Poza Rica de Hidalgo
Restaurant Enrique,,"Sencilla cocina económica que ofrece guisados regionales, comida casera, pollos y antojitos para llevar.",+52 782 822 1672,"Antonio J. Bermúdez 511, Ricardo Flores Magon, 93340 Poza Rica de Hidalgo, Ver., México",Marisquería, Abre a la 1p.m.,Poza Rica de Hidalgo
El Desván Poza Rica,facebook.com,None Found,+52 782 121 9426,"Sabino 600, Chapultepec, 93240 Poza Rica de Hidalgo, Ver., México",Restaurante, Abre a las 2p.m.,Poza Rica de Hidalgo
El Cangrejo Azul,facebook.com,None Found,+52 782 205 0584,"Carr. Poza Rica - Cazones 416b, INFONAVIT las Gaviotas, 93300 Poza Rica de Hidalgo, Ver., México",Restaurante, Abre a las 12p.m.,Poza Rica de Hidalgo
El Pescador Veracruzano,m.facebook.com,None Found,+52 782 824 1898,"Av. Puebla S/N, Palma Sola, 93320 Poza Rica de Hidalgo, Ver., México",Marisquería, Abre a las 8a.m.,Poza Rica de Hidalgo
