Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante Barcelona Tapas Puerto Vallarta,barcelonatapas.net,"Terraza cubierta con vista a la ciudad y al mar, donde se sirven brunch y platos pequeños de estilo español.",+52 322 222 0510,"C. Matamoros 906, Centro, 48300 Puerto Vallarta, Jal., México",Restaurante de cocina española, Abre a las 12p.m.,Puerto Vallarta
La Leche,lalecherestaurant.com,Restobar innovador de influencia española con productos locales que se sirven en un espacio de color blanco.,+52 322 293 0901,"Km 2.5, Blvd. Francisco Medina Ascencio, Las Glorias, 48333 Puerto Vallarta, Jal., México",Restaurante, 2a.m. ,Puerto Vallarta
Casa Prime Puerto Vallarta,casaprime.mx,"Parrilladas, recetas internacionales y vino en un espacio moderno con ambiente selecto y ventanas grandes.",+52 55 9990 5868,"Av Paseo de la Marina 121, Marina Vallarta, 48335 Puerto Vallarta, Jal., México",Restaurante, 2a.m. ,Puerto Vallarta
Café Des Artistes,cafedesartistes.com,None Found,+52 322 226 7200,"C. Guadalupe Sánchez 740, Centro, 48300 Puerto Vallarta, Jal., México",Restaurante, Abre a las 2p.m.,Puerto Vallarta
The Blue Shrimp Puerto Vallarta,theblueshrimpgroup.com,"Restaurante playero al aire libre con mesas en la arena, donde se sirven fuentes de mariscos, mejillones y camarones.",+52 329 116 7894,"Olas Altas 336, Zona Romántica, Emiliano Zapata, 48328 Puerto Vallarta, Jal., México",Marisquería, Abre a las 9a.m.,Puerto Vallarta
El Andariego - Restaurante & Bar PV,facebook.com,Restaurante que ofrece grandes porciones de comida casera mexicana en un espacio luminoso con fotos vintage.,+52 322 222 0916,"Avenida Mexico y San Salvador 1358, 5 de Diciembre, 48350 Puerto Vallarta, Jal., México",Bar restaurante,,Puerto Vallarta
Tuna Azul Zona Romantica,tunaazulzonaromantica.shop,"Restaurante animado con asientos al aire libre que sirve desayunos, margaritas y tacos de mariscos.",+52 322 178 0657,"Calle Francisca Rodriguez 155, Altos. Esq. Olas Altas, Emiliano Zapata, 48380 Puerto Vallarta, Jal., México",Marisquería, Abre a las 11a.m.,Puerto Vallarta
México Latte,mexicolattepv.wixsite.com,"Restaurante tranquilo con terraza y platillos clásicos, como chilaquiles y mole.",+52 322 135 7696,"Av. Ejército Mexicano 154, Guadalupe Victoria, 48317 Puerto Vallarta, Jal., México",Restaurante mexicano, Abre a las 8a.m.,Puerto Vallarta
Martini en Fuego Grill Restaurant,,"Restaurante sencillo que ofrece filetes, hamburguesas, pescados asados y mariscos.",+52 322 228 0088,"C. Fco. I. Madero 260-Int. A, Zona Romántica, Emiliano Zapata, 48380 Puerto Vallarta, Jal., México",Parrilla, Abre a las 2:30p.m.,Puerto Vallarta
El Brujo Vallarta,facebook.com,"Menú amplio de mariscos, pollos y carnes estilo México con influencia internacional en un restaurante casual.",+52 322 223 2036,"Venustiano Carranza 510, Zona Romántica, Emiliano Zapata, 48380 Puerto Vallarta, Jal., México",Marisquería, Abre a las 2p.m.,Puerto Vallarta
