Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Maximilianos,,None Found,+52 899 454 9326,"Blvd. Miguel Hidalgo 100-L 6,7,8,9, Jardines Coloniales, 88749 Reynosa, Tamps., México",Restaurante, Cierra a las 12a.m.,Reynosa
La Fogata De Reynosa,lafogatadereynosa.com,"Restaurante emblemático fundado en 1985, famoso por su pescado a la parrilla y carnes como el cabrito.",+52 899 922 4772,"Mariano Matamoros, J. B. Chapa 750, Zona Centro, 88500 Reynosa, Tamps., México",Restaurante, 10p.m. ,Reynosa
La Carnada Grill,facebook.com,None Found,+52 899 143 5330,"Lerdo de Tejada 345, Bella Vista, 88600 Reynosa, Tamps., México",Restaurante, Cierra a las 11p.m.,Reynosa
La Llorona Tacos y Cortes,lalloronamx.com,None Found,+52 899 418 6620,"Segunda 190, Las Fuentes, 88710 Reynosa, Tamps., México",Taquería, Cierra a las 12a.m.,Reynosa
La Mansion Del Prado,,None Found,+52 899 171 7631,"Emilio Portes Gil S/N, Del Prado, 88560 Reynosa, Tamps., México",Restaurante, Cierra a las 11p.m.,Reynosa
La Casa de María,facebook.com,None Found,+52 899 129 3403,"Zaragoza #600 entre Juárez e Hidalgo Centro, Plaza Principal, 88500 Reynosa, Tamps., México",Restaurante mexicano, Cierra a las 11p.m.,Reynosa
La Estrella,laestrellarestaurante.mx,None Found,+52 899 946 4708,"Autopista Reynosa Monterrey Km.104 S/N, Fuentes del Valle, 88746 Reynosa, Tamps., México",Restaurante, Cierra a las 10:30p.m.,Reynosa
AZUL ANTIGUO,,None Found,+52 899 171 8903,"Allende 800, 88500 Reynosa, Tamps., México",Restaurante, 9:30p.m. ,Reynosa
Capellini Ristorante,capelliniristorante.com,Menú italiano que incluye pescados y pizzas al horno de piedra en un espacio con terraza y ambiente elegante.,+52 899 922 0900,"Calle Ejercito Nacional 250, Flovigar, 88630 Reynosa, Tamps., México",Restaurante italiano, Cierra a las 11p.m.,Reynosa
Argentinos Reynosa,facebook.com,None Found,+52 899 951 1941,"LAS FUENTES 102, Las Fuentes Secc Lomas, 88703 Reynosa, Tamps., México",Restaurante, Cierra a las 12a.m.,Reynosa
Rincón del Antojo,rincondelantojo.mx,None Found,+52 899 922 2323,"París 510, Beatty, 88630 Reynosa, Tamps., México",Restaurante mexicano, Cierra a las 11p.m.,Reynosa
