Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
El Mesón Principal,mesonprincipal.com,"Carnes a las brasas, como res y cabra, servidas en un comedor luminoso con arcos de piedra y mariachis.",+52 844 415 0015,"Blvd. Venustiano Carranza 4671, Virreyes Residencial, 25230 Saltillo, Coah., México",Restaurante mexicano,,Saltillo
Don Artemio,donartemio.com,"Moderna cocina mexicana de autor, mezcales y vinos regionales en un enorme restaurante de refinada decoración.",+52 844 432 5550,"Blvd. Venustiano Carranza 8550, Valle Hermoso, 25207 Saltillo, Coah., México",Restaurante mexicano, Cierra a las 12a.m.,Saltillo
Los Compadres,loscompadres.mx,"Local de ambiente colonial, con una terraza encantadora y frondosa, donde se ofrecen platos tradicionales.",+52 844 174 0489,"Lic. Benito Juárez 463, Zona Centro, 25000 Saltillo, Coah., México",Restaurante mexicano, Cierra a las 12a.m.,Saltillo
Las Delicias de Mi General,,None Found,,"Lic. Juan Antonio de La Fuente Ote. 218, Zona Centro, 25025 Saltillo, Coah., México",Restaurante mexicano, Cierra a las 12a.m.,Saltillo
Mochomos Saltillo,mochomos.mx,None Found,+52 844 807 6682,"Blvd. Venustiano Carranza, Sin Nombre de Col 16, 25210 Saltillo, Coah., México",Restaurante, Cierra a las 2a.m.,Saltillo
Asador La Vaca Argentina,lavaca-argentina.com,"Asador con menú de carnes, pizzas y platos argentinos ofrecidos en un cálido comedor con paredes de ladrillo.",+52 844 410 1208,"Calle Ignacio Allende 1240, Zona Centro, 25000 Saltillo, Coah., México",Restaurante argentino, Cierra a las 11p.m.,Saltillo
Las Brazas,lasbrazas.com,"Comedor concurrido con porciones generosas de platos mexicanos, como tacos, quesadillas y enchiladas.",+52 844 415 5690,"Blvd. Venustiano Carranza 3070, Latinoamericana, 25270 Saltillo, Coah., México",Restaurante mexicano,,Saltillo
El Feligrez Steak House,facebook.com,"Cortes de carne y sabores internacionales en un sitio con decoraciones en madera, cuadros de arte y terraza.",+52 844 439 1199,"Blvd. Venustiano Carranza 3845, Virreyes Residencial, 25240 Saltillo, Coah., México",Restaurante especializado en filetes, Cierra a las 2a.m.,Saltillo
Pour La France,pourlafrance.com.mx,Bistró respetado con platos mexicano-franceses para toda ocasión.,+52 844 450 5000,"Perif. Luis Echeverría 1416, Guanajuato, 25280 Saltillo, Coah., México",Restaurante, Cierra a las 11p.m.,Saltillo
La Canasta,facebook.com,Legendario restaurante de ladrillo expuesto y pisos de loza que ofrece un amplio menú de platillos mexicanos.,+52 844 415 8050,"Blvd. Venustiano Carranza 2485, República, 25280 Saltillo, Coah., México",Restaurante mexicano,,Saltillo
