Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante el Fogón de Jovel,fogondejovel.com,Comida típica regional incluye tortillas y frijoles refritos en casona histórica con patio y marimba en vivo.,+52 967 678 1153,"Av, 16 de Septiembre # 11, Centro, 29200 San Cristóbal de las Casas, Chis., México",Restaurante mexicano, Abre a las 8a.m.,San Cristóbal de las Casas
El Caldero,facebook.com,Cafetería animada con paredes de ladrillo en la que se sirven cervezas y sopas mexicanas con salsas y nachos.,+52 967 116 0121,"Av Insurgentes 5-A, Zona Centro, 29200 San Cristóbal de las Casas, Chis., México",Restaurante mexicano, Abre a las 8a.m.,San Cristóbal de las Casas
Cocoliche,delivery.softrestaurant.com.mx,None Found,+52 967 631 4621,"Av Cristóbal Colón, Real de Guadalupe 3-a, 29230 San Cristóbal de las Casas, Chis., México",Restaurante, Abre a las 12:30p.m.,San Cristóbal de las Casas
Tierra y Cielo Restaurante,tierraycielo.com.mx,"Comedor de estilo misionero con cielorraso de vigas, que sirve especialidades regionales como mole y mariscos.",+52 967 678 0354,"Benito Juárez 1, Zona Centro, 29200 San Cristóbal de las Casas, Chis., México",Restaurante mexicano, Abre a las 8a.m.,San Cristóbal de las Casas
LA PEREGRINA COCINA YUCATECA,facebook.com,None Found,+52 967 678 7262,"Profa, C. María Adelina Flores 12, Zona Centro, 29200 San Cristóbal de las Casas, Chis., México",Restaurante, Abre a las 7a.m.,San Cristóbal de las Casas
BELIL SABORES DE CHIAPAS,facebook.com,None Found,+52 967 115 2022,"Profa, C. María Adelina Flores 20, Zona Centro, 29230 San Cristóbal de las Casas, Chis., México",Restaurante mexicano, Abre a las 8a.m.,San Cristóbal de las Casas
Santo Nahual Restaurante San Cristóbal,,Casona histórica con relajado comedor y jardín en donde se ofrece coctelería original y comida mexicana.,+52 967 678 1547,"Miguel Hidalgo 3, Zona Centro, 29200 San Cristóbal de las Casas, Chis., México",Restaurante mexicano, Abre a las 9a.m.,San Cristóbal de las Casas
Restaurante La Lupe,,"Restaurante tradicional colorido y dinámico donde se sirven desayunos, tacos y platos regionales abundantes.",+52 967 678 1222,"Real de Guadalupe 62, Zona Centro, 29200 San Cristóbal de las Casas, Chis., México",Restaurante mexicano, Abre a las 7a.m.,San Cristóbal de las Casas
Restaurante Las Pichanchas (San Cristóbal),restaurantelaspichanchas.com,"Restaurante sencillo de comidas caseras con decoración pintoresca, música en vivo y espectáculos de danza.",+52 967 631 5235,"Crescencio Rosas 4A, Centro, 29200 San Cristóbal de las Casas, Chis., México",Restaurante, Abre a las 2p.m.,San Cristóbal de las Casas
El Secreto,casadelalma.mx,None Found,+52 967 674 7784,"16 de Septiembre 24-A, Zona Centro, 29200 San Cristóbal de las Casas, Chis., México",Restaurante mexicano, Abre a las 7a.m.,San Cristóbal de las Casas
Trattoria Catanzaro,,None Found,+52 967 122 2161,"C. María Adelina Flores 16, Zona Centro, 29200 San Cristóbal de las Casas, Chis., México",Restaurante italiano, Abre a las 2:30p.m.,San Cristóbal de las Casas
Jardines de San Cristóbal,facebook.com,None Found,+52 967 631 4858,"Carretera a, San Juan Chamula km.3, La Quinta, San Martin, 29247 San Cristóbal de las Casas, Chis., México",Restaurante mexicano, Abre a las 8a.m.,San Cristóbal de las Casas
Café Bar 500 Noches,facebook.com,"Restaurante con terraza, vigas de madera y un menú ecléctico de brasería, ubicado en un centro comercial.",+52 967 141 1426,"Miguel Hidalgo 6D, Zona Centro, 29200 San Cristóbal de las Casas, Chis., México",Restaurante, Abre a las 9a.m.,San Cristóbal de las Casas
Al Sazón que me toquen,alsazonquemetoquen.com,None Found,+52 967 674 0480,"Av 20 de Noviembre 7, Zona Centro, 29200 San Cristóbal de las Casas, Chis., México",Restaurante mexicano, Abre a las 7a.m.,San Cristóbal de las Casas
Restaurante el Argentino,facebook.com,None Found,+52 967 631 7150,"Real de Guadalupe 13D, Zona Centro, 29200 San Cristóbal de las Casas, Chis., México",Restaurante argentino, Abre a las 12:30p.m.,San Cristóbal de las Casas
"Restaurante ""Tarumba""",instagram.com,None Found,+52 967 141 3849,"Prol. 1o. de Marzo #4-B, Zona Centro, 29200 San Cristóbal de las Casas, Chis., México",Restaurante, Abre a las 7a.m.,San Cristóbal de las Casas
Restaurante Miura,fb.me,None Found,+52 967 674 5576,"Real de Guadalupe 26, Zona Centro, 29200 San Cristóbal de las Casas, Chis., México",Restaurante, Abre a las 12:30p.m.,San Cristóbal de las Casas
La Diligencia Restaurante,facebook.com,"Local informal en una colina, con terrazas, vistas a la ciudad y área de juegos infantiles, en el que se sirve comida casera.",+52 967 678 6499,"Carretera Panamericana Kilómetro 1169, Barrio de Fatima, 29264 San Cristóbal de las Casas, Chis., México",Restaurante, Abre a las 7a.m.,San Cristóbal de las Casas
