Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
La Parrillada,,None Found,+52 55 1039 0210,"Blvrd Coacalco 203, Villa de las Flores, 55710 San Francisco Coacalco, Méx., México",Restaurante mexicano, 1a.m. ,San Francisco Coacalco
Restaurante Madero - Coacalco,maderorestaurante.mx,None Found,+52 55 1454 0455,"Av. José López Portillo 60, Coacalco, 55700 San Francisco Coacalco, Méx., México",Restaurante mexicano, Abre a las 7a.m.,San Francisco Coacalco
La Casa de Toño en Coacalco,sucursales.lacasadetono.mx,None Found,+52 55 9331 4671,"Av. José López Portillo 338, Parque Residencial Coacalco, 55720 San Francisco Coacalco, Méx., México",Restaurante mexicano, Abre a las 8a.m.,San Francisco Coacalco
La BTK Coacalco,labtk.com.mx,None Found,+52 55 5875 7881,"Blvrd Coacalco 16 y 17, Villa de las Flores, 55710 San Francisco Coacalco, Méx., México",Bar restaurante, Abre a las 12p.m.,San Francisco Coacalco
La Tienda de la Esquina,,None Found,+52 55 1039 8066,"C. Belisario Domínguez 15A, Cabecera Municipal, 55700 Coacalco de Berriozabal, Méx., México",Restaurante, 1a.m. ,San Francisco Coacalco
La Compostela y sus Burradaz - Villa de las Flores,,None Found,+52 55 3693 7372,"C. Alcanfores 2, Villa de las Flores, 55710 San Francisco Coacalco, Méx., México",Restaurante, Abre a las 8a.m.,San Francisco Coacalco
Restaurante Due Fratelli,,None Found,+52 55 1229 6904,"Sierra Madre 4, Parque Residencial Coacalco, 55720 San Francisco Coacalco, Méx., México",Restaurante, Abre a las 9a.m.,San Francisco Coacalco
La Parrilla Mexicana 2,laparrillamexicana.com.mx,None Found,+52 55 5879 6368,"Blvrd Coacalco 30, Villa de las Flores, 55705 San Francisco Coacalco, Méx., México",Parrilla, Cierra a las 2a.m. ,San Francisco Coacalco
Gallo Cervecero | Coacalco,gallocervecero.com,None Found,+52 55 6157 7751,"Av. José López Portillo 128 A, Coacalco, 55700 Edomex, Méx., México",Bar deportivo, 1a.m. ,San Francisco Coacalco
Maffra´s,maffras.com.mx,"Patio cervecero de ambiente sereno en el que se sirven mezcales, cervezas internacionales y platillos de pub.",+52 55 3451 5361,"Independencia 12, Coacalco, 55700 Coacalco de Berriozabal, Méx., México",Pizzería, Abre a la 1p.m.,San Francisco Coacalco
La Vieja Habana Coacalco,facebook.com,None Found,+52 55 4489 5322,"C. Ixtlememelixtle 15A, Coacalco, 55700 San Francisco Coacalco, Méx., México",Bar restaurante, Cierra a las 3a.m. ,San Francisco Coacalco
La Diabla Snack's & beers,ladiablamx.com,"Hamburguesas, alitas y pizzas acompañados con cervezas en un bar de ambiente fiestero con música en vivo.",+52 55 1548 4194,"Avenida José López Portillo Poer Center, Coacalco, 55717 San Francisco Coacalco, Méx., México",Restaurante, Cierra a las 2a.m. ,San Francisco Coacalco
MALAC,malac.com.mx,None Found,+52 55 4906 7923,"C. Corregidora 54, Coacalco, 55700 Mexico, Méx., México",Restaurante, Abre a las 9a.m.,San Francisco Coacalco
La parrillada de Cortez,,None Found,,"Blvrd Coacalco 26, Zacuauhtitla, 55700 San Francisco Coacalco, Méx., México",Restaurante familiar, Abre a las 2p.m.,San Francisco Coacalco
