Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Cenaduría Portales De San Francisco,,None Found,+52 981 811 1491,"C. 10 No. 86, Barrio de San Francisco, 24010 San Francisco de Campeche, Camp., México",Restaurante mexicano, Abre a las 6:30p.m.,San Francisco de Campeche
Marganzo Restaurante,,"Restaurante tradicional con arcos y vitrales, donde se sirven platos campechanos y mariscos mexicanos.",+52 981 811 3899,"Calle 8 267, Zona Centro, 24000 San Francisco de Campeche, Camp., México",Restaurante mexicano, Abre a las 7a.m.,San Francisco de Campeche
Patroni's Bar,facebook.com,None Found,+52 981 103 1866,"C. 59, Zona Centro, 24000 San Francisco de Campeche, Camp., México",Bar restaurante, 2a.m. ,San Francisco de Campeche
El Sábalo,turismocampeche.com,None Found,+52 19811216645,"Av. Costera S/N, San Miguel, 24027 Camp., México",Marisquería, Abre a las 9a.m.,San Francisco de Campeche
La María Cocina Peninsular,,None Found,+52 999 445 7635,"Calle 8 173, Zona Centro, 24000 San Francisco de Campeche, Camp., México",Restaurante mexicano, Abre a la 1p.m.,San Francisco de Campeche
El Langostino,,Comedor apacible con cerveza y platos de mariscos fritos y asados.,+52 981 815 4056,"C. 10-B No. 4, Barrio de la Ermita, 24020 San Francisco de Campeche, Camp., México",Marisquería, Abre a las 11a.m.,San Francisco de Campeche
Ambigu,,None Found,,"Calle 12 162, Zona Centro, 24000 San Francisco de Campeche, Camp., México",Marisquería, 2a.m. ,San Francisco de Campeche
Salón Rincón Colonial,turismocampeche.com,None Found,+52 981 816 8376,"C. 59 60, Zona Centro, 24000 San Francisco de Campeche, Camp., México",Restaurante, Abre a las 12p.m.,San Francisco de Campeche
La Bodeguita de San Pancho,,None Found,+52 981 105 2146,"Av. Francisco I. Madero Calle 10, Barrio de San Francisco, 24010 San Francisco de Campeche, Camp., México",Restaurante, Cierra a las 2:30a.m. ,San Francisco de Campeche
Xtabay Taberna y Restaurante,instagram.com,None Found,+52 981 105 9027,"C. 59 No. 34, Zona Centro, 24000 San Francisco de Campeche, Camp., México",Cervecería artesanal, Cierra a las 3a.m. ,San Francisco de Campeche
