Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
El Ahorcado,,None Found,+52 624 152 3989,"C. de las Pangas 30, Mauricio Castro, 23443 San José del Cabo, B.C.S., México",Taquería, Abre a las 4p.m.,San José del Cabo
Sardina Cantina,sardinacantina.com,None Found,+52 624 172 6365,"Km. 29.5 Local 3 And 4 Carretera, Carr. Transpeninsular, Costa Azul, 23406 San José del Cabo, B.C.S., México",Restaurante,,San José del Cabo
La Revolucion Comedor de Baja California,grupovanko.com,None Found,+52 624 104 5111,"Alvaro Obregon #1732, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante, Abre a las 4:30p.m.,San José del Cabo
Flora Farms,flora-farms.com,None Found,+52 624 142 1000,"Carretera Transpeninsular San José del Cabo Km. 30 Las Ánimas Bajas, 23407 San José del Cabo, B.C.S., México",, Abre a las 10a.m.,San José del Cabo
Mariscos El Toro Güero,eltoroguero.com,"Restaurante colorido ubicado en un edificio luminoso con techo de paja, que sirve especialidades de camarón, pescado asado y tacos.",+52 624 130 7818,"Idelfonso Green sn, Centro, 23400 San José del Cabo, B.C.S., México",Marisquería, Abre a las 9a.m.,San José del Cabo
Don Sanchez Restaurant,donsanchezrestaurant.com,Un espacio estilizado pero casual con techo de palmas que ofrece cocina contemporánea de Baja California.,+52 624 142 2444,"Blvd. Antonio Mijares 27, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante mexicano, Abre a las 5p.m.,San José del Cabo
La Forchetta,laforchetta.mx,None Found,+52 624 130 7723,"Plaza el Pescador Misión San José 24, 23406 San José del Cabo, B.C.S., México",Restaurante italiano, Abre a las 5p.m.,San José del Cabo
Chato's,,None Found,+52 624 142 1235,"Blvd. Antonio Mijares Loc 101 C, Centro, 23400 San José del Cabo, B.C.S., México",Marisquería, Abre a las 8a.m.,San José del Cabo
De Mañana Almuerzos,,None Found,+52 624 130 7048,"C. P.º de los Marinos 819, Mauricio Castro, 23443 San José del Cabo, B.C.S., México",Restaurante de desayunos, Abre a las 8a.m.,San José del Cabo
District Mx,districtmx.com,None Found,+52 624 688 6818,"La, Plaza Peninsula Local 9A San José del Cabo-Cabo San Lucas, P.º La Jolla Lote Nomada, 23400 San José del Cabo, B.C.S., México",Restaurante, Abre a las 10a.m.,San José del Cabo
7 Seas,7seasrestaurant.com,"Mariscos, pescados y recetas internacionales en la terraza grande con vistas panorámicas del Cabo Surf Hotel.",+52 624 142 2666,"Carretera San José Km 28, Tourist Corridor, 23410 San José del Cabo, B.C.S., México",Bar restaurante, Abre a las 7a.m.,San José del Cabo
Latino 8,latino8.com,None Found,+52 624 130 7267,"P.º Malecon San Jose Local 8, Campo de golf, 23406 San José del Cabo, B.C.S., México",Restaurante, Abre a las 12p.m.,San José del Cabo
Chambao Los Cabos | Best Steakhouse in San Jose,chambaorestaurant.com,None Found,+52 624 167 1075,"P.º Malecon San Jose 585, Zona Hotelera, 23405 San José del Cabo, B.C.S., México",Restaurante, Abre a las 5p.m.,San José del Cabo
Jazmin's Restaurant,jazminsrestaurant.com,None Found,+52 624 142 1760,"Jose Maria Morelos 14, Gallery District, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante mexicano, Abre a las 8a.m.,San José del Cabo
Teo Restaurant Bar and Grill,,"Comedor sencillo con terraza que sirve cocina mexicana-americana, mariscos y su especialidad de hamburguesas.",+52 624 688 2666,"Blvd. Antonio Mijares S/N, Centro, 23400 San José del Cabo, B.C.S., México",Hamburguesería,,San José del Cabo
Frida Cabo Restaurante,,None Found,+52 624 177 2851,"México 1, El Rosarito, 23407 San José del Cabo, B.C.S., México",Restaurante, Abre a las 7:30a.m.,San José del Cabo
Aqua Restaurant,oneandonlyresorts.com,None Found,+52 624 146 7000,"Carr. Transpeninsular Km. 7.5 Palmilla, 23400 San José del Cabo, B.C.S., México",Restaurante mexicano, Abre a las 7a.m.,San José del Cabo
La Lupita Taco & Mezcal,lalupitatym.com,None Found,+52 624 254 4974,"Jose Maria Morelos s/n, Gallery District, Centro, 23400 San José del Cabo, B.C.S., México",Taquería, Abre a las 12p.m.,San José del Cabo
Taquería México,,None Found,+52 624 105 2171,"C. Valerio González 4, 1ro de Mayo, 23400 San José del Cabo, B.C.S., México",Restaurante mexicano, Abre a las 11a.m.,San José del Cabo
Las Guacamayas Sucursal Chamizal,,None Found,+52 624 189 5284,"C. P.º de los Marinos s/n, Mauricio Castro, 23401 San José del Cabo, B.C.S., México",Restaurante mexicano, Abre a la 1p.m.,San José del Cabo
La Osteria,,None Found,+52 624 146 9696,"P.º del Estero, Zona Hotelera, 23406 San José del Cabo, B.C.S., México",Restaurante mediterráneo, Abre a las 2:30p.m. del lun,San José del Cabo
El Merkado,,None Found,+52 624 168 0038,"Carretera Transpeninsular, Bv. Cerro Colorado, 23400 San José del Cabo, B.C.S., México",Mercado de alimentos frescos, Abre a las 8a.m.,San José del Cabo
"Restaurante San José ""el pisito""",,None Found,+52 624 192 2163,"Mauricio Castro 909, 05 de Febrero, 23406 San José del Cabo, B.C.S., México",Restaurante mexicano, Abre a las 7a.m.,San José del Cabo
Jardín Secreto Restaurante,facebook.com,None Found,+52 624 191 1176,"Jose Maria Morelos 103, Gallery District, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante, Abre a las 10a.m.,San José del Cabo
Kitchen San José del Cabo,kitchensanjosedelcabo.com,None Found,+52 624 155 2338,"3863+HF5, Jose Maria Morelos entre Ignacio Zaragoza y Calle Manuel Doblado, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante, Abre a las 5p.m.,San José del Cabo
Kitchen San José del Cabo,kitchensanjosedelcabo.com,None Found,+52 624 155 2338,"3863+HF5, Jose Maria Morelos entre Ignacio Zaragoza y Calle Manuel Doblado, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante, Abre a las 5p.m.,San José del Cabo
Habaneros Bistro,habanerosbistro.com,Restaurante informal con terraza que sirve platos imaginativos cuidadosamente elaborados.,+52 624 142 2626,"Jose Maria Morelos 133, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante, Abre a las 8a.m.,San José del Cabo
La Antonia Restaurante San José del Cabo,,None Found,+52 624 177 7332,"Calle de las Pangas Chalupa esquina, Mauricio Castro, 23405 San José del Cabo, B.C.S., México",Restaurante, Abre a las 8a.m.,San José del Cabo
La Dolce San José del Cabo,restauranteladolce.com,"Acogedor lugar estilo trattoria con muros de ladrillo que sirve pizzas, pastas y especialidades italianas.",+52 624 142 6621,"Plaza Jardín Mijares, Miguel Hidalgo S/N, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante italiano, Abre a la 1p.m.,San José del Cabo
Mi Cocina Restaurant,casanatalia.com,Colorido y luminoso comedor en donde se sirven platillos mexicanos con toque europeo y bebidas originales.,+52 624 146 7100,"Blvd. Antonio Mijares 4, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante, Abre a las 8a.m.,San José del Cabo
Fiorenza Italian Restaurant,fiorenzaloscabos.com,None Found,+52 624 142 1652,"Plaza José Green, Blvd. Antonio Mijares, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante italiano, Abre a la 1p.m.,San José del Cabo
Fiorenza Italian Restaurant,fiorenzaloscabos.com,None Found,+52 624 142 1652,"Plaza José Green, Blvd. Antonio Mijares, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante italiano, Abre a la 1p.m.,San José del Cabo
Mama Mía,mamamialoscabos.com,None Found,+52 624 179 3493,"Carretera Transpeninsular km 29.5 Hotel Coral Baja Costa Azul, 23405 San José del Cabo, B.C.S., México",Restaurante, Abre a las 8a.m.,San José del Cabo
Tacos Rossy,facebook.com,None Found,+52 624 142 6755,"Carretera Transpeninsular Km 33 S/N, Mauricio Castro, 23443 San José del Cabo, B.C.S., México",Taquería, Abre a las 7:30a.m.,San José del Cabo
PEZGALLO,linktr.ee,None Found,+52 624 230 3594,"La Choya, San José del Cabo La Choya - La Playa, 23403 San José del Cabo, B.C.S., México",Restaurante de brunch, Abre a las 8a.m.,San José del Cabo
Lolita cafe,cafedelolita.com,None Found,+52 624 130 7786,"Calle Manuel Doblado s/n, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante, Abre a las 8a.m.,San José del Cabo
Trópico - Cocina de Costa,,None Found,+52 624 240 2007,"Blvd. Antonio Mijares 7, Campo de Golf Fonatur, 23406 San José del Cabo, B.C.S., México",Taquería,,San José del Cabo
Trópico - Cocina de Costa,,None Found,+52 624 240 2007,"Blvd. Antonio Mijares 7, Campo de Golf Fonatur, 23406 San José del Cabo, B.C.S., México",Taquería,,San José del Cabo
Café des Artistes Los Cabos,cafedesartistescabos.com,None Found,+52 624 163 7600,"Fracción Hotelera FH5-C1 Subdelegación de la Playita, 23403 San José del Cabo, B.C.S., México",Restaurante, Abre a las 5p.m.,San José del Cabo
Café des Artistes Los Cabos,cafedesartistescabos.com,None Found,+52 624 163 7600,"Fracción Hotelera FH5-C1 Subdelegación de la Playita, 23403 San José del Cabo, B.C.S., México",Restaurante, Abre a las 5p.m.,San José del Cabo
La Marea,lamarealoscabos.com,None Found,+52 624 172 6233,"Carretera Transpeninsular km 29.5 L-11 A Plaza Peninsula Colonia La Jolla 23406 San Jose del Cabo Baja California, B.C.S., México",Marisquería, Abre a las 7a.m.,San José del Cabo
sage baja,sagebaja.com,None Found,+52 624 184 8628,"Jose Maria Morelos 133, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante, Abre a las 4p.m.,San José del Cabo
Tamarindos Mexican Farm-To-Table Restaurant,lostamarindos.mx,Restaurante de gastronomía orgánica ubicado en una antigua granja de caña de azúcar con mesas al aire libre.,+52 624 317 0142,"C. de Las Animas s/n, Animas Bajas, 23407 San José del Cabo, B.C.S., México",Restaurante mexicano, Abre a las 10a.m.,San José del Cabo
Barrio del Tango - Restaurante Argentino,facebook.com,None Found,+52 624 125 3023,"Morelos Mz 19 Lte 2 Esquina, Coronado, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante argentino,,San José del Cabo
AGAVE Kitchen,agavecsl.mx,None Found,+52 624 123 2167,"Morelos, Alvaro Obregon Esq, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante, Abre a las 5:30p.m.,San José del Cabo
Traspatio,,None Found,+52 624 150 4411,"Retorno de Guijarro Mz8, Lte 4, Magisterial, 23405 San José del Cabo, B.C.S., México",Restaurante mexicano, Abre a las 5:30p.m.,San José del Cabo
La Mexicana Restaurant y Cantina,facebook.com,None Found,+52 624 105 2914,"P.º Malecon San Jose 13-14, Campo de Golf Fonatur, 23406 San José del Cabo, B.C.S., México",Restaurante mexicano, Abre a las 8a.m.,San José del Cabo
La Mexicana Restaurant y Cantina,facebook.com,None Found,+52 624 105 2914,"P.º Malecon San Jose 13-14, Campo de Golf Fonatur, 23406 San José del Cabo, B.C.S., México",Restaurante mexicano, Abre a las 8a.m.,San José del Cabo
Pietro's Ristorante,alav.link,None Found,+52 624 240 5819,"Jose Maria Morelos 11, entre Zaragoza Y Obregón, Gallery District, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante, Abre a la 1p.m.,San José del Cabo
Pietro's Ristorante,alav.link,None Found,+52 624 240 5819,"Jose Maria Morelos 11, entre Zaragoza Y Obregón, Gallery District, Centro, 23400 San José del Cabo, B.C.S., México",Restaurante, Abre a la 1p.m.,San José del Cabo
